Frequency (Hz)	Level (dB)
0.336456	-74.142380
0.672913	-68.584534
1.009369	-66.491249
1.345825	-69.770348
1.682281	-68.766731
2.018738	-67.574074
2.355194	-69.916725
2.691650	-71.132973
3.028107	-73.001793
3.364563	-69.791153
3.701019	-70.308723
4.037476	-71.788719
4.373932	-69.216057
4.710388	-71.031036
5.046844	-73.842255
5.383301	-75.752396
5.719757	-76.133377
6.056213	-74.404510
6.392670	-74.437584
6.729126	-76.146828
7.065582	-75.017624
7.402039	-74.480797
7.738495	-72.615540
8.074951	-77.801636
8.411407	-77.613747
8.747864	-75.624939
9.084320	-76.001419
9.420776	-76.503365
9.757233	-76.100388
10.093689	-76.093872
10.430145	-77.544983
10.766602	-78.761826
11.103058	-79.828491
11.439514	-85.693481
11.775970	-81.759926
12.112427	-79.199493
12.448883	-79.479019
12.785339	-82.612732
13.121796	-82.095024
13.458252	-84.979034
13.794708	-86.066841
14.131165	-84.337120
14.467621	-84.012222
14.804077	-84.936905
15.140533	-82.433548
15.476990	-85.644211
15.813446	-86.394066
16.149902	-79.722816
16.486359	-76.998177
16.822815	-75.755623
17.159271	-78.736824
17.495728	-82.989624
17.832184	-86.719429
18.168640	-86.397171
18.505096	-85.343376
18.841553	-85.654266
19.178009	-89.361397
19.514465	-85.327705
19.850922	-89.039291
20.187378	-86.978401
20.523834	-86.345169
20.860291	-87.560478
21.196747	-85.461914
21.533203	-83.371574
21.869659	-83.643066
22.206116	-84.419449
22.542572	-87.666046
22.879028	-89.133598
23.215485	-88.803490
23.551941	-85.960815
23.888397	-85.525787
24.224854	-87.616417
24.561310	-91.721664
24.897766	-89.859528
25.234222	-87.983856
25.570679	-85.923180
25.907135	-85.398743
26.243591	-87.221596
26.580048	-87.639305
26.916504	-86.428207
27.252960	-88.141495
27.589417	-87.604561
27.925873	-87.108215
28.262329	-89.174034
28.598785	-89.089851
28.935242	-89.559296
29.271698	-90.499870
29.608154	-89.308945
29.944611	-88.841469
30.281067	-87.845901
30.617523	-86.581406
30.953979	-87.543488
31.290436	-90.109962
31.626892	-88.689774
31.963348	-91.828606
32.299805	-88.679115
32.636261	-86.315132
32.972717	-87.105370
33.309174	-82.184898
33.645630	-83.994087
33.982086	-89.451286
34.318542	-88.372322
34.654999	-86.620972
34.991455	-87.236397
35.327911	-90.561646
35.664368	-90.973450
36.000824	-91.003677
36.337280	-89.783363
36.673737	-93.931252
37.010193	-96.177986
37.346649	-93.769814
37.683105	-92.624352
38.019562	-91.612526
38.356018	-93.915215
38.692474	-90.624634
39.028931	-92.472633
39.365387	-93.293068
39.701843	-96.229836
40.038300	-93.889755
40.374756	-92.829308
40.711212	-91.437775
41.047668	-92.091866
41.384125	-93.372986
41.720581	-93.879112
42.057037	-94.267525
42.393494	-92.553879
42.729950	-90.695274
43.066406	-86.039108
43.402863	-90.344002
43.739319	-92.772369
44.075775	-99.242058
44.412231	-97.647659
44.748688	-94.788506
45.085144	-94.002342
45.421600	-95.543724
45.758057	-98.345741
46.094513	-94.190788
46.430969	-92.925529
46.767426	-92.279266
47.103882	-93.748314
47.440338	-91.805244
47.776794	-89.973587
48.113251	-92.121468
48.449707	-88.590576
48.786163	-88.994034
49.122620	-90.179443
49.459076	-87.696556
49.795532	-86.405281
50.131989	-86.309074
50.468445	-86.899727
50.804901	-86.840416
51.141357	-86.399147
51.477814	-89.580269
51.814270	-90.390114
52.150726	-90.151138
52.487183	-92.332375
52.823639	-93.558784
53.160095	-93.398666
53.496552	-92.368500
53.833008	-92.848183
54.169464	-94.215424
54.505920	-96.691788
54.842377	-96.380562
55.178833	-95.644119
55.515289	-92.961876
55.851746	-92.787750
56.188202	-94.606476
56.524658	-93.996780
56.861115	-90.404495
57.197571	-89.764618
57.534027	-91.109123
