Frequency (Hz)	Level (dB)
0.336456	-70.924965
0.672913	-67.206474
1.009369	-67.532013
1.345825	-64.879822
1.682281	-64.299286
2.018738	-69.700287
2.355194	-74.726982
2.691650	-72.819336
3.028107	-70.564049
3.364563	-70.340576
3.701019	-67.251129
4.037476	-69.174942
4.373932	-69.219246
4.710388	-71.902878
5.046844	-73.951424
5.383301	-74.014114
5.719757	-70.799637
6.056213	-72.094864
6.392670	-72.491646
6.729126	-72.689171
7.065582	-76.794823
7.402039	-81.335777
7.738495	-78.113884
8.074951	-77.645149
8.411407	-78.822723
8.747864	-77.277977
9.084320	-76.893394
9.420776	-78.504524
9.757233	-80.554512
10.093689	-81.913322
10.430145	-78.460297
10.766602	-79.459366
11.103058	-80.595985
11.439514	-82.536873
11.775970	-83.711922
12.112427	-83.195023
12.448883	-83.549271
12.785339	-85.260437
13.121796	-81.846428
13.458252	-82.156425
13.794708	-82.803825
14.131165	-86.442482
14.467621	-85.030312
14.804077	-81.591362
15.140533	-83.839584
15.476990	-83.599541
15.813446	-86.533295
16.149902	-84.704170
16.486359	-85.060196
16.822815	-82.710358
17.159271	-87.644188
17.495728	-89.054688
17.832184	-86.639893
18.168640	-84.958008
18.505096	-88.663353
18.841553	-87.251144
19.178009	-86.791924
19.514465	-86.429359
19.850922	-85.792664
20.187378	-86.668129
20.523834	-87.462143
20.860291	-90.076485
21.196747	-88.665092
21.533203	-87.721962
21.869659	-89.178719
22.206116	-88.852127
22.542572	-94.114006
22.879028	-89.387375
23.215485	-86.513580
23.551941	-87.040825
23.888397	-88.997345
24.224854	-87.545593
24.561310	-88.856430
24.897766	-85.600693
25.234222	-88.223518
25.570679	-91.591255
25.907135	-88.468613
26.243591	-86.521538
26.580048	-87.703186
26.916504	-88.883224
27.252960	-87.569626
27.589417	-89.284424
27.925873	-92.027473
28.262329	-90.688530
28.598785	-91.386711
28.935242	-94.979645
29.271698	-90.615997
29.608154	-91.643463
29.944611	-89.921249
30.281067	-91.204247
30.617523	-93.636200
30.953979	-92.095757
31.290436	-93.960670
31.626892	-91.429131
31.963348	-89.875908
32.299805	-92.558281
32.636261	-93.203636
32.972717	-96.872025
33.309174	-95.425079
33.645630	-89.165421
33.982086	-90.461082
34.318542	-94.357979
34.654999	-91.094238
34.991455	-91.337708
35.327911	-90.539452
35.664368	-93.802765
36.000824	-91.997108
36.337280	-87.783218
36.673737	-89.253792
37.010193	-92.373611
37.346649	-93.606583
37.683105	-93.408257
38.019562	-90.004944
38.356018	-91.086952
38.692474	-92.127678
39.028931	-97.805313
39.365387	-96.683022
39.701843	-96.851212
40.038300	-94.511482
40.374756	-92.985191
40.711212	-92.225899
41.047668	-92.053032
41.384125	-95.271591
41.720581	-95.165817
42.057037	-97.120850
42.393494	-96.314957
42.729950	-94.359299
43.066406	-93.651642
43.402863	-96.163040
43.739319	-93.375053
44.075775	-93.334122
44.412231	-93.057472
44.748688	-93.302986
45.085144	-95.045959
45.421600	-94.981110
45.758057	-94.817650
46.094513	-90.494507
46.430969	-86.801788
46.767426	-74.199402
47.103882	-76.674866
47.440338	-93.004837
47.776794	-92.531487
48.113251	-94.676430
48.449707	-94.914368
48.786163	-94.404518
49.122620	-93.954102
49.459076	-92.007904
49.795532	-95.741417
50.131989	-94.696983
50.468445	-92.118240
50.804901	-93.928520
51.141357	-96.584953
51.477814	-94.259552
51.814270	-95.453896
52.150726	-97.207092
52.487183	-95.580933
52.823639	-96.857819
53.160095	-94.932777
53.496552	-93.393234
53.833008	-92.707611
54.169464	-93.553612
54.505920	-98.306877
54.842377	-100.071671
55.178833	-93.856323
55.515289	-93.125893
55.851746	-95.091286
56.188202	-94.060837
56.524658	-94.844467
56.861115	-98.344131
57.197571	-96.860260
57.534027	-96.889053
57.870483	-97.284950
58.206940	-97.717621
58.543396	-93.872162
58.879852	-95.511391
59.216309	-96.877419
59.552765	-87.199043
59.889221	-75.105194
60.225677	-78.141556
60.562134	-98.824638
60.898590	-98.012177
61.235046	-98.492661
61.571503	-96.519516
61.907959	-93.708450
62.244415	-95.230789
62.580872	-91.544746
62.917328	-96.517410
63.253784	-95.107483
63.590240	-97.230804
63.926697	-97.135483
64.263153	-95.587761
64.599609	-92.998619
64.936066	-95.793076
65.272522	-95.435661
65.608978	-93.890587
65.945435	-93.577904
66.281891	-93.845779
66.618347	-96.923691
66.954803	-97.642311
67.291260	-97.028084
67.627716	-100.393883
67.964172	-96.378502
68.300629	-94.003456
68.637085	-96.821976
68.973541	-100.002785
69.309998	-96.195908
69.646454	-96.940453
69.982910	-97.906731
70.319366	-98.474579
70.655823	-98.670670
70.992279	-100.202217
71.328735	-100.994682
71.665192	-97.032990
72.001648	-97.561447
72.338104	-98.531967
72.674561	-97.569122
73.011017	-99.537201
73.347473	-94.693237
73.683929	-93.534538
74.020386	-95.886826
74.356842	-97.972054
74.693298	-96.187630
75.029755	-96.361130
75.366211	-96.788528
75.702667	-97.156273
76.039124	-95.899521
76.375580	-96.957542
76.712036	-98.002235
77.048492	-98.126083
77.384949	-99.550385
77.721405	-96.846481
78.057861	-98.416740
78.394318	-95.087975
78.730774	-97.903473
79.067230	-99.448494
79.403687	-100.595695
79.740143	-98.854156
80.076599	-98.189568
80.413055	-96.336525
80.749512	-101.386841
81.085968	-98.908157
81.422424	-95.571991
81.758881	-97.584389
82.095337	-98.501411
82.431793	-98.850639
82.768250	-98.189758
83.104706	-97.261627
83.441162	-97.799255
83.777618	-97.226067
84.114075	-97.389839
84.450531	-96.890839
84.786987	-98.435371
85.123444	-97.088570
85.459900	-96.195061
85.796356	-99.407364
86.132812	-98.999672
86.469269	-99.597580
86.805725	-100.622833
87.142181	-104.589951
87.478638	-96.657822
87.815094	-93.835190
88.151550	-95.755081
88.488007	-99.223999
88.824463	-94.869804
89.160919	-97.275200
89.497375	-98.538200
89.833832	-97.566612
90.170288	-95.983360
90.506744	-94.245735
90.843201	-93.963295
91.179657	-95.358391
91.516113	-93.247986
91.852570	-97.409615
92.189026	-96.680923
92.525482	-97.950935
92.861938	-99.237068
93.198395	-98.210495
93.534851	-80.454758
93.871307	-78.490753
94.207764	-92.252144
94.544220	-97.580269
94.880676	-96.080894
95.217133	-94.107262
95.553589	-93.334831
95.890045	-96.384857
96.226501	-96.355659
96.562958	-94.237587
96.899414	-93.830833
97.235870	-98.521545
97.572327	-98.273560
97.908783	-98.542740
98.245239	-100.142181
98.581696	-98.530304
98.918152	-98.173477
99.254608	-96.998299
99.591064	-97.261841
99.927521	-98.316551
100.263977	-96.780861
100.600433	-100.331688
100.936890	-100.335823
101.273346	-99.336281
101.609802	-96.993286
101.946259	-101.283539
102.282715	-101.716232
102.619171	-99.181351
102.955627	-99.588318
103.292084	-100.611053
103.628540	-98.488243
103.964996	-98.845940
104.301453	-98.673866
104.637909	-101.720245
104.974365	-99.180466
105.310822	-97.100334
105.647278	-96.820450
105.983734	-99.474953
106.320190	-100.836754
106.656647	-98.941025
106.993103	-96.979622
107.329559	-99.422783
107.666016	-104.243950
108.002472	-97.673782
108.338928	-97.196762
108.675385	-95.723114
109.011841	-99.602104
109.348297	-92.744934
109.684753	-95.188683
110.021210	-96.930443
110.357666	-98.066994
110.694122	-100.875633
111.030579	-100.282593
111.367035	-96.549149
111.703491	-97.329094
112.039948	-96.685211
112.376404	-96.483131
112.712860	-98.830383
113.049316	-97.987946
113.385773	-98.344627
113.722229	-101.110306
114.058685	-101.190857
114.395142	-98.315369
114.731598	-100.356651
115.068054	-101.399826
115.404510	-98.380905
115.740967	-101.412231
116.077423	-96.820053
116.413879	-101.045311
116.750336	-99.453583
117.086792	-95.603317
117.423248	-98.574471
117.759705	-97.897987
118.096161	-99.107925
118.432617	-99.636406
118.769073	-101.182457
119.105530	-98.313362
119.441986	-100.560799
119.778442	-96.623543
120.114899	-95.880417
120.451355	-98.309044
120.787811	-100.224571
121.124268	-98.964333
121.460724	-98.712975
121.797180	-98.027763
122.133636	-99.256699
122.470093	-97.217537
122.806549	-98.601593
123.143005	-96.914894
123.479462	-96.615509
123.815918	-97.834503
124.152374	-99.844154
124.488831	-100.093102
124.825287	-99.655556
125.161743	-97.986061
125.498199	-96.742416
125.834656	-101.836807
126.171112	-104.067024
126.507568	-100.354675
126.844025	-98.141785
127.180481	-102.229820
127.516937	-100.243698
127.853394	-97.573990
128.189850	-96.236618
128.526306	-97.752510
128.862762	-96.573112
129.199219	-101.249413
129.535675	-103.374451
129.872131	-102.390511
130.208588	-100.774086
130.545044	-100.928864
130.881500	-100.031258
131.217957	-99.430733
131.554413	-98.908768
131.890869	-99.858772
132.227325	-96.009865
132.563782	-95.254669
132.900238	-99.630569
133.236694	-98.278389
133.573151	-99.756744
133.909607	-97.911789
134.246063	-98.331673
134.582520	-97.190216
134.918976	-96.638824
135.255432	-98.167313
135.591888	-101.506996
135.928345	-96.882492
136.264801	-99.683647
136.601257	-99.452583
136.937714	-99.202179
137.274170	-98.196053
137.610626	-97.533699
137.947083	-101.381592
138.283539	-100.448418
138.619995	-100.932121
138.956451	-102.946594
139.292908	-102.400276
139.629364	-98.688255
139.965820	-100.605675
140.302277	-94.061058
140.638733	-85.315636
140.975189	-93.208237
141.311646	-102.862289
141.648102	-103.910461
141.984558	-99.457489
142.321014	-99.683990
142.657471	-97.540199
142.993927	-99.592438
143.330383	-98.555313
143.666840	-93.573677
144.003296	-96.052498
144.339752	-98.848526
144.676208	-100.577484
145.012665	-100.903648
145.349121	-99.570450
145.685577	-101.357384
146.022034	-100.687485
146.358490	-99.289825
146.694946	-100.758461
147.031403	-105.305817
147.367859	-103.375618
147.704315	-101.506729
148.040771	-98.148659
148.377228	-99.058502
148.713684	-99.388435
149.050140	-100.022964
149.386597	-98.362228
149.723053	-100.499840
150.059509	-103.976196
150.395966	-99.153931
150.732422	-96.890167
151.068878	-95.479057
151.405334	-100.675224
151.741791	-97.514595
152.078247	-98.335876
152.414703	-97.277016
152.751160	-101.399864
153.087616	-101.980835
153.424072	-101.811737
153.760529	-108.367836
154.096985	-99.432724
154.433441	-98.450012
154.769897	-100.393120
155.106354	-102.536346
155.442810	-98.156044
155.779266	-100.507721
156.115723	-94.424538
156.452179	-94.843178
156.788635	-101.057777
157.125092	-103.071999
157.461548	-103.477295
157.798004	-100.483025
158.134460	-99.048775
158.470917	-100.810310
158.807373	-104.660843
159.143829	-99.858070
159.480286	-98.702530
159.816742	-97.942703
160.153198	-102.139381
160.489655	-99.867828
160.826111	-101.197342
161.162567	-104.211174
161.499023	-101.695610
161.835480	-102.075760
162.171936	-99.249336
162.508392	-98.280708
162.844849	-99.857483
163.181305	-95.968666
163.517761	-97.457703
163.854218	-98.452965
164.190674	-101.459846
164.527130	-98.607628
164.863586	-101.711975
165.200043	-101.422485
165.536499	-98.393631
165.872955	-97.377357
166.209412	-100.013969
166.545868	-101.101082
166.882324	-94.864433
167.218781	-96.546951
167.555237	-98.799011
167.891693	-104.373100
168.228149	-99.606987
168.564606	-98.377861
168.901062	-99.146278
169.237518	-100.313080
169.573975	-102.616058
169.910431	-99.727509
170.246887	-100.613289
170.583344	-101.656639
170.919800	-100.648956
171.256256	-98.738327
171.592712	-91.073509
171.929169	-86.932014
172.265625	-97.867439
172.602081	-98.721596
172.938538	-100.269600
173.274994	-99.402596
173.611450	-101.134499
173.947906	-101.253258
174.284363	-100.964455
174.620819	-99.709305
174.957275	-98.960075
175.293732	-102.185692
175.630188	-99.393753
175.966644	-98.359718
176.303101	-99.251663
176.639557	-100.808403
176.976013	-104.343857
177.312469	-100.300926
177.648926	-100.999962
177.985382	-100.055740
178.321838	-100.802254
178.658295	-101.687851
178.994751	-99.043785
179.331207	-102.612816
179.667664	-92.530144
180.004120	-86.263519
180.340576	-94.094887
180.677032	-99.897644
181.013489	-101.423042
181.349945	-98.500229
181.686401	-102.244568
182.022858	-101.082375
182.359314	-99.140739
182.695770	-102.197273
183.032227	-100.424629
183.368683	-102.749840
183.705139	-101.080399
184.041595	-97.350937
184.378052	-99.372581
184.714508	-99.221909
185.050964	-98.957161
185.387421	-101.234726
185.723877	-98.540794
186.060333	-101.595512
186.396790	-102.428352
186.733246	-103.468407
187.069702	-96.660034
187.406158	-88.428627
187.742615	-90.480408
188.079071	-98.284119
188.415527	-99.883034
188.751984	-101.303673
189.088440	-102.477859
189.424896	-97.599861
189.761353	-100.771194
190.097809	-102.008606
190.434265	-99.961647
190.770721	-100.519829
191.107178	-102.592323
191.443634	-102.072426
191.780090	-97.799820
192.116547	-103.651932
192.453003	-100.529686
192.789459	-98.768692
193.125916	-101.866920
193.462372	-101.703346
193.798828	-99.691658
194.135284	-101.748970
194.471741	-100.508507
194.808197	-99.825157
195.144653	-98.801117
195.481110	-101.291107
195.817566	-99.629166
196.154022	-100.870720
196.490479	-104.137901
196.826935	-97.657379
197.163391	-105.211678
197.499847	-101.900017
197.836304	-101.310326
198.172760	-101.121384
198.509216	-103.662155
198.845673	-101.530426
199.182129	-100.502007
199.518585	-98.858971
199.855042	-99.461281
200.191498	-98.401497
200.527954	-101.494690
200.864410	-100.349823
201.200867	-102.603996
201.537323	-101.189056
201.873779	-102.617126
202.210236	-103.996307
202.546692	-107.116409
202.883148	-85.615402
203.219604	-82.553070
203.556061	-93.123184
203.892517	-99.208687
204.228973	-105.003769
204.565430	-97.698257
204.901886	-99.618073
205.238342	-99.716537
205.574799	-99.800064
205.911255	-99.717361
206.247711	-104.570213
206.584167	-100.219551
206.920624	-102.723724
207.257080	-102.187157
207.593536	-100.453232
207.929993	-98.706139
208.266449	-100.126091
208.602905	-99.854080
208.939362	-105.491371
209.275818	-99.436676
209.612274	-100.275238
209.948730	-105.328110
210.285187	-102.803566
210.621643	-103.329849
210.958099	-100.693733
211.294556	-102.015717
211.631012	-99.019951
211.967468	-100.780609
212.303925	-96.749359
212.640381	-99.843750
212.976837	-98.517525
213.313293	-104.554604
213.649750	-100.905281
213.986206	-100.714027
214.322662	-101.612068
214.659119	-100.105270
214.995575	-104.307503
215.332031	-102.003242
215.668488	-101.442352
216.004944	-100.495583
216.341400	-99.026367
216.677856	-103.434792
217.014313	-97.751282
217.350769	-105.025566
217.687225	-99.123291
218.023682	-100.618546
218.360138	-82.024048
218.696594	-72.425926
219.033051	-77.515564
219.369507	-101.778259
219.705963	-103.363914
220.042419	-104.166336
220.378876	-99.451622
220.715332	-99.800529
221.051788	-101.335533
221.388245	-100.543854
221.724701	-99.431938
222.061157	-100.310486
222.397614	-100.909401
222.734070	-97.582581
223.070526	-101.809555
223.406982	-100.224655
223.743439	-98.492599
224.079895	-99.588364
224.416351	-95.889931
224.752808	-96.327141
225.089264	-105.124329
225.425720	-99.839149
225.762177	-100.241341
226.098633	-99.497002
226.435089	-101.793686
226.771545	-101.126625
227.108002	-99.501099
227.444458	-98.654221
227.780914	-99.101212
228.117371	-99.982353
228.453827	-97.903954
228.790283	-101.748573
229.126740	-97.538986
229.463196	-98.448166
229.799652	-97.462532
230.136108	-100.052376
230.472565	-95.740631
230.809021	-99.636444
231.145477	-97.907013
231.481934	-97.558014
231.818390	-101.834724
232.154846	-97.040047
232.491302	-96.599434
232.827759	-99.530617
233.164215	-96.353531
233.500671	-99.607513
233.837128	-95.910896
234.173584	-82.446373
234.510040	-81.244301
234.846497	-93.960579
235.182953	-98.962936
235.519409	-96.794388
235.855865	-100.586853
236.192322	-96.774284
236.528778	-98.408775
236.865234	-98.166336
237.201691	-95.825302
237.538147	-93.598625
237.874603	-93.397217
238.211060	-96.837639
238.547516	-95.646477
238.883972	-95.296448
239.220428	-95.841110
239.556885	-95.439308
