Frequency (Hz)	Level (dB)
0.336456	-69.681587
0.672913	-67.213821
1.009369	-65.780350
1.345825	-67.534073
1.682281	-66.017838
2.018738	-67.168121
2.355194	-70.387245
2.691650	-71.896355
3.028107	-76.240067
3.364563	-76.648598
3.701019	-72.060478
4.037476	-74.155617
4.373932	-73.289810
4.710388	-72.670662
5.046844	-72.553230
5.383301	-74.600243
5.719757	-73.751770
6.056213	-74.385193
6.392670	-77.198387
6.729126	-78.603416
7.065582	-79.402832
7.402039	-78.425125
7.738495	-76.625603
8.074951	-75.381142
8.411407	-79.813576
8.747864	-79.842850
9.084320	-75.693451
9.420776	-81.266785
9.757233	-82.352402
10.093689	-81.001404
10.430145	-79.871307
10.766602	-80.705704
11.103058	-82.280556
11.439514	-80.958908
11.775970	-80.339600
12.112427	-85.196167
12.448883	-86.549225
12.785339	-81.829689
13.121796	-82.973236
13.458252	-87.617516
13.794708	-88.146706
14.131165	-82.961166
14.467621	-81.314362
14.804077	-83.602638
15.140533	-86.021660
15.476990	-85.872040
15.813446	-86.763931
16.149902	-86.977676
16.486359	-85.416336
16.822815	-85.301056
17.159271	-85.588547
17.495728	-86.658127
17.832184	-89.385048
18.168640	-91.397240
18.505096	-89.940048
18.841553	-83.673828
19.178009	-83.346741
19.514465	-88.118271
19.850922	-89.371895
20.187378	-88.596779
20.523834	-87.941452
20.860291	-88.684624
21.196747	-90.099442
21.533203	-86.848740
21.869659	-88.240639
22.206116	-86.565132
22.542572	-85.935951
22.879028	-89.963219
23.215485	-88.034752
23.551941	-88.210663
23.888397	-89.662872
24.224854	-91.670189
24.561310	-91.110222
24.897766	-87.674789
25.234222	-86.491020
25.570679	-91.776840
25.907135	-90.414589
26.243591	-92.452927
26.580048	-87.784004
26.916504	-88.557388
27.252960	-89.518021
27.589417	-92.047676
27.925873	-92.990746
28.262329	-87.680473
28.598785	-89.016212
28.935242	-90.114059
29.271698	-91.918480
29.608154	-90.025780
29.944611	-92.398827
30.281067	-92.424072
30.617523	-92.882294
30.953979	-91.931900
31.290436	-93.970863
31.626892	-94.361969
31.963348	-94.242767
32.299805	-91.106728
32.636261	-89.105782
32.972717	-90.921577
33.309174	-90.757225
33.645630	-90.322388
33.982086	-90.750725
34.318542	-89.368874
34.654999	-89.320557
34.991455	-92.514046
35.327911	-91.982224
35.664368	-92.249817
36.000824	-91.753708
36.337280	-93.949799
36.673737	-91.043274
37.010193	-92.957230
37.346649	-90.446014
37.683105	-89.880280
38.019562	-90.840874
38.356018	-92.040642
38.692474	-92.682274
39.028931	-91.764603
39.365387	-90.694527
39.701843	-95.120811
40.038300	-95.017105
40.374756	-95.382492
40.711212	-95.532997
41.047668	-90.979195
41.384125	-92.026535
41.720581	-92.168625
42.057037	-93.669685
42.393494	-91.848854
42.729950	-89.878532
43.066406	-90.923958
43.402863	-92.861534
43.739319	-90.498177
44.075775	-89.828804
44.412231	-90.383133
44.748688	-92.572983
45.085144	-95.831055
45.421600	-93.581284
45.758057	-95.758102
46.094513	-93.597084
46.430969	-89.967789
46.767426	-91.500656
47.103882	-95.982018
47.440338	-92.728996
47.776794	-91.074234
48.113251	-93.580940
48.449707	-92.970146
48.786163	-92.177032
49.122620	-91.697098
49.459076	-93.751778
49.795532	-96.939651
50.131989	-92.971596
50.468445	-94.211967
50.804901	-95.750877
51.141357	-91.009102
51.477814	-92.328697
51.814270	-94.042473
52.150726	-92.721428
52.487183	-91.155457
52.823639	-92.497818
53.160095	-93.253647
53.496552	-94.794739
53.833008	-95.940414
54.169464	-91.520424
54.505920	-96.323669
54.842377	-94.193802
55.178833	-92.215431
55.515289	-95.795029
55.851746	-96.037979
56.188202	-94.418167
56.524658	-92.690140
56.861115	-91.769310
57.197571	-94.761559
57.534027	-96.146881
57.870483	-95.816055
58.206940	-96.100616
58.543396	-94.052002
58.879852	-96.538452
59.216309	-97.554031
59.552765	-89.081650
59.889221	-75.899300
60.225677	-78.758499
60.562134	-94.675407
60.898590	-93.496681
61.235046	-94.823120
61.571503	-98.101944
61.907959	-93.116310
62.244415	-95.577934
62.580872	-92.174667
62.917328	-95.483208
63.253784	-96.051033
63.590240	-97.889107
63.926697	-95.197304
64.263153	-93.290100
64.599609	-90.942360
64.936066	-95.101540
65.272522	-100.060081
65.608978	-95.444633
65.945435	-92.581131
66.281891	-97.370903
66.618347	-100.119659
66.954803	-95.960213
67.291260	-91.623535
67.627716	-94.035629
67.964172	-95.240570
68.300629	-97.691376
68.637085	-93.898399
68.973541	-92.529449
69.309998	-95.471542
69.646454	-99.442764
69.982910	-99.766006
70.319366	-95.106865
70.655823	-94.487785
70.992279	-97.132912
71.328735	-101.302010
71.665192	-97.715836
72.001648	-77.367432
72.338104	-72.434807
72.674561	-81.643784
73.011017	-98.886543
73.347473	-94.009071
73.683929	-97.200233
74.020386	-95.481148
74.356842	-97.423294
74.693298	-97.596687
75.029755	-95.319733
75.366211	-95.295090
75.702667	-94.189827
76.039124	-96.410027
76.375580	-96.070564
76.712036	-95.535812
77.048492	-91.950684
77.384949	-97.290817
77.721405	-98.872513
78.057861	-94.340614
78.394318	-93.905830
78.730774	-95.396049
79.067230	-98.152496
79.403687	-94.926674
79.740143	-96.554962
80.076599	-99.641258
80.413055	-95.478561
80.749512	-101.304253
81.085968	-97.982872
81.422424	-96.898743
81.758881	-94.736275
82.095337	-97.789017
82.431793	-97.972519
82.768250	-101.333694
83.104706	-98.382416
83.441162	-94.907257
83.777618	-94.352577
84.114075	-95.192337
84.450531	-96.995674
84.786987	-95.976845
85.123444	-98.618080
85.459900	-98.272926
85.796356	-98.995636
86.132812	-97.676453
86.469269	-96.357460
86.805725	-94.473648
87.142181	-94.796532
87.478638	-97.659622
87.815094	-96.520020
88.151550	-96.185005
88.488007	-100.408600
88.824463	-99.231598
89.160919	-98.872223
89.497375	-97.179520
89.833832	-101.758736
90.170288	-96.967155
90.506744	-97.828583
90.843201	-96.080757
91.179657	-98.303520
91.516113	-98.403732
91.852570	-97.848183
92.189026	-97.308838
92.525482	-100.923851
92.861938	-100.463982
93.198395	-100.569580
93.534851	-99.262733
93.871307	-98.122452
94.207764	-97.647888
94.544220	-98.000458
94.880676	-95.228172
95.217133	-100.912872
95.553589	-100.920250
95.890045	-95.378075
96.226501	-98.284142
96.562958	-102.838814
96.899414	-102.186073
97.235870	-95.766090
97.572327	-99.542328
97.908783	-103.252609
98.245239	-97.878944
98.581696	-97.082321
98.918152	-95.526871
99.254608	-96.926384
99.591064	-95.440224
99.927521	-99.143173
100.263977	-96.792068
100.600433	-97.144493
100.936890	-98.528839
101.273346	-100.724617
101.609802	-96.994064
101.946259	-95.759514
102.282715	-98.410133
102.619171	-97.850510
102.955627	-99.664398
103.292084	-104.845123
103.628540	-98.960907
103.964996	-103.502754
104.301453	-99.922554
104.637909	-100.595383
104.974365	-99.056534
105.310822	-99.871933
105.647278	-98.226189
105.983734	-98.349312
106.320190	-99.217590
106.656647	-102.533546
106.993103	-97.958405
107.329559	-98.294052
107.666016	-97.889252
108.002472	-99.783363
108.338928	-98.295929
108.675385	-96.701988
109.011841	-99.134445
109.348297	-95.771355
109.684753	-98.334259
110.021210	-95.043655
110.357666	-99.247581
110.694122	-101.465294
111.030579	-98.577499
111.367035	-103.571457
111.703491	-99.375198
112.039948	-100.040962
112.376404	-97.855721
112.712860	-101.865822
113.049316	-101.805321
113.385773	-99.682991
113.722229	-99.386902
114.058685	-99.279411
114.395142	-102.765411
114.731598	-101.292717
115.068054	-99.931770
115.404510	-103.481277
115.740967	-102.014977
116.077423	-98.593323
116.413879	-101.098328
116.750336	-98.028030
117.086792	-97.538269
117.423248	-97.450966
117.759705	-101.274887
118.096161	-97.564651
118.432617	-97.839119
118.769073	-98.367393
119.105530	-97.931107
119.441986	-95.118835
119.778442	-96.592789
120.114899	-96.531136
120.451355	-99.375641
120.787811	-101.930786
121.124268	-98.090408
121.460724	-98.751793
121.797180	-97.956047
122.133636	-102.491173
122.470093	-98.218491
122.806549	-97.341591
123.143005	-99.138649
