Frequency (Hz)	Level (dB)
0.336456	-72.294342
0.672913	-70.215141
1.009369	-70.409767
1.345825	-69.875702
1.682281	-69.415977
2.018738	-66.992378
2.355194	-65.297653
2.691650	-66.985428
3.028107	-68.435745
3.364563	-68.038872
3.701019	-66.465302
4.037476	-68.884300
4.373932	-74.065315
4.710388	-78.840584
5.046844	-75.157295
5.383301	-70.951317
5.719757	-71.971123
6.056213	-74.437401
6.392670	-75.444344
6.729126	-77.155678
7.065582	-80.529488
7.402039	-78.401604
7.738495	-78.751335
8.074951	-78.612610
8.411407	-79.051834
8.747864	-76.253494
9.084320	-77.295990
9.420776	-80.594475
9.757233	-78.961113
10.093689	-80.024986
10.430145	-79.013443
10.766602	-83.338943
11.103058	-84.237587
11.439514	-79.567116
11.775970	-80.649139
12.112427	-83.937508
12.448883	-84.953583
12.785339	-80.879234
13.121796	-82.168137
13.458252	-81.203392
13.794708	-82.750893
14.131165	-83.082359
14.467621	-83.547592
14.804077	-83.406769
15.140533	-83.147858
15.476990	-85.036415
15.813446	-84.873169
16.149902	-83.108383
16.486359	-85.343285
16.822815	-83.422981
17.159271	-83.669167
17.495728	-84.371613
17.832184	-84.173569
18.168640	-88.757156
18.505096	-85.679939
18.841553	-84.317505
19.178009	-85.153732
19.514465	-86.792305
19.850922	-86.760803
20.187378	-85.806038
20.523834	-87.172386
20.860291	-88.439888
21.196747	-88.848145
21.533203	-88.833786
21.869659	-86.495857
22.206116	-87.610207
22.542572	-84.695129
22.879028	-86.012154
23.215485	-90.743423
23.551941	-90.539276
23.888397	-89.136337
24.224854	-90.291801
24.561310	-87.597771
24.897766	-90.008530
25.234222	-92.029541
25.570679	-90.989525
25.907135	-89.511078
26.243591	-89.648125
26.580048	-90.164597
26.916504	-93.003838
27.252960	-89.401421
27.589417	-89.566750
27.925873	-90.423149
28.262329	-89.578545
28.598785	-89.729683
28.935242	-91.394379
29.271698	-92.052307
29.608154	-93.536659
29.944611	-91.660919
30.281067	-95.716698
30.617523	-92.557068
30.953979	-93.269493
31.290436	-90.741379
31.626892	-90.751846
31.963348	-90.175499
32.299805	-90.360596
32.636261	-94.143837
32.972717	-90.910309
33.309174	-91.760826
33.645630	-91.608086
33.982086	-92.291641
34.318542	-92.223000
34.654999	-91.381226
34.991455	-91.511612
35.327911	-96.224777
35.664368	-93.931763
36.000824	-90.763695
36.337280	-90.208656
36.673737	-88.530098
37.010193	-88.947792
37.346649	-94.052917
37.683105	-90.087898
38.019562	-91.651833
38.356018	-98.241287
38.692474	-94.788704
39.028931	-95.016022
39.365387	-91.351639
39.701843	-93.984543
40.038300	-98.647522
40.374756	-92.420395
40.711212	-91.592957
41.047668	-93.305779
41.384125	-93.449966
41.720581	-93.047157
42.057037	-91.328056
42.393494	-93.558586
42.729950	-93.770920
43.066406	-93.013687
43.402863	-93.354401
43.739319	-90.741463
44.075775	-93.305771
44.412231	-92.962776
44.748688	-96.683487
45.085144	-93.080269
45.421600	-96.650627
45.758057	-92.438011
46.094513	-92.675568
46.430969	-92.907043
46.767426	-92.035378
47.103882	-92.015442
47.440338	-92.514427
47.776794	-93.339577
48.113251	-91.177956
48.449707	-91.003845
48.786163	-93.377037
49.122620	-94.250854
49.459076	-94.820465
49.795532	-91.407593
50.131989	-93.611214
50.468445	-93.514877
50.804901	-91.217514
51.141357	-90.566742
51.477814	-92.268539
51.814270	-94.167526
52.150726	-93.517784
52.487183	-93.464760
52.823639	-95.843872
53.160095	-94.231903
53.496552	-93.482452
53.833008	-94.503654
54.169464	-93.494873
54.505920	-92.044853
54.842377	-92.075714
55.178833	-93.722588
55.515289	-91.884705
55.851746	-91.344330
56.188202	-93.691528
56.524658	-93.968117
56.861115	-95.873039
57.197571	-93.946182
57.534027	-90.553726
57.870483	-93.981911
58.206940	-95.011215
58.543396	-95.808342
58.879852	-93.533104
59.216309	-91.922348
59.552765	-89.214233
59.889221	-75.437874
60.225677	-77.631851
60.562134	-93.441292
60.898590	-94.408501
61.235046	-93.479523
61.571503	-95.029236
61.907959	-97.528671
62.244415	-95.300926
62.580872	-93.707558
62.917328	-93.349541
63.253784	-93.400620
63.590240	-94.263718
63.926697	-93.555229
64.263153	-95.928108
64.599609	-96.199959
64.936066	-97.082375
65.272522	-93.227661
65.608978	-96.204697
65.945435	-100.342529
66.281891	-96.446068
66.618347	-94.402840
66.954803	-93.381187
67.291260	-93.216080
67.627716	-95.285080
67.964172	-95.259941
68.300629	-94.571587
68.637085	-94.627701
68.973541	-95.440636
69.309998	-100.121475
69.646454	-95.633308
69.982910	-93.587631
70.319366	-95.851707
70.655823	-98.517326
70.992279	-95.229813
71.328735	-95.631279
71.665192	-92.845009
72.001648	-96.286568
72.338104	-92.184090
72.674561	-93.797142
73.011017	-93.172455
73.347473	-96.251175
73.683929	-99.269081
74.020386	-103.669365
74.356842	-94.219688
74.693298	-93.329498
75.029755	-95.618225
75.366211	-92.296158
75.702667	-93.484779
76.039124	-91.022308
76.375580	-98.099472
76.712036	-94.389725
77.048492	-95.938614
77.384949	-96.492508
77.721405	-97.242393
78.057861	-93.809296
78.394318	-93.484657
78.730774	-94.872673
79.067230	-97.262276
79.403687	-98.063217
79.740143	-99.585701
80.076599	-95.358543
80.413055	-92.467712
80.749512	-96.052658
81.085968	-96.453415
81.422424	-96.023056
81.758881	-94.377686
82.095337	-98.955254
82.431793	-97.347984
82.768250	-94.762718
83.104706	-94.965599
83.441162	-95.987389
83.777618	-99.382645
84.114075	-101.181229
84.450531	-93.760124
84.786987	-93.685760
85.123444	-95.150337
85.459900	-99.219261
85.796356	-93.599823
86.132812	-93.282539
86.469269	-97.600502
86.805725	-98.009430
87.142181	-91.087814
87.478638	-96.369110
87.815094	-96.735054
88.151550	-98.408737
88.488007	-98.135246
88.824463	-94.140427
89.160919	-94.890053
89.497375	-95.837753
89.833832	-94.188126
90.170288	-93.142822
90.506744	-99.591492
90.843201	-97.334846
91.179657	-96.681114
91.516113	-96.032509
91.852570	-95.113777
92.189026	-95.409538
92.525482	-93.229530
92.861938	-98.212074
93.198395	-96.055328
93.534851	-97.377129
93.871307	-99.038628
94.207764	-97.257568
94.544220	-97.078041
94.880676	-91.925552
95.217133	-92.339134
95.553589	-94.617126
95.890045	-96.275978
96.226501	-100.522232
96.562958	-95.320488
96.899414	-97.421143
97.235870	-99.553741
97.572327	-97.194557
97.908783	-94.270256
98.245239	-97.550583
98.581696	-94.311974
98.918152	-92.562302
99.254608	-96.035957
99.591064	-96.642288
99.927521	-98.059784
100.263977	-96.102776
100.600433	-96.578888
100.936890	-97.374641
101.273346	-95.038063
101.609802	-102.489525
101.946259	-95.431686
102.282715	-98.129662
102.619171	-99.148270
102.955627	-96.805275
103.292084	-97.984650
103.628540	-102.723015
103.964996	-93.116058
104.301453	-95.943909
104.637909	-98.250641
104.974365	-92.653412
105.310822	-97.281883
105.647278	-97.676498
105.983734	-97.934204
106.320190	-94.186005
106.656647	-97.489395
106.993103	-95.019623
107.329559	-94.844788
107.666016	-98.963684
108.002472	-97.777039
108.338928	-100.687126
108.675385	-98.757545
109.011841	-94.742271
109.348297	-96.375290
109.684753	-94.622910
110.021210	-94.325783
110.357666	-97.344833
110.694122	-100.930092
111.030579	-95.881775
111.367035	-94.259079
111.703491	-98.781067
112.039948	-97.672722
112.376404	-99.225868
112.712860	-96.211189
113.049316	-99.364029
113.385773	-97.635399
113.722229	-98.719627
114.058685	-95.003426
114.395142	-95.372772
114.731598	-101.499115
115.068054	-97.352142
115.404510	-97.704857
115.740967	-100.419907
116.077423	-96.445351
116.413879	-95.113716
116.750336	-99.399300
117.086792	-100.993690
117.423248	-94.819504
117.759705	-97.622787
118.096161	-96.281410
118.432617	-97.943344
118.769073	-99.271019
119.105530	-96.098167
119.441986	-96.230782
119.778442	-94.900909
120.114899	-93.692429
120.451355	-94.508011
120.787811	-94.210457
121.124268	-95.361832
121.460724	-94.240845
121.797180	-97.594543
122.133636	-95.916451
122.470093	-95.738785
122.806549	-96.843269
123.143005	-96.088753
123.479462	-98.573433
123.815918	-98.099937
124.152374	-94.397636
124.488831	-96.537651
124.825287	-94.662582
125.161743	-96.586006
125.498199	-96.222519
125.834656	-98.021515
126.171112	-98.423538
126.507568	-96.320869
126.844025	-100.682907
127.180481	-95.076317
127.516937	-97.958733
127.853394	-99.380470
128.189850	-97.149521
128.526306	-96.145287
128.862762	-95.320213
129.199219	-96.918678
129.535675	-97.683296
129.872131	-98.310028
130.208588	-103.369286
130.545044	-97.722534
130.881500	-97.625137
131.217957	-95.139191
131.554413	-99.228508
131.890869	-95.471222
132.227325	-95.590569
132.563782	-97.420128
132.900238	-86.265610
133.236694	-73.993706
133.573151	-76.959625
133.909607	-97.503677
134.246063	-95.621735
134.582520	-95.788345
134.918976	-95.842758
135.255432	-98.587860
135.591888	-96.987038
135.928345	-97.733841
136.264801	-95.644478
136.601257	-100.670952
136.937714	-97.359734
137.274170	-97.256622
137.610626	-98.283165
137.947083	-98.002098
138.283539	-96.235893
138.619995	-97.836098
138.956451	-98.954010
139.292908	-97.939842
139.629364	-97.770958
139.965820	-97.809036
140.302277	-95.301483
140.638733	-98.064217
140.975189	-96.317276
141.311646	-95.216354
141.648102	-95.406082
141.984558	-96.384064
142.321014	-96.427498
142.657471	-95.968216
142.993927	-95.429962
143.330383	-96.639717
143.666840	-97.768364
144.003296	-97.639618
144.339752	-95.280342
144.676208	-98.415451
145.012665	-100.288071
145.349121	-99.062424
145.685577	-98.145660
146.022034	-97.975258
146.358490	-95.755577
146.694946	-95.816727
147.031403	-98.046402
147.367859	-98.439438
147.704315	-96.883080
148.040771	-100.897987
148.377228	-95.279160
148.713684	-95.527069
149.050140	-101.923744
149.386597	-98.929802
149.723053	-97.409271
150.059509	-98.806656
150.395966	-94.946991
150.732422	-99.786407
151.068878	-104.881989
151.405334	-96.086327
151.741791	-95.619591
152.078247	-93.429680
152.414703	-97.424049
152.751160	-99.470444
153.087616	-95.576454
153.424072	-96.491409
153.760529	-95.832413
154.096985	-98.473297
154.433441	-98.101189
154.769897	-97.354706
155.106354	-104.229584
155.442810	-100.598633
155.779266	-99.887512
156.115723	-98.658112
156.452179	-98.598007
156.788635	-100.638184
157.125092	-99.449768
157.461548	-95.055466
157.798004	-98.461708
158.134460	-93.217224
158.470917	-96.242561
158.807373	-96.055687
159.143829	-95.200897
159.480286	-98.063705
159.816742	-93.586197
160.153198	-98.676201
160.489655	-99.316879
160.826111	-94.451210
161.162567	-93.987358
161.499023	-98.031059
161.835480	-94.964676
162.171936	-97.423050
162.508392	-97.156364
162.844849	-96.076881
163.181305	-96.674812
163.517761	-95.233246
163.854218	-95.085564
164.190674	-93.636513
164.527130	-96.538956
164.863586	-97.073044
165.200043	-98.572029
165.536499	-96.161041
165.872955	-98.132034
166.209412	-97.472343
166.545868	-96.292534
166.882324	-98.634735
167.218781	-96.399330
167.555237	-96.044502
167.891693	-94.728897
168.228149	-99.571671
168.564606	-95.836357
168.901062	-94.439247
169.237518	-98.307930
169.573975	-98.324753
169.910431	-98.440445
170.246887	-100.947464
170.583344	-98.886528
170.919800	-100.258652
171.256256	-95.762520
171.592712	-98.798668
171.929169	-98.330711
172.265625	-97.406288
172.602081	-97.017754
172.938538	-95.568146
173.274994	-99.942085
173.611450	-95.702446
173.947906	-100.983932
174.284363	-95.740425
174.620819	-98.444313
174.957275	-93.909737
175.293732	-99.453262
175.630188	-99.009445
175.966644	-98.920593
176.303101	-93.664719
176.639557	-94.630310
176.976013	-94.164749
177.312469	-95.506638
177.648926	-94.966019
177.985382	-98.316429
178.321838	-96.844460
178.658295	-97.732857
178.994751	-98.163597
179.331207	-98.085075
179.667664	-91.400787
180.004120	-85.308975
180.340576	-90.472878
180.677032	-95.468620
181.013489	-95.602562
181.349945	-99.111542
181.686401	-96.367668
182.022858	-97.664223
182.359314	-95.348633
182.695770	-99.553497
183.032227	-97.985985
183.368683	-96.156639
183.705139	-97.397331
184.041595	-95.299576
184.378052	-96.187553
184.714508	-93.721321
185.050964	-98.062096
185.387421	-98.076630
185.723877	-99.919731
186.060333	-97.250099
186.396790	-96.554428
186.733246	-97.277405
187.069702	-97.051834
187.406158	-98.094978
187.742615	-97.833588
188.079071	-94.447929
188.415527	-96.534187
188.751984	-94.682045
189.088440	-96.621971
189.424896	-97.745087
189.761353	-99.160362
190.097809	-97.209518
190.434265	-99.984016
190.770721	-94.344246
191.107178	-97.720985
191.443634	-96.078957
191.780090	-95.621841
192.116547	-96.167366
192.453003	-94.406738
192.789459	-96.566345
193.125916	-96.209686
193.462372	-97.880783
193.798828	-94.730453
194.135284	-97.111588
194.471741	-98.269943
194.808197	-102.142662
195.144653	-95.469521
195.481110	-96.689514
195.817566	-96.968216
196.154022	-96.408279
196.490479	-94.472931
196.826935	-96.795410
197.163391	-96.614059
197.499847	-97.657982
197.836304	-96.394447
198.172760	-99.490860
198.509216	-96.830894
198.845673	-95.230583
199.182129	-96.800270
199.518585	-95.211983
199.855042	-94.697823
200.191498	-98.385437
200.527954	-95.817635
200.864410	-96.965919
201.200867	-95.788841
201.537323	-99.158302
201.873779	-95.790245
202.210236	-98.702194
202.546692	-98.198311
202.883148	-95.695114
203.219604	-96.020233
203.556061	-100.823624
203.892517	-95.281960
204.228973	-96.550011
204.565430	-95.561989
204.901886	-95.703331
205.238342	-96.615440
205.574799	-96.412216
205.911255	-96.734207
206.247711	-95.981560
206.584167	-96.751587
206.920624	-97.786514
207.257080	-95.427063
207.593536	-93.857727
207.929993	-94.319763
208.266449	-98.505470
208.602905	-96.776772
208.939362	-95.258820
209.275818	-97.127106
209.612274	-95.345978
209.948730	-96.774353
210.285187	-96.097031
210.621643	-97.834892
210.958099	-92.973862
211.294556	-100.220688
211.631012	-96.272614
211.967468	-93.800957
212.303925	-94.942009
212.640381	-96.247688
212.976837	-97.305481
213.313293	-94.211128
213.649750	-95.549103
213.986206	-96.142509
214.322662	-96.605331
214.659119	-94.144257
214.995575	-94.312752
215.332031	-98.523720
215.668488	-91.767929
216.004944	-93.783478
216.341400	-93.945793
216.677856	-96.531181
217.014313	-94.634193
217.350769	-97.806282
217.687225	-93.394119
218.023682	-96.175514
218.360138	-95.148384
218.696594	-95.497803
219.033051	-93.690201
219.369507	-96.561424
219.705963	-94.669693
220.042419	-94.566895
220.378876	-93.563034
220.715332	-93.383972
221.051788	-94.781677
221.388245	-92.317871
221.724701	-94.314354
222.061157	-93.808655
222.397614	-93.017723
222.734070	-92.091812
223.070526	-93.878227
223.406982	-93.341492
223.743439	-94.475624
224.079895	-92.425552
224.416351	-93.680450
224.752808	-91.961182
225.089264	-95.524765
225.425720	-92.169617
225.762177	-92.223434
226.098633	-93.424355
226.435089	-92.312370
226.771545	-94.640434
227.108002	-90.197929
227.444458	-94.014992
227.780914	-91.167625
228.117371	-92.732971
228.453827	-92.868980
228.790283	-93.124268
229.126740	-92.337296
229.463196	-93.775818
229.799652	-91.250076
230.136108	-91.366768
230.472565	-91.459419
230.809021	-91.217728
231.145477	-92.481445
231.481934	-90.932007
231.818390	-93.171463
232.154846	-90.590149
232.491302	-92.453400
232.827759	-90.442787
233.164215	-90.656708
233.500671	-91.044701
233.837128	-92.555923
234.173584	-90.150642
234.510040	-90.176285
234.846497	-90.602493
235.182953	-89.786636
235.519409	-89.798836
235.855865	-88.995285
236.192322	-89.632568
236.528778	-90.662041
236.865234	-87.860924
237.201691	-89.412743
237.538147	-88.192383
237.874603	-88.573608
238.211060	-88.025330
238.547516	-87.414803
238.883972	-88.005058
239.220428	-87.154076
239.556885	-86.690025
239.893341	-89.558144
240.229797	-85.605011
240.566254	-86.614845
240.902710	-86.076126
241.239166	-85.945488
241.575623	-85.450638
241.912079	-85.026329
242.248535	-84.538254
242.584991	-84.951775
242.921448	-83.654976
243.257904	-84.195641
243.594360	-83.194633
243.930817	-82.395912
244.267273	-82.792183
244.603729	-81.630775
244.940186	-81.041374
245.276642	-81.413712
245.613098	-79.948357
245.949554	-79.527885
246.286011	-78.919853
246.622467	-78.096146
246.958923	-77.224167
247.295380	-76.974564
247.631836	-75.556229
247.968292	-74.556015
248.304749	-74.180260
248.641205	-73.599503
248.977661	-77.404060
249.314117	-66.497169
249.650574	-26.786098
249.987030	-18.184057
250.323486	-24.450422
250.659943	-62.281540
250.996399	-78.967796
251.332855	-73.932358
251.669312	-73.713226
252.005768	-74.771996
252.342224	-75.435364
252.678680	-76.262115
253.015137	-77.329865
253.351593	-77.822670
253.688049	-78.818642
254.024506	-79.251862
254.360962	-80.117142
254.697418	-80.301216
255.033875	-81.053673
255.370331	-82.220428
255.706787	-82.140816
256.043243	-82.399483
256.379700	-83.478638
256.716156	-83.314308
257.052612	-83.857361
257.389069	-84.741669
257.725525	-84.325523
258.061981	-84.821938
258.398438	-85.476875
258.734894	-85.557350
259.071350	-85.776550
259.407806	-86.703636
259.744263	-85.183655
260.080719	-88.213486
260.417175	-86.666901
260.753632	-86.949112
261.090088	-88.035751
261.426544	-87.051514
261.763000	-88.366051
262.099457	-87.776566
262.435913	-88.899521
262.772369	-87.667320
263.108826	-90.203064
263.445282	-87.745461
263.781738	-89.902573
264.118195	-90.202896
264.454651	-89.286308
264.791107	-89.463348
265.127563	-89.833763
265.464020	-90.678986
265.800476	-89.728088
266.136932	-91.005898
266.473389	-79.931831
266.809845	-78.683983
267.146301	-89.705696
267.482758	-92.511276
267.819214	-91.452614
268.155670	-89.477249
268.492126	-91.605492
268.828583	-92.305183
269.165039	-90.200462
269.501495	-92.496399
269.837952	-90.005478
270.174408	-93.441628
270.510864	-92.414330
270.847321	-90.390823
271.183777	-93.095909
271.520233	-91.470940
271.856689	-94.028084
272.193146	-89.925529
272.529602	-94.385475
272.866058	-95.000168
273.202515	-91.474762
273.538971	-93.067657
273.875427	-92.985352
274.211884	-94.786942
274.548340	-92.628838
274.884796	-94.200447
275.221252	-90.966125
275.557709	-94.778648
275.894165	-92.375763
276.230621	-93.278114
276.567078	-94.860336
276.903534	-93.897636
277.239990	-94.190506
277.576447	-91.972885
277.912903	-96.075020
278.249359	-94.334839
278.585815	-93.716919
278.922272	-93.345596
279.258728	-93.316414
279.595184	-96.158867
279.931641	-92.460327
280.268097	-97.386971
280.604553	-93.644539
280.941010	-95.449081
281.277466	-93.380051
281.613922	-94.625740
281.950378	-96.466179
282.286835	-93.819633
282.623291	-93.963051
282.959747	-91.152145
283.296204	-96.767982
283.632660	-94.171799
283.969116	-96.266876
284.305573	-93.427818
284.642029	-97.047630
284.978485	-94.684174
285.314941	-97.809341
285.651398	-94.404198
285.987854	-95.603828
286.324310	-94.000427
286.660767	-94.340279
286.997223	-95.221191
287.333679	-95.411751
287.670135	-96.695473
288.006592	-96.479439
288.343048	-94.322189
288.679504	-93.992867
289.015961	-98.245956
289.352417	-95.281303
289.688873	-92.941750
290.025330	-95.993507
290.361786	-95.131866
290.698242	-95.217682
291.034698	-96.220589
291.371155	-95.664375
291.707611	-94.301308
292.044067	-95.578583
292.380524	-94.983521
292.716980	-92.944870
293.053436	-96.838196
293.389893	-93.559021
293.726349	-98.634109
294.062805	-95.729790
294.399261	-97.521347
294.735718	-95.263649
295.072174	-98.210983
295.408630	-94.894531
295.745087	-98.918640
296.081543	-97.324409
296.417999	-96.846191
296.754456	-94.373329
297.090912	-96.210632
297.427368	-94.986145
297.763824	-95.851509
298.100281	-95.788971
298.436737	-95.874886
298.773193	-96.468895
299.109650	-98.619255
299.446106	-94.970116
299.782562	-91.977615
300.119019	-88.401100
300.455475	-93.972885
300.791931	-96.059494
301.128387	-97.371735
301.464844	-94.659340
301.801300	-99.666084
302.137756	-96.465385
302.474213	-95.474846
302.810669	-96.517128
303.147125	-96.605965
303.483582	-96.026604
303.820038	-97.034462
304.156494	-95.909546
304.492950	-96.239601
304.829407	-95.443985
305.165863	-97.422821
305.502319	-96.241951
305.838776	-94.544525
306.175232	-97.014961
306.511688	-99.473503
306.848145	-100.736656
307.184601	-94.676086
307.521057	-97.661446
307.857513	-97.280922
308.193970	-95.710777
308.530426	-97.181503
308.866882	-95.678429
309.203339	-100.452293
309.539795	-96.131401
309.876251	-96.932434
310.212708	-95.937515
310.549164	-95.227333
310.885620	-97.114548
311.222076	-96.878555
311.558533	-96.854996
311.894989	-97.805107
312.231445	-95.945816
312.567902	-98.205597
312.904358	-95.203232
