Frequency (Hz)	Level (dB)
0.336456	-75.031174
0.672913	-67.396271
1.009369	-66.623497
1.345825	-69.784218
1.682281	-69.255249
2.018738	-66.456627
2.355194	-68.232437
2.691650	-68.931389
3.028107	-71.395889
3.364563	-73.061813
3.701019	-67.878777
4.037476	-68.916618
4.373932	-72.793777
4.710388	-75.620712
5.046844	-73.583786
5.383301	-72.869019
5.719757	-74.368904
6.056213	-77.680023
6.392670	-75.133507
6.729126	-73.257584
7.065582	-76.557442
7.402039	-77.611435
7.738495	-75.565125
8.074951	-78.294739
8.411407	-79.052177
8.747864	-81.705086
9.084320	-80.228401
9.420776	-79.070671
9.757233	-76.256050
10.093689	-82.419731
10.430145	-86.008392
10.766602	-87.545273
11.103058	-84.525230
11.439514	-80.560272
11.775970	-81.633308
12.112427	-81.756981
12.448883	-83.326332
12.785339	-83.174370
13.121796	-83.707428
13.458252	-84.956680
13.794708	-90.753876
14.131165	-87.146370
14.467621	-87.797485
14.804077	-87.724167
15.140533	-84.178421
15.476990	-82.320862
15.813446	-86.730713
16.149902	-85.208984
16.486359	-82.832649
16.822815	-84.466850
17.159271	-85.088913
17.495728	-87.261917
17.832184	-83.234276
18.168640	-84.949837
18.505096	-86.379463
18.841553	-88.117661
19.178009	-93.231369
19.514465	-86.959167
19.850922	-88.848640
20.187378	-88.973373
20.523834	-86.147156
20.860291	-85.757942
21.196747	-88.116669
21.533203	-88.246445
21.869659	-89.496201
22.206116	-89.402168
22.542572	-89.122612
22.879028	-86.105591
23.215485	-86.538200
23.551941	-94.031250
23.888397	-87.665352
24.224854	-85.806519
24.561310	-91.630569
24.897766	-89.510277
25.234222	-90.784233
25.570679	-90.298805
25.907135	-91.254112
26.243591	-94.913208
26.580048	-89.502174
26.916504	-89.205017
27.252960	-89.765678
27.589417	-93.891037
27.925873	-90.362465
28.262329	-90.834900
28.598785	-91.029564
28.935242	-92.601372
29.271698	-90.994766
29.608154	-91.850426
29.944611	-93.780434
30.281067	-97.377457
30.617523	-93.216293
30.953979	-94.198746
31.290436	-89.875931
31.626892	-90.707077
31.963348	-90.791245
32.299805	-91.937218
32.636261	-88.723785
32.972717	-90.821777
33.309174	-90.521782
33.645630	-89.434570
33.982086	-90.527412
34.318542	-94.602722
34.654999	-91.833824
34.991455	-88.382057
35.327911	-92.059021
35.664368	-91.744644
36.000824	-89.129822
36.337280	-94.025810
36.673737	-94.485069
37.010193	-97.580605
37.346649	-95.639954
37.683105	-91.634514
38.019562	-88.643425
38.356018	-89.334213
38.692474	-91.671120
39.028931	-92.783607
39.365387	-92.716286
39.701843	-93.770218
40.038300	-91.923462
40.374756	-90.713524
40.711212	-91.813377
41.047668	-92.691383
41.384125	-92.808144
41.720581	-92.883751
42.057037	-91.687263
42.393494	-94.606514
42.729950	-95.705986
43.066406	-96.735657
43.402863	-92.982071
43.739319	-94.452690
44.075775	-92.794296
44.412231	-97.807068
44.748688	-89.401016
45.085144	-89.693909
45.421600	-94.302048
45.758057	-92.483902
46.094513	-92.453911
46.430969	-92.688766
46.767426	-93.029816
47.103882	-91.703865
47.440338	-73.062294
47.776794	-72.358475
48.113251	-84.989349
48.449707	-93.122803
48.786163	-92.272957
49.122620	-93.485367
49.459076	-96.643738
49.795532	-97.039261
50.131989	-99.657043
50.468445	-97.832527
50.804901	-96.354248
51.141357	-90.764503
51.477814	-91.636375
51.814270	-92.703140
52.150726	-97.499054
52.487183	-97.181114
52.823639	-93.678673
53.160095	-95.643539
53.496552	-94.212952
53.833008	-95.997322
54.169464	-92.878006
54.505920	-95.256111
54.842377	-95.734833
55.178833	-95.491676
55.515289	-95.072350
55.851746	-97.006302
56.188202	-95.782310
56.524658	-93.268364
56.861115	-97.376915
57.197571	-93.855980
57.534027	-92.352554
57.870483	-94.644432
58.206940	-97.099365
58.543396	-101.328941
58.879852	-96.092896
59.216309	-96.528656
59.552765	-87.796516
59.889221	-75.826698
60.225677	-78.841995
60.562134	-93.277252
60.898590	-94.146858
61.235046	-95.165649
61.571503	-97.830696
61.907959	-95.025589
62.244415	-94.423149
62.580872	-95.243332
62.917328	-95.882324
63.253784	-93.713531
63.590240	-94.222107
63.926697	-96.724693
64.263153	-96.193787
64.599609	-95.105354
64.936066	-97.872154
65.272522	-95.405991
65.608978	-95.190521
65.945435	-93.319847
66.281891	-94.274612
66.618347	-94.501129
66.954803	-97.461990
67.291260	-97.798927
67.627716	-95.943291
67.964172	-96.488068
68.300629	-95.413490
68.637085	-96.108070
68.973541	-96.092041
69.309998	-98.218613
69.646454	-94.239334
69.982910	-94.253906
70.319366	-97.465637
70.655823	-95.870209
70.992279	-94.436058
71.328735	-93.778732
71.665192	-93.783302
72.001648	-94.587601
72.338104	-94.640297
72.674561	-102.558777
73.011017	-96.032753
73.347473	-95.906303
73.683929	-94.096725
74.020386	-96.462242
74.356842	-93.280029
74.693298	-95.194122
75.029755	-94.043015
75.366211	-95.618095
75.702667	-96.386925
76.039124	-92.711311
76.375580	-96.756645
76.712036	-93.089943
77.048492	-93.499313
77.384949	-97.180077
77.721405	-96.949341
78.057861	-97.013733
78.394318	-95.339035
78.730774	-92.765411
79.067230	-94.232086
79.403687	-96.366852
79.740143	-93.563187
80.076599	-93.568474
80.413055	-94.505981
80.749512	-97.953720
81.085968	-97.758202
81.422424	-97.475647
81.758881	-95.667618
82.095337	-92.293015
82.431793	-95.643936
82.768250	-93.513260
83.104706	-97.434166
83.441162	-98.650322
83.777618	-95.459320
84.114075	-96.029137
84.450531	-96.816940
84.786987	-96.040787
85.123444	-96.163002
85.459900	-93.625175
85.796356	-91.774414
86.132812	-94.898499
86.469269	-93.010178
86.805725	-93.421249
87.142181	-94.840256
87.478638	-94.804504
87.815094	-93.048492
88.151550	-93.933792
88.488007	-97.481964
88.824463	-97.483391
89.160919	-94.743340
89.497375	-94.819954
89.833832	-93.178741
90.170288	-97.834930
90.506744	-98.692360
90.843201	-97.470039
91.179657	-101.820473
91.516113	-97.973274
91.852570	-99.598457
92.189026	-99.860779
92.525482	-97.117577
92.861938	-96.263771
93.198395	-94.220459
93.534851	-97.191544
93.871307	-96.128151
94.207764	-95.153244
94.544220	-95.201195
94.880676	-85.047783
95.217133	-77.801338
95.553589	-83.490791
95.890045	-95.980461
96.226501	-95.522263
96.562958	-98.726868
96.899414	-96.831375
97.235870	-93.014206
97.572327	-94.420410
97.908783	-96.487885
98.245239	-95.314941
98.581696	-97.672089
98.918152	-95.509438
99.254608	-97.010529
99.591064	-95.548981
99.927521	-97.147797
100.263977	-94.736191
100.600433	-93.811119
100.936890	-96.200569
101.273346	-98.503822
101.609802	-96.857025
101.946259	-96.245491
102.282715	-98.512352
102.619171	-99.160202
102.955627	-95.766327
103.292084	-96.979675
103.628540	-102.799240
103.964996	-94.926666
104.301453	-95.579857
104.637909	-96.480469
104.974365	-98.056435
105.310822	-97.099350
105.647278	-100.023125
105.983734	-99.616623
106.320190	-99.389282
106.656647	-96.172073
106.993103	-96.903442
107.329559	-95.027061
107.666016	-96.495689
108.002472	-97.817635
108.338928	-96.932922
108.675385	-96.959984
109.011841	-94.448563
109.348297	-95.132706
109.684753	-100.122131
110.021210	-98.047340
110.357666	-97.168037
110.694122	-91.764946
111.030579	-96.630882
111.367035	-94.234680
111.703491	-97.249947
112.039948	-97.261940
112.376404	-101.252335
112.712860	-96.233475
113.049316	-98.246170
113.385773	-93.167397
113.722229	-98.220253
114.058685	-97.268112
114.395142	-97.718933
114.731598	-99.330505
115.068054	-95.887413
115.404510	-95.073708
115.740967	-95.185493
116.077423	-96.322296
116.413879	-101.352875
116.750336	-96.864388
117.086792	-97.380775
117.423248	-97.192474
117.759705	-95.655128
118.096161	-95.104485
118.432617	-94.998055
118.769073	-94.844856
119.105530	-99.043594
119.441986	-97.555893
119.778442	-95.106514
120.114899	-93.377251
120.451355	-98.572510
120.787811	-94.503532
121.124268	-94.720406
121.460724	-96.996292
121.797180	-99.755936
122.133636	-97.185318
122.470093	-94.735268
122.806549	-100.857094
123.143005	-97.610878
123.479462	-97.054283
123.815918	-91.997780
124.152374	-96.007942
124.488831	-99.250298
124.825287	-93.874115
125.161743	-92.164200
125.498199	-93.059608
125.834656	-94.667145
126.171112	-99.571312
126.507568	-97.654182
126.844025	-100.575851
127.180481	-96.779625
127.516937	-94.312210
127.853394	-98.203880
128.189850	-100.148148
128.526306	-96.695404
128.862762	-98.081978
129.199219	-95.862068
129.535675	-96.068230
129.872131	-98.679520
130.208588	-102.251823
130.545044	-97.184334
130.881500	-98.399124
131.217957	-98.941704
131.554413	-93.391891
131.890869	-95.900642
132.227325	-93.635216
132.563782	-96.214081
132.900238	-95.344170
133.236694	-96.145676
133.573151	-95.207703
133.909607	-97.724304
134.246063	-98.242050
134.582520	-98.516258
134.918976	-98.602837
135.255432	-97.422287
135.591888	-98.602226
135.928345	-96.811485
136.264801	-95.002815
136.601257	-95.312523
136.937714	-98.626862
137.274170	-98.582077
137.610626	-94.154579
137.947083	-99.585396
138.283539	-96.780472
138.619995	-98.206787
138.956451	-96.445824
139.292908	-95.754013
139.629364	-95.572495
139.965820	-96.194054
140.302277	-96.720940
140.638733	-97.742569
140.975189	-96.770447
141.311646	-98.169876
141.648102	-97.816650
141.984558	-97.836494
142.321014	-102.322403
142.657471	-89.637032
142.993927	-89.052635
143.330383	-94.705154
143.666840	-97.122459
144.003296	-97.549942
144.339752	-97.281700
144.676208	-97.467468
145.012665	-96.987793
145.349121	-95.642265
145.685577	-96.496666
146.022034	-95.077690
146.358490	-97.914917
146.694946	-98.651245
147.031403	-98.850975
147.367859	-100.125221
147.704315	-95.590088
148.040771	-97.703545
148.377228	-94.806091
148.713684	-95.517403
149.050140	-97.186249
149.386597	-97.916008
149.723053	-98.439201
150.059509	-93.728951
150.395966	-95.102043
150.732422	-94.894615
151.068878	-98.300003
151.405334	-94.849785
151.741791	-97.393661
152.078247	-95.546646
152.414703	-95.708939
152.751160	-97.792320
153.087616	-96.439980
153.424072	-96.165047
153.760529	-97.320099
154.096985	-98.239708
154.433441	-99.258644
154.769897	-99.632652
155.106354	-99.443542
155.442810	-97.122948
155.779266	-97.628830
156.115723	-95.964638
156.452179	-98.885139
156.788635	-94.697510
157.125092	-98.321106
