Frequency (Hz)	Level (dB)
0.336456	-107.428299
0.672913	-107.428162
1.009369	-107.428185
1.345825	-107.428131
1.682281	-107.428062
2.018738	-107.428009
2.355194	-107.427864
2.691650	-107.427635
3.028107	-107.427605
3.364563	-107.427452
3.701019	-107.427223
4.037476	-107.427162
4.373932	-107.426888
4.710388	-107.426735
5.046844	-107.426323
5.383301	-107.426247
5.719757	-107.425903
6.056213	-107.425507
6.392670	-107.425430
6.729126	-107.425034
7.065582	-107.424660
7.402039	-107.424416
7.738495	-107.423958
8.074951	-107.423531
8.411407	-107.423134
8.747864	-107.422935
9.084320	-107.422409
9.420776	-107.421951
9.757233	-107.421379
10.093689	-107.420937
10.430145	-107.420700
10.766602	-107.419991
11.103058	-107.419479
11.439514	-107.418961
11.775970	-107.418274
12.112427	-107.417732
12.448883	-107.417252
12.785339	-107.416649
13.121796	-107.416061
13.458252	-107.415421
13.794708	-107.414795
14.131165	-107.414154
14.467621	-107.413383
14.804077	-107.412704
15.140533	-107.412086
15.476990	-107.411270
15.813446	-107.410522
16.149902	-107.409767
16.486359	-107.409103
16.822815	-107.407753
17.159271	-107.407486
17.495728	-107.406609
17.832184	-107.405632
18.168640	-107.404770
18.505096	-107.403984
18.841553	-107.403091
19.178009	-107.401985
19.514465	-107.401131
19.850922	-107.400185
20.187378	-107.399200
20.523834	-107.398308
20.860291	-107.397247
21.196747	-107.396278
21.533203	-107.395317
21.869659	-107.394257
22.206116	-107.393127
22.542572	-107.392090
22.879028	-107.391045
23.215485	-107.389839
23.551941	-107.388779
23.888397	-107.387375
24.224854	-107.386383
24.561310	-107.385406
24.897766	-107.383957
25.234222	-107.382782
25.570679	-107.381607
25.907135	-107.380348
26.243591	-107.379242
26.580048	-107.377800
26.916504	-107.376480
27.252960	-107.375206
27.589417	-107.373863
27.925873	-107.372444
28.262329	-107.371078
28.598785	-107.369789
28.935242	-107.368240
29.271698	-107.366829
29.608154	-107.365494
29.944611	-107.364075
30.281067	-107.362602
30.617523	-107.361107
30.953979	-107.359596
31.290436	-107.357956
31.626892	-107.356567
31.963348	-107.354881
32.299805	-107.353340
32.636261	-107.351822
32.972717	-107.350159
33.309174	-107.348625
33.645630	-107.346451
33.982086	-107.345375
34.318542	-107.343658
34.654999	-107.342110
34.991455	-107.340256
35.327911	-107.338501
35.664368	-107.336754
36.000824	-107.334854
36.337280	-107.333153
36.673737	-107.331398
37.010193	-107.329521
37.346649	-107.327568
37.683105	-107.326080
38.019562	-107.323738
38.356018	-107.321968
38.692474	-107.320190
39.028931	-107.318199
39.365387	-107.316269
39.701843	-107.314362
40.038300	-107.312279
40.374756	-107.310387
40.711212	-107.308334
41.047668	-107.306236
41.384125	-107.304268
41.720581	-107.302155
42.057037	-107.300087
42.393494	-107.297890
42.729950	-107.295845
43.066406	-107.293671
43.402863	-107.291519
43.739319	-107.289253
44.075775	-107.287125
44.412231	-107.284943
44.748688	-107.282593
45.085144	-107.280388
45.421600	-107.278008
45.758057	-107.275772
46.094513	-107.273567
46.430969	-107.271240
46.767426	-107.268761
47.103882	-107.266411
47.440338	-107.264061
47.776794	-107.261551
48.113251	-107.259140
48.449707	-107.256844
48.786163	-107.254158
49.122620	-107.251869
49.459076	-107.249191
49.795532	-107.246986
50.131989	-107.243919
50.468445	-107.241577
50.804901	-107.239067
51.141357	-107.236526
51.477814	-107.233665
51.814270	-107.231270
52.150726	-107.228447
52.487183	-107.225616
52.823639	-107.223160
53.160095	-107.220299
53.496552	-107.217407
53.833008	-107.214813
54.169464	-107.211975
54.505920	-107.209297
54.842377	-107.206406
55.178833	-107.203529
55.515289	-107.200676
55.851746	-107.197784
56.188202	-107.195107
56.524658	-107.191963
56.861115	-107.189003
57.197571	-107.186043
57.534027	-107.183128
57.870483	-107.180023
58.206940	-107.177094
58.543396	-107.173927
58.879852	-107.170860
59.216309	-107.167870
59.552765	-107.164589
59.889221	-107.161606
60.225677	-107.158340
60.562134	-107.155182
60.898590	-107.151917
61.235046	-107.148766
61.571503	-107.145439
61.907959	-107.142357
62.244415	-107.138954
62.580872	-107.135628
62.917328	-107.132324
63.253784	-107.128952
63.590240	-107.125587
63.926697	-107.122101
64.263153	-107.118919
64.599609	-107.115295
64.936066	-107.111855
65.272522	-107.108353
65.608978	-107.104729
65.945435	-107.101364
66.281891	-107.097725
66.618347	-107.094002
66.954803	-107.091019
67.291260	-107.087112
67.627716	-107.083122
