Frequency (Hz)	Level (dB)
0.336456	-73.537582
0.672913	-66.064354
1.009369	-64.039619
1.345825	-67.509361
1.682281	-65.812195
2.018738	-66.359787
2.355194	-62.695618
2.691650	-63.097515
3.028107	-66.068321
3.364563	-68.239670
3.701019	-69.276848
4.037476	-71.997093
4.373932	-73.500938
4.710388	-76.277664
5.046844	-72.821953
5.383301	-73.074333
5.719757	-71.259636
6.056213	-74.669235
6.392670	-73.523247
6.729126	-74.886894
7.065582	-78.735451
7.402039	-77.653656
7.738495	-76.142540
8.074951	-78.636436
8.411407	-73.714294
8.747864	-74.938652
9.084320	-79.844414
9.420776	-80.156395
9.757233	-82.225769
10.093689	-80.934471
10.430145	-79.138359
10.766602	-77.902596
11.103058	-80.122223
11.439514	-78.147018
11.775970	-78.969391
12.112427	-79.739616
12.448883	-76.230721
12.785339	-78.993889
13.121796	-84.429749
13.458252	-83.965324
13.794708	-83.797089
14.131165	-85.435463
14.467621	-85.342667
14.804077	-82.952141
15.140533	-82.340988
15.476990	-79.814148
15.813446	-79.328995
16.149902	-82.302872
16.486359	-88.079422
16.822815	-85.772270
17.159271	-86.718468
17.495728	-85.439713
17.832184	-83.217087
18.168640	-86.310410
18.505096	-90.433304
18.841553	-85.536072
19.178009	-88.696320
19.514465	-87.490929
19.850922	-85.003716
20.187378	-84.347771
20.523834	-85.827682
20.860291	-86.952034
21.196747	-88.391670
21.533203	-86.509148
21.869659	-85.561569
22.206116	-87.065819
22.542572	-89.143669
22.879028	-87.326935
23.215485	-89.523560
23.551941	-86.657417
23.888397	-85.545433
24.224854	-86.847252
24.561310	-91.189842
24.897766	-92.830803
25.234222	-89.859177
25.570679	-88.113091
25.907135	-87.843979
26.243591	-87.106659
26.580048	-91.152367
26.916504	-87.254341
27.252960	-90.146317
27.589417	-92.297447
27.925873	-88.732735
28.262329	-90.238884
28.598785	-88.631912
28.935242	-88.773682
29.271698	-89.778656
29.608154	-89.987846
29.944611	-90.552162
30.281067	-90.430412
30.617523	-89.390724
30.953979	-88.059471
31.290436	-88.426323
31.626892	-87.721214
31.963348	-90.994934
32.299805	-92.886086
32.636261	-91.076675
32.972717	-89.223015
33.309174	-89.828743
33.645630	-91.049591
33.982086	-88.969841
34.318542	-87.396820
34.654999	-90.061806
34.991455	-91.644821
35.327911	-95.263084
35.664368	-93.048531
36.000824	-92.931419
36.337280	-92.987167
36.673737	-92.269203
37.010193	-89.463585
37.346649	-90.806023
37.683105	-90.724358
38.019562	-95.174042
38.356018	-90.629730
38.692474	-88.265282
39.028931	-90.857155
39.365387	-91.744202
39.701843	-93.009583
40.038300	-90.211334
40.374756	-89.408943
40.711212	-86.561989
41.047668	-91.709816
41.384125	-92.513069
41.720581	-91.440331
42.057037	-90.562424
42.393494	-90.880241
42.729950	-90.636505
43.066406	-90.580902
43.402863	-91.239861
43.739319	-89.434471
44.075775	-90.802567
44.412231	-92.864853
44.748688	-95.573624
45.085144	-95.915901
45.421600	-91.001312
45.758057	-91.515900
46.094513	-97.116669
46.430969	-87.676300
46.767426	-74.300774
47.103882	-76.866760
47.440338	-92.208244
47.776794	-89.215294
48.113251	-88.656067
48.449707	-94.225739
48.786163	-93.806793
49.122620	-93.215096
49.459076	-93.732613
49.795532	-90.789040
50.131989	-92.791824
50.468445	-92.507202
50.804901	-91.802467
51.141357	-92.379311
51.477814	-92.930855
51.814270	-95.223946
52.150726	-91.271072
52.487183	-91.523537
52.823639	-87.783737
53.160095	-82.733368
53.496552	-88.364479
53.833008	-92.000343
54.169464	-94.818123
54.505920	-98.225685
54.842377	-94.301674
55.178833	-102.423454
55.515289	-94.451157
55.851746	-92.888138
56.188202	-92.743912
56.524658	-94.019402
56.861115	-91.671272
57.197571	-93.460960
57.534027	-97.139290
57.870483	-94.671379
58.206940	-94.539055
58.543396	-95.574844
58.879852	-95.969398
59.216309	-92.039040
59.552765	-89.292870
59.889221	-85.787094
60.225677	-88.491295
60.562134	-97.557625
60.898590	-98.413445
61.235046	-96.749886
61.571503	-100.706474
61.907959	-93.074112
62.244415	-96.311203
62.580872	-93.686859
62.917328	-91.770439
63.253784	-91.751656
63.590240	-96.964958
63.926697	-96.804062
64.263153	-95.401085
64.599609	-91.962929
64.936066	-92.636963
65.272522	-92.641739
65.608978	-91.241905
65.945435	-95.193588
66.281891	-95.161812
66.618347	-92.418327
66.954803	-92.154259
67.291260	-92.974380
67.627716	-94.632652
67.964172	-93.881615
68.300629	-94.214813
68.637085	-96.305443
68.973541	-93.693199
69.309998	-95.781960
69.646454	-93.936050
69.982910	-97.550339
70.319366	-92.718643
