Frequency (Hz)	Level (dB)
0.336456	-70.432938
0.672913	-66.829880
1.009369	-64.107887
1.345825	-64.048325
1.682281	-69.236954
2.018738	-71.891106
2.355194	-68.960175
2.691650	-67.024902
3.028107	-67.010460
3.364563	-65.534477
3.701019	-68.293198
4.037476	-71.043770
4.373932	-73.112503
4.710388	-75.781555
5.046844	-71.465851
5.383301	-73.230530
5.719757	-70.717026
6.056213	-72.606911
6.392670	-73.612801
6.729126	-75.156219
7.065582	-77.150391
7.402039	-78.407707
7.738495	-79.548889
8.074951	-77.204369
8.411407	-77.790733
8.747864	-76.553452
9.084320	-77.606850
9.420776	-79.205894
9.757233	-76.736969
10.093689	-77.900841
10.430145	-81.035835
10.766602	-80.699554
11.103058	-81.905327
11.439514	-79.739349
11.775970	-83.094788
12.112427	-81.361740
12.448883	-81.899284
12.785339	-80.734253
13.121796	-83.659904
13.458252	-85.500000
13.794708	-83.654587
14.131165	-82.402023
14.467621	-81.164429
14.804077	-81.777405
15.140533	-83.317848
15.476990	-84.034363
15.813446	-85.806831
16.149902	-85.164101
16.486359	-87.482025
16.822815	-89.859558
17.159271	-88.915878
17.495728	-83.130432
17.832184	-84.192329
18.168640	-87.794975
18.505096	-89.736801
18.841553	-88.814514
19.178009	-87.377396
19.514465	-87.922745
19.850922	-91.743004
20.187378	-91.731781
20.523834	-88.729675
20.860291	-88.869141
21.196747	-89.159325
21.533203	-94.474030
21.869659	-90.035324
22.206116	-87.536392
22.542572	-87.375885
22.879028	-90.736946
23.215485	-87.925308
23.551941	-88.094757
23.888397	-87.069504
24.224854	-93.339058
24.561310	-89.504074
24.897766	-89.450981
25.234222	-88.338127
25.570679	-89.855705
25.907135	-91.770149
26.243591	-89.645477
26.580048	-90.159248
26.916504	-93.376434
27.252960	-90.488701
27.589417	-91.143883
27.925873	-93.199898
28.262329	-92.424629
28.598785	-92.991028
28.935242	-91.711548
29.271698	-92.083282
29.608154	-90.101959
29.944611	-91.034416
30.281067	-88.395279
30.617523	-88.987274
30.953979	-93.105507
31.290436	-91.418312
31.626892	-91.862297
31.963348	-92.035439
32.299805	-88.288826
32.636261	-88.209152
32.972717	-92.597420
33.309174	-90.155731
33.645630	-90.578957
33.982086	-93.130676
34.318542	-91.716576
34.654999	-93.845383
34.991455	-92.164291
35.327911	-92.837975
35.664368	-92.514801
36.000824	-93.645119
36.337280	-91.520386
36.673737	-94.247520
37.010193	-91.724838
37.346649	-91.083603
37.683105	-91.363197
38.019562	-91.517128
38.356018	-91.079773
38.692474	-92.541992
39.028931	-92.639999
39.365387	-92.636635
39.701843	-92.238602
40.038300	-95.778328
40.374756	-96.368141
40.711212	-96.760063
41.047668	-95.298866
41.384125	-93.585320
41.720581	-92.437492
42.057037	-93.021660
42.393494	-96.022095
42.729950	-97.740799
43.066406	-93.993996
43.402863	-94.943413
43.739319	-93.942253
44.075775	-93.781807
44.412231	-94.137909
44.748688	-96.720650
45.085144	-92.989372
45.421600	-95.393440
45.758057	-90.653557
46.094513	-94.784058
46.430969	-94.278160
46.767426	-92.796646
47.103882	-93.452721
47.440338	-94.683525
47.776794	-93.278381
48.113251	-94.923546
48.449707	-93.972359
48.786163	-92.165642
49.122620	-93.701126
49.459076	-94.171249
49.795532	-91.658539
50.131989	-93.998367
50.468445	-93.279236
50.804901	-94.542755
51.141357	-97.542610
51.477814	-97.754829
51.814270	-98.447891
52.150726	-97.406860
52.487183	-97.649788
52.823639	-92.609955
53.160095	-95.800758
53.496552	-94.495781
53.833008	-91.943748
54.169464	-94.290977
54.505920	-96.293442
54.842377	-99.283386
55.178833	-94.978157
55.515289	-94.708443
55.851746	-94.596703
56.188202	-97.123093
56.524658	-95.826401
56.861115	-97.702637
57.197571	-97.275574
57.534027	-94.773666
57.870483	-94.662201
58.206940	-93.785400
58.543396	-94.413277
58.879852	-95.992439
59.216309	-97.480141
59.552765	-87.513527
59.889221	-75.886757
60.225677	-78.510887
60.562134	-94.603912
60.898590	-96.919548
61.235046	-96.011063
61.571503	-96.671638
61.907959	-98.653870
62.244415	-98.108864
62.580872	-96.826591
62.917328	-97.385597
63.253784	-96.832703
63.590240	-92.105438
63.926697	-92.969185
64.263153	-96.734306
64.599609	-97.680336
64.936066	-97.076889
65.272522	-94.804649
65.608978	-95.199379
65.945435	-96.303574
66.281891	-95.901276
66.618347	-98.230606
66.954803	-97.676735
67.291260	-96.780502
67.627716	-93.846954
67.964172	-94.233177
68.300629	-98.876823
68.637085	-101.279030
68.973541	-97.552002
69.309998	-96.675163
69.646454	-98.314804
69.982910	-95.518738
70.319366	-94.029213
70.655823	-95.117683
70.992279	-92.110474
71.328735	-96.785095
71.665192	-100.532570
72.001648	-103.719566
72.338104	-98.044342
72.674561	-96.022514
73.011017	-97.944176
73.347473	-99.688431
73.683929	-98.619804
74.020386	-100.382370
74.356842	-100.668556
74.693298	-98.054520
75.029755	-94.248222
75.366211	-92.395218
75.702667	-94.655670
76.039124	-100.838646
76.375580	-100.814560
76.712036	-98.486763
77.048492	-98.116585
77.384949	-95.539536
77.721405	-94.258553
78.057861	-94.695595
78.394318	-98.964134
78.730774	-96.867722
79.067230	-94.873734
79.403687	-93.985184
79.740143	-99.819267
80.076599	-101.607643
80.413055	-102.004021
80.749512	-98.468582
81.085968	-97.165184
81.422424	-96.006157
81.758881	-97.206993
82.095337	-98.031357
82.431793	-96.535843
82.768250	-96.746971
83.104706	-96.139008
83.441162	-97.629974
83.777618	-97.581070
84.114075	-97.278511
84.450531	-98.158241
84.786987	-97.671753
85.123444	-96.975937
85.459900	-96.739799
85.796356	-96.434364
86.132812	-97.566460
86.469269	-97.852699
86.805725	-97.655678
87.142181	-99.698997
87.478638	-97.231560
87.815094	-95.826370
88.151550	-96.192024
88.488007	-97.030052
88.824463	-96.027428
89.160919	-96.552101
89.497375	-95.621880
89.833832	-97.583069
90.170288	-97.214287
90.506744	-95.181068
90.843201	-95.693863
91.179657	-101.879807
91.516113	-97.885124
91.852570	-99.087021
92.189026	-97.564323
92.525482	-97.454193
92.861938	-97.070091
93.198395	-97.007416
93.534851	-98.682114
93.871307	-104.157021
94.207764	-100.883995
94.544220	-97.956604
94.880676	-97.702873
95.217133	-96.216721
95.553589	-100.513023
95.890045	-102.596764
96.226501	-96.210243
96.562958	-96.385757
96.899414	-99.025826
97.235870	-100.297791
97.572327	-99.634895
97.908783	-101.095222
98.245239	-98.904930
98.581696	-98.228271
98.918152	-96.993248
99.254608	-100.899025
99.591064	-104.288055
99.927521	-93.783485
100.263977	-95.788933
100.600433	-97.568977
100.936890	-99.339302
101.273346	-100.269211
101.609802	-100.366081
101.946259	-97.457771
102.282715	-98.339142
102.619171	-96.787483
102.955627	-97.565399
103.292084	-96.960373
103.628540	-95.388405
103.964996	-96.960014
104.301453	-97.533325
104.637909	-97.812309
104.974365	-99.462234
105.310822	-97.434143
105.647278	-97.337997
105.983734	-99.431923
106.320190	-102.590500
106.656647	-96.770561
106.993103	-95.761795
107.329559	-95.918343
107.666016	-96.774002
108.002472	-97.628181
108.338928	-104.050133
108.675385	-100.904961
109.011841	-100.051918
109.348297	-98.477303
109.684753	-100.388863
110.021210	-98.805244
110.357666	-100.142815
110.694122	-94.206833
111.030579	-96.448708
111.367035	-95.960548
111.703491	-95.672447
112.039948	-95.818268
112.376404	-96.971046
112.712860	-95.649429
113.049316	-95.400368
113.385773	-98.577667
113.722229	-97.084641
114.058685	-94.859062
114.395142	-95.386589
114.731598	-100.580292
115.068054	-101.526756
115.404510	-97.060188
115.740967	-96.861931
116.077423	-99.964127
116.413879	-101.094215
116.750336	-98.404060
117.086792	-98.824783
117.423248	-98.014183
117.759705	-102.107613
118.096161	-102.365425
118.432617	-98.681686
118.769073	-101.730408
119.105530	-100.400200
119.441986	-96.470772
119.778442	-94.013733
120.114899	-93.262627
120.451355	-94.240082
120.787811	-97.174889
121.124268	-98.284973
121.460724	-100.164711
121.797180	-97.753487
122.133636	-99.863106
122.470093	-98.805260
122.806549	-100.794952
123.143005	-98.136604
123.479462	-100.763313
123.815918	-99.246925
124.152374	-98.720688
124.488831	-92.365967
124.825287	-74.444206
125.161743	-74.170387
125.498199	-89.877983
125.834656	-99.902695
126.171112	-98.200150
126.507568	-98.864616
126.844025	-97.220543
127.180481	-98.153503
127.516937	-98.203987
127.853394	-99.644714
128.189850	-99.757698
128.526306	-101.966240
128.862762	-99.248497
129.199219	-97.379173
129.535675	-98.175056
129.872131	-99.776711
130.208588	-97.758438
130.545044	-95.666832
130.881500	-94.368851
131.217957	-96.927017
131.554413	-97.166672
131.890869	-98.070816
132.227325	-98.561935
132.563782	-96.969955
132.900238	-98.065598
133.236694	-100.714172
133.573151	-99.349167
133.909607	-101.610420
134.246063	-97.400536
134.582520	-95.739235
