Frequency (Hz)	Level (dB)
0.336456	-72.124619
0.672913	-71.336823
1.009369	-68.617096
1.345825	-66.258018
1.682281	-66.521324
2.018738	-66.542068
2.355194	-67.884621
2.691650	-69.905487
3.028107	-71.793396
3.364563	-69.083763
3.701019	-70.532982
4.037476	-71.743896
4.373932	-68.770210
4.710388	-69.721855
5.046844	-70.909111
5.383301	-73.894203
5.719757	-72.860466
6.056213	-73.140785
6.392670	-77.321808
6.729126	-74.596886
7.065582	-79.907417
7.402039	-78.107101
7.738495	-76.150391
8.074951	-74.104614
8.411407	-73.845070
8.747864	-78.985786
9.084320	-78.656342
9.420776	-77.979858
9.757233	-76.886269
10.093689	-77.098053
10.430145	-77.927513
10.766602	-80.055954
11.103058	-81.688522
11.439514	-84.338318
11.775970	-81.273781
12.112427	-82.446037
12.448883	-83.528175
12.785339	-82.732292
13.121796	-81.662033
13.458252	-83.863411
13.794708	-84.987839
14.131165	-89.692696
14.467621	-85.189102
14.804077	-80.599808
15.140533	-82.186920
15.476990	-82.871635
15.813446	-85.567039
16.149902	-83.567879
16.486359	-80.413223
16.822815	-83.365356
17.159271	-87.888268
17.495728	-86.375610
17.832184	-86.986900
18.168640	-87.740944
18.505096	-88.258865
18.841553	-89.063797
19.178009	-83.765800
19.514465	-86.820930
19.850922	-87.625092
20.187378	-87.525002
20.523834	-88.073441
20.860291	-89.449539
21.196747	-89.633751
21.533203	-88.058876
21.869659	-88.845566
22.206116	-85.563507
22.542572	-87.538063
22.879028	-89.171997
23.215485	-90.667000
23.551941	-87.781517
23.888397	-84.720055
24.224854	-86.903587
24.561310	-88.310890
24.897766	-88.653702
25.234222	-87.584885
25.570679	-88.646545
25.907135	-90.505486
26.243591	-89.664864
26.580048	-92.101227
26.916504	-93.682198
27.252960	-89.001930
27.589417	-89.049881
27.925873	-89.398659
28.262329	-89.185921
28.598785	-89.708969
28.935242	-89.332970
29.271698	-91.111145
29.608154	-89.549545
29.944611	-88.128181
30.281067	-90.352814
30.617523	-95.898102
30.953979	-93.323128
31.290436	-97.759048
31.626892	-95.911415
31.963348	-90.838127
32.299805	-89.292244
32.636261	-93.926750
32.972717	-91.994514
33.309174	-91.535339
33.645630	-91.783386
33.982086	-89.228981
34.318542	-88.568275
34.654999	-91.432983
34.991455	-90.442757
35.327911	-90.767159
35.664368	-89.205978
36.000824	-92.202309
