Frequency (Hz)	Level (dB)
0.336456	-73.382591
0.672913	-66.841637
1.009369	-62.389202
1.345825	-62.690819
1.682281	-64.938293
2.018738	-65.654762
2.355194	-65.260193
2.691650	-68.362137
3.028107	-70.817894
3.364563	-76.296066
3.701019	-73.175987
4.037476	-71.299377
4.373932	-74.408279
4.710388	-74.089897
5.046844	-74.339233
5.383301	-73.835716
5.719757	-75.310768
6.056213	-76.975967
6.392670	-76.626823
6.729126	-77.158257
7.065582	-77.308502
7.402039	-76.297783
7.738495	-79.349144
8.074951	-79.887398
8.411407	-78.665588
8.747864	-80.785522
9.084320	-81.999481
9.420776	-80.904671
9.757233	-81.033157
10.093689	-78.373756
10.430145	-77.717323
10.766602	-79.925110
11.103058	-82.752525
11.439514	-82.884117
11.775970	-81.231590
12.112427	-79.471535
12.448883	-82.644775
12.785339	-85.959137
13.121796	-86.594246
13.458252	-89.834084
13.794708	-83.701698
14.131165	-81.916214
14.467621	-81.428192
14.804077	-83.076157
15.140533	-87.341728
15.476990	-87.245514
15.813446	-88.943100
16.149902	-85.090088
16.486359	-86.448082
16.822815	-86.268440
17.159271	-88.071350
17.495728	-87.717224
17.832184	-86.593849
18.168640	-86.365936
18.505096	-88.473320
18.841553	-86.019707
19.178009	-85.945663
19.514465	-87.277451
19.850922	-89.766510
20.187378	-93.821800
20.523834	-90.531006
20.860291	-85.831711
21.196747	-85.594421
21.533203	-87.693008
21.869659	-89.569290
22.206116	-87.986908
22.542572	-87.612381
22.879028	-89.309647
23.215485	-90.260986
23.551941	-90.007111
23.888397	-89.244171
24.224854	-89.189964
24.561310	-91.397850
24.897766	-88.418869
25.234222	-87.660957
25.570679	-87.914696
25.907135	-90.724258
26.243591	-89.702339
26.580048	-91.902550
26.916504	-91.499184
27.252960	-90.941879
27.589417	-87.889915
27.925873	-89.757683
28.262329	-88.552406
28.598785	-90.249184
28.935242	-90.250999
29.271698	-92.748573
29.608154	-92.995529
29.944611	-90.310524
30.281067	-90.924927
30.617523	-90.725266
30.953979	-89.222435
31.290436	-90.364082
31.626892	-89.731239
31.963348	-90.640129
32.299805	-93.340263
32.636261	-90.953796
32.972717	-91.400337
33.309174	-92.169266
33.645630	-93.335022
33.982086	-91.971794
34.318542	-93.952980
34.654999	-93.589142
34.991455	-95.297462
35.327911	-91.483200
35.664368	-90.099457
36.000824	-89.522186
36.337280	-90.770119
36.673737	-92.876442
37.010193	-94.931786
37.346649	-94.193947
37.683105	-94.736526
38.019562	-91.461029
38.356018	-91.472130
38.692474	-91.997742
39.028931	-91.254692
39.365387	-94.268456
39.701843	-93.776070
40.038300	-95.531403
40.374756	-92.353935
40.711212	-92.171333
41.047668	-93.663330
41.384125	-90.305016
41.720581	-89.486282
42.057037	-88.117004
42.393494	-89.689217
42.729950	-94.495186
43.066406	-93.621399
43.402863	-93.543289
43.739319	-92.721779
44.075775	-93.295105
44.412231	-94.375122
44.748688	-96.649055
45.085144	-91.602982
45.421600	-91.673508
45.758057	-93.602890
46.094513	-94.756027
46.430969	-94.717010
46.767426	-95.382973
47.103882	-96.511925
47.440338	-96.379799
47.776794	-96.358826
48.113251	-98.247948
48.449707	-97.378555
48.786163	-94.578705
49.122620	-92.687996
49.459076	-91.326912
49.795532	-89.531769
50.131989	-89.126686
50.468445	-95.016487
50.804901	-94.904198
