Frequency (Hz)	Level (dB)
0.336456	-72.886459
0.672913	-69.656349
1.009369	-66.467293
1.345825	-64.692261
1.682281	-68.649750
2.018738	-70.511879
2.355194	-67.443604
2.691650	-72.910233
3.028107	-69.617790
3.364563	-67.446823
3.701019	-73.008400
4.037476	-76.430634
4.373932	-71.750496
4.710388	-72.483002
5.046844	-69.434868
5.383301	-70.816826
5.719757	-70.402687
6.056213	-72.920067
6.392670	-77.919609
6.729126	-80.914818
7.065582	-80.305702
7.402039	-79.012741
7.738495	-80.233604
8.074951	-78.194916
8.411407	-78.878281
8.747864	-80.001793
9.084320	-78.830490
9.420776	-75.615540
9.757233	-77.142700
10.093689	-76.514160
10.430145	-77.800011
10.766602	-75.597191
11.103058	-76.853592
11.439514	-80.944481
11.775970	-80.594177
12.112427	-80.457336
12.448883	-83.525673
12.785339	-85.945404
13.121796	-83.024803
13.458252	-83.251236
13.794708	-84.002197
14.131165	-82.905388
14.467621	-82.349319
14.804077	-84.174828
15.140533	-85.903610
15.476990	-85.598419
15.813446	-83.024338
16.149902	-83.812485
16.486359	-85.511864
16.822815	-86.496132
17.159271	-86.814880
17.495728	-83.874664
17.832184	-86.372849
18.168640	-84.717186
18.505096	-83.339073
18.841553	-87.085068
19.178009	-90.445900
19.514465	-87.968452
19.850922	-87.669189
20.187378	-88.347290
20.523834	-85.830284
20.860291	-87.325439
21.196747	-87.526176
21.533203	-88.612106
21.869659	-88.953384
22.206116	-87.412201
22.542572	-87.264374
22.879028	-85.924721
23.215485	-86.616966
23.551941	-88.372490
23.888397	-88.343956
24.224854	-89.091919
24.561310	-90.055489
24.897766	-89.497505
25.234222	-91.308235
25.570679	-87.341339
25.907135	-90.682793
26.243591	-91.424248
26.580048	-90.146858
26.916504	-96.452042
27.252960	-90.482483
27.589417	-95.327431
27.925873	-93.608986
28.262329	-89.877937
28.598785	-89.430923
28.935242	-90.666229
29.271698	-89.356857
29.608154	-91.264748
29.944611	-90.685226
30.281067	-91.274170
30.617523	-89.283165
30.953979	-87.581642
31.290436	-88.830925
31.626892	-92.467079
31.963348	-91.843140
32.299805	-91.460381
32.636261	-91.054085
32.972717	-93.503387
33.309174	-91.690773
33.645630	-94.050591
33.982086	-94.466095
34.318542	-90.898041
34.654999	-90.956833
34.991455	-89.926498
35.327911	-90.598686
35.664368	-91.195763
36.000824	-88.356613
36.337280	-89.978477
36.673737	-92.575317
37.010193	-93.141594
37.346649	-93.369392
37.683105	-93.740402
38.019562	-92.797905
38.356018	-96.280342
38.692474	-91.439133
39.028931	-93.117836
39.365387	-94.668640
39.701843	-96.039703
40.038300	-96.452164
40.374756	-98.534248
40.711212	-94.903465
41.047668	-94.069984
41.384125	-92.589096
41.720581	-94.812660
42.057037	-95.588440
42.393494	-97.639473
42.729950	-97.246010
43.066406	-93.339088
43.402863	-91.648132
43.739319	-91.991989
44.075775	-93.300888
44.412231	-96.100212
44.748688	-94.241768
45.085144	-94.673248
45.421600	-95.249428
45.758057	-95.920425
46.094513	-97.594933
46.430969	-93.758263
46.767426	-91.057312
47.103882	-92.869347
47.440338	-92.917465
47.776794	-92.016907
48.113251	-92.025078
48.449707	-92.599350
48.786163	-93.884544
49.122620	-95.179794
49.459076	-94.236092
49.795532	-92.792130
50.131989	-96.277878
50.468445	-95.663445
50.804901	-92.595055
51.141357	-93.593384
51.477814	-95.272942
51.814270	-93.283173
52.150726	-93.557556
52.487183	-94.781349
52.823639	-97.188614
53.160095	-93.995384
53.496552	-93.453407
53.833008	-93.125252
54.169464	-93.963776
54.505920	-91.823563
54.842377	-91.839256
55.178833	-95.024239
55.515289	-95.824966
55.851746	-97.081116
56.188202	-98.988747
56.524658	-100.210609
56.861115	-99.069237
57.197571	-97.447098
57.534027	-97.182632
57.870483	-94.644493
58.206940	-94.523399
58.543396	-99.439857
58.879852	-98.460045
59.216309	-94.309898
59.552765	-86.512566
59.889221	-75.043251
60.225677	-77.864525
60.562134	-96.718834
60.898590	-95.482307
61.235046	-95.230247
61.571503	-95.104935
61.907959	-93.057747
62.244415	-94.127426
62.580872	-93.233940
62.917328	-98.544731
63.253784	-99.851875
63.590240	-98.117630
63.926697	-95.896942
64.263153	-95.827507
64.599609	-95.606483
64.936066	-97.886925
65.272522	-96.649330
65.608978	-99.591003
65.945435	-101.360222
66.281891	-99.032112
66.618347	-95.492462
66.954803	-95.515999
67.291260	-93.173012
67.627716	-92.660889
67.964172	-94.785904
68.300629	-97.250618
68.637085	-99.151108
68.973541	-100.514084
69.309998	-95.679535
69.646454	-96.160103
69.982910	-99.370583
70.319366	-96.636551
70.655823	-94.954865
70.992279	-94.565079
71.328735	-99.678535
71.665192	-98.589493
72.001648	-99.800217
72.338104	-97.456573
72.674561	-96.751137
73.011017	-95.284721
73.347473	-97.195457
73.683929	-95.624374
74.020386	-92.385490
74.356842	-95.186180
74.693298	-95.944466
75.029755	-92.754112
75.366211	-93.266029
75.702667	-96.680779
76.039124	-96.232025
76.375580	-96.968590
76.712036	-99.792831
77.048492	-95.139053
77.384949	-94.515884
77.721405	-96.286377
78.057861	-94.883446
78.394318	-94.085121
78.730774	-95.498619
79.067230	-99.602104
79.403687	-96.589363
79.740143	-94.198914
80.076599	-96.683311
80.413055	-99.818451
80.749512	-98.933647
81.085968	-95.143867
81.422424	-98.722794
81.758881	-98.892731
82.095337	-95.486458
82.431793	-95.978996
82.768250	-96.849167
83.104706	-96.117798
83.441162	-94.776924
83.777618	-95.387657
84.114075	-97.040222
84.450531	-97.679871
84.786987	-95.334961
85.123444	-95.156433
85.459900	-97.437195
85.796356	-99.553307
86.132812	-97.038361
86.469269	-96.824829
86.805725	-97.166245
87.142181	-97.807854
87.478638	-95.912453
87.815094	-95.904907
88.151550	-95.044540
88.488007	-98.154686
88.824463	-106.255188
89.160919	-99.308167
89.497375	-100.347481
89.833832	-98.140793
90.170288	-97.914032
90.506744	-95.589226
90.843201	-99.081078
91.179657	-99.079247
91.516113	-95.425674
91.852570	-95.200851
92.189026	-97.337082
92.525482	-96.468864
92.861938	-99.121864
93.198395	-97.861931
93.534851	-96.336723
93.871307	-101.819481
94.207764	-98.027153
94.544220	-95.593384
94.880676	-97.799179
95.217133	-94.750282
95.553589	-96.634125
95.890045	-96.147949
96.226501	-96.585075
96.562958	-97.503891
96.899414	-95.484253
97.235870	-99.006302
97.572327	-98.406700
97.908783	-97.830872
98.245239	-97.833054
98.581696	-95.171188
98.918152	-95.448021
99.254608	-102.623383
99.591064	-97.706100
99.927521	-92.542259
100.263977	-94.458984
100.600433	-97.760956
100.936890	-98.380318
101.273346	-98.679131
101.609802	-96.262947
101.946259	-95.202141
102.282715	-96.162468
102.619171	-95.472496
102.955627	-100.382469
103.292084	-98.775635
103.628540	-96.869911
103.964996	-98.362213
104.301453	-101.825615
104.637909	-98.231789
104.974365	-99.345558
105.310822	-98.226364
105.647278	-97.294205
105.983734	-99.530533
106.320190	-96.365425
106.656647	-97.290924
106.993103	-100.368362
107.329559	-99.962738
107.666016	-99.321770
108.002472	-96.013756
108.338928	-92.777519
108.675385	-94.410744
109.011841	-99.671837
109.348297	-102.287170
109.684753	-96.734612
110.021210	-97.987564
110.357666	-99.592422
110.694122	-95.581345
111.030579	-96.106239
111.367035	-100.882896
111.703491	-98.925133
112.039948	-97.545395
112.376404	-99.337555
112.712860	-98.822075
113.049316	-102.444237
113.385773	-101.342903
113.722229	-101.886292
114.058685	-100.731812
114.395142	-98.829880
114.731598	-99.580063
115.068054	-103.133217
115.404510	-99.017853
115.740967	-97.024979
116.077423	-94.910805
116.413879	-100.646408
116.750336	-95.342621
117.086792	-96.315689
117.423248	-98.598778
117.759705	-97.810471
118.096161	-98.797371
118.432617	-101.068504
118.769073	-98.315147
119.105530	-101.479012
119.441986	-97.754433
119.778442	-94.481834
120.114899	-94.289276
120.451355	-98.722580
120.787811	-97.570564
121.124268	-99.420586
121.460724	-101.300591
121.797180	-98.029449
122.133636	-100.860901
122.470093	-96.105278
122.806549	-96.430206
123.143005	-102.670570
123.479462	-99.241470
123.815918	-99.671173
124.152374	-96.924660
124.488831	-97.917725
124.825287	-99.868210
125.161743	-98.736534
125.498199	-97.668396
125.834656	-101.128990
126.171112	-99.428215
126.507568	-102.273491
126.844025	-104.307175
127.180481	-100.286552
127.516937	-103.487534
127.853394	-98.241234
128.189850	-96.862663
128.526306	-98.135208
128.862762	-97.555580
129.199219	-97.566780
129.535675	-99.491005
129.872131	-99.609962
130.208588	-101.981239
130.545044	-100.546204
130.881500	-102.524757
131.217957	-99.696480
131.554413	-100.635704
131.890869	-99.653854
132.227325	-99.272163
132.563782	-104.795532
132.900238	-101.330048
133.236694	-99.165710
133.573151	-99.445076
133.909607	-101.547852
134.246063	-100.188171
134.582520	-100.670761
134.918976	-100.846085
135.255432	-100.453621
135.591888	-100.071083
135.928345	-100.305641
136.264801	-95.543289
136.601257	-98.403297
136.937714	-100.612434
137.274170	-94.688667
137.610626	-91.777916
137.947083	-100.132828
138.283539	-97.640732
138.619995	-96.902321
138.956451	-98.218132
139.292908	-97.559982
139.629364	-98.874763
139.965820	-100.196945
140.302277	-98.381012
140.638733	-99.503441
140.975189	-97.307449
141.311646	-96.448540
141.648102	-100.155739
141.984558	-101.696678
142.321014	-104.461479
142.657471	-102.226959
142.993927	-97.219498
143.330383	-95.973381
143.666840	-97.020493
144.003296	-94.562920
144.339752	-95.139221
144.676208	-95.251778
145.012665	-98.946190
145.349121	-102.555206
145.685577	-103.817268
146.022034	-98.232521
146.358490	-102.526703
146.694946	-101.288757
147.031403	-102.532845
147.367859	-104.004967
147.704315	-100.047112
148.040771	-98.097153
148.377228	-98.394058
148.713684	-99.040085
149.050140	-96.593445
149.386597	-98.441963
149.723053	-99.995872
150.059509	-96.493668
150.395966	-100.446602
150.732422	-95.876862
151.068878	-97.818848
151.405334	-97.895447
151.741791	-96.499153
152.078247	-99.171143
152.414703	-98.193230
152.751160	-100.370567
153.087616	-97.895920
153.424072	-96.495689
153.760529	-99.250801
154.096985	-96.552155
154.433441	-96.155205
154.769897	-99.997002
155.106354	-99.674889
155.442810	-97.354317
155.779266	-96.186607
156.115723	-100.486946
156.452179	-100.948448
156.788635	-98.830460
157.125092	-103.472870
157.461548	-100.835678
157.798004	-100.837280
158.134460	-100.340378
158.470917	-99.275047
158.807373	-100.450325
159.143829	-99.283958
159.480286	-98.026512
159.816742	-97.418365
160.153198	-99.210297
160.489655	-100.268791
160.826111	-99.365891
161.162567	-97.131065
161.499023	-98.353638
161.835480	-99.131416
162.171936	-101.172447
162.508392	-99.263397
162.844849	-103.114418
163.181305	-97.894890
163.517761	-96.379074
163.854218	-98.820023
164.190674	-97.650360
164.527130	-97.206306
164.863586	-96.293152
165.200043	-98.720062
165.536499	-99.822304
165.872955	-99.774666
166.209412	-98.750809
166.545868	-101.840294
166.882324	-98.857483
167.218781	-97.413765
167.555237	-99.958954
167.891693	-102.618790
168.228149	-105.979630
168.564606	-100.686958
168.901062	-100.975945
169.237518	-103.113861
169.573975	-98.940346
169.910431	-102.313004
170.246887	-96.445351
170.583344	-102.027100
170.919800	-98.682487
171.256256	-96.758018
171.592712	-98.365921
171.929169	-95.084625
172.265625	-97.703026
172.602081	-98.156799
172.938538	-99.947952
173.274994	-98.107346
173.611450	-98.917229
173.947906	-99.764297
174.284363	-99.916702
174.620819	-98.201805
174.957275	-96.994873
175.293732	-97.796440
175.630188	-97.326019
175.966644	-97.491096
176.303101	-99.629265
176.639557	-96.813705
176.976013	-100.096039
177.312469	-100.109001
177.648926	-99.516968
177.985382	-96.187767
178.321838	-100.247948
178.658295	-97.511887
178.994751	-96.907471
179.331207	-99.860405
179.667664	-92.297707
180.004120	-87.115158
180.340576	-93.516441
180.677032	-96.759430
181.013489	-99.542908
181.349945	-98.375710
181.686401	-98.420639
182.022858	-95.065338
182.359314	-95.869171
182.695770	-98.102226
183.032227	-96.884636
183.368683	-94.254707
183.705139	-94.342857
184.041595	-95.441391
184.378052	-95.569550
184.714508	-94.170212
185.050964	-93.403381
185.387421	-94.702843
185.723877	-93.108826
186.060333	-91.933571
186.396790	-94.255020
186.733246	-89.255981
187.069702	-89.150162
187.406158	-75.896805
187.742615	-79.285431
188.079071	-91.758438
188.415527	-92.791618
188.751984	-91.425461
189.088440	-90.078911
189.424896	-91.301712
189.761353	-91.601562
190.097809	-91.898491
190.434265	-93.318527
190.770721	-98.007782
191.107178	-94.206535
191.443634	-90.598541
191.780090	-90.851402
192.116547	-94.909103
192.453003	-93.087387
192.789459	-96.533073
193.125916	-94.818619
193.462372	-93.253784
193.798828	-92.446365
194.135284	-91.649857
194.471741	-92.665161
194.808197	-95.999275
195.144653	-93.940575
195.481110	-94.998177
195.817566	-95.252853
196.154022	-94.089470
196.490479	-91.732948
196.826935	-92.977089
197.163391	-92.237144
197.499847	-95.094978
197.836304	-93.846313
198.172760	-92.688942
198.509216	-91.410812
198.845673	-94.685661
199.182129	-95.881104
199.518585	-93.667488
199.855042	-94.876366
200.191498	-93.174309
200.527954	-93.934723
200.864410	-96.794250
201.200867	-97.291779
201.537323	-92.455994
201.873779	-93.093506
202.210236	-91.104523
202.546692	-93.883293
202.883148	-93.673637
203.219604	-92.762901
203.556061	-92.989075
203.892517	-95.132278
204.228973	-96.381752
204.565430	-97.490196
204.901886	-96.507607
205.238342	-92.239159
205.574799	-94.922554
205.911255	-96.955963
206.247711	-94.178864
206.584167	-94.840729
206.920624	-93.671463
207.257080	-92.760353
207.593536	-91.270378
207.929993	-95.168312
208.266449	-92.654457
208.602905	-93.403526
208.939362	-93.889030
209.275818	-91.993011
209.612274	-93.131798
209.948730	-95.010254
210.285187	-90.860352
210.621643	-91.217957
210.958099	-91.356239
211.294556	-90.959785
211.631012	-89.026573
211.967468	-90.149742
212.303925	-87.901695
212.640381	-89.343185
212.976837	-92.000778
213.313293	-91.182411
