Frequency (Hz)	Level (dB)
0.336456	-75.509407
0.672913	-69.921356
1.009369	-68.165390
1.345825	-65.351143
1.682281	-63.293304
2.018738	-65.829155
2.355194	-71.145668
2.691650	-71.598488
3.028107	-68.441162
3.364563	-67.601463
3.701019	-70.765152
4.037476	-71.568298
4.373932	-73.148743
4.710388	-75.360092
5.046844	-74.475121
5.383301	-75.992760
5.719757	-73.556442
6.056213	-74.051292
6.392670	-74.968384
6.729126	-78.358086
7.065582	-76.671616
7.402039	-79.189270
7.738495	-79.333145
8.074951	-81.382507
8.411407	-80.625534
8.747864	-81.465805
9.084320	-78.841011
9.420776	-79.630196
9.757233	-82.740334
10.093689	-82.630737
10.430145	-78.835098
10.766602	-80.968323
11.103058	-82.553482
11.439514	-81.868080
11.775970	-78.854927
12.112427	-78.323280
12.448883	-79.670097
12.785339	-83.990791
13.121796	-85.014809
13.458252	-82.724335
13.794708	-80.761047
14.131165	-84.564827
14.467621	-82.674591
14.804077	-82.252129
15.140533	-85.278114
15.476990	-85.817451
15.813446	-85.010315
16.149902	-83.932777
16.486359	-86.581963
16.822815	-88.146782
17.159271	-88.280678
17.495728	-87.149635
17.832184	-86.525383
18.168640	-87.646385
18.505096	-89.455688
18.841553	-87.151955
19.178009	-91.711876
19.514465	-84.020325
19.850922	-86.792519
20.187378	-86.109604
20.523834	-84.978127
20.860291	-87.372490
21.196747	-89.274300
21.533203	-88.212585
21.869659	-90.447891
22.206116	-87.493500
22.542572	-87.052864
22.879028	-87.893654
23.215485	-87.315598
23.551941	-89.363174
23.888397	-89.493332
24.224854	-86.597801
24.561310	-88.995972
24.897766	-88.683380
25.234222	-88.743515
25.570679	-88.065941
25.907135	-87.382698
26.243591	-88.273308
26.580048	-92.942284
26.916504	-89.493507
27.252960	-89.006012
27.589417	-92.397217
27.925873	-93.484009
28.262329	-90.070404
28.598785	-92.331985
28.935242	-92.144150
29.271698	-88.968758
29.608154	-89.216652
29.944611	-88.605309
30.281067	-93.294220
30.617523	-90.241638
30.953979	-91.932365
31.290436	-93.077744
31.626892	-92.382187
31.963348	-89.929543
32.299805	-92.964035
32.636261	-89.024422
32.972717	-86.663094
33.309174	-87.068512
33.645630	-91.919800
33.982086	-91.885208
34.318542	-95.435867
34.654999	-91.909958
34.991455	-90.045547
35.327911	-90.984299
35.664368	-92.060188
36.000824	-91.995125
36.337280	-90.540497
36.673737	-89.878235
37.010193	-92.705284
37.346649	-93.317093
37.683105	-92.597191
38.019562	-93.053917
38.356018	-92.152977
38.692474	-92.840843
39.028931	-93.248978
39.365387	-99.294540
39.701843	-94.829361
40.038300	-93.396271
40.374756	-92.810944
40.711212	-94.320992
41.047668	-93.181618
41.384125	-92.519882
41.720581	-93.831398
