Frequency (Hz)	Level (dB)
0.336456	-71.705284
0.672913	-67.218674
1.009369	-68.463036
1.345825	-65.594193
1.682281	-65.130226
2.018738	-68.233269
2.355194	-67.950172
2.691650	-66.484573
3.028107	-66.242249
3.364563	-66.621307
3.701019	-68.452499
4.037476	-71.218529
4.373932	-71.916031
4.710388	-71.209442
5.046844	-70.562370
5.383301	-71.152939
5.719757	-71.744164
6.056213	-75.136528
6.392670	-76.215874
6.729126	-78.267639
7.065582	-79.701027
7.402039	-79.799675
7.738495	-80.022041
8.074951	-80.555771
8.411407	-79.976135
8.747864	-81.517029
9.084320	-77.504539
9.420776	-81.307976
9.757233	-83.050850
10.093689	-80.936630
10.430145	-77.172562
10.766602	-82.177391
11.103058	-79.179413
11.439514	-80.092766
11.775970	-80.220604
12.112427	-83.671806
12.448883	-81.609009
12.785339	-84.726418
13.121796	-83.042976
13.458252	-82.222275
13.794708	-83.988251
14.131165	-87.777550
14.467621	-82.778351
14.804077	-82.069908
15.140533	-82.770126
15.476990	-85.310265
15.813446	-90.680519
16.149902	-86.731445
16.486359	-87.470665
16.822815	-84.527534
17.159271	-85.804161
17.495728	-88.268143
17.832184	-86.176781
18.168640	-86.676193
18.505096	-87.060638
18.841553	-87.970909
19.178009	-86.309486
19.514465	-87.779640
19.850922	-88.426422
20.187378	-88.026260
20.523834	-88.783920
20.860291	-90.341164
21.196747	-84.919426
21.533203	-86.488266
21.869659	-84.457169
22.206116	-86.621536
22.542572	-88.379173
22.879028	-90.275352
23.215485	-91.210007
23.551941	-92.415253
23.888397	-93.745705
24.224854	-91.583443
24.561310	-87.878372
24.897766	-88.987068
25.234222	-88.278137
25.570679	-85.886978
25.907135	-89.411140
26.243591	-89.925537
26.580048	-86.417625
26.916504	-88.909012
27.252960	-90.150604
27.589417	-92.410805
27.925873	-90.782684
28.262329	-92.036125
28.598785	-89.706619
28.935242	-89.716049
29.271698	-92.271088
29.608154	-93.125130
29.944611	-88.702431
30.281067	-89.622169
30.617523	-91.504456
30.953979	-92.396049
31.290436	-93.433365
31.626892	-95.669083
31.963348	-94.775810
32.299805	-91.613380
32.636261	-92.989662
32.972717	-93.261864
33.309174	-95.154739
33.645630	-94.144409
33.982086	-94.947678
34.318542	-92.442749
34.654999	-89.876907
34.991455	-88.472977
35.327911	-91.516548
35.664368	-93.669731
36.000824	-91.848625
36.337280	-93.521271
36.673737	-91.842567
37.010193	-91.107468
37.346649	-90.706673
37.683105	-91.652084
38.019562	-92.279404
38.356018	-94.792648
38.692474	-93.875214
39.028931	-95.874359
39.365387	-89.441666
39.701843	-91.467506
40.038300	-90.949837
40.374756	-94.349945
40.711212	-94.954147
41.047668	-91.453835
41.384125	-91.786079
41.720581	-99.312325
42.057037	-97.025955
42.393494	-94.826729
42.729950	-96.632202
43.066406	-94.557037
43.402863	-98.446625
43.739319	-95.756821
44.075775	-97.230026
44.412231	-97.303421
44.748688	-98.157478
45.085144	-94.388748
45.421600	-93.331635
45.758057	-96.207687
46.094513	-96.778419
46.430969	-93.783440
46.767426	-91.823639
47.103882	-95.044624
47.440338	-95.146515
47.776794	-93.540665
48.113251	-96.459328
48.449707	-93.293121
48.786163	-94.672867
49.122620	-94.505592
49.459076	-98.952644
49.795532	-92.305573
50.131989	-90.946877
50.468445	-94.376610
50.804901	-99.192863
51.141357	-100.657341
51.477814	-97.035057
51.814270	-99.972595
52.150726	-94.701340
52.487183	-92.705597
52.823639	-92.077942
53.160095	-95.266525
53.496552	-96.972084
53.833008	-93.613716
54.169464	-94.839203
54.505920	-93.484100
54.842377	-94.324661
55.178833	-95.098320
55.515289	-91.833809
55.851746	-91.680588
56.188202	-95.879356
56.524658	-96.652496
56.861115	-96.019020
57.197571	-94.984398
57.534027	-94.536758
57.870483	-99.321053
58.206940	-98.256729
58.543396	-98.896988
58.879852	-95.099953
59.216309	-97.061478
59.552765	-92.000710
59.889221	-76.750877
60.225677	-78.105080
60.562134	-92.083000
60.898590	-94.053017
61.235046	-96.569389
61.571503	-95.137215
61.907959	-98.173424
62.244415	-101.192329
62.580872	-95.966888
