Frequency (Hz)	Level (dB)
0.336456	-70.863602
0.672913	-69.332428
1.009369	-67.341797
1.345825	-63.518791
1.682281	-64.038673
2.018738	-66.026688
2.355194	-67.054771
2.691650	-66.484161
3.028107	-70.955841
3.364563	-65.949623
3.701019	-68.926964
4.037476	-70.039597
4.373932	-71.072762
4.710388	-71.840042
5.046844	-72.902206
5.383301	-70.003098
5.719757	-71.787094
6.056213	-72.085503
6.392670	-73.169868
6.729126	-75.191017
7.065582	-77.567734
7.402039	-76.632202
7.738495	-78.229836
8.074951	-81.450172
8.411407	-78.634987
8.747864	-76.800354
9.084320	-79.730591
9.420776	-77.811333
9.757233	-77.972321
10.093689	-78.990341
10.430145	-77.056427
10.766602	-77.637444
11.103058	-81.269341
11.439514	-82.330582
11.775970	-82.777534
12.112427	-81.577637
12.448883	-81.252663
12.785339	-82.654068
13.121796	-83.403313
13.458252	-80.974815
13.794708	-84.527481
14.131165	-83.927124
14.467621	-82.584503
14.804077	-83.969078
15.140533	-86.453979
15.476990	-87.613831
15.813446	-86.373093
16.149902	-85.228065
16.486359	-82.220154
16.822815	-80.195961
17.159271	-83.035019
17.495728	-87.091759
17.832184	-86.772575
18.168640	-84.498520
18.505096	-85.312576
18.841553	-88.442101
19.178009	-85.903435
19.514465	-85.902527
19.850922	-87.813011
20.187378	-86.297287
20.523834	-84.422775
20.860291	-85.140427
21.196747	-86.761543
21.533203	-86.536209
21.869659	-85.325157
22.206116	-85.661903
22.542572	-85.196487
22.879028	-86.470657
23.215485	-86.750740
23.551941	-85.883064
23.888397	-90.247345
24.224854	-88.445961
24.561310	-89.514153
24.897766	-89.277916
25.234222	-90.229393
25.570679	-88.643585
25.907135	-87.815887
26.243591	-90.869446
26.580048	-90.322731
26.916504	-89.664978
27.252960	-91.045334
27.589417	-93.534714
27.925873	-89.715134
28.262329	-88.156319
28.598785	-89.422478
28.935242	-86.317245
29.271698	-89.268242
29.608154	-89.908333
29.944611	-91.615173
30.281067	-89.221046
30.617523	-87.581894
30.953979	-90.566475
31.290436	-92.158966
31.626892	-91.915756
31.963348	-92.171318
32.299805	-92.809532
32.636261	-88.487946
32.972717	-85.815735
33.309174	-82.142662
33.645630	-86.056030
33.982086	-89.903725
34.318542	-90.087700
34.654999	-89.912827
34.991455	-95.282310
35.327911	-93.850975
35.664368	-91.451492
36.000824	-90.330551
36.337280	-91.415489
36.673737	-96.707619
37.010193	-93.784019
37.346649	-91.999680
37.683105	-92.929001
38.019562	-97.302269
38.356018	-98.653130
38.692474	-92.749817
39.028931	-93.411423
39.365387	-94.707565
39.701843	-89.408913
40.038300	-88.558846
40.374756	-94.878372
40.711212	-94.991310
41.047668	-90.608627
41.384125	-93.171310
41.720581	-96.387138
42.057037	-94.707893
42.393494	-91.857079
42.729950	-91.762993
43.066406	-92.268394
43.402863	-91.135864
43.739319	-88.617401
44.075775	-88.499252
44.412231	-92.139908
44.748688	-95.822929
45.085144	-91.111061
45.421600	-93.641579
45.758057	-95.169876
46.094513	-95.018120
46.430969	-94.883484
46.767426	-94.026726
47.103882	-92.180328
47.440338	-93.778557
47.776794	-92.433685
48.113251	-91.268135
48.449707	-93.877785
48.786163	-94.623863
49.122620	-93.951927
49.459076	-89.119545
49.795532	-74.308868
50.131989	-73.480469
50.468445	-86.917671
50.804901	-95.699600
51.141357	-92.782112
51.477814	-92.910614
51.814270	-92.273796
52.150726	-93.111946
52.487183	-91.213524
52.823639	-92.159470
53.160095	-92.982124
53.496552	-94.207352
53.833008	-94.957054
54.169464	-95.008217
54.505920	-94.997574
54.842377	-95.949509
55.178833	-96.168137
55.515289	-92.867691
55.851746	-94.781715
56.188202	-93.206650
56.524658	-93.381050
56.861115	-95.146027
57.197571	-95.324341
57.534027	-95.802773
57.870483	-94.821243
58.206940	-93.945511
58.543396	-91.846718
58.879852	-94.020012
59.216309	-95.655235
59.552765	-93.729980
59.889221	-83.673592
60.225677	-84.384468
60.562134	-92.348373
60.898590	-96.794434
61.235046	-96.940544
61.571503	-97.304642
61.907959	-97.214790
62.244415	-99.427505
62.580872	-95.262253
62.917328	-95.102509
63.253784	-93.925545
63.590240	-95.245201
63.926697	-95.316628
64.263153	-94.489105
64.599609	-98.088005
64.936066	-92.210609
65.272522	-94.712479
65.608978	-95.455734
65.945435	-98.671432
66.281891	-87.640625
66.618347	-81.297852
66.954803	-84.166817
67.291260	-95.822945
67.627716	-96.113144
67.964172	-96.924767
68.300629	-95.997292
68.637085	-96.594177
68.973541	-95.464073
69.309998	-94.367874
69.646454	-98.102997
69.982910	-98.827309
70.319366	-102.226395
70.655823	-99.320679
70.992279	-97.890121
71.328735	-97.360840
71.665192	-97.211472
72.001648	-98.523735
72.338104	-99.615211
72.674561	-98.004654
73.011017	-98.176285
73.347473	-94.878914
73.683929	-94.758415
74.020386	-97.820526
74.356842	-95.505920
74.693298	-95.458473
75.029755	-94.718445
75.366211	-94.128731
75.702667	-96.048676
76.039124	-97.892105
76.375580	-94.546211
76.712036	-96.272499
77.048492	-98.725647
77.384949	-93.458221
77.721405	-95.008331
78.057861	-96.824440
78.394318	-97.463814
78.730774	-98.220093
79.067230	-96.952888
79.403687	-95.743103
79.740143	-97.706970
80.076599	-97.944962
80.413055	-99.581459
80.749512	-97.806038
81.085968	-98.529762
81.422424	-96.972107
81.758881	-95.166969
82.095337	-94.399246
82.431793	-97.675797
82.768250	-92.218628
83.104706	-82.257477
83.441162	-79.970055
83.777618	-88.709030
84.114075	-93.804848
84.450531	-96.503937
84.786987	-96.508873
85.123444	-96.099190
85.459900	-99.291489
85.796356	-98.441307
86.132812	-97.196671
86.469269	-96.408485
86.805725	-95.354530
87.142181	-95.681717
87.478638	-96.807350
87.815094	-100.674553
88.151550	-99.986763
88.488007	-97.968353
88.824463	-98.101189
89.160919	-97.813408
89.497375	-97.963295
89.833832	-92.985367
90.170288	-93.890358
90.506744	-99.050339
90.843201	-100.033546
91.179657	-96.668007
91.516113	-96.257912
91.852570	-97.839554
92.189026	-99.019966
92.525482	-98.949783
92.861938	-98.616684
93.198395	-93.850479
93.534851	-98.428642
93.871307	-97.869621
94.207764	-97.308548
94.544220	-99.105217
94.880676	-96.833626
95.217133	-100.392906
95.553589	-95.984421
95.890045	-95.377098
96.226501	-99.771202
96.562958	-100.666557
96.899414	-98.735519
97.235870	-94.960434
97.572327	-93.451485
97.908783	-97.241386
98.245239	-98.415291
98.581696	-98.334602
98.918152	-94.163452
99.254608	-90.543785
99.591064	-74.639458
99.927521	-63.149601
100.263977	-67.245155
100.600433	-92.069763
100.936890	-93.722656
101.273346	-94.522278
101.609802	-97.503410
101.946259	-98.859306
102.282715	-101.746849
102.619171	-100.991875
102.955627	-99.981232
103.292084	-98.518814
103.628540	-97.352203
103.964996	-101.540329
104.301453	-99.686729
104.637909	-101.216309
104.974365	-100.154915
105.310822	-99.665421
105.647278	-101.830154
105.983734	-96.866730
106.320190	-97.281784
106.656647	-98.551704
106.993103	-99.961456
107.329559	-98.056442
107.666016	-97.699188
108.002472	-100.059547
108.338928	-101.083351
108.675385	-99.410637
109.011841	-96.627426
109.348297	-97.156120
109.684753	-95.261101
110.021210	-91.779564
110.357666	-97.174423
110.694122	-101.014046
111.030579	-99.156219
111.367035	-97.937553
111.703491	-97.601547
112.039948	-99.665314
112.376404	-95.240578
112.712860	-97.417061
113.049316	-101.264900
113.385773	-98.900475
113.722229	-96.722870
114.058685	-98.040230
114.395142	-99.072296
114.731598	-99.199471
115.068054	-96.698975
115.404510	-95.896805
115.740967	-95.725380
116.077423	-92.173569
116.413879	-83.437698
116.750336	-80.842415
117.086792	-88.967087
117.423248	-97.631622
117.759705	-98.112236
118.096161	-102.762436
118.432617	-100.922729
118.769073	-101.747948
119.105530	-99.189835
119.441986	-98.270302
119.778442	-93.983925
120.114899	-94.714775
120.451355	-96.714653
120.787811	-97.717857
121.124268	-98.506721
121.460724	-97.753830
121.797180	-101.250381
122.133636	-99.064735
122.470093	-98.080452
122.806549	-98.314598
123.143005	-97.557724
123.479462	-97.232658
123.815918	-99.959480
124.152374	-101.788712
124.488831	-102.916267
124.825287	-97.356010
125.161743	-96.764534
125.498199	-96.780281
125.834656	-97.568085
126.171112	-99.528984
126.507568	-95.373558
126.844025	-102.836159
127.180481	-102.983902
127.516937	-102.721054
127.853394	-101.565125
128.189850	-98.028877
128.526306	-102.466896
128.862762	-102.396523
129.199219	-98.747597
129.535675	-96.757301
129.872131	-90.528625
130.208588	-93.370285
130.545044	-96.088455
130.881500	-95.820480
131.217957	-94.000618
131.554413	-95.811722
131.890869	-98.037537
132.227325	-98.999283
132.563782	-98.390312
132.900238	-90.758499
133.236694	-83.249603
133.573151	-85.140785
133.909607	-96.356659
134.246063	-96.995483
134.582520	-101.289490
134.918976	-99.808395
135.255432	-99.082779
135.591888	-99.848526
135.928345	-99.494087
136.264801	-101.532654
136.601257	-104.812256
136.937714	-107.643410
137.274170	-97.701721
137.610626	-94.526054
137.947083	-99.679596
138.283539	-99.246307
138.619995	-97.046448
138.956451	-97.487503
139.292908	-100.059517
139.629364	-92.096741
139.965820	-87.523567
140.302277	-91.156685
140.638733	-96.369614
140.975189	-97.983368
141.311646	-99.442581
141.648102	-101.979935
141.984558	-97.731270
142.321014	-99.632179
142.657471	-101.334221
142.993927	-102.285049
143.330383	-95.413780
143.666840	-88.540703
144.003296	-90.558586
144.339752	-99.815575
144.676208	-102.996017
145.012665	-99.579597
145.349121	-101.743004
145.685577	-100.369331
146.022034	-100.904999
