Frequency (Hz)	Level (dB)
0.336456	-67.803108
0.672913	-66.202606
1.009369	-69.784866
1.345825	-68.392303
1.682281	-70.152245
2.018738	-67.776604
2.355194	-69.787849
2.691650	-69.040672
3.028107	-68.045372
3.364563	-68.976837
3.701019	-68.760643
4.037476	-71.225212
4.373932	-71.517097
4.710388	-72.030182
5.046844	-77.708710
5.383301	-74.007141
5.719757	-72.327393
6.056213	-75.662865
6.392670	-75.285446
6.729126	-74.284721
7.065582	-75.059715
7.402039	-74.796867
7.738495	-76.521759
8.074951	-76.702530
8.411407	-75.406120
8.747864	-77.181503
9.084320	-76.989418
9.420776	-77.283150
9.757233	-81.501633
10.093689	-79.508896
10.430145	-79.521492
10.766602	-85.810593
11.103058	-83.364609
11.439514	-80.957588
11.775970	-81.082390
12.112427	-83.652481
12.448883	-86.076057
12.785339	-82.304268
13.121796	-80.369156
13.458252	-86.481377
13.794708	-86.649132
14.131165	-89.049454
14.467621	-89.300255
14.804077	-87.722008
15.140533	-90.289841
15.476990	-87.796494
15.813446	-85.894928
16.149902	-87.080460
16.486359	-86.037712
16.822815	-84.313553
17.159271	-81.586082
17.495728	-83.428596
17.832184	-85.036896
18.168640	-87.911224
18.505096	-90.747093
18.841553	-93.005867
19.178009	-87.555435
19.514465	-86.665810
19.850922	-85.421822
20.187378	-84.590652
20.523834	-88.788391
20.860291	-88.909584
21.196747	-85.932945
21.533203	-86.342972
21.869659	-90.213280
22.206116	-89.475006
22.542572	-87.914207
22.879028	-85.538742
23.215485	-88.839882
23.551941	-87.361847
23.888397	-85.027107
24.224854	-89.164413
24.561310	-92.166557
24.897766	-90.946617
25.234222	-93.010353
25.570679	-90.018082
25.907135	-90.900543
26.243591	-93.803802
26.580048	-92.991440
26.916504	-96.600311
27.252960	-90.339645
27.589417	-88.921318
27.925873	-87.268211
28.262329	-86.997414
28.598785	-92.457466
28.935242	-90.559547
29.271698	-90.435532
29.608154	-92.693146
29.944611	-92.619774
30.281067	-91.078522
30.617523	-91.086220
30.953979	-88.523140
31.290436	-89.546974
31.626892	-89.206177
31.963348	-90.560860
32.299805	-88.231712
32.636261	-90.072952
32.972717	-93.029938
33.309174	-90.763771
33.645630	-92.032349
33.982086	-87.991661
