Frequency (Hz)	Level (dB)
0.336456	-73.536934
0.672913	-69.391136
1.009369	-66.379059
1.345825	-66.268135
1.682281	-68.097893
2.018738	-67.088203
2.355194	-67.949516
2.691650	-70.770554
3.028107	-71.552902
3.364563	-68.630760
3.701019	-69.716873
4.037476	-71.047981
4.373932	-74.088181
4.710388	-72.291214
5.046844	-72.708046
5.383301	-75.554779
5.719757	-73.813141
6.056213	-72.394188
6.392670	-73.106308
6.729126	-73.902626
7.065582	-76.161461
7.402039	-80.823769
7.738495	-80.255531
8.074951	-76.596123
8.411407	-76.641243
8.747864	-77.295761
9.084320	-77.980728
9.420776	-80.856300
9.757233	-81.244240
10.093689	-79.762001
10.430145	-80.160583
10.766602	-82.905083
11.103058	-78.974228
11.439514	-77.863441
11.775970	-77.066345
12.112427	-79.832901
12.448883	-80.879532
12.785339	-82.085060
13.121796	-82.598076
13.458252	-84.789688
13.794708	-82.991310
14.131165	-80.584862
14.467621	-87.787346
14.804077	-86.900391
15.140533	-83.136208
15.476990	-84.581261
15.813446	-84.985161
16.149902	-85.269753
16.486359	-86.192200
16.822815	-87.086800
17.159271	-88.651634
17.495728	-87.189049
17.832184	-86.057129
18.168640	-83.844536
18.505096	-83.964890
18.841553	-84.130104
19.178009	-87.517876
19.514465	-88.820320
19.850922	-86.125511
20.187378	-85.718773
20.523834	-88.577728
20.860291	-87.895622
21.196747	-87.221733
21.533203	-89.739998
21.869659	-86.437996
22.206116	-87.816719
22.542572	-88.459503
22.879028	-89.721954
23.215485	-87.729324
23.551941	-86.004822
23.888397	-87.692268
24.224854	-88.069611
24.561310	-86.843285
24.897766	-88.736626
25.234222	-91.039078
25.570679	-89.795303
25.907135	-92.092751
26.243591	-91.803459
26.580048	-87.845856
26.916504	-88.608185
27.252960	-90.172791
27.589417	-87.638268
27.925873	-88.989838
28.262329	-91.938766
28.598785	-89.761223
28.935242	-89.917244
29.271698	-89.287148
29.608154	-89.875717
29.944611	-88.592545
30.281067	-90.041496
30.617523	-93.223663
30.953979	-93.085365
31.290436	-91.933708
31.626892	-92.531075
31.963348	-90.636688
32.299805	-91.251549
32.636261	-91.946236
32.972717	-91.718681
33.309174	-91.457283
33.645630	-92.991722
33.982086	-94.810768
34.318542	-96.277328
34.654999	-93.219711
34.991455	-91.509499
35.327911	-90.548882
35.664368	-90.051056
36.000824	-90.819435
36.337280	-92.704315
36.673737	-93.308220
37.010193	-95.362907
37.346649	-92.219032
37.683105	-92.139526
38.019562	-90.317719
38.356018	-92.282013
38.692474	-92.694855
39.028931	-93.612579
39.365387	-93.598763
39.701843	-91.008560
40.038300	-94.716362
40.374756	-94.806763
40.711212	-92.411278
41.047668	-90.343010
41.384125	-92.722321
41.720581	-96.316887
42.057037	-95.434738
42.393494	-94.281624
42.729950	-95.463318
43.066406	-98.956322
43.402863	-94.106659
43.739319	-91.882683
44.075775	-92.853554
44.412231	-94.345390
44.748688	-95.189980
45.085144	-95.284241
45.421600	-93.748215
45.758057	-93.566368
46.094513	-93.284195
46.430969	-92.004234
46.767426	-94.548729
47.103882	-95.808861
47.440338	-91.866699
47.776794	-93.346252
48.113251	-95.285934
48.449707	-92.523651
48.786163	-96.568726
