Frequency (Hz)	Level (dB)
0.336456	-69.443985
0.672913	-69.188431
1.009369	-66.484581
1.345825	-64.432228
1.682281	-68.899879
2.018738	-67.088516
2.355194	-67.226707
2.691650	-69.047646
3.028107	-67.775284
3.364563	-66.930061
3.701019	-66.576263
4.037476	-66.726471
4.373932	-70.418221
4.710388	-69.932465
5.046844	-70.474487
5.383301	-71.480789
5.719757	-75.065300
6.056213	-75.119133
6.392670	-76.708069
6.729126	-76.669823
7.065582	-74.925713
7.402039	-80.202568
7.738495	-77.348457
8.074951	-76.946358
8.411407	-79.143753
8.747864	-78.588402
9.084320	-78.290001
9.420776	-80.533974
9.757233	-80.056816
10.093689	-77.363167
10.430145	-81.817230
10.766602	-83.316299
11.103058	-81.903374
11.439514	-82.628212
11.775970	-83.825798
12.112427	-80.782822
12.448883	-81.649948
12.785339	-82.410034
13.121796	-82.657303
13.458252	-83.546844
13.794708	-85.732964
14.131165	-83.509148
14.467621	-80.034210
14.804077	-83.981277
15.140533	-87.018913
15.476990	-80.214264
15.813446	-83.954178
16.149902	-84.804955
16.486359	-87.521019
16.822815	-84.690529
17.159271	-84.914612
17.495728	-85.503967
17.832184	-90.071404
18.168640	-84.827019
18.505096	-85.528320
18.841553	-89.419876
19.178009	-86.284462
19.514465	-84.117722
19.850922	-84.590080
20.187378	-90.995796
20.523834	-89.959251
20.860291	-88.786377
21.196747	-83.091606
21.533203	-87.378258
21.869659	-86.615593
22.206116	-87.293152
22.542572	-89.786797
22.879028	-88.013275
23.215485	-86.759956
23.551941	-90.956444
23.888397	-87.176384
24.224854	-89.780403
24.561310	-85.897758
24.897766	-86.100952
25.234222	-88.771271
25.570679	-87.375938
25.907135	-88.242249
26.243591	-88.588531
26.580048	-84.668602
26.916504	-88.524773
27.252960	-87.789871
27.589417	-88.696747
27.925873	-89.799721
28.262329	-87.835136
28.598785	-94.822281
28.935242	-89.918701
29.271698	-85.017464
29.608154	-94.135216
29.944611	-88.396378
30.281067	-85.797928
30.617523	-92.834946
30.953979	-87.332542
31.290436	-89.826332
31.626892	-87.993744
31.963348	-87.934044
32.299805	-88.570511
32.636261	-89.344887
32.972717	-85.925117
33.309174	-84.644920
33.645630	-86.504959
33.982086	-84.950302
34.318542	-88.446815
34.654999	-84.437950
34.991455	-87.619583
35.327911	-88.741684
35.664368	-86.983261
36.000824	-86.917297
36.337280	-86.323929
36.673737	-89.602203
37.010193	-87.540680
37.346649	-88.700142
37.683105	-87.848419
38.019562	-90.705612
38.356018	-88.228775
38.692474	-87.221466
39.028931	-90.857391
39.365387	-88.761230
39.701843	-87.895515
40.038300	-95.067314
40.374756	-87.257523
40.711212	-88.921440
41.047668	-88.209381
41.384125	-90.015465
41.720581	-89.499962
42.057037	-89.257256
42.393494	-90.387001
42.729950	-87.197624
43.066406	-83.741493
43.402863	-88.529526
43.739319	-87.169418
44.075775	-89.885155
44.412231	-88.784355
44.748688	-89.945381
45.085144	-89.376503
45.421600	-89.970032
45.758057	-86.267921
46.094513	-90.478851
46.430969	-87.314636
46.767426	-88.913765
47.103882	-89.852196
47.440338	-87.332420
47.776794	-88.672142
48.113251	-87.097290
48.449707	-89.862549
48.786163	-90.465324
49.122620	-88.669296
49.459076	-88.080276
49.795532	-90.151443
50.131989	-90.180351
50.468445	-89.003235
50.804901	-89.652161
51.141357	-89.241760
51.477814	-88.118217
51.814270	-89.346306
52.150726	-88.741982
52.487183	-90.729767
52.823639	-87.873444
53.160095	-90.804451
53.496552	-85.204391
53.833008	-89.400627
54.169464	-89.330399
54.505920	-87.284332
54.842377	-87.836098
55.178833	-88.001289
55.515289	-87.870728
55.851746	-88.074577
56.188202	-88.018509
56.524658	-88.397072
56.861115	-88.708641
57.197571	-88.364059
57.534027	-86.508606
57.870483	-91.450706
58.206940	-86.687035
58.543396	-89.225632
58.879852	-88.262199
59.216309	-87.338768
59.552765	-88.337402
59.889221	-82.620155
60.225677	-84.703445
60.562134	-87.899391
60.898590	-88.477089
61.235046	-86.809502
61.571503	-90.186668
61.907959	-85.955399
62.244415	-87.545609
62.580872	-86.739075
62.917328	-89.006828
63.253784	-86.860107
63.590240	-87.276512
63.926697	-87.221619
64.263153	-87.235146
64.599609	-87.806595
64.936066	-86.326202
65.272522	-88.091621
65.608978	-85.689735
65.945435	-87.307541
66.281891	-87.880287
66.618347	-86.589500
66.954803	-85.714043
67.291260	-88.006981
67.627716	-84.648064
67.964172	-87.921638
68.300629	-84.793785
68.637085	-86.502075
68.973541	-87.623856
69.309998	-85.532532
69.646454	-84.632111
69.982910	-86.832542
70.319366	-85.722916
70.655823	-85.911057
70.992279	-84.217728
71.328735	-85.966171
71.665192	-86.256882
72.001648	-84.351372
72.338104	-84.522530
72.674561	-85.337479
73.011017	-84.530334
73.347473	-85.686829
73.683929	-83.411583
74.020386	-85.941391
74.356842	-83.627419
74.693298	-84.667450
75.029755	-85.523758
75.366211	-83.549126
75.702667	-84.381805
76.039124	-83.976341
76.375580	-83.854759
76.712036	-83.947639
77.048492	-84.149971
77.384949	-82.935532
77.721405	-83.820984
78.057861	-83.336372
78.394318	-83.251602
78.730774	-83.273926
79.067230	-82.528938
79.403687	-83.120300
79.740143	-82.727509
80.076599	-82.647583
80.413055	-82.246361
80.749512	-82.845001
81.085968	-81.124123
81.422424	-82.538422
81.758881	-82.160141
82.095337	-81.547188
82.431793	-81.780571
82.768250	-81.186111
83.104706	-80.796562
83.441162	-81.051903
83.777618	-81.845894
84.114075	-80.138329
84.450531	-80.446251
84.786987	-80.464745
85.123444	-79.567192
85.459900	-80.288887
85.796356	-79.700859
86.132812	-79.532150
86.469269	-79.650398
86.805725	-78.804840
87.142181	-78.894356
87.478638	-78.811470
87.815094	-78.052902
88.151550	-78.518471
88.488007	-77.786613
88.824463	-77.867035
89.160919	-77.513649
89.497375	-76.903770
89.833832	-77.376320
90.170288	-76.267281
90.506744	-76.759445
90.843201	-75.640686
91.179657	-75.943413
91.516113	-75.224937
91.852570	-74.960487
92.189026	-74.799652
92.525482	-74.065315
92.861938	-74.005859
93.198395	-73.681389
93.534851	-72.943871
93.871307	-72.578262
94.207764	-72.191566
94.544220	-71.472771
94.880676	-71.272903
95.217133	-70.598595
95.553589	-69.930359
95.890045	-69.364662
96.226501	-68.662415
96.562958	-67.824272
96.899414	-67.240532
97.235870	-66.417274
97.572327	-65.401871
97.908783	-64.584045
98.245239	-63.765484
98.581696	-63.384762
98.918152	-65.800568
99.254608	-60.493641
99.591064	-27.695236
99.927521	-16.724285
100.263977	-20.935593
100.600433	-48.249714
100.936890	-72.635300
101.273346	-63.681385
101.609802	-63.500134
101.946259	-64.260094
102.282715	-65.031082
102.619171	-65.988647
102.955627	-66.772530
103.292084	-67.692879
103.628540	-68.274033
103.964996	-69.056328
104.301453	-69.804916
104.637909	-70.131805
104.974365	-70.956337
105.310822	-71.453003
105.647278	-71.870728
105.983734	-72.514519
106.320190	-72.762199
106.656647	-73.314857
106.993103	-73.672104
107.329559	-74.177223
107.666016	-74.448586
108.002472	-74.684418
108.338928	-75.292915
108.675385	-75.397881
109.011841	-76.062737
109.348297	-75.952347
109.684753	-76.536751
110.021210	-76.818550
110.357666	-76.911636
110.694122	-77.463600
111.030579	-77.474846
111.367035	-77.489891
111.703491	-78.296982
112.039948	-78.394844
112.376404	-78.360001
112.712860	-78.693802
113.049316	-79.110062
113.385773	-79.006973
113.722229	-79.721664
114.058685	-78.859703
114.395142	-80.407784
114.731598	-79.395729
115.068054	-80.683144
115.404510	-79.993958
115.740967	-80.865501
116.077423	-80.843849
116.413879	-81.006111
116.750336	-80.881912
117.086792	-81.452271
117.423248	-81.175293
117.759705	-81.739708
118.096161	-81.885239
118.432617	-81.962601
118.769073	-81.177887
119.105530	-82.890305
119.441986	-82.503052
119.778442	-82.770302
120.114899	-81.579163
120.451355	-83.436501
120.787811	-81.834450
121.124268	-83.988914
121.460724	-82.584076
121.797180	-83.497894
122.133636	-83.978989
122.470093	-83.302666
122.806549	-83.246216
123.143005	-84.003906
123.479462	-84.925079
123.815918	-83.555939
124.152374	-84.021622
124.488831	-84.344101
124.825287	-84.156776
125.161743	-84.698952
125.498199	-84.613144
125.834656	-84.913406
126.171112	-84.194572
126.507568	-85.474518
126.844025	-84.594902
127.180481	-85.705971
127.516937	-84.681282
127.853394	-85.634201
128.189850	-85.445084
128.526306	-85.761406
128.862762	-85.571548
129.199219	-86.023041
129.535675	-85.132225
129.872131	-86.281456
130.208588	-86.164978
130.545044	-85.939041
130.881500	-86.000816
131.217957	-86.763298
131.554413	-86.278259
131.890869	-86.580452
132.227325	-86.009308
132.563782	-87.274887
132.900238	-86.537704
133.236694	-86.558723
133.573151	-88.268013
133.909607	-85.825134
134.246063	-87.589958
134.582520	-87.143547
134.918976	-87.896126
135.255432	-86.496704
135.591888	-87.734306
135.928345	-87.677391
136.264801	-86.717415
136.601257	-87.053581
136.937714	-89.597305
137.274170	-86.953453
137.610626	-87.666939
137.947083	-87.959610
138.283539	-88.153252
138.619995	-87.719551
138.956451	-87.307587
139.292908	-89.322098
139.629364	-87.172302
139.965820	-89.435226
140.302277	-87.119934
140.638733	-89.275108
140.975189	-89.147072
141.311646	-87.552284
141.648102	-89.181213
141.984558	-87.972168
142.321014	-90.015793
142.657471	-87.252121
142.993927	-90.796837
143.330383	-87.966499
143.666840	-89.186707
144.003296	-88.661316
144.339752	-88.767776
144.676208	-89.105148
145.012665	-89.125015
145.349121	-89.054321
145.685577	-87.890656
146.022034	-91.414291
146.358490	-87.551224
146.694946	-90.327881
147.031403	-89.878639
147.367859	-89.710114
147.704315	-89.620178
148.040771	-90.085075
148.377228	-89.607849
148.713684	-91.118011
149.050140	-88.112465
149.386597	-91.294357
149.723053	-89.445892
150.059509	-90.986832
150.395966	-90.655815
150.732422	-89.716576
151.068878	-89.511345
151.405334	-91.685516
151.741791	-87.694084
152.078247	-93.163147
152.414703	-90.600441
152.751160	-90.658745
153.087616	-91.061707
153.424072	-90.979904
153.760529	-90.477562
154.096985	-90.308113
154.433441	-91.868507
154.769897	-89.990013
155.106354	-90.147476
155.442810	-90.534538
155.779266	-91.253197
156.115723	-90.996071
156.452179	-89.106461
156.788635	-93.005867
157.125092	-90.632851
157.461548	-91.336121
157.798004	-91.124062
158.134460	-91.437950
158.470917	-91.383575
158.807373	-90.283745
159.143829	-91.574005
159.480286	-91.964828
159.816742	-90.344536
160.153198	-92.128036
160.489655	-91.688843
160.826111	-92.327156
161.162567	-90.853645
161.499023	-91.298996
161.835480	-92.318657
162.171936	-91.183617
162.508392	-93.644241
162.844849	-91.311203
163.181305	-90.637115
163.517761	-93.925438
163.854218	-90.223030
164.190674	-94.097839
164.527130	-91.328720
164.863586	-92.520081
165.200043	-93.203377
165.536499	-91.627831
165.872955	-92.969810
166.209412	-91.654343
166.545868	-91.714134
166.882324	-92.829102
167.218781	-91.480446
167.555237	-94.205231
167.891693	-91.651390
168.228149	-92.324333
168.564606	-91.589722
168.901062	-92.593124
169.237518	-94.246338
169.573975	-90.688194
169.910431	-96.310188
170.246887	-90.679825
170.583344	-93.077950
170.919800	-94.248413
171.256256	-90.855988
171.592712	-94.460976
171.929169	-93.464745
172.265625	-91.344849
172.602081	-94.224113
172.938538	-92.932053
173.274994	-91.776184
173.611450	-93.691376
173.947906	-94.501801
174.284363	-92.603722
174.620819	-93.953239
174.957275	-91.947266
175.293732	-96.075806
175.630188	-91.538986
175.966644	-93.808311
176.303101	-93.152367
176.639557	-92.023415
176.976013	-94.555695
177.312469	-93.085556
177.648926	-92.526901
177.985382	-92.168556
178.321838	-94.946991
178.658295	-93.073036
178.994751	-93.322128
179.331207	-93.378975
179.667664	-94.982391
180.004120	-87.840004
180.340576	-95.412796
180.677032	-93.950714
181.013489	-93.503220
181.349945	-92.643372
181.686401	-95.148926
182.022858	-93.134720
182.359314	-94.027817
182.695770	-94.162910
183.032227	-93.088432
183.368683	-94.114647
183.705139	-93.164520
184.041595	-92.684982
184.378052	-95.883125
184.714508	-91.376289
185.050964	-94.125160
185.387421	-91.360207
185.723877	-94.014709
186.060333	-94.681786
186.396790	-94.273499
186.733246	-93.713593
187.069702	-94.370880
187.406158	-93.436119
187.742615	-94.417297
188.079071	-94.681252
188.415527	-93.629005
188.751984	-92.781212
189.088440	-95.283867
189.424896	-93.361504
189.761353	-94.791626
190.097809	-94.261391
190.434265	-94.705963
190.770721	-95.512199
191.107178	-92.446701
191.443634	-95.371330
191.780090	-94.619911
192.116547	-95.381241
192.453003	-93.941498
192.789459	-93.752174
193.125916	-95.242172
193.462372	-93.881851
193.798828	-95.602226
194.135284	-93.733894
194.471741	-96.284958
194.808197	-93.349533
195.144653	-93.851234
195.481110	-97.074837
195.817566	-93.280144
196.154022	-95.802612
196.490479	-94.471863
196.826935	-94.668976
197.163391	-93.742905
197.499847	-94.790337
197.836304	-96.695473
198.172760	-94.379173
198.509216	-95.446289
198.845673	-94.796036
199.182129	-94.951973
199.518585	-92.215538
199.855042	-93.631821
200.191498	-96.301514
200.527954	-93.910973
200.864410	-93.115562
201.200867	-96.213730
201.537323	-96.531326
201.873779	-93.926529
202.210236	-93.993607
202.546692	-96.358391
202.883148	-96.944710
203.219604	-94.373970
203.556061	-98.060440
203.892517	-95.524567
204.228973	-94.846283
204.565430	-97.296120
204.901886	-93.214813
205.238342	-96.959320
205.574799	-95.906693
205.911255	-96.777580
206.247711	-95.567490
206.584167	-94.790642
206.920624	-94.905312
207.257080	-94.764603
207.593536	-97.334541
207.929993	-95.855553
208.266449	-94.007385
208.602905	-98.399796
208.939362	-92.952324
209.275818	-98.886703
209.612274	-95.348244
209.948730	-96.315109
210.285187	-96.228935
210.621643	-95.421478
210.958099	-95.774658
211.294556	-96.793388
211.631012	-95.958801
211.967468	-96.011909
212.303925	-94.532509
212.640381	-96.915833
212.976837	-97.941986
213.313293	-93.957626
213.649750	-97.193245
213.986206	-95.526726
214.322662	-97.544098
214.659119	-96.204224
214.995575	-97.074806
215.332031	-96.200081
215.668488	-94.180405
216.004944	-96.353905
216.341400	-96.896973
216.677856	-96.023094
217.014313	-96.445084
217.350769	-96.309631
217.687225	-98.560905
218.023682	-94.956818
218.360138	-94.879951
218.696594	-95.710274
219.033051	-96.391426
219.369507	-96.524963
219.705963	-95.627190
220.042419	-95.227180
220.378876	-95.691803
220.715332	-95.231537
221.051788	-95.141174
221.388245	-98.462524
221.724701	-94.848083
222.061157	-97.932922
222.397614	-97.019035
222.734070	-94.882141
223.070526	-97.432495
223.406982	-97.155418
223.743439	-95.949539
224.079895	-96.601883
224.416351	-96.486275
224.752808	-97.125328
225.089264	-95.460289
225.425720	-97.210060
225.762177	-95.576630
226.098633	-99.403366
226.435089	-96.683556
226.771545	-96.636246
227.108002	-95.962791
227.444458	-97.829681
227.780914	-95.543175
228.117371	-97.372803
228.453827	-94.989838
228.790283	-97.035461
229.126740	-95.539612
229.463196	-96.496025
229.799652	-94.423134
230.136108	-95.783112
230.472565	-99.202179
230.809021	-96.302269
231.145477	-97.219994
231.481934	-97.598183
231.818390	-95.761940
232.154846	-96.756966
232.491302	-97.711411
232.827759	-97.837860
233.164215	-97.820122
233.500671	-97.826790
233.837128	-98.663872
234.173584	-97.281761
234.510040	-96.137253
234.846497	-97.962227
235.182953	-98.326485
235.519409	-95.746483
235.855865	-100.535812
236.192322	-95.162521
236.528778	-99.670647
236.865234	-98.474335
237.201691	-95.780952
237.538147	-96.957611
237.874603	-100.112877
238.211060	-96.442802
238.547516	-97.472534
238.883972	-97.559944
239.220428	-96.350487
239.556885	-96.517548
239.893341	-100.621300
240.229797	-95.926666
240.566254	-97.668556
240.902710	-95.051857
241.239166	-97.796616
241.575623	-96.726738
241.912079	-97.078224
242.248535	-99.216568
242.584991	-96.152489
242.921448	-100.003059
243.257904	-98.499924
243.594360	-98.046928
243.930817	-96.555916
244.267273	-98.746078
244.603729	-97.418297
244.940186	-96.278755
245.276642	-102.065933
245.613098	-96.431747
245.949554	-96.122528
246.286011	-98.977997
246.622467	-95.732414
246.958923	-97.339615
247.295380	-94.328064
247.631836	-99.036407
247.968292	-96.072624
248.304749	-96.547180
248.641205	-98.242981
248.977661	-97.848625
249.314117	-95.811111
249.650574	-98.030708
249.987030	-98.212952
250.323486	-96.458977
250.659943	-100.933258
250.996399	-97.011772
251.332855	-98.533226
251.669312	-97.663513
252.005768	-97.752113
252.342224	-97.296242
252.678680	-98.713852
253.015137	-98.624763
253.351593	-96.308296
253.688049	-99.451492
254.024506	-97.992050
254.360962	-98.203354
254.697418	-96.598267
255.033875	-98.198547
255.370331	-96.430214
255.706787	-99.054787
256.043243	-100.071709
256.379700	-99.024506
