Frequency (Hz)	Level (dB)
0.336456	-71.054779
0.672913	-71.330315
1.009369	-67.673546
1.345825	-66.937988
1.682281	-66.760391
2.018738	-68.911827
2.355194	-67.671745
2.691650	-66.708305
3.028107	-66.002167
3.364563	-67.682449
3.701019	-72.206779
4.037476	-72.922455
4.373932	-70.267807
4.710388	-77.681831
5.046844	-77.567825
5.383301	-74.427048
5.719757	-74.933296
6.056213	-74.792351
6.392670	-76.684761
6.729126	-78.098976
7.065582	-79.730286
7.402039	-80.149940
7.738495	-78.447487
8.074951	-77.013344
8.411407	-76.483215
8.747864	-76.177185
9.084320	-78.808372
9.420776	-78.210403
9.757233	-82.635803
10.093689	-79.654953
10.430145	-81.700073
10.766602	-81.338455
11.103058	-81.006615
11.439514	-81.255852
11.775970	-82.933601
12.112427	-79.821808
12.448883	-76.659035
12.785339	-78.703659
13.121796	-82.988731
13.458252	-80.255341
13.794708	-81.855209
14.131165	-82.898849
14.467621	-86.793579
14.804077	-84.034042
15.140533	-88.029190
15.476990	-87.567993
15.813446	-86.446274
16.149902	-86.391296
16.486359	-82.988007
16.822815	-81.387138
17.159271	-83.129784
17.495728	-85.900894
17.832184	-86.766228
18.168640	-85.798378
18.505096	-85.248306
18.841553	-82.283859
19.178009	-84.343811
19.514465	-86.687012
19.850922	-85.865128
20.187378	-88.190933
20.523834	-88.887772
20.860291	-84.701332
21.196747	-91.001930
21.533203	-86.700851
21.869659	-83.187042
22.206116	-88.167015
22.542572	-86.867355
22.879028	-85.686035
23.215485	-90.323044
23.551941	-86.745277
23.888397	-86.780838
24.224854	-83.985809
24.561310	-87.465874
24.897766	-83.745308
25.234222	-87.709183
25.570679	-88.405060
25.907135	-91.544456
26.243591	-87.144402
26.580048	-90.384094
26.916504	-86.881042
27.252960	-89.731789
27.589417	-89.952850
27.925873	-83.124741
28.262329	-82.819794
28.598785	-87.879509
28.935242	-89.754745
29.271698	-87.819603
29.608154	-93.585663
29.944611	-93.274597
30.281067	-90.100594
30.617523	-87.109192
30.953979	-85.567917
31.290436	-84.238724
31.626892	-86.755417
31.963348	-91.597191
32.299805	-87.883347
32.636261	-96.170853
32.972717	-87.755119
33.309174	-91.254822
33.645630	-88.571854
33.982086	-91.611557
34.318542	-85.365303
34.654999	-85.713692
34.991455	-87.249222
35.327911	-90.800476
35.664368	-90.818153
36.000824	-90.158005
36.337280	-91.506653
36.673737	-90.345879
37.010193	-86.872269
37.346649	-82.256172
37.683105	-81.226700
38.019562	-89.241180
38.356018	-89.735664
38.692474	-92.298889
39.028931	-89.021042
39.365387	-90.802223
39.701843	-90.316475
40.038300	-89.575966
40.374756	-89.241142
40.711212	-88.303848
41.047668	-90.021416
41.384125	-90.653389
41.720581	-89.266678
42.057037	-93.057953
42.393494	-88.635712
42.729950	-91.243126
43.066406	-92.262383
43.402863	-86.289574
43.739319	-81.051743
44.075775	-85.977127
44.412231	-89.512543
44.748688	-88.160545
45.085144	-91.036873
45.421600	-91.458740
45.758057	-87.643822
46.094513	-94.030350
46.430969	-84.661949
46.767426	-72.034889
47.103882	-75.392998
47.440338	-90.073959
47.776794	-89.681923
48.113251	-90.495796
48.449707	-89.105286
48.786163	-92.792763
49.122620	-89.605080
49.459076	-89.654999
49.795532	-81.166100
50.131989	-80.734489
50.468445	-88.741043
50.804901	-93.115776
51.141357	-87.771912
51.477814	-90.699081
51.814270	-89.902649
52.150726	-88.752571
52.487183	-87.179703
52.823639	-90.017830
53.160095	-87.480324
53.496552	-89.069893
53.833008	-90.208549
54.169464	-90.438293
54.505920	-90.245277
54.842377	-89.590263
55.178833	-89.737762
55.515289	-89.597763
55.851746	-89.686905
56.188202	-88.891571
56.524658	-89.454063
56.861115	-89.697098
57.197571	-89.597008
57.534027	-88.692032
57.870483	-90.043221
58.206940	-89.317795
58.543396	-90.054428
58.879852	-88.983673
59.216309	-78.957695
59.552765	-78.224182
59.889221	-81.594826
60.225677	-84.803993
60.562134	-89.848244
60.898590	-89.740463
61.235046	-89.825752
61.571503	-88.011864
61.907959	-90.190544
62.244415	-87.042458
62.580872	-85.597084
62.917328	-86.515205
63.253784	-91.267815
63.590240	-88.164795
63.926697	-88.618935
64.263153	-90.389771
64.599609	-88.659866
64.936066	-87.597717
65.272522	-86.046242
65.608978	-88.699219
65.945435	-84.485161
66.281891	-88.840599
66.618347	-87.422623
66.954803	-88.698204
67.291260	-87.187103
67.627716	-88.130440
67.964172	-86.044151
68.300629	-89.268181
68.637085	-82.003365
68.973541	-83.027489
69.309998	-87.107834
69.646454	-88.304123
69.982910	-87.016617
70.319366	-86.718658
70.655823	-87.017334
70.992279	-86.436707
