Frequency (Hz)	Level (dB)
0.336456	-72.318871
0.672913	-70.873322
1.009369	-66.738449
1.345825	-63.667942
1.682281	-63.215366
2.018738	-66.720642
2.355194	-68.792984
2.691650	-68.612625
3.028107	-70.046532
3.364563	-75.682518
3.701019	-70.487984
4.037476	-68.251343
4.373932	-74.081841
4.710388	-75.831482
5.046844	-75.317734
5.383301	-74.459274
5.719757	-72.940994
6.056213	-74.441467
6.392670	-73.404091
6.729126	-75.241241
7.065582	-80.402985
7.402039	-77.528145
7.738495	-77.462921
8.074951	-80.687134
8.411407	-76.814087
8.747864	-77.498093
9.084320	-77.502945
9.420776	-81.299980
9.757233	-81.034332
10.093689	-79.576729
10.430145	-80.501762
10.766602	-82.721924
11.103058	-81.734825
11.439514	-79.477776
11.775970	-82.502899
12.112427	-82.386780
12.448883	-79.592552
12.785339	-82.430862
13.121796	-84.139381
13.458252	-83.026230
13.794708	-83.384758
14.131165	-85.749489
14.467621	-86.495018
14.804077	-85.395294
15.140533	-84.139580
15.476990	-84.741516
15.813446	-84.710724
16.149902	-86.033943
16.486359	-87.704941
16.822815	-85.337120
17.159271	-84.434570
17.495728	-84.368538
17.832184	-86.820427
18.168640	-85.917847
18.505096	-83.340828
18.841553	-84.020370
19.178009	-86.367584
19.514465	-86.468681
19.850922	-85.361076
20.187378	-86.810654
20.523834	-87.118263
20.860291	-84.663132
21.196747	-89.581398
21.533203	-88.818787
21.869659	-87.991158
22.206116	-85.698669
22.542572	-90.008224
22.879028	-88.706924
23.215485	-94.099167
23.551941	-86.912926
23.888397	-88.652069
24.224854	-87.478638
24.561310	-87.183884
24.897766	-87.724281
25.234222	-89.078545
25.570679	-90.535187
25.907135	-89.430878
26.243591	-88.242752
26.580048	-87.654305
26.916504	-89.480812
27.252960	-92.252625
27.589417	-90.931114
27.925873	-89.820099
28.262329	-88.980026
28.598785	-88.655006
28.935242	-89.988792
29.271698	-91.260696
29.608154	-89.124702
29.944611	-86.909241
30.281067	-90.834389
30.617523	-88.406944
30.953979	-91.933235
31.290436	-90.116142
31.626892	-88.051987
31.963348	-87.567398
32.299805	-89.272743
32.636261	-85.751976
32.972717	-90.524345
33.309174	-89.380325
33.645630	-86.046753
33.982086	-91.061668
34.318542	-91.268272
34.654999	-87.048065
34.991455	-92.146072
35.327911	-90.567322
35.664368	-89.441582
36.000824	-90.636932
36.337280	-86.472198
36.673737	-89.383148
37.010193	-89.642776
37.346649	-90.757217
37.683105	-87.523270
38.019562	-93.068359
38.356018	-88.029686
38.692474	-91.746353
39.028931	-89.272400
39.365387	-91.972015
39.701843	-90.958717
40.038300	-90.202179
40.374756	-91.658257
40.711212	-87.474792
41.047668	-88.917740
41.384125	-91.575859
41.720581	-86.698563
42.057037	-89.527443
42.393494	-90.667137
42.729950	-89.114975
43.066406	-89.864815
43.402863	-88.584038
43.739319	-89.775963
44.075775	-87.708107
44.412231	-91.073479
44.748688	-88.318520
45.085144	-89.866638
45.421600	-91.169609
45.758057	-89.217827
46.094513	-93.650291
46.430969	-88.175880
46.767426	-89.466408
47.103882	-90.256287
47.440338	-88.360367
47.776794	-91.358971
48.113251	-88.761040
48.449707	-88.815994
48.786163	-91.381790
49.122620	-90.313644
49.459076	-87.976913
49.795532	-91.372696
50.131989	-90.321480
50.468445	-89.984581
50.804901	-88.990868
51.141357	-90.485977
51.477814	-90.166702
51.814270	-89.443390
52.150726	-89.779106
52.487183	-90.532310
52.823639	-88.548264
53.160095	-91.102219
53.496552	-88.088188
53.833008	-89.271500
54.169464	-90.814651
54.505920	-89.324837
54.842377	-88.412796
55.178833	-90.829948
55.515289	-87.516792
55.851746	-89.688461
56.188202	-90.757988
56.524658	-89.524673
56.861115	-88.219238
57.197571	-89.607933
57.534027	-88.438026
57.870483	-89.989395
58.206940	-86.739632
58.543396	-90.169327
58.879852	-87.396965
59.216309	-88.780899
59.552765	-89.598213
59.889221	-84.398262
60.225677	-86.281403
60.562134	-89.534416
60.898590	-86.860756
61.235046	-90.266045
61.571503	-89.336380
61.907959	-87.964951
62.244415	-89.212479
62.580872	-86.748047
62.917328	-88.947548
63.253784	-87.331444
63.590240	-89.121582
63.926697	-86.726280
64.263153	-88.221611
64.599609	-87.115646
64.936066	-89.168388
65.272522	-87.901306
65.608978	-86.957161
65.945435	-87.756630
66.281891	-88.338142
66.618347	-86.182877
66.954803	-88.341080
67.291260	-86.038536
67.627716	-86.433685
67.964172	-87.542847
68.300629	-87.896599
68.637085	-87.065834
68.973541	-86.550201
69.309998	-87.915276
69.646454	-85.821877
69.982910	-86.767746
70.319366	-88.258026
70.655823	-85.331154
70.992279	-87.489723
71.328735	-85.816536
71.665192	-85.628265
72.001648	-79.938972
72.338104	-76.887169
72.674561	-82.805130
73.011017	-84.708282
73.347473	-86.636192
73.683929	-86.132919
74.020386	-85.681221
74.356842	-84.729225
74.693298	-86.318733
75.029755	-84.557686
75.366211	-86.152046
75.702667	-84.978989
76.039124	-85.476967
76.375580	-84.303528
76.712036	-85.538651
77.048492	-83.953346
77.384949	-84.959084
77.721405	-84.988396
78.057861	-83.887894
78.394318	-84.731766
78.730774	-83.813858
79.067230	-84.129585
79.403687	-83.524582
79.740143	-84.388542
80.076599	-83.745499
80.413055	-82.335617
80.749512	-83.990509
81.085968	-83.036324
81.422424	-82.837761
81.758881	-82.202133
82.095337	-83.372444
82.431793	-82.008461
82.768250	-82.112610
83.104706	-82.971550
83.441162	-81.538292
83.777618	-81.905418
84.114075	-81.583176
84.450531	-82.075546
84.786987	-81.012947
85.123444	-81.397247
85.459900	-81.202538
85.796356	-79.959015
86.132812	-80.869247
86.469269	-80.825081
86.805725	-79.866402
87.142181	-79.714775
87.478638	-80.048088
87.815094	-79.038734
88.151550	-79.684067
88.488007	-78.752983
88.824463	-78.752464
89.160919	-78.437904
89.497375	-78.157356
89.833832	-78.070297
90.170288	-77.591522
90.506744	-77.322800
90.843201	-77.126183
91.179657	-76.786568
91.516113	-76.295944
91.852570	-76.201019
92.189026	-75.499825
92.525482	-75.599121
92.861938	-74.989822
93.198395	-74.137558
93.534851	-74.282707
93.871307	-73.628746
94.207764	-73.353180
94.544220	-72.508797
94.880676	-72.153954
95.217133	-71.842613
95.553589	-70.848450
95.890045	-70.512199
96.226501	-69.704094
96.562958	-68.862534
96.899414	-68.301208
97.235870	-67.364342
97.572327	-66.556473
97.908783	-65.605896
98.245239	-64.830185
98.581696	-64.445190
98.918152	-66.701340
99.254608	-62.267109
99.591064	-29.878464
99.927521	-18.524096
100.263977	-22.429426
100.600433	-48.701462
100.936890	-74.015213
101.273346	-64.903687
101.609802	-64.498260
101.946259	-65.205589
102.282715	-66.147995
102.619171	-66.955925
102.955627	-67.876144
103.292084	-68.716881
103.628540	-69.352295
103.964996	-70.107849
104.301453	-70.679359
104.637909	-71.554260
104.974365	-71.776680
105.310822	-72.308502
105.647278	-73.163414
105.983734	-73.384033
106.320190	-73.986000
106.656647	-74.169014
106.993103	-74.961411
107.329559	-74.892212
107.666016	-75.662827
108.002472	-76.075218
108.338928	-76.084114
108.675385	-76.618378
109.011841	-77.029175
109.348297	-77.001541
109.684753	-77.605362
110.021210	-77.766052
110.357666	-78.227036
110.694122	-78.334152
111.030579	-78.535095
111.367035	-79.294167
111.703491	-78.834076
112.039948	-79.282227
112.376404	-79.545906
112.712860	-80.258179
113.049316	-79.756950
113.385773	-80.727623
113.722229	-80.243767
114.058685	-80.469986
114.395142	-81.005806
114.731598	-80.933380
115.068054	-81.651611
115.404510	-81.084473
115.740967	-81.503525
116.077423	-81.961281
116.413879	-81.837639
116.750336	-83.041908
117.086792	-81.707237
117.423248	-82.875214
117.759705	-82.893013
118.096161	-81.718536
118.432617	-83.380104
118.769073	-83.568497
119.105530	-82.704109
119.441986	-84.663353
119.778442	-82.900642
120.114899	-83.765663
120.451355	-83.172432
120.787811	-85.266594
121.124268	-83.332344
121.460724	-84.862091
121.797180	-83.913803
122.133636	-84.514854
122.470093	-84.538307
122.806549	-85.109772
123.143005	-84.801888
123.479462	-84.757950
123.815918	-85.099503
124.152374	-85.201027
124.488831	-85.681938
124.825287	-84.305862
125.161743	-86.807167
125.498199	-84.513702
125.834656	-87.249336
126.171112	-84.923080
126.507568	-86.688225
126.844025	-86.366341
127.180481	-86.227592
127.516937	-86.083351
127.853394	-86.904373
128.189850	-86.077293
128.526306	-86.919884
128.862762	-86.613297
129.199219	-87.001900
129.535675	-87.283875
129.872131	-86.538635
130.208588	-87.653801
130.545044	-86.875160
130.881500	-87.817162
131.217957	-87.225571
131.554413	-87.629066
131.890869	-86.931435
132.227325	-88.131317
132.563782	-87.098488
132.900238	-88.870743
133.236694	-87.449814
133.573151	-88.095039
133.909607	-87.718102
134.246063	-88.314522
134.582520	-87.983154
134.918976	-89.039047
135.255432	-87.787895
135.591888	-88.794853
135.928345	-87.984711
136.264801	-89.695267
136.601257	-87.916946
136.937714	-88.490479
137.274170	-89.539284
137.610626	-87.999275
137.947083	-89.704964
138.283539	-89.299118
138.619995	-88.986465
138.956451	-89.584358
139.292908	-88.555389
139.629364	-91.744965
139.965820	-87.220337
140.302277	-89.972504
140.638733	-90.128563
140.975189	-87.431747
141.311646	-91.418350
141.648102	-89.955032
141.984558	-89.114403
142.321014	-89.714233
142.657471	-90.219421
142.993927	-89.260567
143.330383	-90.676743
143.666840	-89.154678
144.003296	-91.208900
144.339752	-85.919006
144.676208	-83.474380
145.012665	-90.997574
145.349121	-89.651711
145.685577	-90.100159
146.022034	-90.227448
146.358490	-91.755974
146.694946	-89.514328
147.031403	-90.599586
147.367859	-91.557320
147.704315	-90.063728
148.040771	-91.259315
148.377228	-90.034927
148.713684	-91.466003
149.050140	-89.836914
149.386597	-91.962395
149.723053	-90.762535
150.059509	-91.299843
150.395966	-91.841301
150.732422	-89.909058
151.068878	-91.637703
151.405334	-90.117088
151.741791	-91.803246
152.078247	-92.498848
152.414703	-89.915741
152.751160	-91.619202
153.087616	-92.215591
153.424072	-90.283875
153.760529	-91.068527
154.096985	-91.484879
154.433441	-92.485023
154.769897	-90.946327
155.106354	-92.604729
155.442810	-91.706940
155.779266	-91.064285
156.115723	-91.727760
156.452179	-92.445358
156.788635	-91.316078
157.125092	-92.274414
157.461548	-91.248497
157.798004	-93.484848
158.134460	-90.961502
158.470917	-93.030663
158.807373	-91.763283
159.143829	-91.348862
159.480286	-93.707596
159.816742	-91.467957
160.153198	-93.271805
160.489655	-94.294746
160.826111	-92.061310
161.162567	-91.239876
