Frequency (Hz)	Level (dB)
0.336456	-71.131836
0.672913	-67.856056
1.009369	-63.903942
1.345825	-63.254868
1.682281	-64.179726
2.018738	-65.110748
2.355194	-64.851517
2.691650	-67.672157
3.028107	-71.155289
3.364563	-71.795731
3.701019	-70.083260
4.037476	-75.083237
4.373932	-74.829361
4.710388	-75.026855
5.046844	-74.864273
5.383301	-73.069046
5.719757	-73.157051
6.056213	-75.269333
6.392670	-80.364090
6.729126	-80.870369
7.065582	-80.738113
7.402039	-78.874527
7.738495	-80.434914
8.074951	-77.702347
8.411407	-79.168480
8.747864	-80.898781
9.084320	-78.314125
9.420776	-77.886772
9.757233	-80.489189
10.093689	-79.390106
10.430145	-82.917480
10.766602	-81.832001
11.103058	-80.579323
11.439514	-80.267578
11.775970	-81.560432
12.112427	-83.466576
12.448883	-80.892616
12.785339	-83.213028
13.121796	-88.064079
13.458252	-86.313271
13.794708	-84.835129
14.131165	-81.308128
14.467621	-83.737892
14.804077	-82.995277
15.140533	-84.331718
15.476990	-84.056129
15.813446	-84.752052
16.149902	-86.366081
16.486359	-85.220039
16.822815	-84.768394
17.159271	-85.504814
17.495728	-87.452805
17.832184	-87.659378
18.168640	-87.525406
18.505096	-86.202888
18.841553	-85.155212
19.178009	-87.727509
19.514465	-92.062523
19.850922	-84.015953
20.187378	-85.921936
20.523834	-83.497513
20.860291	-84.977005
21.196747	-82.634712
21.533203	-86.595314
21.869659	-86.753906
22.206116	-87.984207
22.542572	-86.175110
22.879028	-84.876450
23.215485	-89.613014
23.551941	-87.278778
23.888397	-86.397820
24.224854	-89.182915
24.561310	-90.292320
24.897766	-87.752602
25.234222	-86.175102
25.570679	-88.414467
25.907135	-87.579437
26.243591	-91.186180
26.580048	-90.438721
26.916504	-88.483215
27.252960	-90.635139
27.589417	-87.682999
27.925873	-89.859612
28.262329	-91.109879
28.598785	-87.308510
28.935242	-88.528183
29.271698	-91.633247
29.608154	-87.297379
29.944611	-88.853905
30.281067	-92.577110
30.617523	-89.929482
30.953979	-89.565552
31.290436	-91.077507
31.626892	-89.876915
31.963348	-93.356812
32.299805	-87.458855
32.636261	-91.182304
32.972717	-90.189339
33.309174	-89.272270
33.645630	-90.690903
33.982086	-90.124680
34.318542	-90.596634
34.654999	-87.893700
34.991455	-88.148979
35.327911	-91.214851
35.664368	-90.364517
36.000824	-91.815224
36.337280	-90.434998
36.673737	-88.825195
37.010193	-90.211151
37.346649	-88.632942
37.683105	-90.630219
38.019562	-89.794220
38.356018	-89.817169
38.692474	-95.146065
39.028931	-89.813591
39.365387	-87.285957
39.701843	-89.234375
40.038300	-92.552994
40.374756	-88.232552
40.711212	-90.004974
41.047668	-90.450897
41.384125	-88.787582
41.720581	-89.132431
42.057037	-87.836113
42.393494	-92.166344
42.729950	-88.490097
43.066406	-89.067894
43.402863	-86.940666
43.739319	-90.985992
44.075775	-88.952469
44.412231	-90.302773
44.748688	-90.087395
45.085144	-89.107323
45.421600	-90.944221
45.758057	-88.955025
46.094513	-88.195305
46.430969	-90.686333
46.767426	-87.798538
47.103882	-92.020859
47.440338	-89.313408
47.776794	-89.811119
48.113251	-95.686882
48.449707	-88.999954
48.786163	-89.843437
49.122620	-89.274704
49.459076	-86.461288
49.795532	-91.656555
50.131989	-89.109764
50.468445	-89.308449
50.804901	-93.102631
51.141357	-87.813629
51.477814	-90.688095
51.814270	-91.059860
52.150726	-88.414375
52.487183	-89.729240
52.823639	-90.860474
53.160095	-88.395767
53.496552	-91.574730
53.833008	-87.767776
54.169464	-88.330101
54.505920	-90.134995
54.842377	-87.177597
55.178833	-89.597290
55.515289	-90.808632
55.851746	-88.942078
56.188202	-91.059944
56.524658	-89.057915
56.861115	-88.575821
57.197571	-89.617805
57.534027	-90.031906
57.870483	-88.469658
58.206940	-91.179398
58.543396	-87.895073
58.879852	-89.602837
59.216309	-90.057068
59.552765	-87.088852
59.889221	-84.571327
60.225677	-85.608284
60.562134	-89.183777
