Frequency (Hz)	Level (dB)
0.336456	-71.595245
0.672913	-68.496338
1.009369	-67.067345
1.345825	-68.293282
1.682281	-68.068306
2.018738	-67.334938
2.355194	-67.569916
2.691650	-68.739082
3.028107	-67.340248
3.364563	-68.474747
3.701019	-67.134773
4.037476	-70.592873
4.373932	-71.418190
4.710388	-69.718025
5.046844	-75.789909
5.383301	-77.174355
5.719757	-74.984581
6.056213	-74.718201
6.392670	-73.180000
6.729126	-73.250725
7.065582	-74.543076
7.402039	-77.384766
7.738495	-78.046974
8.074951	-77.630035
8.411407	-79.173828
8.747864	-78.108330
9.084320	-78.945969
9.420776	-78.815720
9.757233	-80.580246
10.093689	-80.978394
10.430145	-84.019531
10.766602	-83.474663
11.103058	-82.810516
11.439514	-81.021088
11.775970	-82.066086
12.112427	-84.020210
12.448883	-82.923416
12.785339	-82.341599
13.121796	-82.009438
13.458252	-81.945335
13.794708	-83.456490
14.131165	-83.303558
14.467621	-82.638229
14.804077	-85.235435
15.140533	-81.288391
15.476990	-81.614090
15.813446	-85.419174
16.149902	-82.889778
16.486359	-90.424850
16.822815	-86.781563
17.159271	-87.755928
17.495728	-85.146820
17.832184	-87.195946
18.168640	-88.423721
18.505096	-84.836586
18.841553	-87.252609
19.178009	-88.121033
19.514465	-83.398613
19.850922	-84.311012
20.187378	-83.135582
20.523834	-84.553101
20.860291	-86.740639
21.196747	-89.459320
21.533203	-90.152031
21.869659	-87.777168
22.206116	-82.477867
22.542572	-82.820572
22.879028	-87.330818
23.215485	-89.114609
23.551941	-88.698288
23.888397	-88.750221
24.224854	-87.489182
24.561310	-88.214523
24.897766	-85.528320
25.234222	-87.469856
25.570679	-88.062828
25.907135	-88.033722
26.243591	-90.845154
26.580048	-92.133881
26.916504	-87.825264
27.252960	-87.976189
27.589417	-87.156487
27.925873	-88.367043
28.262329	-88.620628
28.598785	-89.420906
28.935242	-88.187469
29.271698	-88.220261
29.608154	-91.249397
29.944611	-85.580856
30.281067	-92.098618
30.617523	-91.854729
30.953979	-89.853149
31.290436	-86.432518
31.626892	-87.893669
31.963348	-90.163177
32.299805	-87.939011
32.636261	-86.996086
32.972717	-91.224663
33.309174	-92.361938
33.645630	-87.964661
33.982086	-90.390503
34.318542	-91.331451
34.654999	-88.715271
34.991455	-90.862465
35.327911	-90.324524
35.664368	-88.095253
36.000824	-87.594521
36.337280	-92.531578
36.673737	-86.508774
37.010193	-94.984566
37.346649	-88.683708
37.683105	-90.751511
38.019562	-87.621895
38.356018	-87.471840
38.692474	-89.483414
39.028931	-89.441826
39.365387	-89.987839
39.701843	-91.032669
40.038300	-90.280296
40.374756	-88.586060
40.711212	-89.084160
41.047668	-90.717033
41.384125	-88.766472
41.720581	-91.036667
42.057037	-90.683212
42.393494	-89.409378
42.729950	-91.098259
43.066406	-89.785950
43.402863	-89.160423
43.739319	-93.103554
44.075775	-86.460022
44.412231	-93.024811
44.748688	-90.323463
45.085144	-89.880005
45.421600	-87.052383
45.758057	-88.541809
46.094513	-92.642418
46.430969	-89.019661
46.767426	-89.940178
47.103882	-89.352493
47.440338	-77.226440
47.776794	-76.706917
48.113251	-90.214478
48.449707	-88.522240
48.786163	-86.931015
49.122620	-91.264694
49.459076	-89.209923
49.795532	-89.800179
50.131989	-90.995552
50.468445	-88.886177
50.804901	-90.895767
51.141357	-91.590782
51.477814	-87.174667
51.814270	-89.886620
52.150726	-88.793854
52.487183	-89.183937
52.823639	-87.951096
53.160095	-90.997566
53.496552	-88.788857
53.833008	-88.646103
54.169464	-90.903229
54.505920	-88.215111
54.842377	-89.475464
55.178833	-88.938751
55.515289	-90.039398
55.851746	-88.601677
56.188202	-87.409279
56.524658	-89.301941
56.861115	-89.455887
57.197571	-87.661758
57.534027	-87.359970
57.870483	-89.180153
58.206940	-90.679489
58.543396	-87.642990
58.879852	-89.007751
59.216309	-89.845085
59.552765	-86.232552
59.889221	-84.043365
60.225677	-83.815178
60.562134	-89.335754
60.898590	-87.934677
61.235046	-86.658104
61.571503	-88.807907
61.907959	-87.927162
62.244415	-86.855354
62.580872	-88.283569
62.917328	-89.292107
63.253784	-87.585411
63.590240	-88.111549
63.926697	-87.186058
64.263153	-87.464470
64.599609	-88.022705
64.936066	-87.934731
65.272522	-87.380806
65.608978	-88.952248
65.945435	-86.716125
66.281891	-87.543488
66.618347	-87.592918
66.954803	-87.223198
67.291260	-87.349419
67.627716	-86.736420
67.964172	-87.259972
68.300629	-86.102203
68.637085	-87.539040
68.973541	-86.473640
69.309998	-87.131561
69.646454	-85.703613
69.982910	-87.863960
70.319366	-86.757942
70.655823	-86.427879
70.992279	-86.288857
71.328735	-86.120468
71.665192	-86.039185
72.001648	-86.443245
72.338104	-87.345573
72.674561	-85.512650
73.011017	-84.694870
73.347473	-86.672935
73.683929	-86.357941
74.020386	-84.930634
74.356842	-85.123962
74.693298	-85.210129
75.029755	-85.527718
75.366211	-85.470993
75.702667	-83.463936
76.039124	-85.518066
76.375580	-85.612442
76.712036	-84.339287
77.048492	-84.619743
77.384949	-84.455467
77.721405	-84.004158
78.057861	-84.075172
78.394318	-85.148209
78.730774	-83.222893
79.067230	-85.467377
79.403687	-82.777313
79.740143	-84.186142
80.076599	-82.906303
80.413055	-83.631660
80.749512	-82.721497
81.085968	-82.784889
81.422424	-82.693672
81.758881	-83.513138
82.095337	-82.485054
82.431793	-81.256172
82.768250	-82.879257
83.104706	-82.041824
83.441162	-81.883926
83.777618	-82.194069
84.114075	-81.091293
84.450531	-82.185295
84.786987	-80.909714
85.123444	-81.065735
85.459900	-80.812500
85.796356	-80.931351
86.132812	-80.247002
86.469269	-80.612946
86.805725	-79.831505
87.142181	-80.052063
87.478638	-79.531204
87.815094	-78.826851
88.151550	-79.660316
88.488007	-78.321602
88.824463	-78.782227
89.160919	-78.853653
89.497375	-77.943779
89.833832	-77.611122
90.170288	-77.650299
90.506744	-77.099258
90.843201	-77.311516
91.179657	-76.252281
91.516113	-76.465042
91.852570	-76.381134
92.189026	-75.475815
92.525482	-75.289330
92.861938	-74.818176
93.198395	-74.719276
93.534851	-74.013588
93.871307	-73.585258
94.207764	-73.152779
94.544220	-72.759026
94.880676	-72.045120
95.217133	-71.123535
95.553589	-70.918732
95.890045	-70.300156
96.226501	-69.762802
96.562958	-68.921532
96.899414	-68.287918
97.235870	-67.308250
97.572327	-66.539383
97.908783	-65.620270
98.245239	-64.810028
98.581696	-64.449745
98.918152	-66.643059
99.254608	-62.241650
99.591064	-29.879158
99.927521	-18.524656
100.263977	-22.430626
100.600433	-48.701881
100.936890	-74.212456
101.273346	-64.814415
101.609802	-64.563004
101.946259	-65.229683
102.282715	-66.175278
102.619171	-66.928757
102.955627	-67.936325
103.292084	-68.669067
103.628540	-69.335312
103.964996	-70.307388
104.301453	-70.734474
104.637909	-71.173027
104.974365	-72.112671
105.310822	-72.397324
105.647278	-73.090721
105.983734	-73.400665
106.320190	-73.956017
106.656647	-74.523193
106.993103	-74.678787
107.329559	-75.131409
107.666016	-75.600365
108.002472	-76.117706
108.338928	-76.132957
108.675385	-76.816917
109.011841	-76.967758
109.348297	-76.987007
109.684753	-77.563019
110.021210	-77.932213
110.357666	-78.215370
110.694122	-78.027946
111.030579	-79.081581
111.367035	-78.293312
111.703491	-79.753670
112.039948	-78.911583
112.376404	-79.920441
112.712860	-80.329536
113.049316	-79.999504
113.385773	-79.940292
113.722229	-80.715752
114.058685	-80.988853
114.395142	-80.877571
114.731598	-80.941994
115.068054	-81.301353
115.404510	-82.275528
115.740967	-81.166183
116.077423	-82.592110
116.413879	-81.772797
116.750336	-81.737663
117.086792	-82.788795
117.423248	-82.729561
117.759705	-82.546837
118.096161	-82.729370
118.432617	-83.457977
118.769073	-82.148643
119.105530	-84.147644
119.441986	-83.374504
119.778442	-84.117271
120.114899	-83.255989
120.451355	-84.283943
120.787811	-83.800674
121.124268	-84.289925
121.460724	-84.335335
121.797180	-84.728775
122.133636	-83.899940
122.470093	-85.182228
122.806549	-85.208748
123.143005	-84.612106
123.479462	-85.229622
123.815918	-85.617699
124.152374	-84.979202
124.488831	-85.608559
124.825287	-85.536453
125.161743	-86.119759
125.498199	-85.470261
125.834656	-85.967361
126.171112	-86.051819
126.507568	-85.965988
126.844025	-87.119751
127.180481	-85.802666
127.516937	-87.354851
127.853394	-86.015549
128.189850	-86.969292
128.526306	-86.205956
128.862762	-86.436195
129.199219	-87.240334
129.535675	-86.047989
129.872131	-87.603928
130.208588	-87.622566
130.545044	-86.982864
130.881500	-88.132790
131.217957	-87.613319
131.554413	-87.355812
131.890869	-88.109329
132.227325	-86.728493
132.563782	-88.899757
132.900238	-87.650833
133.236694	-88.211998
133.573151	-87.800674
133.909607	-88.107780
134.246063	-88.097580
134.582520	-88.443787
134.918976	-88.197990
135.255432	-88.286072
135.591888	-88.193672
135.928345	-88.894615
136.264801	-89.820282
136.601257	-87.776016
136.937714	-89.768784
137.274170	-88.251694
137.610626	-89.379639
137.947083	-89.341171
138.283539	-88.768120
138.619995	-89.357178
138.956451	-88.522499
139.292908	-89.933708
139.629364	-90.076012
139.965820	-88.963593
140.302277	-90.525482
140.638733	-89.184914
140.975189	-88.118462
141.311646	-91.458008
141.648102	-89.033417
141.984558	-89.544601
142.321014	-91.462341
142.657471	-87.602440
142.993927	-88.638054
143.330383	-89.686996
143.666840	-90.059761
144.003296	-90.209198
144.339752	-89.834206
144.676208	-90.853203
145.012665	-90.223480
145.349121	-90.941864
145.685577	-88.806320
146.022034	-92.031807
146.358490	-91.899353
146.694946	-88.965752
147.031403	-92.337059
147.367859	-90.291313
147.704315	-90.206459
148.040771	-91.091049
148.377228	-90.887444
148.713684	-90.659904
149.050140	-90.840691
149.386597	-91.587173
149.723053	-90.669945
150.059509	-90.692307
150.395966	-92.928467
150.732422	-90.385864
151.068878	-91.715042
151.405334	-91.052879
151.741791	-92.363045
152.078247	-90.878387
152.414703	-94.758408
152.751160	-90.548058
153.087616	-92.394379
153.424072	-91.491417
153.760529	-90.655472
154.096985	-92.625671
154.433441	-92.441757
154.769897	-92.002045
155.106354	-91.634453
155.442810	-92.018303
155.779266	-91.858124
156.115723	-92.045403
156.452179	-91.007797
156.788635	-91.876625
157.125092	-93.647842
157.461548	-90.989090
157.798004	-91.439911
158.134460	-92.770424
158.470917	-92.340714
158.807373	-93.158104
159.143829	-92.772835
159.480286	-92.089134
159.816742	-93.390457
160.153198	-92.285515
160.489655	-91.906700
160.826111	-92.882141
161.162567	-91.404617
161.499023	-93.527168
161.835480	-91.383316
162.171936	-96.057030
162.508392	-91.167854
162.844849	-92.168564
163.181305	-97.616425
163.517761	-90.407669
163.854218	-95.752937
