Frequency (Hz)	Level (dB)
0.336456	-70.715706
0.672913	-70.163185
1.009369	-69.240448
1.345825	-64.111908
1.682281	-65.834572
2.018738	-67.795807
2.355194	-67.244003
2.691650	-68.266739
3.028107	-69.349319
3.364563	-71.440598
3.701019	-69.798950
4.037476	-75.828186
4.373932	-74.712692
4.710388	-74.584015
5.046844	-75.903809
5.383301	-77.134453
5.719757	-72.856865
6.056213	-76.006096
6.392670	-75.766388
6.729126	-76.583641
7.065582	-80.268173
7.402039	-79.261887
7.738495	-80.367455
8.074951	-75.704674
8.411407	-78.649277
8.747864	-86.876045
9.084320	-79.708443
9.420776	-80.194092
9.757233	-78.666100
10.093689	-82.048546
10.430145	-86.789444
10.766602	-82.944794
11.103058	-79.407730
11.439514	-80.977173
11.775970	-82.278008
12.112427	-82.777161
12.448883	-81.189774
12.785339	-87.264206
13.121796	-82.235245
13.458252	-84.372650
13.794708	-83.577919
14.131165	-85.861664
14.467621	-86.482147
14.804077	-87.686485
15.140533	-85.469620
15.476990	-84.866989
15.813446	-85.718719
16.149902	-88.208046
16.486359	-87.709747
16.822815	-89.534691
17.159271	-84.955200
17.495728	-88.743553
17.832184	-92.090096
18.168640	-86.580681
18.505096	-87.749756
18.841553	-85.638275
19.178009	-88.451576
19.514465	-85.377243
19.850922	-87.944008
20.187378	-88.112602
20.523834	-87.397285
20.860291	-86.512306
21.196747	-92.048927
21.533203	-90.234177
21.869659	-84.423790
22.206116	-88.759171
22.542572	-86.896538
22.879028	-89.802414
23.215485	-88.078064
23.551941	-90.785690
23.888397	-89.368622
24.224854	-86.947029
24.561310	-89.291100
24.897766	-86.693199
25.234222	-88.433945
25.570679	-89.156166
25.907135	-89.336739
26.243591	-87.545288
26.580048	-89.765831
26.916504	-88.881599
27.252960	-90.818474
27.589417	-90.144745
27.925873	-87.023712
28.262329	-85.976860
28.598785	-89.440887
28.935242	-94.129776
29.271698	-90.927399
29.608154	-91.026657
29.944611	-91.572830
30.281067	-93.153259
30.617523	-93.686867
30.953979	-90.381599
31.290436	-89.286140
31.626892	-89.278000
31.963348	-90.179497
32.299805	-89.063934
32.636261	-91.362961
32.972717	-90.986214
33.309174	-95.387070
33.645630	-89.585205
33.982086	-90.938362
34.318542	-87.357460
34.654999	-90.733047
34.991455	-87.866936
35.327911	-93.254776
35.664368	-90.657158
36.000824	-90.180885
36.337280	-92.598473
36.673737	-90.823334
37.010193	-90.467079
37.346649	-90.476837
37.683105	-88.627754
38.019562	-92.772797
38.356018	-92.365440
38.692474	-91.934074
39.028931	-89.268074
39.365387	-94.725441
39.701843	-91.720619
40.038300	-91.155579
40.374756	-86.449310
40.711212	-87.695435
41.047668	-89.626877
41.384125	-89.967880
41.720581	-92.667984
42.057037	-89.469986
42.393494	-91.782310
42.729950	-89.423271
43.066406	-93.565964
43.402863	-90.501564
43.739319	-93.803932
44.075775	-91.158554
44.412231	-91.595406
44.748688	-90.768684
45.085144	-94.649788
45.421600	-90.429482
45.758057	-90.997002
46.094513	-89.867897
46.430969	-85.464211
46.767426	-77.780647
47.103882	-77.927994
47.440338	-94.054825
47.776794	-93.393402
48.113251	-89.516098
48.449707	-91.426056
48.786163	-92.086884
49.122620	-90.392136
49.459076	-89.461922
49.795532	-93.753761
50.131989	-89.673027
50.468445	-91.266991
50.804901	-91.559845
51.141357	-89.934036
