Frequency (Hz)	Level (dB)
0.336456	-72.075523
0.672913	-64.457314
1.009369	-64.524185
1.345825	-66.968933
1.682281	-71.289452
2.018738	-67.402687
2.355194	-70.725616
2.691650	-70.771049
3.028107	-70.531532
3.364563	-71.113319
3.701019	-71.807053
4.037476	-75.938004
4.373932	-72.981758
4.710388	-73.595589
5.046844	-72.454445
5.383301	-76.590775
5.719757	-73.588394
6.056213	-69.842056
6.392670	-73.047050
6.729126	-74.966721
7.065582	-78.937889
7.402039	-81.114525
7.738495	-80.540314
8.074951	-74.158562
8.411407	-74.386368
8.747864	-82.547523
9.084320	-82.920509
9.420776	-80.821579
9.757233	-79.105812
10.093689	-78.195976
10.430145	-77.239296
10.766602	-83.147507
11.103058	-78.739334
11.439514	-76.763855
11.775970	-79.569374
12.112427	-81.808273
12.448883	-82.261856
12.785339	-82.169838
13.121796	-82.734406
13.458252	-83.351830
13.794708	-83.305862
14.131165	-85.665886
14.467621	-85.704758
14.804077	-84.635986
15.140533	-82.908211
15.476990	-82.703697
15.813446	-82.055374
16.149902	-87.462959
16.486359	-85.049171
16.822815	-83.974724
17.159271	-81.185089
17.495728	-83.034943
17.832184	-83.846130
18.168640	-84.861366
18.505096	-89.450638
18.841553	-87.438934
19.178009	-86.412308
19.514465	-82.974770
19.850922	-88.660858
20.187378	-86.744324
20.523834	-89.072479
20.860291	-84.516678
21.196747	-86.518494
21.533203	-86.117409
21.869659	-84.639442
22.206116	-87.009247
22.542572	-82.654922
22.879028	-86.827263
23.215485	-85.214874
23.551941	-88.605270
23.888397	-90.483002
24.224854	-89.167252
24.561310	-87.682144
24.897766	-86.965271
25.234222	-86.984520
25.570679	-92.413895
25.907135	-90.889793
26.243591	-89.266731
26.580048	-89.873383
26.916504	-88.160248
27.252960	-89.949730
27.589417	-89.196899
27.925873	-87.092903
28.262329	-94.651642
28.598785	-90.357460
28.935242	-92.065193
29.271698	-86.981125
29.608154	-90.964020
29.944611	-87.671333
30.281067	-91.722244
30.617523	-89.952263
30.953979	-87.014534
31.290436	-91.848389
31.626892	-90.920082
31.963348	-91.609276
32.299805	-92.560379
32.636261	-87.823341
32.972717	-90.797363
33.309174	-92.390747
33.645630	-90.599068
33.982086	-89.873993
34.318542	-90.098587
34.654999	-92.070488
34.991455	-88.123474
35.327911	-89.159515
35.664368	-90.980843
36.000824	-87.251144
36.337280	-91.462143
36.673737	-87.991699
37.010193	-88.543114
37.346649	-89.608246
37.683105	-90.081879
38.019562	-89.440765
38.356018	-92.402985
38.692474	-86.540802
39.028931	-93.016609
39.365387	-89.085228
39.701843	-89.999168
40.038300	-89.550598
40.374756	-89.971924
40.711212	-88.521072
41.047668	-90.945633
41.384125	-93.163589
41.720581	-89.348709
42.057037	-91.577469
42.393494	-91.359840
42.729950	-88.591370
43.066406	-92.210358
43.402863	-91.882706
43.739319	-91.221718
44.075775	-88.763649
44.412231	-90.079994
44.748688	-92.938011
45.085144	-88.402824
45.421600	-89.497360
45.758057	-89.206314
46.094513	-88.528122
46.430969	-89.702728
46.767426	-91.726135
47.103882	-91.808746
47.440338	-91.119423
47.776794	-88.748207
48.113251	-89.938950
48.449707	-91.445969
48.786163	-89.724815
49.122620	-89.324768
49.459076	-93.654480
49.795532	-88.716057
50.131989	-90.483147
50.468445	-90.490547
50.804901	-90.395142
51.141357	-88.493805
51.477814	-91.686844
51.814270	-89.857834
52.150726	-89.230064
52.487183	-90.594437
52.823639	-92.918228
53.160095	-89.830185
53.496552	-88.644875
53.833008	-89.006790
54.169464	-88.767700
54.505920	-89.168640
54.842377	-92.422256
55.178833	-89.268715
55.515289	-88.126945
55.851746	-89.956314
56.188202	-89.881836
56.524658	-90.126976
56.861115	-90.529861
57.197571	-87.408722
57.534027	-89.163101
57.870483	-89.125862
58.206940	-90.714546
58.543396	-89.898483
58.879852	-87.541237
59.216309	-89.382332
59.552765	-89.393997
59.889221	-84.394684
60.225677	-86.205452
60.562134	-88.816132
60.898590	-89.145432
61.235046	-90.056870
61.571503	-87.600845
61.907959	-88.730843
62.244415	-89.767601
62.580872	-88.188942
62.917328	-88.237160
63.253784	-89.681725
63.590240	-88.771179
63.926697	-87.832397
64.263153	-88.470367
64.599609	-88.673622
64.936066	-89.010971
65.272522	-86.874863
65.608978	-88.634834
65.945435	-88.132408
66.281891	-87.433113
66.618347	-89.119392
66.954803	-86.620842
67.291260	-90.231438
67.627716	-86.978523
67.964172	-87.975815
68.300629	-87.440956
68.637085	-87.167068
68.973541	-90.942886
69.309998	-87.228218
69.646454	-85.131599
69.982910	-89.191833
70.319366	-86.922379
70.655823	-87.777489
70.992279	-86.318504
71.328735	-87.388824
71.665192	-88.081657
72.001648	-86.291664
72.338104	-87.420151
72.674561	-85.427711
73.011017	-88.112717
73.347473	-85.858002
73.683929	-85.330254
74.020386	-86.230316
74.356842	-87.867607
74.693298	-85.121597
75.029755	-86.727448
75.366211	-85.950577
75.702667	-84.783104
76.039124	-86.477600
76.375580	-84.829697
76.712036	-85.430664
77.048492	-85.851212
77.384949	-85.080070
77.721405	-84.281982
78.057861	-85.455933
78.394318	-85.012955
78.730774	-84.921738
79.067230	-83.651230
79.403687	-84.688843
79.740143	-84.155228
80.076599	-84.274719
80.413055	-83.600540
80.749512	-84.206955
81.085968	-83.512146
81.422424	-83.751900
81.758881	-83.687675
82.095337	-83.413399
82.431793	-82.726158
82.768250	-83.209404
83.104706	-82.964340
83.441162	-82.328758
83.777618	-82.568405
84.114075	-82.519974
84.450531	-81.727203
84.786987	-82.308311
85.123444	-81.339081
85.459900	-81.774796
85.796356	-81.183563
86.132812	-81.620872
86.469269	-80.049362
86.805725	-81.213364
87.142181	-80.518250
87.478638	-80.081711
87.815094	-80.844566
88.151550	-79.288788
88.488007	-79.702843
88.824463	-79.373390
89.160919	-78.796852
89.497375	-79.109917
89.833832	-78.514771
90.170288	-78.083656
90.506744	-78.685715
90.843201	-77.120071
91.179657	-77.436661
91.516113	-77.143158
91.852570	-76.523682
92.189026	-76.372910
92.525482	-75.993187
92.861938	-75.519112
93.198395	-75.167915
93.534851	-74.697227
93.871307	-74.209045
94.207764	-73.697746
94.544220	-73.534500
94.880676	-72.697113
95.217133	-72.126961
95.553589	-71.744637
95.890045	-70.835587
96.226501	-70.447128
96.562958	-69.425804
96.899414	-68.911842
97.235870	-68.022011
97.572327	-67.147438
97.908783	-66.095253
98.245239	-65.456467
98.581696	-65.184799
98.918152	-67.291000
99.254608	-62.191154
99.591064	-29.457394
99.927521	-18.452457
100.263977	-22.636742
100.600433	-49.846107
100.936890	-74.208138
101.273346	-65.379501
101.609802	-65.180466
101.946259	-65.789291
102.282715	-66.765144
102.619171	-67.654457
102.955627	-68.455223
103.292084	-69.243248
103.628540	-70.022598
103.964996	-70.777306
104.301453	-71.335640
104.637909	-71.782822
104.974365	-72.752510
105.310822	-73.045296
105.647278	-73.632957
105.983734	-73.784325
106.320190	-74.698547
106.656647	-74.890450
106.993103	-75.334938
107.329559	-75.918198
107.666016	-75.979614
108.002472	-76.733772
108.338928	-76.638077
108.675385	-77.162750
109.011841	-77.438217
109.348297	-77.931496
109.684753	-78.267174
110.021210	-78.005074
110.357666	-78.993095
110.694122	-79.033020
111.030579	-79.095062
111.367035	-79.474678
111.703491	-79.569870
112.039948	-80.318947
112.376404	-79.844154
112.712860	-80.765717
113.049316	-80.535866
113.385773	-80.620461
113.722229	-81.325813
114.058685	-80.842422
114.395142	-81.371590
114.731598	-82.344643
115.068054	-81.587914
115.404510	-82.041916
115.740967	-81.984055
116.077423	-83.187271
116.413879	-81.842506
116.750336	-83.493919
117.086792	-82.407028
117.423248	-83.733658
117.759705	-82.950874
118.096161	-82.809647
118.432617	-83.857315
118.769073	-84.101974
119.105530	-83.932579
119.441986	-83.309479
119.778442	-84.783501
120.114899	-83.617500
120.451355	-84.291519
120.787811	-84.534157
121.124268	-84.620125
121.460724	-85.044579
121.797180	-84.397903
122.133636	-85.590965
122.470093	-84.793564
122.806549	-86.140396
123.143005	-84.941315
123.479462	-85.297974
123.815918	-85.892204
124.152374	-86.138908
124.488831	-85.886566
124.825287	-85.273613
125.161743	-85.909088
125.498199	-86.755669
125.834656	-86.143654
126.171112	-85.958420
126.507568	-86.012619
126.844025	-87.970825
127.180481	-86.413330
127.516937	-86.404099
127.853394	-87.124962
128.189850	-87.874855
128.526306	-87.301201
128.862762	-85.934013
129.199219	-88.304588
129.535675	-87.965240
129.872131	-86.739700
130.208588	-88.478081
130.545044	-87.627274
130.881500	-87.632530
131.217957	-87.590073
131.554413	-89.606987
131.890869	-87.426537
132.227325	-87.833702
132.563782	-88.389809
132.900238	-88.125038
133.236694	-88.918671
133.573151	-88.015350
133.909607	-88.774773
134.246063	-89.638542
134.582520	-87.718506
134.918976	-89.460159
135.255432	-88.331902
135.591888	-89.635376
135.928345	-88.667320
136.264801	-88.679268
136.601257	-89.489151
136.937714	-89.178818
137.274170	-87.934540
137.610626	-87.290474
137.947083	-89.478065
138.283539	-89.861725
138.619995	-89.302979
138.956451	-90.746758
139.292908	-88.781776
139.629364	-89.609749
139.965820	-89.416786
140.302277	-90.196457
140.638733	-89.977539
140.975189	-90.479568
141.311646	-89.492393
141.648102	-90.335701
141.984558	-90.496399
142.321014	-90.026077
142.657471	-90.309875
142.993927	-91.027725
143.330383	-89.573486
143.666840	-91.570221
144.003296	-89.072006
144.339752	-91.664696
144.676208	-90.361328
145.012665	-90.121681
145.349121	-91.156303
145.685577	-92.037781
146.022034	-89.593208
146.358490	-92.591911
146.694946	-90.779327
147.031403	-89.811897
147.367859	-90.912758
147.704315	-91.842781
148.040771	-90.803772
148.377228	-91.061722
148.713684	-91.541054
149.050140	-91.316582
149.386597	-90.877045
149.723053	-91.980499
150.059509	-90.656212
150.395966	-91.292191
150.732422	-91.993416
151.068878	-92.409317
151.405334	-90.279556
151.741791	-92.858154
152.078247	-91.488808
152.414703	-91.337509
152.751160	-90.962593
153.087616	-90.911034
153.424072	-91.855507
153.760529	-93.943230
154.096985	-91.026604
154.433441	-91.533485
154.769897	-92.077797
155.106354	-91.351479
155.442810	-92.175987
155.779266	-92.318871
156.115723	-91.694901
156.452179	-93.862854
156.788635	-93.153702
157.125092	-90.274010
157.461548	-92.214035
157.798004	-92.652924
158.134460	-91.720459
158.470917	-92.062798
158.807373	-92.352341
159.143829	-96.486786
159.480286	-90.497620
159.816742	-93.099297
160.153198	-92.535652
160.489655	-93.740471
160.826111	-92.360313
161.162567	-94.018875
161.499023	-92.018456
161.835480	-91.804825
162.171936	-96.132812
162.508392	-89.555244
162.844849	-96.721840
163.181305	-90.381767
163.517761	-94.791916
163.854218	-92.259766
164.190674	-93.014404
164.527130	-93.821587
164.863586	-91.584831
165.200043	-96.466217
165.536499	-91.940460
165.872955	-94.251335
166.209412	-93.167786
166.545868	-93.279320
166.882324	-93.664833
167.218781	-91.849823
167.555237	-93.593109
167.891693	-93.981285
168.228149	-93.619370
168.564606	-93.998665
168.901062	-93.232147
169.237518	-96.013069
169.573975	-92.649986
169.910431	-95.497612
170.246887	-92.273506
170.583344	-97.224709
170.919800	-92.016373
171.256256	-95.745506
171.592712	-92.158592
171.929169	-96.228424
172.265625	-92.482491
172.602081	-93.876549
172.938538	-94.517853
173.274994	-94.655067
173.611450	-95.226105
173.947906	-92.422554
174.284363	-95.129906
174.620819	-92.498955
174.957275	-94.006340
175.293732	-94.223595
175.630188	-92.653259
175.966644	-93.959274
176.303101	-94.176476
176.639557	-93.171089
176.976013	-93.387680
177.312469	-94.163223
177.648926	-92.342865
177.985382	-92.181938
178.321838	-93.231293
178.658295	-95.135170
178.994751	-91.809662
179.331207	-91.713181
179.667664	-91.239388
180.004120	-91.266190
180.340576	-88.922630
180.677032	-91.844429
181.013489	-94.683372
181.349945	-96.164345
181.686401	-93.549820
182.022858	-89.710144
182.359314	-96.459358
182.695770	-93.090172
183.032227	-96.246925
183.368683	-93.967392
183.705139	-93.244400
184.041595	-93.612495
184.378052	-89.673645
184.714508	-93.081993
185.050964	-90.708176
185.387421	-91.884323
185.723877	-89.135666
186.060333	-89.214973
186.396790	-91.897560
186.733246	-92.387611
187.069702	-89.800568
187.406158	-75.278038
187.742615	-79.156754
188.079071	-92.170403
188.415527	-92.133667
188.751984	-93.237892
189.088440	-88.848671
189.424896	-90.813293
189.761353	-89.822594
190.097809	-94.601837
190.434265	-91.860489
190.770721	-87.524620
191.107178	-94.676323
191.443634	-92.486420
191.780090	-92.546608
192.116547	-94.848373
192.453003	-93.499687
192.789459	-93.954346
193.125916	-89.095749
193.462372	-91.973061
193.798828	-92.072868
194.135284	-91.672562
194.471741	-91.296776
194.808197	-90.465988
195.144653	-91.039055
195.481110	-91.685944
195.817566	-93.374001
196.154022	-92.165245
196.490479	-92.709305
196.826935	-93.078850
197.163391	-89.756798
197.499847	-93.945435
197.836304	-92.067177
198.172760	-91.601318
198.509216	-91.126297
198.845673	-94.212967
199.182129	-89.611343
199.518585	-93.661255
199.855042	-87.014969
200.191498	-90.978935
200.527954	-89.492943
200.864410	-96.317451
201.200867	-91.233650
201.537323	-95.720169
201.873779	-94.484200
202.210236	-88.701424
202.546692	-89.115227
202.883148	-92.358719
203.219604	-92.989433
203.556061	-92.804039
203.892517	-95.005516
204.228973	-94.930023
204.565430	-94.101547
204.901886	-92.841629
205.238342	-96.915703
205.574799	-95.495316
205.911255	-92.945808
206.247711	-94.648979
206.584167	-92.626854
206.920624	-91.599098
207.257080	-91.616249
207.593536	-96.352264
207.929993	-91.954887
208.266449	-96.220596
208.602905	-94.010262
208.939362	-90.956314
209.275818	-93.710167
209.612274	-93.996872
209.948730	-91.416405
210.285187	-90.550980
210.621643	-92.788422
210.958099	-90.988266
211.294556	-91.072350
211.631012	-94.105171
211.967468	-88.369942
212.303925	-91.443993
212.640381	-89.616081
212.976837	-92.509972
213.313293	-92.152061
213.649750	-91.606384
213.986206	-91.793602
214.322662	-95.033638
214.659119	-92.788315
214.995575	-98.030609
215.332031	-95.623741
215.668488	-94.337479
216.004944	-93.584465
216.341400	-98.875557
216.677856	-94.557465
217.014313	-93.737335
217.350769	-96.264168
217.687225	-94.854118
218.023682	-96.502319
218.360138	-92.869133
218.696594	-98.089546
219.033051	-98.303986
219.369507	-95.419266
219.705963	-95.847664
220.042419	-95.188812
220.378876	-97.169617
220.715332	-97.771576
221.051788	-96.965836
221.388245	-96.766098
221.724701	-99.243126
222.061157	-93.399467
222.397614	-99.099998
222.734070	-94.451370
223.070526	-95.175735
223.406982	-96.618637
223.743439	-98.413261
224.079895	-95.958397
224.416351	-96.753044
224.752808	-96.321724
225.089264	-95.401779
225.425720	-95.309525
225.762177	-95.074951
226.098633	-98.745697
226.435089	-97.876762
226.771545	-96.158646
227.108002	-97.294243
227.444458	-96.235168
227.780914	-94.947388
228.117371	-95.478493
228.453827	-99.932617
228.790283	-95.308693
229.126740	-98.863449
229.463196	-93.521591
229.799652	-97.011284
230.136108	-98.609398
230.472565	-97.274597
230.809021	-97.850014
231.145477	-98.322121
231.481934	-95.335007
231.818390	-96.602623
232.154846	-99.667923
232.491302	-96.499786
232.827759	-97.356987
233.164215	-95.700623
233.500671	-97.814354
233.837128	-98.019699
234.173584	-95.530182
234.510040	-97.445053
234.846497	-96.070831
235.182953	-97.603279
235.519409	-94.416428
235.855865	-100.184021
236.192322	-93.505440
236.528778	-94.004463
236.865234	-97.849823
237.201691	-89.541855
237.538147	-83.887222
237.874603	-92.419815
238.211060	-96.575378
238.547516	-100.480576
238.883972	-93.962570
239.220428	-92.120354
239.556885	-97.915878
239.893341	-99.868042
240.229797	-97.416283
240.566254	-99.361031
240.902710	-96.945747
241.239166	-96.426567
241.575623	-99.470467
241.912079	-97.351402
242.248535	-98.212166
242.584991	-97.832451
242.921448	-97.711899
243.257904	-99.105225
243.594360	-97.413155
243.930817	-97.880257
244.267273	-99.219398
244.603729	-95.406998
244.940186	-97.198296
245.276642	-96.721832
245.613098	-98.292336
245.949554	-97.548065
246.286011	-97.043282
246.622467	-99.149239
