Frequency (Hz)	Level (dB)
0.336456	-70.971817
0.672913	-66.508583
1.009369	-66.326614
1.345825	-66.311295
1.682281	-65.427895
2.018738	-69.422844
2.355194	-70.597763
2.691650	-69.474739
3.028107	-69.344017
3.364563	-70.066544
3.701019	-69.209007
4.037476	-68.594086
4.373932	-69.882759
4.710388	-72.415771
5.046844	-73.340118
5.383301	-72.815872
5.719757	-70.997253
6.056213	-71.473862
6.392670	-74.434563
6.729126	-75.227425
7.065582	-78.655815
7.402039	-81.092201
7.738495	-82.215820
8.074951	-81.102859
8.411407	-80.669846
8.747864	-76.300598
9.084320	-81.168175
9.420776	-83.927475
9.757233	-84.989189
10.093689	-83.728043
10.430145	-79.948036
10.766602	-79.547028
11.103058	-81.495384
11.439514	-84.222183
11.775970	-81.428452
12.112427	-80.620293
12.448883	-82.290421
12.785339	-82.401146
13.121796	-84.386246
13.458252	-84.880371
13.794708	-85.333351
14.131165	-81.455032
14.467621	-85.036430
14.804077	-84.899361
15.140533	-81.803276
15.476990	-85.375145
15.813446	-85.304878
16.149902	-86.699547
16.486359	-85.440041
16.822815	-85.332245
17.159271	-82.259682
17.495728	-82.997559
17.832184	-83.811996
18.168640	-85.649048
18.505096	-82.808052
18.841553	-85.022949
19.178009	-86.909737
19.514465	-85.948837
19.850922	-84.719460
20.187378	-81.526207
20.523834	-83.357880
20.860291	-87.427879
21.196747	-88.841507
21.533203	-87.008087
21.869659	-84.347420
22.206116	-86.520638
22.542572	-90.568100
22.879028	-89.026375
23.215485	-88.394814
23.551941	-89.029625
23.888397	-89.188774
24.224854	-87.803719
24.561310	-88.544922
24.897766	-87.964844
25.234222	-88.582191
25.570679	-88.964958
25.907135	-88.557991
26.243591	-86.225601
26.580048	-91.149406
26.916504	-89.289558
27.252960	-87.526054
27.589417	-86.593819
27.925873	-86.949890
28.262329	-92.226944
28.598785	-89.972977
28.935242	-89.427429
29.271698	-91.518997
29.608154	-87.592056
29.944611	-91.936401
30.281067	-88.428314
30.617523	-87.946472
30.953979	-90.226677
31.290436	-90.931526
31.626892	-90.377113
31.963348	-89.418228
