Frequency (Hz)	Level (dB)
0.336456	-73.006516
0.672913	-71.268967
1.009369	-66.394081
1.345825	-64.889915
1.682281	-67.161255
2.018738	-67.491249
2.355194	-68.360504
2.691650	-69.465233
3.028107	-68.747314
3.364563	-71.470833
3.701019	-68.741829
4.037476	-67.314590
4.373932	-70.728416
4.710388	-71.994926
5.046844	-69.705734
5.383301	-70.907394
5.719757	-78.596107
6.056213	-79.363274
6.392670	-74.644615
6.729126	-72.928314
7.065582	-78.173126
7.402039	-76.745499
7.738495	-77.094490
8.074951	-76.911705
8.411407	-75.619347
8.747864	-76.692459
9.084320	-80.245438
9.420776	-79.626030
9.757233	-78.144112
10.093689	-77.581306
10.430145	-81.663986
10.766602	-76.568703
11.103058	-79.648651
11.439514	-81.468742
11.775970	-80.602829
12.112427	-83.270340
12.448883	-83.961540
12.785339	-81.829178
13.121796	-81.796410
13.458252	-82.185844
13.794708	-81.658806
14.131165	-79.828964
14.467621	-81.408150
14.804077	-84.749168
15.140533	-82.110458
15.476990	-83.898796
15.813446	-85.550369
16.149902	-83.648811
16.486359	-88.089470
16.822815	-90.145561
17.159271	-86.369164
17.495728	-88.175468
17.832184	-85.811127
18.168640	-86.378349
18.505096	-86.227852
18.841553	-89.586540
19.178009	-84.799431
19.514465	-87.632240
19.850922	-86.712982
20.187378	-90.932083
20.523834	-89.987564
20.860291	-87.269623
21.196747	-86.900703
21.533203	-84.574371
21.869659	-86.244431
22.206116	-86.377945
22.542572	-93.719437
22.879028	-86.850021
23.215485	-87.751282
23.551941	-84.884865
23.888397	-89.233353
24.224854	-86.708832
24.561310	-92.125664
24.897766	-86.013542
25.234222	-89.958412
25.570679	-88.635620
25.907135	-89.195366
26.243591	-87.913239
26.580048	-87.449532
26.916504	-91.615730
27.252960	-89.354309
27.589417	-88.069389
27.925873	-88.956535
28.262329	-87.804153
28.598785	-94.373795
28.935242	-90.327522
29.271698	-88.928162
29.608154	-91.507507
29.944611	-91.326752
30.281067	-89.279282
30.617523	-94.256180
30.953979	-89.911606
31.290436	-88.265228
31.626892	-89.865501
31.963348	-88.889030
32.299805	-86.510353
32.636261	-87.754341
32.972717	-90.436996
33.309174	-89.677277
33.645630	-88.864365
33.982086	-88.705750
34.318542	-90.059517
34.654999	-89.376648
34.991455	-89.907295
35.327911	-94.581467
35.664368	-90.025215
36.000824	-87.875526
36.337280	-91.710258
36.673737	-90.495926
37.010193	-89.271286
37.346649	-91.025352
37.683105	-91.240883
38.019562	-89.774040
38.356018	-91.167007
