Frequency (Hz)	Level (dB)
0.336456	-72.366882
0.672913	-69.936111
1.009369	-65.666527
1.345825	-66.142075
1.682281	-66.809937
2.018738	-67.554222
2.355194	-65.835060
2.691650	-69.294121
3.028107	-75.324242
3.364563	-67.293015
3.701019	-68.879272
4.037476	-72.241028
4.373932	-70.534241
4.710388	-69.785095
5.046844	-71.824562
5.383301	-74.189568
5.719757	-77.885468
6.056213	-76.795700
6.392670	-74.424019
6.729126	-75.769859
7.065582	-76.688873
7.402039	-76.836136
7.738495	-76.859367
8.074951	-77.674934
8.411407	-80.894676
8.747864	-75.961205
9.084320	-77.550438
9.420776	-81.514328
9.757233	-81.765991
10.093689	-80.076469
10.430145	-77.832199
10.766602	-82.202278
11.103058	-83.546600
11.439514	-82.193916
11.775970	-85.020065
12.112427	-86.513435
12.448883	-81.725876
12.785339	-92.044182
13.121796	-88.521362
13.458252	-82.864677
13.794708	-82.354698
14.131165	-86.315506
14.467621	-82.664383
14.804077	-83.189789
15.140533	-88.184959
15.476990	-83.707413
15.813446	-83.109627
16.149902	-80.612213
16.486359	-80.657845
16.822815	-85.578629
17.159271	-86.952469
17.495728	-85.296227
17.832184	-87.521156
18.168640	-89.072731
18.505096	-88.614944
18.841553	-85.480362
19.178009	-86.160515
19.514465	-87.584877
19.850922	-85.631836
20.187378	-86.731567
20.523834	-87.037315
20.860291	-87.055565
21.196747	-86.189095
21.533203	-84.247871
21.869659	-84.080803
22.206116	-88.898575
22.542572	-87.712730
22.879028	-89.290352
23.215485	-89.794907
23.551941	-87.355133
23.888397	-85.976868
24.224854	-87.708260
24.561310	-85.863945
24.897766	-89.136200
25.234222	-90.712585
25.570679	-90.046288
25.907135	-90.127708
26.243591	-90.212379
26.580048	-89.070274
26.916504	-91.913147
27.252960	-91.273743
27.589417	-87.108421
27.925873	-91.678078
28.262329	-90.654564
28.598785	-90.231705
28.935242	-91.650520
29.271698	-90.878845
29.608154	-89.809235
29.944611	-88.520416
30.281067	-88.402321
30.617523	-88.731247
30.953979	-94.533760
31.290436	-90.429749
31.626892	-90.474571
31.963348	-89.626045
32.299805	-90.446159
32.636261	-91.036308
32.972717	-88.755066
33.309174	-90.638931
33.645630	-88.726387
33.982086	-88.312943
34.318542	-89.836899
34.654999	-92.122330
34.991455	-89.462257
35.327911	-92.890289
35.664368	-88.069305
36.000824	-91.884636
36.337280	-90.184494
36.673737	-93.418976
37.010193	-90.342506
37.346649	-93.642662
37.683105	-89.851837
38.019562	-87.274887
38.356018	-91.945503
38.692474	-90.264259
39.028931	-88.302299
39.365387	-92.901161
39.701843	-89.204788
40.038300	-89.020561
40.374756	-89.534637
40.711212	-91.673256
41.047668	-90.989182
41.384125	-90.904747
41.720581	-90.692070
42.057037	-89.315971
42.393494	-89.984886
42.729950	-88.620842
43.066406	-90.209030
43.402863	-90.896881
43.739319	-90.547928
44.075775	-88.480026
44.412231	-90.334076
44.748688	-91.710602
45.085144	-90.945190
45.421600	-89.579674
45.758057	-91.580620
46.094513	-89.000938
46.430969	-89.311371
46.767426	-97.320763
47.103882	-88.871758
47.440338	-90.416214
47.776794	-91.557457
48.113251	-88.756203
48.449707	-92.046600
48.786163	-87.712334
49.122620	-90.981522
49.459076	-88.866539
49.795532	-90.038200
50.131989	-88.616196
50.468445	-88.794388
50.804901	-89.104439
51.141357	-88.354851
51.477814	-88.983185
51.814270	-90.549522
52.150726	-91.844337
52.487183	-90.080055
52.823639	-89.783669
53.160095	-92.444321
53.496552	-88.316368
53.833008	-89.971413
54.169464	-92.997871
54.505920	-90.113121
54.842377	-87.336166
55.178833	-92.044075
55.515289	-89.987083
55.851746	-88.843185
56.188202	-92.103378
56.524658	-89.204826
56.861115	-90.999908
57.197571	-89.007278
57.534027	-90.395676
57.870483	-89.063660
58.206940	-91.271881
58.543396	-88.360535
58.879852	-89.042091
59.216309	-91.000374
59.552765	-89.070549
59.889221	-85.330353
60.225677	-88.051559
60.562134	-86.958656
60.898590	-88.516785
61.235046	-90.770599
61.571503	-88.864586
61.907959	-89.189087
62.244415	-88.783020
62.580872	-87.681442
62.917328	-89.876617
63.253784	-89.080757
63.590240	-87.874252
63.926697	-88.845215
64.263153	-87.974281
64.599609	-87.757469
64.936066	-88.883545
65.272522	-87.787956
65.608978	-88.371132
65.945435	-87.997269
66.281891	-88.216232
66.618347	-88.408249
66.954803	-87.366837
67.291260	-88.801720
67.627716	-87.755417
67.964172	-87.421761
68.300629	-88.696884
68.637085	-86.814774
68.973541	-89.352661
69.309998	-87.488960
69.646454	-86.617325
69.982910	-87.733147
70.319366	-88.890701
70.655823	-86.343552
70.992279	-87.848625
71.328735	-86.949127
71.665192	-86.183891
72.001648	-87.006729
72.338104	-85.874115
72.674561	-86.681709
73.011017	-87.137909
73.347473	-86.503876
73.683929	-86.903511
74.020386	-86.239120
74.356842	-87.103699
74.693298	-85.564491
75.029755	-86.061974
75.366211	-85.989128
75.702667	-85.455284
76.039124	-85.997520
76.375580	-85.876137
76.712036	-85.564629
77.048492	-84.571976
77.384949	-85.937790
77.721405	-83.974785
78.057861	-86.243629
78.394318	-83.955711
78.730774	-84.860374
79.067230	-85.057167
79.403687	-84.882965
79.740143	-83.049538
80.076599	-84.846344
80.413055	-84.910965
80.749512	-83.219963
81.085968	-84.355553
81.422424	-83.250145
81.758881	-84.159447
82.095337	-82.900856
82.431793	-83.155510
82.768250	-83.132500
83.104706	-82.923424
83.441162	-82.431244
83.777618	-82.556389
84.114075	-82.488518
84.450531	-81.795982
84.786987	-81.889336
85.123444	-82.104782
85.459900	-80.963547
85.796356	-81.798920
86.132812	-81.269279
86.469269	-80.750778
86.805725	-81.064888
87.142181	-80.063416
87.478638	-80.682343
87.815094	-80.113907
88.151550	-79.662727
88.488007	-79.942184
88.824463	-79.128265
89.160919	-79.342743
89.497375	-78.614082
89.833832	-78.644493
90.170288	-78.179810
90.506744	-77.964729
90.843201	-77.638847
91.179657	-77.736206
91.516113	-76.716751
91.852570	-76.796089
92.189026	-76.477745
92.525482	-75.431404
92.861938	-75.951958
93.198395	-75.059486
93.534851	-74.918694
93.871307	-74.012512
94.207764	-74.121323
94.544220	-73.041542
94.880676	-72.984726
95.217133	-72.132179
95.553589	-71.770317
95.890045	-70.962822
96.226501	-70.358734
96.562958	-69.734489
96.899414	-68.820442
97.235870	-67.990044
97.572327	-67.143974
97.908783	-66.254349
98.245239	-65.463318
98.581696	-65.094780
98.918152	-67.430321
99.254608	-62.242046
99.591064	-29.472168
99.927521	-18.471653
100.263977	-22.659395
100.600433	-49.882553
100.936890	-74.132202
101.273346	-65.447449
101.609802	-65.168777
101.946259	-65.903946
102.282715	-66.720673
102.619171	-67.735260
102.955627	-68.452118
103.292084	-69.200096
103.628540	-70.083122
103.964996	-70.859413
104.301453	-71.342453
104.637909	-71.868370
104.974365	-72.655777
105.310822	-73.074829
105.647278	-73.698555
