Frequency (Hz)	Level (dB)
0.336456	-68.852180
0.672913	-67.255272
1.009369	-71.221497
1.345825	-66.073540
1.682281	-66.424202
2.018738	-70.200760
2.355194	-71.565521
2.691650	-69.451103
3.028107	-71.127731
3.364563	-69.494118
3.701019	-70.204712
4.037476	-67.285751
4.373932	-67.212418
4.710388	-69.260971
5.046844	-73.705200
5.383301	-76.549026
5.719757	-77.297401
6.056213	-76.146980
6.392670	-77.615578
6.729126	-79.059227
7.065582	-79.347092
7.402039	-78.684799
7.738495	-77.358475
8.074951	-78.462791
8.411407	-80.293648
8.747864	-79.658821
9.084320	-78.538185
9.420776	-81.408012
9.757233	-79.770363
10.093689	-80.363876
10.430145	-80.169472
10.766602	-78.293190
11.103058	-78.199028
11.439514	-78.195847
11.775970	-77.484184
12.112427	-80.108688
12.448883	-81.413635
12.785339	-82.831245
13.121796	-87.138359
13.458252	-83.218552
13.794708	-83.653099
14.131165	-86.166245
14.467621	-86.807274
14.804077	-87.269989
15.140533	-85.353416
15.476990	-85.046272
15.813446	-84.288773
16.149902	-83.591743
16.486359	-86.783379
16.822815	-85.851967
17.159271	-84.017250
17.495728	-82.869766
17.832184	-82.718285
18.168640	-86.256157
18.505096	-88.031509
18.841553	-86.764580
19.178009	-86.930084
19.514465	-87.310181
19.850922	-83.695480
20.187378	-89.062927
20.523834	-87.248184
20.860291	-84.265907
21.196747	-87.860420
21.533203	-90.405273
21.869659	-88.084335
22.206116	-86.263573
22.542572	-84.153397
22.879028	-87.302414
23.215485	-89.731514
23.551941	-91.841606
23.888397	-90.149055
24.224854	-86.141594
24.561310	-90.795502
24.897766	-88.884796
25.234222	-88.497231
25.570679	-89.146645
25.907135	-89.715637
26.243591	-88.872505
26.580048	-88.184715
26.916504	-90.343521
27.252960	-94.412170
27.589417	-87.540352
27.925873	-89.975822
28.262329	-91.428261
28.598785	-88.682014
28.935242	-89.420143
29.271698	-88.904793
29.608154	-90.749588
29.944611	-89.842125
30.281067	-89.607056
30.617523	-89.140709
30.953979	-89.269600
31.290436	-92.474907
31.626892	-87.874390
31.963348	-93.536911
32.299805	-89.404884
32.636261	-86.512520
32.972717	-92.904160
33.309174	-91.559700
33.645630	-85.835266
33.982086	-89.417839
34.318542	-88.428017
34.654999	-93.344948
34.991455	-89.180672
35.327911	-89.867393
35.664368	-87.833374
36.000824	-90.280937
36.337280	-90.207161
36.673737	-93.297783
37.010193	-87.822472
37.346649	-89.561127
37.683105	-89.760910
38.019562	-87.480965
38.356018	-92.693123
38.692474	-89.429047
39.028931	-90.137604
39.365387	-92.495583
39.701843	-87.916092
40.038300	-92.665154
40.374756	-89.037056
40.711212	-89.274376
41.047668	-93.986458
41.384125	-87.287689
41.720581	-90.458763
42.057037	-89.392258
42.393494	-92.136032
42.729950	-90.823021
43.066406	-90.237434
43.402863	-92.600136
