Frequency (Hz)	Level (dB)
0.336456	-72.000229
0.672913	-67.770035
1.009369	-68.819633
1.345825	-66.679596
1.682281	-66.677498
2.018738	-68.806335
2.355194	-68.502151
2.691650	-68.198082
3.028107	-72.423798
3.364563	-71.085091
3.701019	-68.553299
4.037476	-70.020988
4.373932	-74.184532
4.710388	-71.453644
5.046844	-74.340897
5.383301	-71.987053
5.719757	-73.976006
6.056213	-76.387527
6.392670	-72.353989
6.729126	-74.714195
7.065582	-76.407585
7.402039	-74.512558
7.738495	-76.134918
8.074951	-78.315262
8.411407	-75.480072
8.747864	-78.052231
9.084320	-75.576050
9.420776	-80.463524
9.757233	-81.395729
10.093689	-79.943794
10.430145	-79.850945
10.766602	-80.438034
11.103058	-78.890633
11.439514	-79.725189
11.775970	-83.377464
12.112427	-77.705101
12.448883	-79.031708
12.785339	-81.697060
13.121796	-85.078148
13.458252	-83.519928
13.794708	-81.438499
14.131165	-83.724541
14.467621	-84.148140
14.804077	-84.480713
15.140533	-83.478806
15.476990	-81.790916
15.813446	-85.510117
16.149902	-85.114716
16.486359	-83.343163
16.822815	-84.687866
17.159271	-84.333687
17.495728	-84.571999
17.832184	-89.538635
18.168640	-86.091103
18.505096	-89.037918
18.841553	-86.417679
19.178009	-86.472763
19.514465	-87.757523
19.850922	-86.867104
20.187378	-86.509003
20.523834	-84.174248
20.860291	-88.197647
21.196747	-90.326065
21.533203	-86.966614
21.869659	-87.379898
22.206116	-87.326469
22.542572	-87.025764
22.879028	-87.350327
23.215485	-89.984367
23.551941	-88.900078
23.888397	-91.631752
24.224854	-89.884979
24.561310	-87.765060
24.897766	-90.754173
25.234222	-86.763550
25.570679	-88.380898
25.907135	-88.859604
26.243591	-92.670929
26.580048	-88.259140
26.916504	-87.389610
27.252960	-85.557861
27.589417	-92.365845
27.925873	-88.395538
28.262329	-88.266632
28.598785	-89.947433
28.935242	-88.331055
29.271698	-87.339790
29.608154	-90.163025
29.944611	-90.791862
30.281067	-89.018471
30.617523	-86.690788
30.953979	-91.378693
31.290436	-85.351639
31.626892	-91.999916
31.963348	-98.111580
32.299805	-88.653481
32.636261	-91.367661
32.972717	-90.227158
33.309174	-86.349327
33.645630	-91.071701
33.982086	-91.913429
34.318542	-90.338295
34.654999	-92.900726
34.991455	-90.558327
35.327911	-88.623474
35.664368	-91.957741
36.000824	-91.950760
36.337280	-89.308388
36.673737	-90.650558
37.010193	-89.438232
37.346649	-91.485405
37.683105	-89.043007
38.019562	-90.015068
38.356018	-90.002647
38.692474	-90.341957
39.028931	-87.113861
39.365387	-89.811340
39.701843	-90.996834
40.038300	-89.319672
40.374756	-91.093117
40.711212	-88.313011
41.047668	-91.560059
41.384125	-89.538826
41.720581	-92.123703
42.057037	-88.951790
42.393494	-90.790634
42.729950	-91.775978
43.066406	-88.341057
43.402863	-93.203712
43.739319	-89.307266
44.075775	-90.685768
44.412231	-90.386818
44.748688	-89.783546
45.085144	-91.342857
45.421600	-94.245583
45.758057	-89.278664
46.094513	-90.915550
46.430969	-90.753822
46.767426	-92.135292
47.103882	-90.954849
47.440338	-90.395737
47.776794	-90.497917
48.113251	-89.510559
48.449707	-90.209129
48.786163	-92.338425
49.122620	-91.033371
49.459076	-90.928955
49.795532	-90.307060
50.131989	-90.522720
50.468445	-92.674171
50.804901	-90.271217
51.141357	-89.656380
51.477814	-93.020050
51.814270	-88.914352
52.150726	-93.291718
52.487183	-90.102684
52.823639	-91.396103
53.160095	-89.825684
53.496552	-90.855171
53.833008	-88.325562
54.169464	-92.648392
54.505920	-88.222801
54.842377	-94.548180
55.178833	-89.726875
55.515289	-87.678894
55.851746	-90.069626
56.188202	-89.811615
56.524658	-87.737000
56.861115	-91.870476
57.197571	-86.743698
57.534027	-90.811142
57.870483	-88.933784
58.206940	-87.955681
58.543396	-89.384804
58.879852	-88.379967
59.216309	-90.106361
59.552765	-91.807762
59.889221	-83.393959
60.225677	-84.661034
60.562134	-87.733559
60.898590	-93.726799
61.235046	-87.298576
61.571503	-89.326218
61.907959	-87.689156
62.244415	-91.889542
62.580872	-86.668999
62.917328	-88.332024
63.253784	-89.497215
63.590240	-89.829605
63.926697	-88.025307
64.263153	-88.105667
64.599609	-88.865005
64.936066	-89.046219
65.272522	-88.026848
65.608978	-90.793732
65.945435	-87.475143
66.281891	-86.987457
66.618347	-88.781548
66.954803	-88.822021
67.291260	-88.035332
67.627716	-88.301407
67.964172	-88.005081
68.300629	-86.249069
68.637085	-88.429268
68.973541	-86.659393
69.309998	-87.432213
69.646454	-87.361122
69.982910	-86.937042
70.319366	-88.103180
70.655823	-86.501732
70.992279	-86.223885
71.328735	-87.165527
71.665192	-86.748360
72.001648	-87.349586
72.338104	-86.347961
72.674561	-87.398468
73.011017	-85.755035
73.347473	-87.512833
73.683929	-87.077492
74.020386	-85.941589
74.356842	-86.691544
74.693298	-86.758469
75.029755	-83.174438
75.366211	-87.738327
75.702667	-85.941086
76.039124	-85.925713
76.375580	-84.281921
76.712036	-86.486610
77.048492	-85.065514
77.384949	-85.253815
77.721405	-84.912971
78.057861	-85.298790
78.394318	-85.375481
78.730774	-84.382492
79.067230	-84.819344
79.403687	-84.850037
79.740143	-83.902626
80.076599	-84.589615
80.413055	-84.485886
80.749512	-83.597939
81.085968	-84.102028
81.422424	-83.364899
81.758881	-83.736931
82.095337	-83.571259
82.431793	-82.573029
82.768250	-83.440773
83.104706	-83.268883
83.441162	-82.278091
83.777618	-82.120667
84.114075	-83.054283
84.450531	-82.138062
84.786987	-81.979851
85.123444	-81.720810
85.459900	-81.375381
85.796356	-81.405190
86.132812	-81.276321
86.469269	-80.558434
86.805725	-81.007942
87.142181	-80.667038
87.478638	-80.089142
87.815094	-80.323692
88.151550	-79.994354
88.488007	-79.271355
88.824463	-79.627304
89.160919	-79.008553
89.497375	-79.102867
89.833832	-78.122894
90.170288	-78.474167
90.506744	-78.177643
90.843201	-77.691971
91.179657	-77.089439
91.516113	-77.260849
91.852570	-76.802620
92.189026	-76.175827
92.525482	-76.406052
92.861938	-75.282791
93.198395	-75.152290
93.534851	-74.952011
93.871307	-74.053299
94.207764	-73.845528
94.544220	-73.490402
94.880676	-72.724449
95.217133	-72.359009
95.553589	-71.597595
95.890045	-70.956764
96.226501	-70.466797
96.562958	-69.515427
96.899414	-68.937668
97.235870	-68.066841
97.572327	-67.114853
97.908783	-66.248108
98.245239	-65.504021
98.581696	-64.991806
98.918152	-67.516373
99.254608	-62.193096
99.591064	-29.475630
99.927521	-18.475576
100.263977	-22.663752
100.600433	-49.865257
100.936890	-73.938919
101.273346	-65.440544
101.609802	-65.191093
101.946259	-65.868401
102.282715	-66.819847
102.619171	-67.565636
102.955627	-68.536613
103.292084	-69.379265
103.628540	-70.007332
103.964996	-70.793259
104.301453	-71.340668
104.637909	-72.003922
104.974365	-72.562141
105.310822	-73.134132
105.647278	-73.530350
105.983734	-74.298355
106.320190	-74.517136
106.656647	-74.707901
106.993103	-75.508865
107.329559	-75.831367
107.666016	-76.156982
108.002472	-76.530396
108.338928	-76.893211
108.675385	-77.314774
109.011841	-77.434227
109.348297	-77.750168
109.684753	-78.201080
110.021210	-78.224449
110.357666	-78.828384
110.694122	-79.087395
111.030579	-79.037125
111.367035	-79.454407
111.703491	-79.744530
112.039948	-80.318336
112.376404	-79.845634
112.712860	-80.475655
113.049316	-80.680649
113.385773	-80.896919
113.722229	-80.857689
114.058685	-81.665970
114.395142	-81.124954
114.731598	-81.459206
115.068054	-81.795113
115.404510	-82.468834
115.740967	-82.302124
116.077423	-81.527466
116.413879	-83.414841
116.750336	-82.163116
117.086792	-83.234261
117.423248	-83.090630
117.759705	-83.365715
118.096161	-83.327141
118.432617	-83.595245
118.769073	-84.011993
119.105530	-83.681381
119.441986	-83.879120
119.778442	-84.458534
120.114899	-83.812553
120.451355	-85.005051
120.787811	-84.128853
121.124268	-84.649155
121.460724	-84.628708
121.797180	-84.989265
122.133636	-85.365524
122.470093	-85.116043
122.806549	-85.043144
123.143005	-85.420845
123.479462	-86.665718
123.815918	-85.077682
124.152374	-85.758942
124.488831	-84.855095
124.825287	-78.184212
125.161743	-77.209419
125.498199	-86.188644
125.834656	-85.829582
126.171112	-88.251328
126.507568	-86.151062
126.844025	-85.897583
127.180481	-87.496513
127.516937	-85.402039
127.853394	-87.867775
128.189850	-87.288605
128.526306	-87.258865
128.862762	-87.069077
129.199219	-86.933792
129.535675	-87.471519
129.872131	-87.366203
130.208588	-88.277687
130.545044	-87.906525
130.881500	-86.370392
131.217957	-88.449493
131.554413	-87.722954
131.890869	-88.155563
132.227325	-88.096375
132.563782	-88.395821
132.900238	-88.439835
133.236694	-88.188339
133.573151	-88.319534
133.909607	-88.618317
134.246063	-89.901459
134.582520	-87.720985
134.918976	-89.166458
135.255432	-88.796524
135.591888	-88.548256
135.928345	-89.366707
136.264801	-90.145355
136.601257	-88.014183
136.937714	-91.069649
137.274170	-88.105492
137.610626	-90.132828
137.947083	-88.499474
138.283539	-90.509842
138.619995	-88.991821
138.956451	-88.610023
139.292908	-90.165230
139.629364	-90.304367
139.965820	-90.271545
140.302277	-89.928932
140.638733	-89.985649
140.975189	-89.402855
141.311646	-90.798431
141.648102	-90.803825
141.984558	-89.980408
142.321014	-89.596565
142.657471	-90.841805
142.993927	-90.154579
143.330383	-90.570625
143.666840	-91.905312
144.003296	-89.890312
144.339752	-91.413261
144.676208	-89.767082
145.012665	-92.756119
145.349121	-90.082176
145.685577	-90.918465
146.022034	-91.730042
146.358490	-88.553307
146.694946	-91.222122
147.031403	-92.066681
147.367859	-90.994873
147.704315	-90.678238
148.040771	-91.757217
148.377228	-90.483284
148.713684	-91.530853
149.050140	-91.938324
149.386597	-90.744957
149.723053	-92.508797
150.059509	-89.725372
150.395966	-91.437225
150.732422	-90.918442
151.068878	-92.676659
151.405334	-91.933815
151.741791	-91.162987
152.078247	-92.476730
152.414703	-90.736504
152.751160	-92.823715
153.087616	-90.890846
153.424072	-91.769257
153.760529	-93.313431
154.096985	-91.982384
154.433441	-90.744720
154.769897	-93.500900
155.106354	-92.715569
155.442810	-91.720360
155.779266	-91.341431
156.115723	-91.341087
156.452179	-94.514778
156.788635	-91.789841
157.125092	-92.955971
157.461548	-91.894630
157.798004	-93.825607
158.134460	-91.737534
158.470917	-95.292221
158.807373	-91.255531
159.143829	-91.593803
159.480286	-94.213814
159.816742	-92.488388
160.153198	-91.989571
160.489655	-95.719719
160.826111	-92.106003
161.162567	-93.344322
161.499023	-93.100739
161.835480	-93.868042
162.171936	-91.954872
162.508392	-96.414902
162.844849	-91.735390
163.181305	-95.920128
163.517761	-91.859711
163.854218	-93.637726
164.190674	-92.936058
164.527130	-92.320580
164.863586	-93.810760
165.200043	-93.446045
165.536499	-92.150711
165.872955	-93.827301
166.209412	-94.440102
166.545868	-91.395325
166.882324	-94.563034
167.218781	-95.584435
167.555237	-91.879128
167.891693	-94.723366
168.228149	-93.688049
168.564606	-92.876854
168.901062	-92.336632
169.237518	-92.752350
169.573975	-94.744217
169.910431	-90.513924
170.246887	-95.584000
170.583344	-92.967102
170.919800	-95.835609
171.256256	-94.816353
171.592712	-93.738251
171.929169	-92.178482
172.265625	-95.822670
172.602081	-95.887688
172.938538	-93.275696
173.274994	-95.857704
173.611450	-91.870880
173.947906	-95.190552
174.284363	-93.445679
174.620819	-94.939445
174.957275	-87.724617
175.293732	-91.202713
175.630188	-96.519691
175.966644	-95.008812
176.303101	-93.521515
176.639557	-95.935883
176.976013	-94.093781
177.312469	-96.461838
177.648926	-93.748390
177.985382	-96.933388
178.321838	-94.320740
178.658295	-93.450981
178.994751	-95.243462
179.331207	-96.059120
179.667664	-93.261482
180.004120	-92.985298
180.340576	-91.110016
180.677032	-96.847473
181.013489	-93.677734
181.349945	-94.575890
181.686401	-95.670006
182.022858	-95.694138
182.359314	-95.887634
182.695770	-95.245033
183.032227	-94.044746
183.368683	-95.713127
183.705139	-94.675613
184.041595	-96.873306
184.378052	-94.479645
184.714508	-94.721703
185.050964	-95.934380
185.387421	-95.798531
185.723877	-96.299370
186.060333	-96.419029
186.396790	-95.421730
186.733246	-97.127357
187.069702	-95.087044
187.406158	-95.125214
187.742615	-95.203629
188.079071	-98.296051
188.415527	-95.426369
188.751984	-96.122055
189.088440	-93.789742
189.424896	-94.873924
189.761353	-95.927948
190.097809	-94.426048
190.434265	-96.340591
190.770721	-95.489899
191.107178	-95.152695
191.443634	-95.564842
191.780090	-95.113342
192.116547	-96.217896
192.453003	-94.249458
192.789459	-94.145912
193.125916	-96.430809
193.462372	-97.525322
193.798828	-94.981575
194.135284	-95.311340
194.471741	-95.478561
194.808197	-97.021362
195.144653	-97.130966
195.481110	-95.597084
195.817566	-95.604652
196.154022	-95.978615
196.490479	-94.421700
196.826935	-95.633499
197.163391	-97.281517
197.499847	-95.298935
197.836304	-95.399536
198.172760	-99.204445
198.509216	-94.886765
198.845673	-94.844688
199.182129	-98.619148
199.518585	-96.080215
199.855042	-92.427887
200.191498	-92.315025
200.527954	-96.700310
200.864410	-101.965950
201.200867	-93.972527
201.537323	-96.643951
201.873779	-97.469704
202.210236	-98.002312
202.546692	-93.651085
202.883148	-98.750252
203.219604	-95.587372
203.556061	-94.528748
203.892517	-99.198013
204.228973	-95.417030
204.565430	-96.313179
204.901886	-95.910408
205.238342	-96.090233
205.574799	-97.492752
205.911255	-96.319511
206.247711	-93.650696
206.584167	-97.346001
206.920624	-97.856644
207.257080	-95.674332
207.593536	-95.171364
207.929993	-97.413033
208.266449	-100.304832
208.602905	-95.357285
208.939362	-96.679420
209.275818	-95.401550
209.612274	-97.149979
209.948730	-95.819931
210.285187	-98.755653
210.621643	-95.240089
210.958099	-96.767677
211.294556	-97.342201
211.631012	-98.313507
211.967468	-96.739914
212.303925	-99.018364
212.640381	-98.400131
212.976837	-96.293823
213.313293	-97.337608
213.649750	-97.669991
213.986206	-96.396736
214.322662	-97.081894
214.659119	-97.330101
