Frequency (Hz)	Level (dB)
0.336456	-84.847427
0.672913	-84.846992
1.009369	-84.846268
1.345825	-84.845276
1.682281	-84.843979
2.018738	-84.842384
2.355194	-84.840530
2.691650	-84.838379
3.028107	-84.835907
3.364563	-84.833221
3.701019	-84.830177
4.037476	-84.826859
4.373932	-84.823296
4.710388	-84.819389
5.046844	-84.815224
5.383301	-84.810760
5.719757	-84.806015
6.056213	-84.800987
6.392670	-84.795662
6.729126	-84.790039
7.065582	-84.784119
7.402039	-84.777954
7.738495	-84.771431
8.074951	-84.764694
8.411407	-84.757675
8.747864	-84.750252
9.084320	-84.742653
9.420776	-84.734726
9.757233	-84.726509
10.093689	-84.717995
10.430145	-84.709190
10.766602	-84.700104
11.103058	-84.690720
11.439514	-84.681038
11.775970	-84.671066
12.112427	-84.660828
12.448883	-84.650246
12.785339	-84.639412
13.121796	-84.628273
13.458252	-84.616859
13.794708	-84.605309
14.131165	-84.592972
14.467621	-84.580772
14.804077	-84.568161
15.140533	-84.555283
15.476990	-84.542053
15.813446	-84.528549
16.149902	-84.514763
16.486359	-84.500671
16.822815	-84.486282
17.159271	-84.471596
17.495728	-84.456596
17.832184	-84.441315
18.168640	-84.425743
18.505096	-84.409851
18.841553	-84.393661
19.178009	-84.377174
19.514465	-84.360359
19.850922	-84.343292
20.187378	-84.325882
20.523834	-84.308189
20.860291	-84.290199
21.196747	-84.271889
21.533203	-84.253273
21.869659	-84.234360
22.206116	-84.215126
22.542572	-84.195595
22.879028	-84.175766
23.215485	-84.155602
23.551941	-84.135139
23.888397	-84.114372
24.224854	-84.093292
24.561310	-84.071884
24.897766	-84.050209
25.234222	-84.028168
25.570679	-84.005814
25.907135	-83.983185
26.243591	-83.960197
26.580048	-83.936913
26.916504	-83.913315
27.252960	-83.889389
27.589417	-83.865135
27.925873	-83.840569
28.262329	-83.815674
28.598785	-83.790466
28.935242	-83.764954
29.271698	-83.739029
29.608154	-83.712883
29.944611	-83.686356
30.281067	-83.659485
30.617523	-83.632317
30.953979	-83.604805
31.290436	-83.576942
31.626892	-83.548752
31.963348	-83.520256
32.299805	-83.491394
32.636261	-83.462204
32.972717	-83.432671
33.309174	-83.402779
33.645630	-83.372505
33.982086	-83.342003
34.318542	-83.311081
34.654999	-83.279831
34.991455	-83.248215
35.327911	-83.216171
35.664368	-83.183952
36.000824	-83.151268
36.337280	-83.118225
36.673737	-83.084846
37.010193	-83.051102
37.346649	-83.016983
37.683105	-82.982506
38.019562	-82.947662
38.356018	-82.912460
38.692474	-82.876884
39.028931	-82.840919
39.365387	-82.804581
39.701843	-82.767891
40.038300	-82.730797
40.374756	-82.693314
40.711212	-82.655464
41.047668	-82.617210
41.384125	-82.578583
41.720581	-82.539566
42.057037	-82.500137
42.393494	-82.460312
42.729950	-82.420090
43.066406	-82.379486
43.402863	-82.338448
43.739319	-82.297012
44.075775	-82.255157
44.412231	-82.212906
44.748688	-82.170204
45.085144	-82.127098
45.421600	-82.083565
45.758057	-82.039619
46.094513	-81.995201
46.430969	-81.950424
46.767426	-81.905128
47.103882	-81.859413
47.440338	-81.813278
47.776794	-81.766655
48.113251	-81.719589
48.449707	-81.672096
48.786163	-81.624092
49.122620	-81.575653
49.459076	-81.526733
49.795532	-81.477325
50.131989	-81.427460
50.468445	-81.377098
50.804901	-81.326241
51.141357	-81.274902
51.477814	-81.223076
51.814270	-81.170708
52.150726	-81.117851
52.487183	-81.064514
52.823639	-81.010582
53.160095	-80.956161
53.496552	-80.901207
53.833008	-80.845718
54.169464	-80.789688
54.505920	-80.733109
54.842377	-80.675957
55.178833	-80.618256
55.515289	-80.559990
55.851746	-80.501122
56.188202	-80.441711
56.524658	-80.381729
56.861115	-80.320953
57.197571	-80.259918
57.534027	-80.197983
57.870483	-80.135529
58.206940	-80.072433
58.543396	-80.008705
58.879852	-79.944321
59.216309	-79.879295
59.552765	-79.813599
59.889221	-79.747231
60.225677	-79.680176
60.562134	-79.612427
60.898590	-79.543983
61.235046	-79.474823
61.571503	-79.404938
61.907959	-79.334320
62.244415	-79.262962
62.580872	-79.190826
62.917328	-79.117935
63.253784	-79.044258
63.590240	-78.969788
63.926697	-78.894516
64.263153	-78.818428
64.599609	-78.741486
64.936066	-78.663719
65.272522	-78.585068
65.608978	-78.505547
65.945435	-78.425140
66.281891	-78.343811
66.618347	-78.261574
66.954803	-78.178375
67.291260	-78.094231
67.627716	-78.009079
67.964172	-77.923019
68.300629	-77.835846
68.637085	-77.747673
68.973541	-77.658417
69.309998	-77.568130
69.646454	-77.476730
69.982910	-77.384201
70.319366	-77.290527
70.655823	-77.195679
70.992279	-77.099655
71.328735	-77.002388
71.665192	-76.903885
72.001648	-76.804115
72.338104	-76.703018
72.674561	-76.600609
73.011017	-76.496841
73.347473	-76.391647
73.683929	-76.285049
74.020386	-76.176964
74.356842	-76.067398
74.693298	-75.956284
75.029755	-75.843597
75.366211	-75.729286
75.702667	-75.613304
76.039124	-75.495636
76.375580	-75.376198
76.712036	-75.254974
77.048492	-75.131897
77.384949	-75.006920
77.721405	-74.879982
78.057861	-74.751015
78.394318	-74.619904
78.730774	-74.486855
79.067230	-74.351471
79.403687	-74.213837
79.740143	-74.073853
80.076599	-73.931458
80.413055	-73.786552
80.749512	-73.639076
