Frequency (Hz)	Level (dB)
0.336456	-71.500084
0.672913	-66.847145
1.009369	-64.984764
1.345825	-66.523849
1.682281	-70.089394
2.018738	-70.261673
2.355194	-66.537659
2.691650	-68.203438
3.028107	-70.192955
3.364563	-66.923714
3.701019	-67.711105
4.037476	-76.492233
4.373932	-73.619339
4.710388	-72.781372
5.046844	-78.961098
5.383301	-76.722755
5.719757	-76.021072
6.056213	-75.048225
6.392670	-75.592148
6.729126	-76.333878
7.065582	-77.233536
7.402039	-81.019211
7.738495	-75.021469
8.074951	-76.431107
8.411407	-80.491554
8.747864	-78.532707
9.084320	-79.112892
9.420776	-80.592224
9.757233	-81.055191
10.093689	-80.709213
10.430145	-80.420319
10.766602	-85.842499
11.103058	-83.719444
11.439514	-83.780014
11.775970	-81.290443
12.112427	-82.129517
12.448883	-82.186691
12.785339	-84.500221
13.121796	-80.587074
13.458252	-83.640480
13.794708	-81.144524
14.131165	-80.616150
14.467621	-87.764145
14.804077	-82.374229
15.140533	-84.568436
15.476990	-86.185493
15.813446	-87.247940
16.149902	-84.976021
16.486359	-82.748734
16.822815	-82.561317
17.159271	-89.296776
17.495728	-85.078270
17.832184	-84.523415
18.168640	-82.842934
18.505096	-85.372238
18.841553	-87.460083
19.178009	-88.324966
19.514465	-84.609566
19.850922	-88.887466
20.187378	-86.569611
20.523834	-88.125916
20.860291	-90.861717
21.196747	-87.549606
21.533203	-89.976555
21.869659	-87.084526
22.206116	-89.981438
22.542572	-90.198723
22.879028	-92.104790
23.215485	-85.156746
23.551941	-94.086479
23.888397	-88.449768
24.224854	-87.655411
24.561310	-87.234337
24.897766	-91.710335
25.234222	-88.641891
25.570679	-92.690231
25.907135	-87.476334
26.243591	-90.316338
26.580048	-89.186630
26.916504	-88.567711
27.252960	-91.031189
27.589417	-91.504379
27.925873	-89.068413
28.262329	-90.273598
28.598785	-87.390221
28.935242	-94.693527
29.271698	-88.840248
29.608154	-94.604034
29.944611	-91.314560
30.281067	-91.286758
30.617523	-90.678703
30.953979	-91.838867
31.290436	-90.593658
31.626892	-90.600777
31.963348	-97.325394
32.299805	-89.584511
32.636261	-93.569885
32.972717	-91.927818
33.309174	-89.466072
33.645630	-95.984932
33.982086	-91.697746
34.318542	-93.019608
34.654999	-90.315910
34.991455	-92.337090
35.327911	-93.085762
35.664368	-92.577637
36.000824	-92.898621
36.337280	-91.413170
36.673737	-92.931267
37.010193	-90.755096
37.346649	-92.451263
37.683105	-90.298874
38.019562	-92.569061
38.356018	-91.666924
38.692474	-90.017006
39.028931	-94.979736
39.365387	-90.263664
39.701843	-92.119469
40.038300	-89.814896
40.374756	-91.958656
40.711212	-90.147018
41.047668	-93.046959
41.384125	-93.311234
41.720581	-92.063362
42.057037	-91.505180
42.393494	-92.732643
42.729950	-91.942406
43.066406	-94.043465
43.402863	-91.204689
43.739319	-92.963043
44.075775	-91.413864
44.412231	-90.092911
44.748688	-92.820145
45.085144	-91.878593
45.421600	-90.579041
45.758057	-92.777267
46.094513	-90.037857
46.430969	-91.429810
46.767426	-91.802383
47.103882	-89.797150
47.440338	-88.730331
47.776794	-91.465431
48.113251	-90.407074
48.449707	-91.034813
48.786163	-95.185234
49.122620	-89.262077
49.459076	-91.070221
49.795532	-91.585884
50.131989	-90.056320
50.468445	-91.017090
50.804901	-89.081985
51.141357	-93.764366
51.477814	-92.003777
51.814270	-91.014328
52.150726	-93.693459
52.487183	-89.949173
52.823639	-90.991585
53.160095	-91.291405
53.496552	-88.457115
53.833008	-91.094498
54.169464	-90.949516
54.505920	-93.070145
54.842377	-89.506027
55.178833	-92.114349
55.515289	-89.887291
55.851746	-89.623894
56.188202	-92.654755
56.524658	-89.615311
56.861115	-90.627289
57.197571	-91.271675
57.534027	-89.436417
57.870483	-92.158417
58.206940	-92.378510
58.543396	-89.202515
58.879852	-92.326210
59.216309	-89.768974
59.552765	-89.806534
59.889221	-84.234688
60.225677	-87.060020
60.562134	-89.497589
60.898590	-89.734497
61.235046	-91.785568
61.571503	-88.288483
61.907959	-92.011467
62.244415	-89.302467
62.580872	-90.721405
62.917328	-90.329475
63.253784	-88.821098
63.590240	-91.455574
63.926697	-88.923225
64.263153	-89.923378
64.599609	-89.355461
64.936066	-88.526413
65.272522	-90.227730
65.608978	-88.289803
65.945435	-91.044075
66.281891	-88.732277
66.618347	-90.354813
66.954803	-88.027733
67.291260	-89.077644
67.627716	-89.779694
67.964172	-88.841576
68.300629	-88.079239
68.637085	-89.437302
68.973541	-88.848526
69.309998	-89.296997
69.646454	-89.157639
69.982910	-87.649834
70.319366	-90.359253
70.655823	-87.354362
70.992279	-89.270729
71.328735	-87.786690
71.665192	-89.272011
72.001648	-87.142738
72.338104	-87.986244
72.674561	-86.840363
73.011017	-88.240135
73.347473	-87.155022
73.683929	-86.754700
74.020386	-87.723770
74.356842	-87.086433
74.693298	-87.271057
75.029755	-87.215065
75.366211	-86.778458
75.702667	-87.153915
76.039124	-86.536545
76.375580	-86.517067
76.712036	-86.950859
77.048492	-86.116371
77.384949	-86.710976
77.721405	-85.750488
78.057861	-85.822083
78.394318	-86.195694
78.730774	-85.948227
79.067230	-85.278557
79.403687	-85.662338
79.740143	-85.916458
80.076599	-84.556343
80.413055	-85.567863
80.749512	-84.911301
81.085968	-85.081619
81.422424	-84.644012
81.758881	-84.725349
82.095337	-83.870316
82.431793	-84.787476
82.768250	-83.679977
83.104706	-84.264755
83.441162	-83.623901
83.777618	-83.651344
84.114075	-83.188507
84.450531	-83.257668
84.786987	-83.134445
85.123444	-83.025322
85.459900	-82.508308
85.796356	-82.542175
86.132812	-81.772270
86.469269	-82.521309
86.805725	-81.681526
87.142181	-81.328705
87.478638	-81.505043
87.815094	-81.614342
88.151550	-80.488197
88.488007	-80.881630
88.824463	-80.368240
89.160919	-80.082733
89.497375	-79.818962
89.833832	-79.878998
90.170288	-78.979050
90.506744	-79.734665
90.843201	-78.193703
91.179657	-78.522667
91.516113	-78.061638
91.852570	-77.637108
92.189026	-77.302383
92.525482	-77.151390
92.861938	-76.505226
93.198395	-76.405838
93.534851	-75.526627
93.871307	-75.359383
94.207764	-74.911781
94.544220	-74.092552
94.880676	-74.040421
95.217133	-73.037262
95.553589	-72.789955
95.890045	-72.155273
96.226501	-71.344269
96.562958	-70.540962
96.899414	-69.888374
97.235870	-69.035973
97.572327	-68.175430
97.908783	-67.223236
98.245239	-66.520164
98.581696	-66.056831
98.918152	-68.514725
99.254608	-63.258827
99.591064	-30.489052
99.927521	-19.486900
100.263977	-23.673244
100.600433	-50.887260
100.936890	-75.039696
101.273346	-66.547989
101.609802	-66.120605
101.946259	-66.934479
102.282715	-67.698814
102.619171	-68.791718
102.955627	-69.472961
103.292084	-70.095535
103.628540	-71.316017
103.964996	-71.424019
104.301453	-72.618210
104.637909	-72.897552
104.974365	-73.722221
105.310822	-73.880859
105.647278	-74.792488
105.983734	-74.960075
106.320190	-75.829613
106.656647	-75.534470
106.993103	-76.577324
107.329559	-76.803848
107.666016	-77.097038
108.002472	-77.648262
108.338928	-77.809052
108.675385	-78.275726
109.011841	-78.410767
109.348297	-79.165451
109.684753	-78.674583
110.021210	-80.331802
110.357666	-79.150604
110.694122	-80.016243
111.030579	-79.892204
111.367035	-80.516510
111.703491	-80.990356
112.039948	-81.031281
112.376404	-81.160873
112.712860	-81.268448
113.049316	-81.824188
113.385773	-81.836967
113.722229	-82.320534
114.058685	-82.301308
114.395142	-82.366821
114.731598	-82.849396
115.068054	-82.808830
115.404510	-83.408653
115.740967	-82.672577
116.077423	-84.128990
116.413879	-83.138771
116.750336	-83.617928
117.086792	-83.975510
117.423248	-84.133934
117.759705	-84.240410
118.096161	-84.384277
118.432617	-84.808380
118.769073	-84.436447
119.105530	-85.144493
119.441986	-84.578430
119.778442	-85.705231
120.114899	-85.529518
120.451355	-85.079765
120.787811	-85.833900
121.124268	-85.429955
121.460724	-85.700317
121.797180	-86.173943
122.133636	-87.011276
122.470093	-85.577034
122.806549	-85.826523
123.143005	-87.244987
123.479462	-86.004021
123.815918	-86.692139
124.152374	-86.991905
124.488831	-86.663765
124.825287	-87.459427
125.161743	-86.589127
125.498199	-87.610672
125.834656	-86.885101
126.171112	-88.300629
126.507568	-86.499054
126.844025	-89.190758
127.180481	-87.178833
127.516937	-87.615837
127.853394	-88.352829
128.189850	-87.480064
128.526306	-87.981850
128.862762	-89.992844
129.199219	-87.673462
129.535675	-87.603767
129.872131	-89.434677
130.208588	-87.375771
130.545044	-89.333344
130.881500	-88.919334
131.217957	-89.093201
131.554413	-88.148506
131.890869	-89.603928
132.227325	-88.850586
132.563782	-89.495171
132.900238	-89.582642
133.236694	-89.046318
133.573151	-88.937149
133.909607	-89.418144
134.246063	-89.859360
134.582520	-88.886528
134.918976	-89.794510
135.255432	-89.973694
135.591888	-90.316452
135.928345	-89.404556
136.264801	-90.012161
136.601257	-89.700890
136.937714	-92.146416
137.274170	-89.412224
137.610626	-90.959412
137.947083	-90.194283
138.283539	-90.216476
138.619995	-90.865196
138.956451	-91.345352
139.292908	-89.839859
139.629364	-91.438637
139.965820	-90.597885
140.302277	-91.110718
140.638733	-90.502487
140.975189	-91.574173
141.311646	-91.036552
141.648102	-90.581345
141.984558	-90.937225
142.321014	-92.749794
142.657471	-90.268417
142.993927	-92.916679
143.330383	-90.192169
143.666840	-92.560020
144.003296	-91.979362
144.339752	-90.341171
144.676208	-92.853668
145.012665	-90.598770
145.349121	-92.346283
145.685577	-92.848648
146.022034	-91.257530
146.358490	-92.050682
146.694946	-91.512367
147.031403	-93.147079
147.367859	-92.212563
147.704315	-92.433884
148.040771	-91.378677
148.377228	-93.124763
148.713684	-92.208168
149.050140	-92.297203
149.386597	-92.449852
149.723053	-91.715416
150.059509	-92.040962
150.395966	-92.090752
150.732422	-93.714081
151.068878	-91.594177
151.405334	-93.814568
151.741791	-93.648819
152.078247	-92.535316
152.414703	-92.470482
152.751160	-93.287033
153.087616	-93.659088
153.424072	-92.857697
153.760529	-92.655388
154.096985	-93.272675
154.433441	-95.183891
154.769897	-91.841583
155.106354	-96.779083
155.442810	-91.394371
155.779266	-94.829712
156.115723	-92.403671
156.452179	-93.845657
156.788635	-93.767380
157.125092	-92.654816
157.461548	-94.257774
157.798004	-93.648293
158.134460	-93.701363
158.470917	-93.383842
158.807373	-93.403946
159.143829	-95.742348
159.480286	-92.667519
159.816742	-91.465363
160.153198	-95.583427
160.489655	-95.738350
160.826111	-92.231796
161.162567	-97.308853
161.499023	-93.150925
161.835480	-93.360016
162.171936	-95.361534
162.508392	-94.367599
162.844849	-93.996216
163.181305	-97.081108
163.517761	-92.856888
163.854218	-95.511948
164.190674	-93.736938
164.527130	-94.661385
164.863586	-95.434959
165.200043	-93.145546
165.536499	-95.409470
165.872955	-95.099503
166.209412	-93.890717
166.545868	-91.759430
166.882324	-92.009460
167.218781	-92.780846
167.555237	-97.042786
167.891693	-94.791862
168.228149	-94.620865
168.564606	-93.129486
168.901062	-93.261749
169.237518	-94.709961
169.573975	-95.111092
169.910431	-96.250778
170.246887	-94.718796
170.583344	-93.693985
170.919800	-95.532600
171.256256	-96.193398
171.592712	-96.059807
171.929169	-95.421425
172.265625	-96.098175
172.602081	-94.094627
172.938538	-94.682213
173.274994	-95.628937
173.611450	-96.062851
173.947906	-94.869339
174.284363	-96.487198
174.620819	-96.107330
174.957275	-93.937775
175.293732	-99.025986
175.630188	-93.534889
175.966644	-94.387543
176.303101	-96.107506
176.639557	-95.629860
176.976013	-96.940765
177.312469	-96.366516
177.648926	-95.234100
177.985382	-96.607361
178.321838	-95.577408
178.658295	-97.241982
178.994751	-96.254814
179.331207	-94.770866
179.667664	-97.328598
180.004120	-89.887688
180.340576	-99.060272
180.677032	-97.600441
181.013489	-95.576752
181.349945	-97.331558
181.686401	-95.292007
182.022858	-98.120262
182.359314	-95.778297
182.695770	-95.170563
183.032227	-96.603203
183.368683	-95.821709
183.705139	-94.909859
184.041595	-96.732063
184.378052	-95.586281
184.714508	-95.848389
185.050964	-94.953583
185.387421	-96.797424
185.723877	-97.782188
186.060333	-94.687759
186.396790	-98.848724
186.733246	-96.764908
187.069702	-95.937729
187.406158	-96.952194
187.742615	-96.083878
188.079071	-98.977394
188.415527	-96.679131
188.751984	-94.374901
189.088440	-99.548836
189.424896	-96.315094
189.761353	-96.050652
190.097809	-95.109993
190.434265	-98.823059
190.770721	-98.339706
191.107178	-95.649208
191.443634	-97.419273
191.780090	-98.138161
192.116547	-95.230225
192.453003	-97.920639
192.789459	-99.005264
193.125916	-95.781395
193.462372	-97.104805
193.798828	-96.001984
194.135284	-98.593315
194.471741	-95.882805
194.808197	-97.775337
195.144653	-96.178993
195.481110	-98.725136
195.817566	-96.272186
196.154022	-98.061348
196.490479	-95.936073
196.826935	-98.081902
197.163391	-95.907944
197.499847	-98.921646
197.836304	-95.540710
198.172760	-96.524315
198.509216	-98.768997
198.845673	-96.504662
199.182129	-98.154877
199.518585	-85.108070
199.855042	-70.810768
200.191498	-71.921638
200.527954	-89.422356
200.864410	-97.411385
201.200867	-95.894691
201.537323	-98.600784
201.873779	-96.807266
202.210236	-97.803596
202.546692	-97.617493
202.883148	-95.878334
203.219604	-97.786385
203.556061	-96.723129
203.892517	-96.801529
204.228973	-97.311066
204.565430	-100.041473
204.901886	-96.532219
205.238342	-97.755630
205.574799	-98.297417
205.911255	-98.501183
206.247711	-96.513153
206.584167	-99.118401
206.920624	-99.064423
207.257080	-96.735710
207.593536	-97.160728
207.929993	-97.178963
208.266449	-97.301956
208.602905	-97.573257
208.939362	-95.962158
209.275818	-99.899063
209.612274	-96.947647
209.948730	-97.163757
210.285187	-98.102890
210.621643	-96.775070
210.958099	-95.893867
211.294556	-98.862953
211.631012	-95.997940
211.967468	-100.537796
212.303925	-99.023643
212.640381	-96.873383
212.976837	-101.491402
213.313293	-96.949440
213.649750	-98.652466
213.986206	-97.649590
214.322662	-99.580170
214.659119	-96.595474
214.995575	-97.837669
215.332031	-99.300598
215.668488	-96.211479
216.004944	-97.418121
216.341400	-97.241806
216.677856	-97.406281
217.014313	-97.362083
217.350769	-98.120491
217.687225	-96.749039
218.023682	-97.804665
218.360138	-96.805588
218.696594	-99.582558
219.033051	-99.449730
219.369507	-97.765259
219.705963	-99.173271
220.042419	-96.911957
220.378876	-99.785042
220.715332	-98.122139
221.051788	-99.333191
221.388245	-101.053444
221.724701	-97.838951
222.061157	-99.901741
222.397614	-97.018341
222.734070	-99.858452
223.070526	-97.820076
223.406982	-100.546341
223.743439	-100.500214
224.079895	-97.417816
224.416351	-97.387283
224.752808	-97.419189
225.089264	-98.572884
225.425720	-98.017654
225.762177	-100.077911
226.098633	-98.646233
226.435089	-99.466705
226.771545	-96.572357
227.108002	-100.569275
227.444458	-99.245232
227.780914	-98.460716
228.117371	-99.755913
228.453827	-102.761887
228.790283	-97.403069
229.126740	-101.467964
229.463196	-97.791267
229.799652	-98.368965
230.136108	-100.711548
230.472565	-100.244675
230.809021	-96.943062
231.145477	-99.615288
231.481934	-98.649391
231.818390	-100.750008
232.154846	-99.285080
232.491302	-100.528557
232.827759	-100.255722
233.164215	-86.309547
233.500671	-86.788948
233.837128	-98.029045
234.173584	-96.444145
234.510040	-101.537605
234.846497	-98.631645
235.182953	-102.339867
235.519409	-97.849037
235.855865	-101.222954
236.192322	-98.696053
236.528778	-98.681374
236.865234	-101.189728
237.201691	-98.423622
237.538147	-102.771118
237.874603	-97.490341
238.211060	-99.466049
238.547516	-97.755463
238.883972	-99.470535
239.220428	-99.245049
239.556885	-99.519463
239.893341	-98.712608
240.229797	-99.200676
240.566254	-98.732384
240.902710	-99.796318
241.239166	-102.163498
241.575623	-99.192009
241.912079	-97.528412
242.248535	-100.005554
242.584991	-100.581276
242.921448	-98.754204
243.257904	-100.939369
243.594360	-97.478828
243.930817	-100.506310
244.267273	-100.653610
244.603729	-100.832336
244.940186	-100.842087
245.276642	-98.794289
245.613098	-100.537811
245.949554	-102.294746
246.286011	-97.785149
246.622467	-100.247467
246.958923	-102.079681
247.295380	-98.489395
247.631836	-99.096535
247.968292	-99.908768
248.304749	-99.837013
248.641205	-100.425659
248.977661	-99.304665
249.314117	-103.749969
249.650574	-97.172768
249.987030	-94.932884
250.323486	-97.102432
250.659943	-100.594505
250.996399	-98.527245
251.332855	-99.927315
251.669312	-99.077225
252.005768	-101.991264
252.342224	-99.628716
252.678680	-96.893318
253.015137	-101.096848
253.351593	-100.293404
253.688049	-98.660294
254.024506	-101.095352
254.360962	-99.317360
254.697418	-101.019272
255.033875	-97.713829
255.370331	-99.215240
255.706787	-98.407715
256.043243	-102.141808
256.379700	-99.401573
256.716156	-99.612770
257.052612	-101.179123
257.389069	-104.051399
257.725525	-96.770943
258.061981	-98.157761
258.398438	-96.699867
258.734894	-99.149979
259.071350	-100.704712
259.407806	-100.668236
259.744263	-98.534294
260.080719	-102.132362
260.417175	-101.024536
260.753632	-99.607849
261.090088	-101.837936
261.426544	-99.919144
261.763000	-103.466278
262.099457	-101.005005
262.435913	-100.769234
262.772369	-100.643639
263.108826	-99.571693
263.445282	-100.101067
263.781738	-102.376587
264.118195	-101.817459
264.454651	-98.606819
264.791107	-103.781067
265.127563	-101.545990
265.464020	-98.468109
265.800476	-103.509254
266.136932	-97.149406
266.473389	-90.301590
266.809845	-88.577087
267.146301	-99.641411
267.482758	-100.917297
267.819214	-100.466606
268.155670	-102.958542
268.492126	-99.775002
268.828583	-99.288460
269.165039	-103.135399
269.501495	-100.210335
269.837952	-100.896118
270.174408	-99.812874
270.510864	-101.044548
270.847321	-98.750092
271.183777	-101.757523
271.520233	-99.740105
271.856689	-99.250526
272.193146	-99.751167
272.529602	-104.550774
272.866058	-97.744118
273.202515	-102.344170
273.538971	-101.973900
273.875427	-100.714272
274.211884	-102.564041
274.548340	-100.654465
274.884796	-99.269615
275.221252	-99.848686
275.557709	-100.932053
275.894165	-97.657661
276.230621	-101.115257
276.567078	-101.843796
276.903534	-98.594177
277.239990	-103.302872
277.576447	-99.519386
277.912903	-100.243950
278.249359	-102.126266
278.585815	-100.435951
278.922272	-103.071609
279.258728	-99.621658
279.595184	-99.072586
279.931641	-105.667259
280.268097	-99.410118
280.604553	-100.693039
280.941010	-102.124199
281.277466	-101.537872
281.613922	-100.816826
281.950378	-103.295685
282.286835	-102.299759
282.623291	-100.454910
282.959747	-100.380424
283.296204	-97.992409
283.632660	-97.082001
283.969116	-104.670334
284.305573	-102.342522
284.642029	-101.270416
284.978485	-101.143127
285.314941	-101.227821
285.651398	-99.941559
285.987854	-101.115067
286.324310	-100.513687
286.660767	-98.758682
286.997223	-104.547867
287.333679	-98.066383
287.670135	-100.180618
288.006592	-101.372055
288.343048	-103.596512
288.679504	-101.183937
289.015961	-99.381973
289.352417	-100.928993
289.688873	-99.878601
290.025330	-102.197113
290.361786	-102.532776
290.698242	-99.958977
291.034698	-97.421532
291.371155	-100.602310
291.707611	-94.712486
292.044067	-103.808197
292.380524	-101.580765
292.716980	-100.197685
293.053436	-102.404984
293.389893	-98.053703
293.726349	-101.195564
294.062805	-102.810219
294.399261	-99.878876
294.735718	-102.253082
295.072174	-103.392204
295.408630	-101.497429
295.745087	-100.429253
296.081543	-100.116791
296.417999	-99.876099
296.754456	-102.439346
297.090912	-103.093605
297.427368	-101.446533
297.763824	-100.434471
298.100281	-100.583351
298.436737	-101.192413
298.773193	-100.317635
299.109650	-102.209145
299.446106	-100.972290
299.782562	-84.069061
300.119019	-82.199394
300.455475	-95.531670
300.791931	-103.987366
301.128387	-101.155289
301.464844	-101.780251
301.801300	-100.532272
302.137756	-104.850075
302.474213	-100.532608
302.810669	-101.423523
303.147125	-100.342278
303.483582	-99.545151
303.820038	-100.160011
304.156494	-101.607346
304.492950	-104.293907
304.829407	-102.142029
305.165863	-101.171326
305.502319	-99.831261
305.838776	-100.643188
306.175232	-101.109421
306.511688	-102.009651
306.848145	-100.734108
307.184601	-102.554779
307.521057	-100.948502
307.857513	-102.300652
308.193970	-97.393837
308.530426	-98.135376
308.866882	-104.264145
309.203339	-100.468185
309.539795	-103.982712
309.876251	-101.135040
310.212708	-102.387329
310.549164	-103.915207
310.885620	-103.095245
311.222076	-101.784607
311.558533	-102.809761
311.894989	-101.682625
312.231445	-100.855072
312.567902	-103.894615
312.904358	-100.626228
313.240814	-103.538986
313.577271	-99.682587
313.913727	-101.926903
314.250183	-101.766243
314.586639	-103.242271
314.923096	-99.085663
315.259552	-102.234390
315.596008	-100.669449
315.932465	-102.663307
316.268921	-99.582932
316.605377	-102.395744
316.941833	-103.406776
317.278290	-99.843086
317.614746	-100.276749
317.951202	-100.862839
318.287659	-98.313255
318.624115	-100.281532
318.960571	-101.952919
319.297028	-99.614609
319.633484	-101.331993
319.969940	-101.950775
320.306396	-102.970116
320.642853	-99.042168
320.979309	-102.432098
321.315765	-102.308647
321.652222	-102.609032
321.988678	-102.590172
322.325134	-102.801834
322.661591	-104.289879
322.998047	-101.404503
323.334503	-99.594254
323.670959	-102.842445
324.007416	-102.044998
324.343872	-104.447174
324.680328	-103.064072
325.016785	-100.978012
325.353241	-100.744583
325.689697	-103.107216
326.026154	-101.304382
326.362610	-103.572823
326.699066	-101.272072
327.035522	-102.887596
327.371979	-103.593712
327.708435	-100.182030
328.044891	-102.844193
328.381348	-102.440460
328.717804	-103.887955
329.054260	-101.381264
329.390717	-101.400719
329.727173	-102.282845
330.063629	-102.284332
330.400085	-101.528877
330.736542	-101.404213
331.072998	-101.402946
331.409454	-104.670509
331.745911	-101.171242
332.082367	-101.182205
332.418823	-104.377747
332.755280	-100.303391
333.091736	-93.469635
333.428192	-89.333176
333.764648	-100.030357
334.101105	-102.613380
334.437561	-99.868324
334.774017	-102.890663
335.110474	-100.771439
335.446930	-103.451828
335.783386	-103.649757
336.119843	-102.203865
336.456299	-102.753403
336.792755	-101.694611
337.129211	-99.408676
337.465668	-100.795563
337.802124	-100.504509
338.138580	-102.654762
338.475037	-102.233299
338.811493	-99.558372
339.147949	-102.351700
339.484406	-101.977646
339.820862	-104.510109
340.157318	-104.079865
340.493774	-100.404091
340.830231	-101.751678
341.166687	-106.167694
341.503143	-96.940086
341.839600	-102.222084
342.176056	-102.425461
342.512512	-102.397972
342.848969	-102.646759
343.185425	-103.024040
343.521881	-106.479065
343.858337	-101.769791
344.194794	-102.102661
344.531250	-102.574799
344.867706	-106.164986
345.204163	-99.693916
345.540619	-106.819092
345.877075	-107.460220
346.213531	-99.418655
346.549988	-104.222374
346.886444	-102.047737
347.222900	-103.256378
347.559357	-101.711189
347.895813	-101.094131
348.232269	-104.499107
348.568726	-102.233330
348.905182	-104.501709
349.241638	-98.880814
349.578094	-97.035736
349.914551	-90.330986
350.251007	-94.116112
350.587463	-101.319336
350.923920	-102.282379
351.260376	-102.744995
351.596832	-104.070801
351.933289	-101.055038
352.269745	-102.885040
352.606201	-99.970978
352.942657	-104.860565
353.279114	-99.833969
353.615570	-103.025589
353.952026	-101.972939
354.288483	-99.381630
354.624939	-106.053406
354.961395	-99.204216
355.297852	-103.187897
355.634308	-104.462181
355.970764	-104.239922
356.307220	-105.415375
356.643677	-102.898178
356.980133	-105.043877
357.316589	-102.232773
357.653046	-101.425446
357.989502	-101.692009
358.325958	-101.063919
358.662415	-101.921402
358.998871	-101.775368
359.335327	-99.779709
359.671783	-102.095512
360.008240	-104.836060
360.344696	-105.556084
360.681152	-101.698166
361.017609	-104.452812
361.354065	-99.239616
361.690521	-104.265190
362.026978	-104.469574
362.363434	-102.117188
362.699890	-104.400352
363.036346	-102.239952
363.372803	-101.021843
363.709259	-104.225212
364.045715	-102.515816
364.382172	-102.519669
364.718628	-104.085838
365.055084	-102.390724
365.391541	-104.573860
365.727997	-105.795822
366.064453	-103.875214
366.400909	-93.704117
366.737366	-91.022697
367.073822	-98.335640
367.410278	-102.708679
367.746735	-105.134171
368.083191	-105.317162
368.419647	-100.333832
368.756104	-106.027748
369.092560	-103.808304
369.429016	-101.957916
369.765472	-106.511551
370.101929	-100.256393
370.438385	-104.354431
370.774841	-103.949905
371.111298	-102.729218
371.447754	-104.617332
371.784210	-101.883385
372.120667	-101.374405
372.457123	-103.227257
372.793579	-102.885437
373.130035	-104.302589
373.466492	-100.882133
373.802948	-104.181313
374.139404	-101.413132
374.475861	-102.157875
374.812317	-100.563782
375.148773	-98.580742
375.485229	-108.305511
375.821686	-103.331444
376.158142	-104.630577
376.494598	-103.385040
376.831055	-101.432228
377.167511	-99.431290
377.503967	-101.556396
377.840424	-101.125183
378.176880	-107.095078
378.513336	-102.446548
378.849792	-104.923180
379.186249	-100.825867
379.522705	-106.677322
379.859161	-103.977623
380.195618	-100.460281
380.532074	-102.778778
380.868530	-105.769073
381.204987	-101.575256
381.541443	-102.262077
381.877899	-101.749336
382.214355	-104.794746
382.550812	-101.987083
382.887268	-103.634483
383.223724	-97.687569
383.560181	-98.702087
383.896637	-107.471268
384.233093	-101.856689
384.569550	-106.561081
384.906006	-102.533554
385.242462	-104.021103
385.578918	-102.312187
385.915375	-104.725296
386.251831	-103.070457
386.588287	-104.886429
386.924744	-102.758728
387.261200	-104.049217
387.597656	-104.277306
387.934113	-104.323570
388.270569	-104.105598
388.607025	-99.934502
388.943481	-104.354408
389.279938	-104.504196
389.616394	-103.317001
389.952850	-106.525650
390.289307	-103.370300
390.625763	-105.415199
390.962219	-101.912888
391.298676	-101.252289
391.635132	-100.403717
391.971588	-100.227028
392.308044	-100.034966
392.644501	-104.324677
392.980957	-102.943481
393.317413	-102.944298
393.653870	-107.450317
393.990326	-103.795639
394.326782	-102.181999
394.663239	-103.740967
394.999695	-104.919029
395.336151	-102.414650
395.672607	-104.137756
396.009064	-103.135490
396.345520	-102.892532
396.681976	-100.071129
397.018433	-102.756264
397.354889	-105.844917
397.691345	-102.022537
398.027802	-102.596794
398.364258	-104.548607
398.700714	-104.327843
399.037170	-103.003090
399.373627	-107.059761
399.710083	-94.557541
400.046539	-90.568001
400.382996	-99.000847
400.719452	-104.215302
401.055908	-104.812500
401.392365	-103.283226
401.728821	-103.823250
402.065277	-100.191933
402.401733	-105.575424
402.738190	-101.662262
403.074646	-102.879074
403.411102	-102.527588
403.747559	-104.452614
404.084015	-106.256279
404.420471	-101.353714
404.756927	-101.478210
405.093384	-102.639931
405.429840	-102.310738
405.766296	-106.301399
406.102753	-101.251801
406.439209	-107.198425
406.775665	-102.664215
407.112122	-105.089401
407.448578	-102.934593
407.785034	-102.096924
408.121490	-99.679741
408.457947	-102.341690
408.794403	-105.068840
409.130859	-102.611153
409.467316	-102.616707
409.803772	-109.108215
410.140228	-103.252594
410.476685	-101.904045
410.813141	-107.676758
411.149597	-103.473892
411.486053	-105.444221
411.822510	-104.628693
412.158966	-105.111763
412.495422	-101.115738
412.831879	-100.851685
413.168335	-106.305824
413.504791	-103.963890
413.841248	-104.635818
414.177704	-102.786102
414.514160	-102.531052
414.850616	-104.563240
415.187073	-100.599564
415.523529	-108.910179
415.859985	-104.187027
416.196442	-99.467804
416.532898	-97.840714
416.869354	-99.206665
