Frequency (Hz)	Level (dB)
0.336456	-69.495659
0.672913	-65.411308
1.009369	-64.032364
1.345825	-65.538567
1.682281	-67.248650
2.018738	-65.438118
2.355194	-65.663521
2.691650	-66.969658
3.028107	-69.327835
3.364563	-69.463196
3.701019	-69.153328
4.037476	-71.702484
4.373932	-70.487633
4.710388	-73.430382
5.046844	-75.420486
5.383301	-72.588287
5.719757	-73.267609
6.056213	-74.923355
6.392670	-73.157784
6.729126	-75.324852
7.065582	-76.856842
7.402039	-77.080231
7.738495	-79.725708
8.074951	-78.891518
8.411407	-79.479790
8.747864	-76.700012
9.084320	-79.902153
9.420776	-79.487244
9.757233	-81.203690
10.093689	-79.486008
10.430145	-80.374428
10.766602	-83.046051
11.103058	-84.755669
11.439514	-83.955978
11.775970	-85.150131
12.112427	-82.989632
12.448883	-85.027328
12.785339	-84.297218
13.121796	-82.494949
13.458252	-83.658600
13.794708	-85.396172
14.131165	-84.772781
14.467621	-81.642845
14.804077	-82.083069
15.140533	-81.056053
15.476990	-82.555344
15.813446	-84.033783
16.149902	-83.834854
16.486359	-81.112335
16.822815	-84.361259
17.159271	-83.439018
17.495728	-84.616455
17.832184	-85.766823
18.168640	-88.095901
18.505096	-87.999184
18.841553	-84.318794
19.178009	-88.763992
19.514465	-88.671829
19.850922	-84.857109
20.187378	-86.227036
20.523834	-83.877312
20.860291	-84.559868
21.196747	-85.447525
21.533203	-87.489082
21.869659	-87.689095
22.206116	-88.077560
22.542572	-86.851501
22.879028	-87.248260
23.215485	-85.520332
23.551941	-87.295753
23.888397	-85.513084
24.224854	-88.717491
24.561310	-89.978691
24.897766	-87.805573
25.234222	-89.449203
25.570679	-87.770256
25.907135	-91.126076
26.243591	-89.203186
26.580048	-90.245392
26.916504	-87.631088
27.252960	-88.609161
27.589417	-87.663193
27.925873	-87.540466
28.262329	-88.946945
28.598785	-88.808350
28.935242	-87.244766
29.271698	-90.676018
29.608154	-89.585976
29.944611	-93.435699
30.281067	-89.932426
30.617523	-88.389847
30.953979	-90.409592
31.290436	-86.499054
31.626892	-94.246773
