Frequency (Hz)	Level (dB)
0.336456	-72.770866
0.672913	-69.687401
1.009369	-67.223839
1.345825	-65.755806
1.682281	-65.831619
2.018738	-64.653793
2.355194	-68.091057
2.691650	-67.794777
3.028107	-70.020020
3.364563	-70.994408
3.701019	-70.842079
4.037476	-72.050949
4.373932	-74.131981
4.710388	-69.784355
5.046844	-71.757507
5.383301	-78.594208
5.719757	-71.846863
6.056213	-71.835342
6.392670	-74.558670
6.729126	-74.812943
7.065582	-73.243568
7.402039	-78.272881
7.738495	-80.045761
8.074951	-81.241753
8.411407	-77.966484
8.747864	-75.270760
9.084320	-78.902985
9.420776	-79.297775
9.757233	-80.819695
10.093689	-79.655472
10.430145	-80.778275
10.766602	-79.934738
11.103058	-80.766579
11.439514	-80.185669
11.775970	-82.899513
12.112427	-84.021622
12.448883	-81.305458
12.785339	-82.822884
13.121796	-85.278465
13.458252	-83.085480
13.794708	-86.057632
14.131165	-84.099869
14.467621	-84.123611
14.804077	-83.888573
15.140533	-84.705902
15.476990	-83.702415
15.813446	-85.988831
16.149902	-82.818245
16.486359	-83.211098
16.822815	-87.162857
17.159271	-83.412605
17.495728	-84.506187
17.832184	-85.804291
18.168640	-88.858223
18.505096	-85.946617
18.841553	-85.431046
19.178009	-83.699440
19.514465	-84.314835
19.850922	-84.772865
20.187378	-85.896233
20.523834	-85.897141
20.860291	-87.414917
21.196747	-83.794334
21.533203	-84.902496
21.869659	-85.990631
22.206116	-86.657562
22.542572	-86.085854
22.879028	-85.250450
23.215485	-87.329407
23.551941	-86.139252
23.888397	-88.220932
24.224854	-88.234924
24.561310	-86.795219
24.897766	-89.844490
25.234222	-85.788406
25.570679	-84.959747
25.907135	-93.797638
26.243591	-90.200653
26.580048	-88.844063
26.916504	-90.459335
27.252960	-93.608940
27.589417	-90.535141
27.925873	-85.759598
28.262329	-89.071945
28.598785	-88.417900
28.935242	-86.303329
29.271698	-88.728134
29.608154	-85.685455
29.944611	-85.568199
30.281067	-87.797295
30.617523	-91.129036
30.953979	-87.489220
31.290436	-87.642563
31.626892	-87.121536
31.963348	-89.593262
32.299805	-90.958069
32.636261	-89.055382
32.972717	-93.030281
33.309174	-93.331955
33.645630	-89.132156
33.982086	-90.425331
34.318542	-91.195068
34.654999	-90.681664
34.991455	-89.786606
35.327911	-90.437088
35.664368	-88.401840
36.000824	-88.768501
36.337280	-86.931152
36.673737	-88.257751
37.010193	-90.477684
37.346649	-89.536964
37.683105	-91.993599
38.019562	-87.679726
38.356018	-90.562027
38.692474	-87.554085
39.028931	-91.001389
39.365387	-87.658264
39.701843	-92.560913
40.038300	-89.725182
40.374756	-90.349564
40.711212	-94.944130
41.047668	-88.505157
41.384125	-90.591957
41.720581	-88.199570
42.057037	-91.492142
42.393494	-88.003113
42.729950	-91.302132
43.066406	-88.903099
43.402863	-92.100891
43.739319	-91.181915
44.075775	-88.877411
44.412231	-92.620209
44.748688	-88.815407
45.085144	-92.501068
45.421600	-90.399834
45.758057	-91.290321
46.094513	-89.212814
46.430969	-90.730194
46.767426	-89.169769
47.103882	-88.346931
47.440338	-88.618210
47.776794	-89.723938
48.113251	-89.103973
48.449707	-88.034164
48.786163	-90.179611
49.122620	-87.725517
49.459076	-89.431152
49.795532	-91.110306
50.131989	-91.995621
50.468445	-91.203400
50.804901	-88.809326
51.141357	-89.439751
51.477814	-89.730721
51.814270	-90.919090
52.150726	-88.817047
52.487183	-89.853989
52.823639	-89.760216
53.160095	-96.213692
53.496552	-77.053139
53.833008	-86.335426
54.169464	-91.827507
54.505920	-89.386147
54.842377	-92.082153
55.178833	-90.362076
55.515289	-89.253899
55.851746	-89.852837
56.188202	-89.745743
56.524658	-89.763481
56.861115	-89.824051
57.197571	-90.758865
57.534027	-89.399796
57.870483	-90.857567
58.206940	-88.111671
58.543396	-90.411446
58.879852	-92.411530
59.216309	-88.202950
59.552765	-89.148781
59.889221	-84.690262
60.225677	-85.309326
60.562134	-89.533455
60.898590	-88.108185
61.235046	-89.971100
61.571503	-87.822449
61.907959	-90.641190
62.244415	-87.144524
62.580872	-90.256592
62.917328	-89.162842
63.253784	-87.956085
63.590240	-89.511391
63.926697	-88.076477
64.263153	-90.392601
64.599609	-87.952934
64.936066	-88.506584
65.272522	-87.981583
65.608978	-88.543884
65.945435	-87.125252
66.281891	-90.631996
66.618347	-86.921898
66.954803	-88.197945
67.291260	-87.548836
67.627716	-89.394531
67.964172	-87.603737
68.300629	-87.051270
68.637085	-87.507767
68.973541	-86.692322
69.309998	-88.398178
69.646454	-86.703529
69.982910	-87.770805
70.319366	-86.988228
70.655823	-86.929932
70.992279	-86.837784
71.328735	-86.727318
71.665192	-88.330406
72.001648	-85.907410
72.338104	-87.137634
72.674561	-86.820282
73.011017	-86.380966
73.347473	-86.673996
73.683929	-85.701866
74.020386	-86.693130
74.356842	-86.774094
74.693298	-85.437469
75.029755	-87.850151
75.366211	-84.446663
75.702667	-87.246346
76.039124	-84.925552
76.375580	-86.279770
76.712036	-85.735390
