Frequency (Hz)	Level (dB)
0.336456	-69.478134
0.672913	-67.066292
1.009369	-65.244606
1.345825	-66.104561
1.682281	-66.547882
2.018738	-67.578384
2.355194	-69.775803
2.691650	-64.366096
3.028107	-68.016174
3.364563	-67.654274
3.701019	-72.304939
4.037476	-69.920639
4.373932	-66.408852
4.710388	-71.196327
5.046844	-71.958122
5.383301	-70.378304
5.719757	-70.309258
6.056213	-70.485413
6.392670	-69.713730
6.729126	-71.501472
7.065582	-73.288704
7.402039	-70.561874
7.738495	-71.388214
8.074951	-73.269844
8.411407	-71.733299
8.747864	-70.496140
9.084320	-72.279266
9.420776	-72.867691
9.757233	-71.976906
10.093689	-69.871552
10.430145	-70.710815
10.766602	-72.359489
11.103058	-70.981583
11.439514	-70.511230
11.775970	-70.065468
12.112427	-70.567268
12.448883	-68.993881
12.785339	-70.063889
13.121796	-68.369110
13.458252	-69.629143
13.794708	-67.435806
14.131165	-68.682671
14.467621	-66.703125
14.804077	-67.910118
15.140533	-66.073509
15.476990	-66.426422
15.813446	-65.201332
16.149902	-64.640778
16.486359	-64.174751
16.822815	-63.245247
17.159271	-62.521946
17.495728	-61.672260
17.832184	-60.892776
18.168640	-59.884727
18.505096	-59.268372
18.841553	-60.688816
19.178009	-67.010834
19.514465	-33.811882
19.850922	-18.053699
20.187378	-18.887068
20.523834	-37.612549
20.860291	-76.924774
21.196747	-60.121048
21.533203	-59.630787
21.869659	-60.248760
22.206116	-60.869492
22.542572	-61.982204
22.879028	-62.759315
23.215485	-63.436142
23.551941	-64.450226
23.888397	-65.173477
24.224854	-65.499001
24.561310	-66.369972
24.897766	-66.886169
25.234222	-67.549431
25.570679	-67.678474
25.907135	-68.601082
26.243591	-68.619644
26.580048	-69.276657
26.916504	-70.020599
27.252960	-70.016045
27.589417	-70.198837
27.925873	-70.524521
28.262329	-71.964882
28.598785	-71.105667
28.935242	-72.010796
29.271698	-72.354485
29.608154	-72.234772
29.944611	-72.457542
30.281067	-72.922508
30.617523	-73.661201
30.953979	-73.114380
31.290436	-73.376724
31.626892	-74.369019
31.963348	-73.714317
32.299805	-75.347206
32.636261	-73.699432
32.972717	-75.997177
33.309174	-74.569122
33.645630	-75.574722
33.982086	-75.032928
34.318542	-76.321617
34.654999	-73.423637
34.991455	-74.818268
35.327911	-75.850227
35.664368	-75.707039
36.000824	-77.169403
36.337280	-76.783386
36.673737	-76.000290
37.010193	-77.926559
37.346649	-76.618889
37.683105	-77.933571
38.019562	-77.081024
38.356018	-77.817795
38.692474	-77.687759
39.028931	-77.964828
39.365387	-78.066681
39.701843	-77.732208
40.038300	-78.071121
40.374756	-79.210106
40.711212	-77.864883
41.047668	-78.885529
41.384125	-79.743660
41.720581	-78.345093
42.057037	-78.204903
42.393494	-80.102768
42.729950	-79.026009
43.066406	-78.747032
43.402863	-79.654030
43.739319	-79.582504
44.075775	-79.098145
44.412231	-79.911682
44.748688	-79.544441
45.085144	-80.620995
45.421600	-79.884987
45.758057	-80.766350
46.094513	-80.437828
46.430969	-80.268906
46.767426	-79.994164
47.103882	-80.929794
47.440338	-81.117355
47.776794	-79.717186
48.113251	-81.642700
48.449707	-81.046555
48.786163	-81.103752
49.122620	-80.954605
49.459076	-80.021820
49.795532	-82.570328
50.131989	-81.542717
50.468445	-81.244690
50.804901	-81.686111
51.141357	-81.116501
51.477814	-81.383820
51.814270	-82.928734
52.150726	-81.032867
52.487183	-82.074181
52.823639	-81.548027
53.160095	-82.048698
53.496552	-81.683548
53.833008	-82.436165
54.169464	-82.816162
54.505920	-82.667313
54.842377	-81.774300
55.178833	-82.179420
55.515289	-82.974434
55.851746	-82.593826
56.188202	-82.186615
56.524658	-83.617943
56.861115	-83.077286
57.197571	-82.207138
57.534027	-84.372223
57.870483	-81.788925
58.206940	-83.558311
58.543396	-82.351776
58.879852	-84.099518
59.216309	-82.047157
59.552765	-79.443573
59.889221	-68.123566
60.225677	-69.884888
60.562134	-83.444611
60.898590	-84.261879
61.235046	-82.617470
61.571503	-83.446335
61.907959	-84.817978
62.244415	-83.216217
62.580872	-82.841621
62.917328	-85.550636
63.253784	-81.896149
63.590240	-83.859657
63.926697	-84.403290
64.263153	-83.762871
64.599609	-84.295067
64.936066	-83.818443
65.272522	-83.268341
65.608978	-84.772957
65.945435	-83.349777
66.281891	-84.392822
66.618347	-84.416611
66.954803	-83.637543
67.291260	-84.852196
67.627716	-83.329361
67.964172	-84.730324
68.300629	-85.344162
68.637085	-83.166794
68.973541	-85.096512
69.309998	-83.996971
69.646454	-83.450890
69.982910	-83.586372
70.319366	-84.080811
70.655823	-85.325066
70.992279	-84.843658
71.328735	-83.286499
71.665192	-85.424232
72.001648	-84.641273
72.338104	-84.606956
72.674561	-84.145012
73.011017	-86.583191
73.347473	-84.120995
73.683929	-85.983170
74.020386	-84.687233
74.356842	-85.164917
74.693298	-85.035408
75.029755	-84.909401
75.366211	-84.661407
75.702667	-87.579948
76.039124	-82.741318
76.375580	-87.467712
76.712036	-83.990463
77.048492	-85.813187
77.384949	-85.430252
77.721405	-85.061913
78.057861	-84.762421
78.394318	-85.978142
78.730774	-85.403976
79.067230	-84.656090
79.403687	-82.811958
79.740143	-58.008442
80.076599	-54.206245
80.413055	-65.547195
80.749512	-84.302605
81.085968	-86.485794
81.422424	-84.747139
81.758881	-86.441338
82.095337	-85.588097
82.431793	-86.221916
82.768250	-85.355133
83.104706	-85.135971
83.441162	-86.680870
83.777618	-84.950325
84.114075	-86.157433
84.450531	-85.648796
84.786987	-85.487724
85.123444	-86.470512
85.459900	-84.601486
85.796356	-85.815865
86.132812	-86.236595
86.469269	-85.004173
86.805725	-87.355927
87.142181	-86.134857
87.478638	-85.473099
87.815094	-86.543320
88.151550	-85.569939
88.488007	-86.384171
88.824463	-86.053009
89.160919	-86.094559
89.497375	-86.600494
89.833832	-86.057549
90.170288	-85.050423
90.506744	-87.123909
90.843201	-85.417633
91.179657	-87.546608
91.516113	-85.986748
91.852570	-86.409538
92.189026	-85.581001
92.525482	-86.438866
92.861938	-86.393341
93.198395	-86.435417
93.534851	-87.086411
93.871307	-85.944046
94.207764	-87.657776
94.544220	-84.736694
94.880676	-87.382385
95.217133	-86.667122
95.553589	-85.587761
95.890045	-86.608101
96.226501	-87.071182
96.562958	-86.591721
96.899414	-86.310287
97.235870	-86.715157
97.572327	-86.172600
97.908783	-87.619102
98.245239	-86.936043
98.581696	-86.063553
98.918152	-86.389824
99.254608	-86.444603
99.591064	-75.245926
99.927521	-64.657104
100.263977	-68.749146
100.600433	-87.483963
100.936890	-86.080849
101.273346	-86.531578
101.609802	-87.502190
101.946259	-85.696609
102.282715	-85.250565
102.619171	-87.396111
102.955627	-86.043633
103.292084	-88.694603
103.628540	-85.246788
103.964996	-88.343948
104.301453	-86.327873
104.637909	-86.773453
104.974365	-86.653320
105.310822	-86.806099
105.647278	-86.025902
105.983734	-87.185959
106.320190	-86.257500
106.656647	-87.081032
106.993103	-86.908417
107.329559	-86.371529
107.666016	-86.740532
108.002472	-86.355179
108.338928	-86.514175
108.675385	-85.821350
109.011841	-87.345322
109.348297	-87.286774
109.684753	-86.187325
110.021210	-88.574821
110.357666	-84.864952
110.694122	-88.760521
111.030579	-86.917892
111.367035	-87.639458
111.703491	-85.603050
112.039948	-87.186752
112.376404	-88.104576
112.712860	-85.683510
113.049316	-86.941154
113.385773	-86.988426
113.722229	-86.138031
114.058685	-86.972397
114.395142	-86.916901
114.731598	-87.932945
115.068054	-86.652054
