Frequency (Hz)	Level (dB)
0.336456	-68.197212
0.672913	-67.424049
1.009369	-66.120438
1.345825	-67.904411
1.682281	-64.455338
2.018738	-67.879898
2.355194	-69.164185
2.691650	-69.124313
3.028107	-65.914238
3.364563	-71.501228
3.701019	-72.294182
4.037476	-68.083282
4.373932	-69.794151
4.710388	-75.982796
5.046844	-73.365135
5.383301	-71.813217
5.719757	-71.522827
6.056213	-69.493225
6.392670	-67.936989
6.729126	-75.436348
7.065582	-71.867966
7.402039	-74.074318
7.738495	-73.951698
8.074951	-73.211807
8.411407	-73.130371
8.747864	-74.315948
9.084320	-71.675797
9.420776	-72.304543
9.757233	-72.035667
10.093689	-73.847137
10.430145	-72.167900
10.766602	-71.613503
11.103058	-72.406334
11.439514	-72.257851
11.775970	-75.104233
12.112427	-69.807777
12.448883	-72.230331
12.785339	-71.194664
13.121796	-70.329414
13.458252	-71.092461
13.794708	-69.847282
14.131165	-69.684921
14.467621	-69.893959
14.804077	-68.565849
15.140533	-67.787918
15.476990	-69.023132
15.813446	-65.942101
16.149902	-67.405663
16.486359	-65.285820
16.822815	-66.171761
17.159271	-64.127472
17.495728	-63.657429
17.832184	-62.945538
18.168640	-61.935116
18.505096	-61.434956
18.841553	-62.480427
19.178009	-68.398689
19.514465	-35.914391
19.850922	-20.124912
20.187378	-20.954832
20.523834	-39.742348
20.860291	-74.474609
21.196747	-62.280315
21.533203	-61.598564
21.869659	-62.171440
22.206116	-63.393185
22.542572	-63.384968
22.879028	-65.223999
23.215485	-65.497147
23.551941	-66.480690
23.888397	-66.743744
24.224854	-67.678162
24.561310	-68.847847
24.897766	-68.537193
25.234222	-69.215973
25.570679	-69.849068
25.907135	-70.155952
26.243591	-70.726410
26.580048	-71.616783
26.916504	-71.488045
27.252960	-70.964615
27.589417	-72.558189
27.925873	-72.124580
28.262329	-73.730469
28.598785	-74.094566
28.935242	-73.068993
29.271698	-74.404381
29.608154	-73.883743
29.944611	-74.725883
30.281067	-74.429535
30.617523	-75.122643
30.953979	-75.958641
31.290436	-75.193649
31.626892	-75.707634
31.963348	-75.198677
32.299805	-78.236992
32.636261	-75.356750
32.972717	-77.052109
33.309174	-77.897049
33.645630	-76.930763
33.982086	-77.899147
34.318542	-77.753220
34.654999	-78.280746
34.991455	-75.206909
35.327911	-78.000443
35.664368	-76.658371
36.000824	-76.933891
36.337280	-80.322937
36.673737	-77.451706
37.010193	-78.922081
37.346649	-83.092659
37.683105	-75.897064
38.019562	-79.885269
38.356018	-76.249680
38.692474	-80.349899
39.028931	-78.813103
39.365387	-78.662781
39.701843	-78.172523
40.038300	-76.651741
40.374756	-80.654419
40.711212	-80.150307
41.047668	-79.276154
41.384125	-81.836403
41.720581	-78.914291
42.057037	-80.646233
42.393494	-79.573311
42.729950	-80.771217
43.066406	-78.918633
43.402863	-81.298431
43.739319	-80.870461
44.075775	-80.145004
44.412231	-78.385887
44.748688	-81.111717
45.085144	-80.412239
45.421600	-80.627342
45.758057	-77.752106
