Frequency (Hz)	Level (dB)
0.336456	-70.379112
0.672913	-67.401344
1.009369	-65.474220
1.345825	-65.118774
1.682281	-62.817207
2.018738	-63.049824
2.355194	-66.459793
2.691650	-68.414474
3.028107	-70.317436
3.364563	-68.467934
3.701019	-69.249855
4.037476	-67.288597
4.373932	-67.367859
4.710388	-72.729393
5.046844	-70.045052
5.383301	-69.938347
5.719757	-74.804268
6.056213	-71.214622
6.392670	-74.100136
6.729126	-72.327011
7.065582	-71.609352
7.402039	-73.971992
7.738495	-79.153786
8.074951	-70.805603
8.411407	-75.677559
8.747864	-73.529022
9.084320	-75.328766
9.420776	-74.039307
9.757233	-70.159698
10.093689	-77.529129
10.430145	-73.100418
10.766602	-72.933144
11.103058	-74.444199
11.439514	-71.943581
11.775970	-72.549797
12.112427	-73.404716
12.448883	-71.011177
12.785339	-72.417969
13.121796	-71.094307
13.458252	-71.369614
13.794708	-71.220955
14.131165	-69.878670
14.467621	-69.939529
14.804077	-69.175972
15.140533	-68.748535
15.476990	-68.289719
15.813446	-67.752472
16.149902	-67.145912
16.486359	-66.121010
16.822815	-65.541389
17.159271	-64.106293
17.495728	-64.490356
17.832184	-62.854481
18.168640	-62.046886
18.505096	-61.683929
18.841553	-62.725445
19.178009	-68.925034
19.514465	-36.003159
19.850922	-20.144855
20.187378	-20.915590
20.523834	-39.515877
20.860291	-80.104370
21.196747	-62.634315
21.533203	-61.227009
21.869659	-62.184586
22.206116	-62.787052
22.542572	-63.751869
22.879028	-64.824959
23.215485	-65.301880
23.551941	-66.436836
23.888397	-66.379669
24.224854	-68.168015
24.561310	-67.672798
24.897766	-68.970833
25.234222	-69.244789
25.570679	-69.512177
25.907135	-70.791176
26.243591	-70.075653
26.580048	-71.316040
26.916504	-71.547371
27.252960	-71.519341
27.589417	-72.298767
27.925873	-72.657951
28.262329	-72.827667
28.598785	-73.805138
28.935242	-73.069412
29.271698	-74.230377
29.608154	-73.717392
29.944611	-74.778702
30.281067	-74.302620
30.617523	-74.853958
30.953979	-75.163101
31.290436	-75.989525
31.626892	-75.511398
31.963348	-75.594452
32.299805	-76.264206
32.636261	-76.507080
32.972717	-76.236862
33.309174	-76.363731
33.645630	-77.174133
33.982086	-77.180016
34.318542	-77.244850
34.654999	-77.078049
34.991455	-78.127693
35.327911	-77.552361
35.664368	-78.418961
36.000824	-78.640579
36.337280	-77.576920
36.673737	-78.036636
37.010193	-79.154823
37.346649	-79.372391
37.683105	-78.530014
38.019562	-78.886230
38.356018	-79.860947
38.692474	-79.048332
39.028931	-79.752708
39.365387	-79.555527
39.701843	-79.888832
40.038300	-79.316940
40.374756	-79.900703
40.711212	-79.762733
41.047668	-80.927414
41.384125	-80.447662
41.720581	-80.668991
42.057037	-79.981529
42.393494	-80.657639
42.729950	-80.393906
43.066406	-81.293968
43.402863	-81.425163
43.739319	-80.374023
44.075775	-81.613609
44.412231	-81.518570
44.748688	-80.498756
45.085144	-82.555664
45.421600	-81.454185
45.758057	-82.504158
46.094513	-81.319756
46.430969	-82.481499
46.767426	-82.285927
47.103882	-81.758194
47.440338	-82.606781
47.776794	-81.965706
48.113251	-82.864601
48.449707	-82.001289
48.786163	-82.958839
49.122620	-82.474953
49.459076	-83.042213
49.795532	-83.129402
50.131989	-82.008621
50.468445	-83.685608
50.804901	-83.005272
51.141357	-84.231621
51.477814	-83.302429
51.814270	-83.565750
52.150726	-83.318176
52.487183	-83.623596
52.823639	-84.838852
53.160095	-82.771416
53.496552	-83.869278
53.833008	-84.029945
54.169464	-84.193253
54.505920	-83.916496
54.842377	-82.908760
55.178833	-85.309250
55.515289	-83.683060
55.851746	-84.304619
56.188202	-83.701653
56.524658	-84.710320
56.861115	-84.653275
57.197571	-84.805588
57.534027	-84.499420
57.870483	-84.473351
58.206940	-85.003418
58.543396	-84.049446
58.879852	-85.449181
59.216309	-84.787003
59.552765	-79.302238
59.889221	-69.178001
60.225677	-70.919151
60.562134	-84.984970
60.898590	-84.648567
61.235046	-85.301201
61.571503	-86.787720
61.907959	-83.916435
62.244415	-86.102356
62.580872	-85.002579
62.917328	-86.249008
63.253784	-84.611008
63.590240	-85.128395
63.926697	-85.554832
64.263153	-86.131927
64.599609	-85.043839
64.936066	-85.797356
65.272522	-86.251099
65.608978	-85.561455
65.945435	-86.615639
66.281891	-86.142387
66.618347	-85.902214
66.954803	-86.031731
67.291260	-85.338593
67.627716	-86.877739
67.964172	-85.892281
68.300629	-86.579292
68.637085	-87.036263
68.973541	-85.451843
69.309998	-87.327499
69.646454	-84.925117
69.982910	-88.029762
70.319366	-86.639664
70.655823	-85.952309
70.992279	-86.273033
71.328735	-86.692001
71.665192	-86.165054
72.001648	-76.650734
72.338104	-72.513290
72.674561	-80.408073
73.011017	-85.281525
73.347473	-87.896408
73.683929	-88.001701
74.020386	-86.202705
74.356842	-86.398094
74.693298	-88.104828
75.029755	-87.088867
75.366211	-85.883926
75.702667	-88.798943
76.039124	-85.605766
76.375580	-87.448090
76.712036	-87.167305
77.048492	-86.487381
77.384949	-87.157280
77.721405	-87.132309
78.057861	-87.371033
78.394318	-86.148148
78.730774	-87.708603
79.067230	-86.292641
79.403687	-85.916351
79.740143	-60.158772
80.076599	-56.241657
80.413055	-67.136559
80.749512	-88.287697
81.085968	-87.804581
81.422424	-88.654091
81.758881	-87.407715
82.095337	-88.046356
82.431793	-88.237144
82.768250	-88.437416
83.104706	-88.876022
83.441162	-87.763245
83.777618	-89.896996
84.114075	-87.586777
84.450531	-87.056717
84.786987	-89.736305
85.123444	-88.600105
85.459900	-87.808067
85.796356	-89.142517
86.132812	-88.269859
86.469269	-87.481361
86.805725	-90.026459
87.142181	-86.837517
87.478638	-89.104675
87.815094	-89.437813
88.151550	-87.022850
88.488007	-90.601997
88.824463	-86.828285
89.160919	-89.113190
89.497375	-88.407997
89.833832	-87.738579
90.170288	-90.728928
90.506744	-88.263214
90.843201	-88.757088
91.179657	-88.689430
91.516113	-89.483589
91.852570	-88.779823
92.189026	-87.606979
92.525482	-88.401421
92.861938	-89.070198
93.198395	-89.303818
93.534851	-89.061874
93.871307	-88.447174
94.207764	-89.691383
94.544220	-89.223595
94.880676	-88.546501
95.217133	-88.093658
95.553589	-88.882942
95.890045	-91.131279
96.226501	-88.116814
96.562958	-88.858910
96.899414	-89.583687
97.235870	-89.205521
97.572327	-89.472351
97.908783	-88.787407
98.245239	-90.011810
98.581696	-90.758980
98.918152	-88.445244
99.254608	-90.119789
99.591064	-77.208527
99.927521	-66.759575
100.263977	-70.268684
100.600433	-90.482719
100.936890	-88.863403
101.273346	-89.415451
101.609802	-90.380814
101.946259	-88.321030
102.282715	-89.520882
102.619171	-89.401909
102.955627	-88.886772
103.292084	-89.730103
103.628540	-88.627357
103.964996	-88.079346
104.301453	-89.918289
104.637909	-87.515976
104.974365	-90.021072
105.310822	-88.491219
105.647278	-89.286903
105.983734	-89.639633
106.320190	-90.469955
106.656647	-89.740051
106.993103	-88.484772
107.329559	-89.883698
107.666016	-90.146378
108.002472	-88.857384
108.338928	-90.332329
108.675385	-89.128998
109.011841	-89.380402
109.348297	-89.601906
109.684753	-89.858528
110.021210	-90.590134
110.357666	-89.486572
110.694122	-90.076797
111.030579	-89.402649
111.367035	-89.587959
111.703491	-90.406876
112.039948	-89.065590
112.376404	-90.211380
112.712860	-90.714493
113.049316	-88.789459
113.385773	-88.869698
113.722229	-90.345520
114.058685	-88.560471
114.395142	-91.793198
114.731598	-88.466408
115.068054	-90.287704
115.404510	-89.434753
115.740967	-91.358063
116.077423	-90.032959
116.413879	-91.203087
116.750336	-87.869850
117.086792	-91.112198
117.423248	-90.442101
117.759705	-89.315269
118.096161	-88.640709
118.432617	-92.649040
118.769073	-87.334938
119.105530	-91.107460
119.441986	-80.667656
119.778442	-59.476616
120.114899	-56.869640
120.451355	-70.286316
120.787811	-89.881584
121.124268	-89.666473
121.460724	-88.197998
121.797180	-90.980118
122.133636	-88.268059
122.470093	-88.755615
122.806549	-87.578163
123.143005	-90.347786
123.479462	-88.812576
123.815918	-89.785774
124.152374	-90.833679
124.488831	-88.780647
124.825287	-91.377090
125.161743	-87.128120
125.498199	-91.432236
125.834656	-88.262177
126.171112	-90.738388
126.507568	-88.941093
126.844025	-89.702003
127.180481	-89.954300
127.516937	-89.919960
127.853394	-88.798752
128.189850	-90.158905
128.526306	-89.025864
128.862762	-89.083252
129.199219	-90.978813
129.535675	-88.477585
129.872131	-87.180183
130.208588	-91.422958
130.545044	-88.206680
130.881500	-89.838257
131.217957	-88.786148
131.554413	-89.149078
131.890869	-89.803787
132.227325	-89.232513
132.563782	-90.276085
132.900238	-88.931778
133.236694	-90.131485
133.573151	-89.091545
133.909607	-88.928864
134.246063	-90.332718
134.582520	-88.916756
134.918976	-88.975739
135.255432	-89.742805
135.591888	-89.036697
135.928345	-89.523079
136.264801	-88.999474
136.601257	-89.486076
136.937714	-89.377144
137.274170	-88.996559
137.610626	-87.884331
137.947083	-90.474342
138.283539	-88.878136
138.619995	-88.602837
138.956451	-88.007790
139.292908	-90.390503
139.629364	-83.237114
139.965820	-73.556931
140.302277	-79.815025
140.638733	-88.252449
140.975189	-88.869164
141.311646	-88.436325
141.648102	-89.097260
141.984558	-88.533173
142.321014	-88.808281
142.657471	-88.605637
142.993927	-89.581154
143.330383	-87.864525
143.666840	-88.542259
144.003296	-88.904884
144.339752	-80.783669
144.676208	-78.026436
145.012665	-86.204208
145.349121	-88.002617
145.685577	-90.001534
146.022034	-87.716904
146.358490	-87.808998
146.694946	-88.767540
147.031403	-88.469902
147.367859	-87.670387
147.704315	-89.099739
148.040771	-87.060226
148.377228	-88.828201
148.713684	-88.435287
149.050140	-87.420006
149.386597	-87.495796
149.723053	-86.796005
150.059509	-88.423950
150.395966	-86.994759
150.732422	-89.200661
151.068878	-86.842789
151.405334	-89.563232
151.741791	-87.842857
152.078247	-86.169624
152.414703	-88.752823
152.751160	-87.838867
153.087616	-87.135696
153.424072	-88.299408
153.760529	-87.445381
154.096985	-87.695763
154.433441	-87.378029
154.769897	-87.078865
155.106354	-87.539253
155.442810	-87.858963
155.779266	-86.430641
156.115723	-87.123062
156.452179	-86.979172
156.788635	-87.463768
157.125092	-86.300369
157.461548	-87.386536
157.798004	-87.154510
158.134460	-86.246834
158.470917	-87.609192
158.807373	-86.298203
159.143829	-87.069641
159.480286	-86.106873
159.816742	-75.748878
160.153198	-75.530708
160.489655	-84.308563
160.826111	-86.121086
161.162567	-87.007332
161.499023	-85.503731
161.835480	-86.996109
162.171936	-85.574341
162.508392	-86.437706
162.844849	-86.431541
163.181305	-85.732758
163.517761	-86.226616
163.854218	-85.342781
164.190674	-85.612740
164.527130	-86.189804
164.863586	-85.618149
165.200043	-85.148209
165.536499	-85.894196
165.872955	-85.241798
166.209412	-85.130295
166.545868	-84.854401
166.882324	-85.576797
167.218781	-84.925758
167.555237	-85.756294
167.891693	-84.411636
168.228149	-84.015076
168.564606	-85.396439
168.901062	-84.853271
169.237518	-84.208298
169.573975	-84.337257
169.910431	-84.769753
170.246887	-83.768250
170.583344	-84.519234
170.919800	-83.943748
171.256256	-83.996040
171.592712	-83.939323
171.929169	-83.761055
172.265625	-83.778137
172.602081	-83.566658
172.938538	-83.089424
173.274994	-83.884766
173.611450	-83.019585
173.947906	-83.445442
174.284363	-82.554169
174.620819	-83.082008
174.957275	-83.287468
175.293732	-82.486839
175.630188	-82.696976
175.966644	-82.801987
176.303101	-81.905418
176.639557	-82.672531
176.976013	-81.749084
177.312469	-82.160339
177.648926	-82.196053
177.985382	-81.485588
178.321838	-81.817375
178.658295	-81.606049
178.994751	-81.432930
179.331207	-81.232544
179.667664	-77.775047
180.004120	-70.969917
180.340576	-77.763275
180.677032	-79.882843
181.013489	-80.498833
181.349945	-80.638557
181.686401	-80.414948
182.022858	-79.851685
182.359314	-80.277527
182.695770	-79.267303
183.032227	-79.604973
183.368683	-79.438049
183.705139	-79.507133
184.041595	-78.903381
184.378052	-78.757347
184.714508	-78.753723
185.050964	-78.436310
185.387421	-78.072281
185.723877	-78.376015
186.060333	-77.657310
186.396790	-77.821381
186.733246	-77.321426
187.069702	-77.571136
187.406158	-76.580254
187.742615	-77.182350
188.079071	-76.215675
188.415527	-76.402489
188.751984	-75.896599
189.088440	-75.668747
189.424896	-75.584511
189.761353	-75.243683
190.097809	-74.820442
190.434265	-74.600571
190.770721	-74.493660
191.107178	-73.789436
191.443634	-73.843933
191.780090	-73.278290
192.116547	-73.046692
192.453003	-72.458282
192.789459	-72.278183
193.125916	-72.035599
193.462372	-71.156181
193.798828	-71.258728
194.135284	-70.222839
194.471741	-70.026878
194.808197	-69.470535
195.144653	-68.900749
195.481110	-68.331169
195.817566	-67.648537
196.154022	-67.085793
196.490479	-66.256920
196.826935	-65.560280
197.163391	-64.710152
197.499847	-63.915989
197.836304	-62.871418
198.172760	-62.203289
198.509216	-61.510654
198.845673	-62.750431
199.182129	-70.238792
199.518585	-36.413803
199.855042	-20.274830
200.191498	-20.874420
200.527954	-39.148743
200.864410	-79.131355
201.200867	-62.378010
201.537323	-61.508488
201.873779	-62.128864
202.210236	-62.980789
202.546692	-63.935234
202.883148	-64.658989
203.219604	-65.543640
203.556061	-66.290207
203.892517	-66.976631
204.228973	-67.661964
204.565430	-68.221687
204.901886	-68.867180
205.238342	-69.500259
