Frequency (Hz)	Level (dB)
0.336456	-68.525764
0.672913	-65.841194
1.009369	-63.989647
1.345825	-63.673733
1.682281	-65.282181
2.018738	-67.604233
2.355194	-70.009285
2.691650	-72.648216
3.028107	-72.204811
3.364563	-68.640625
3.701019	-71.020134
4.037476	-69.701042
4.373932	-72.414658
4.710388	-72.944565
5.046844	-71.037346
5.383301	-70.694862
5.719757	-70.789040
6.056213	-74.126236
6.392670	-70.934418
6.729126	-75.780327
7.065582	-72.995224
7.402039	-75.797913
7.738495	-76.054871
8.074951	-71.488708
8.411407	-73.649155
8.747864	-73.340614
9.084320	-73.918625
9.420776	-74.388176
9.757233	-73.796616
10.093689	-75.589539
10.430145	-71.460472
10.766602	-75.180725
11.103058	-73.862755
11.439514	-72.511566
11.775970	-71.200493
12.112427	-73.783569
12.448883	-71.566467
12.785339	-71.289925
13.121796	-72.328453
13.458252	-70.302299
13.794708	-70.227867
14.131165	-70.983643
14.467621	-69.530792
14.804077	-69.202888
15.140533	-68.375404
15.476990	-69.050323
15.813446	-66.995110
16.149902	-67.076599
16.486359	-66.554070
16.822815	-65.392097
17.159271	-64.827049
17.495728	-63.875927
17.832184	-62.516224
18.168640	-62.329189
18.505096	-61.695957
18.841553	-62.440670
19.178009	-68.945099
19.514465	-35.994152
19.850922	-20.141485
20.187378	-20.913916
20.523834	-39.538952
20.860291	-78.629410
21.196747	-61.867027
21.533203	-61.713104
21.869659	-62.371803
22.206116	-62.667477
22.542572	-63.919083
22.879028	-64.515862
23.215485	-65.727180
23.551941	-65.983330
23.888397	-67.466438
24.224854	-66.984909
24.561310	-68.528191
24.897766	-68.525696
25.234222	-69.243248
25.570679	-69.789078
25.907135	-70.263855
26.243591	-70.724617
26.580048	-70.798126
26.916504	-71.715744
27.252960	-71.742310
27.589417	-72.578346
27.925873	-72.559097
28.262329	-73.023224
28.598785	-73.050468
28.935242	-74.030190
29.271698	-73.144341
29.608154	-74.811546
29.944611	-74.698006
30.281067	-73.974304
30.617523	-76.033714
30.953979	-74.355347
31.290436	-75.608887
31.626892	-75.400970
31.963348	-75.794418
32.299805	-76.657852
32.636261	-75.352219
32.972717	-77.592415
33.309174	-76.289429
33.645630	-77.254639
33.982086	-77.218300
34.318542	-76.805290
34.654999	-78.510231
34.991455	-76.862541
35.327911	-79.170158
35.664368	-77.348503
36.000824	-78.939049
36.337280	-77.994652
36.673737	-77.772400
37.010193	-79.213821
37.346649	-80.517128
37.683105	-77.153618
38.019562	-78.529076
38.356018	-79.605896
38.692474	-78.989792
39.028931	-79.844002
39.365387	-81.226219
