Frequency (Hz)	Level (dB)
0.336456	-72.797340
0.672913	-65.179756
1.009369	-64.092476
1.345825	-65.939598
1.682281	-66.506645
2.018738	-66.718712
2.355194	-67.623428
2.691650	-63.270210
3.028107	-67.674332
3.364563	-70.466057
3.701019	-75.651047
4.037476	-71.313660
4.373932	-74.586319
4.710388	-71.334412
5.046844	-70.690331
5.383301	-71.496284
5.719757	-69.733711
6.056213	-73.977875
6.392670	-73.229607
6.729126	-70.806236
7.065582	-72.829170
7.402039	-72.377731
7.738495	-72.856819
8.074951	-74.560898
8.411407	-75.014534
8.747864	-72.770424
9.084320	-73.344620
9.420776	-75.656235
9.757233	-73.683594
10.093689	-72.575165
10.430145	-73.429649
10.766602	-73.950241
11.103058	-71.863533
11.439514	-74.203484
11.775970	-72.482307
12.112427	-72.561478
12.448883	-71.402916
12.785339	-71.668839
13.121796	-71.866196
13.458252	-71.243263
13.794708	-71.135185
14.131165	-70.287331
14.467621	-69.339897
14.804077	-69.798698
15.140533	-69.195030
15.476990	-68.010101
15.813446	-67.903778
16.149902	-66.832741
16.486359	-66.496391
16.822815	-65.544449
17.159271	-64.540710
17.495728	-64.101852
17.832184	-63.290428
18.168640	-61.826107
18.505096	-61.654842
18.841553	-62.622555
19.178009	-68.381363
19.514465	-36.008972
19.850922	-20.145651
20.187378	-20.917309
20.523834	-39.540417
20.860291	-79.017181
21.196747	-62.147812
21.533203	-61.593517
21.869659	-61.793369
22.206116	-63.223808
22.542572	-63.650021
22.879028	-64.601250
23.215485	-65.703049
23.551941	-65.966141
23.888397	-66.944519
24.224854	-67.445450
24.561310	-68.326134
24.897766	-68.396225
25.234222	-69.515251
25.570679	-69.372528
25.907135	-69.682854
26.243591	-71.197044
26.580048	-70.664482
26.916504	-72.112930
27.252960	-71.361191
27.589417	-72.327217
27.925873	-72.438751
28.262329	-72.919281
28.598785	-73.525932
28.935242	-73.415619
29.271698	-73.467720
29.608154	-74.480125
29.944611	-74.278862
30.281067	-74.591164
30.617523	-74.554947
30.953979	-75.410667
31.290436	-75.560516
31.626892	-75.378868
31.963348	-75.777473
32.299805	-75.995270
32.636261	-76.158279
32.972717	-76.611130
33.309174	-77.125793
33.645630	-75.820465
33.982086	-77.717354
34.318542	-77.427559
34.654999	-76.626709
34.991455	-78.500168
35.327911	-76.903320
35.664368	-78.831215
36.000824	-77.989899
36.337280	-77.648354
36.673737	-78.196243
37.010193	-78.722260
37.346649	-79.385727
37.683105	-77.980812
38.019562	-80.549438
38.356018	-78.568153
38.692474	-79.626892
39.028931	-79.547142
39.365387	-79.929718
39.701843	-80.186134
40.038300	-79.103981
40.374756	-80.036209
40.711212	-80.657738
41.047668	-80.275955
41.384125	-79.475639
41.720581	-81.053268
42.057037	-80.052719
42.393494	-81.503853
42.729950	-79.822937
43.066406	-81.693680
43.402863	-81.793396
43.739319	-80.188904
44.075775	-82.163849
44.412231	-80.459267
44.748688	-82.022659
45.085144	-80.967972
45.421600	-81.959724
45.758057	-81.528061
46.094513	-81.153427
46.430969	-83.064049
46.767426	-82.925377
47.103882	-79.168724
47.440338	-76.144424
47.776794	-70.943771
48.113251	-83.426743
48.449707	-82.345764
48.786163	-80.699287
49.122620	-84.157928
49.459076	-80.592384
49.795532	-84.673874
50.131989	-81.409935
50.468445	-84.361588
50.804901	-83.784294
51.141357	-82.250458
51.477814	-83.600365
51.814270	-82.974197
52.150726	-82.161522
52.487183	-85.024483
52.823639	-83.103203
53.160095	-83.927238
53.496552	-83.781418
53.833008	-83.755707
54.169464	-83.588448
54.505920	-84.397552
54.842377	-81.767227
55.178833	-87.145988
55.515289	-83.977676
55.851746	-83.209267
56.188202	-85.994034
56.524658	-82.804123
56.861115	-85.095261
57.197571	-83.677223
57.534027	-85.139526
57.870483	-82.791695
58.206940	-86.109451
58.543396	-83.091049
58.879852	-84.537651
59.216309	-84.564041
59.552765	-81.772789
59.889221	-70.724281
60.225677	-73.069389
60.562134	-83.785545
60.898590	-86.415031
61.235046	-84.533287
61.571503	-84.137871
61.907959	-86.159264
62.244415	-84.899429
62.580872	-85.217949
62.917328	-85.387886
63.253784	-85.816826
63.590240	-85.571274
63.926697	-85.269981
64.263153	-84.293793
64.599609	-85.996429
64.936066	-86.151886
65.272522	-84.888878
65.608978	-87.814438
65.945435	-84.686066
66.281891	-86.074516
66.618347	-85.480789
66.954803	-85.053833
67.291260	-87.598717
67.627716	-84.918518
67.964172	-88.632072
68.300629	-87.719284
68.637085	-84.041756
68.973541	-88.001015
69.309998	-85.354393
69.646454	-84.665390
69.982910	-89.050995
70.319366	-84.929527
70.655823	-87.284325
70.992279	-88.542854
71.328735	-86.476990
71.665192	-85.695824
72.001648	-87.421326
72.338104	-87.101418
72.674561	-85.363525
73.011017	-86.416725
73.347473	-87.115021
73.683929	-86.594269
74.020386	-86.517227
74.356842	-86.650688
74.693298	-87.540161
75.029755	-87.844170
75.366211	-86.056816
75.702667	-86.481407
76.039124	-88.567062
76.375580	-85.113571
76.712036	-88.602112
77.048492	-88.665482
77.384949	-86.983955
77.721405	-86.421173
78.057861	-87.758125
78.394318	-85.833809
78.730774	-88.628304
79.067230	-85.333801
79.403687	-84.923012
79.740143	-60.256851
80.076599	-56.181568
80.413055	-67.392189
80.749512	-90.294525
81.085968	-86.644135
81.422424	-87.478371
81.758881	-87.724846
82.095337	-86.764732
82.431793	-89.669449
82.768250	-87.655533
83.104706	-86.997063
83.441162	-88.080353
83.777618	-88.299042
84.114075	-87.615105
84.450531	-89.436951
84.786987	-86.933868
85.123444	-89.418045
85.459900	-86.469963
85.796356	-87.457245
86.132812	-89.326065
86.469269	-85.639374
86.805725	-89.433029
87.142181	-88.940559
87.478638	-85.225677
87.815094	-89.674370
88.151550	-87.730370
88.488007	-93.930931
88.824463	-86.607979
89.160919	-85.237045
89.497375	-92.051819
89.833832	-89.930199
90.170288	-88.055069
90.506744	-90.486160
90.843201	-86.847206
91.179657	-90.585571
91.516113	-87.804985
91.852570	-89.962830
92.189026	-89.553429
92.525482	-87.978584
92.861938	-88.486511
93.198395	-92.322121
93.534851	-86.786041
93.871307	-89.409134
94.207764	-90.251770
94.544220	-87.758568
94.880676	-82.751999
95.217133	-76.446129
95.553589	-82.469460
95.890045	-88.029388
96.226501	-89.645271
96.562958	-92.415199
96.899414	-88.343246
97.235870	-92.099052
97.572327	-87.995033
97.908783	-92.530144
98.245239	-87.385208
98.581696	-87.513924
98.918152	-88.876884
99.254608	-89.244148
99.591064	-77.040192
99.927521	-66.798874
100.263977	-70.308983
100.600433	-90.591209
100.936890	-89.812225
101.273346	-89.026657
101.609802	-89.919952
101.946259	-87.009804
102.282715	-92.002693
102.619171	-87.583717
102.955627	-91.283012
103.292084	-90.463417
103.628540	-87.601509
103.964996	-91.245865
104.301453	-89.430717
104.637909	-88.568329
104.974365	-87.180206
105.310822	-87.787445
105.647278	-88.963173
105.983734	-91.185913
106.320190	-87.875381
106.656647	-91.394348
106.993103	-89.473328
107.329559	-91.223770
107.666016	-88.041573
108.002472	-88.511314
108.338928	-89.033661
108.675385	-90.611282
109.011841	-88.857147
109.348297	-88.407913
109.684753	-91.447746
110.021210	-91.170059
110.357666	-88.021675
110.694122	-93.446655
111.030579	-87.531532
111.367035	-92.823212
111.703491	-89.242653
112.039948	-89.103981
112.376404	-89.361069
112.712860	-88.650871
113.049316	-91.018379
113.385773	-90.728996
113.722229	-86.618935
114.058685	-89.451447
114.395142	-91.435028
114.731598	-88.813240
115.068054	-91.576927
115.404510	-87.515060
115.740967	-90.733810
116.077423	-89.625801
116.413879	-89.237022
116.750336	-89.338890
117.086792	-92.122330
117.423248	-90.212212
117.759705	-89.306358
118.096161	-90.094589
118.432617	-89.238480
118.769073	-91.258766
119.105530	-89.888580
119.441986	-81.600723
119.778442	-59.485016
120.114899	-56.927769
120.451355	-70.092705
120.787811	-89.690239
121.124268	-89.226067
121.460724	-92.219246
121.797180	-87.646080
122.133636	-90.962502
122.470093	-87.603722
122.806549	-89.966148
123.143005	-90.328094
123.479462	-90.084007
123.815918	-90.119904
124.152374	-90.161766
124.488831	-87.555023
124.825287	-95.657791
125.161743	-87.028427
125.498199	-90.677956
125.834656	-90.782631
126.171112	-88.271759
126.507568	-89.670372
126.844025	-91.151688
127.180481	-89.858658
127.516937	-88.298843
127.853394	-93.459404
128.189850	-88.092079
128.526306	-93.268906
128.862762	-87.390106
129.199219	-90.422920
129.535675	-89.958794
129.872131	-90.146660
130.208588	-89.764503
130.545044	-90.420013
130.881500	-90.655571
131.217957	-88.968956
131.554413	-93.498039
131.890869	-89.369377
132.227325	-89.288383
132.563782	-88.620361
132.900238	-88.299316
133.236694	-89.509201
133.573151	-90.031853
133.909607	-90.783615
134.246063	-90.247620
134.582520	-91.866035
134.918976	-89.120537
135.255432	-87.254120
135.591888	-87.953194
135.928345	-89.584641
136.264801	-89.757774
136.601257	-89.404015
136.937714	-91.855392
137.274170	-90.128418
137.610626	-89.144249
137.947083	-89.118546
138.283539	-90.406693
138.619995	-90.055107
138.956451	-88.977249
139.292908	-88.415611
139.629364	-81.962578
139.965820	-73.523170
140.302277	-79.440399
140.638733	-90.620926
140.975189	-88.699440
141.311646	-90.821907
141.648102	-89.186821
141.984558	-87.409836
142.321014	-90.597298
142.657471	-88.762108
142.993927	-86.567352
143.330383	-88.150894
143.666840	-90.176132
144.003296	-90.187241
144.339752	-87.803726
144.676208	-89.299164
145.012665	-89.271011
145.349121	-87.858856
145.685577	-91.058472
146.022034	-87.190712
146.358490	-88.817848
146.694946	-89.486176
147.031403	-88.726982
147.367859	-88.895714
147.704315	-89.029381
148.040771	-89.895653
148.377228	-87.816124
148.713684	-89.371040
149.050140	-88.819405
149.386597	-87.902786
149.723053	-88.220016
150.059509	-88.049004
150.395966	-89.930458
150.732422	-88.566200
151.068878	-88.130028
151.405334	-89.365334
151.741791	-88.110603
152.078247	-90.257881
152.414703	-86.958954
152.751160	-88.084244
153.087616	-89.576958
153.424072	-87.442764
153.760529	-90.133369
154.096985	-87.045174
154.433441	-86.681900
154.769897	-89.204460
155.106354	-87.072586
155.442810	-89.080872
155.779266	-88.544823
156.115723	-85.443619
156.452179	-89.228149
156.788635	-86.760536
157.125092	-88.406830
157.461548	-86.410515
157.798004	-89.295532
158.134460	-88.176323
158.470917	-87.612640
158.807373	-87.019928
159.143829	-87.051300
159.480286	-87.379768
159.816742	-77.007057
160.153198	-74.803658
160.489655	-86.264702
160.826111	-85.723335
161.162567	-87.738335
161.499023	-86.942734
161.835480	-86.926437
162.171936	-86.071007
162.508392	-86.661682
162.844849	-86.975502
163.181305	-86.250099
163.517761	-87.017838
163.854218	-86.741974
164.190674	-85.564964
164.527130	-86.956429
164.863586	-85.631790
165.200043	-87.361519
165.536499	-85.990303
165.872955	-85.520401
166.209412	-85.149406
166.545868	-85.711128
166.882324	-87.701477
