Frequency (Hz)	Level (dB)
0.336456	-71.575218
0.672913	-66.750702
1.009369	-67.286354
1.345825	-71.632874
1.682281	-65.728470
2.018738	-66.288048
2.355194	-67.146118
2.691650	-66.311462
3.028107	-70.640671
3.364563	-68.641594
3.701019	-72.933121
4.037476	-74.582222
4.373932	-71.156441
4.710388	-70.484459
5.046844	-69.045708
5.383301	-68.660347
5.719757	-70.638588
6.056213	-72.490044
6.392670	-73.320618
6.729126	-73.593079
7.065582	-73.165558
7.402039	-74.175995
7.738495	-73.707726
8.074951	-74.305756
8.411407	-72.756248
8.747864	-72.764191
9.084320	-72.606209
9.420776	-73.633240
9.757233	-71.536041
10.093689	-72.891678
10.430145	-72.877655
10.766602	-74.045792
11.103058	-72.423401
11.439514	-73.056709
11.775970	-73.309700
12.112427	-71.620293
12.448883	-71.552765
12.785339	-71.255981
13.121796	-71.927673
13.458252	-70.058136
13.794708	-70.891289
14.131165	-69.667274
14.467621	-69.713127
14.804077	-69.110809
15.140533	-68.527267
15.476990	-67.906250
15.813446	-68.233727
16.149902	-66.088837
16.486359	-66.120514
16.822815	-65.409332
17.159271	-64.865211
17.495728	-63.390434
17.832184	-62.821053
18.168640	-62.072823
18.505096	-61.474056
18.841553	-62.552319
19.178009	-69.276955
19.514465	-36.001450
19.850922	-20.145844
20.187378	-20.919588
20.523834	-39.517879
20.860291	-80.196625
21.196747	-62.425922
21.533203	-61.624046
21.869659	-61.747200
22.206116	-63.464058
22.542572	-63.750950
22.879028	-64.803955
23.215485	-65.985985
23.551941	-66.055283
23.888397	-66.963562
24.224854	-67.693398
24.561310	-68.517914
24.897766	-68.636734
25.234222	-69.387100
25.570679	-70.089981
25.907135	-70.330597
26.243591	-71.129272
26.580048	-70.587036
26.916504	-72.627960
27.252960	-71.419838
27.589417	-73.003708
27.925873	-73.295464
28.262329	-72.884232
28.598785	-73.408112
28.935242	-73.763718
29.271698	-74.247955
29.608154	-74.415810
29.944611	-74.469009
30.281067	-75.448662
30.617523	-75.094269
30.953979	-75.248512
31.290436	-76.499443
31.626892	-75.395615
31.963348	-76.697067
32.299805	-76.371765
32.636261	-76.233971
32.972717	-77.323822
33.309174	-76.714394
33.645630	-76.921280
33.982086	-78.322319
34.318542	-77.279747
34.654999	-77.199562
34.991455	-78.753304
35.327911	-77.964775
35.664368	-78.992668
36.000824	-78.183922
36.337280	-78.884262
36.673737	-79.457420
37.010193	-78.929832
37.346649	-80.074471
37.683105	-78.572151
38.019562	-79.587311
38.356018	-79.320526
38.692474	-80.169617
39.028931	-80.148155
39.365387	-79.775063
39.701843	-80.226646
40.038300	-80.239357
40.374756	-80.529083
40.711212	-78.177574
41.047668	-81.589928
41.384125	-81.785248
41.720581	-80.320930
42.057037	-80.999313
42.393494	-81.174538
42.729950	-82.054489
43.066406	-81.313988
43.402863	-81.238747
43.739319	-81.911743
44.075775	-80.709007
44.412231	-83.837494
44.748688	-81.444855
45.085144	-82.797592
45.421600	-81.580910
45.758057	-82.392380
46.094513	-82.560051
46.430969	-78.764801
46.767426	-75.675163
47.103882	-73.609512
47.440338	-83.382164
47.776794	-83.015884
48.113251	-82.380577
48.449707	-82.810158
48.786163	-83.375175
49.122620	-83.070808
49.459076	-83.495735
49.795532	-83.495590
50.131989	-82.217072
50.468445	-84.875702
50.804901	-83.139206
51.141357	-84.176605
51.477814	-83.380836
51.814270	-84.309448
52.150726	-83.180161
52.487183	-84.649399
52.823639	-82.850098
53.160095	-82.094276
53.496552	-83.046776
53.833008	-84.456413
54.169464	-84.033302
54.505920	-85.291397
54.842377	-83.339668
55.178833	-86.009033
55.515289	-84.425735
55.851746	-84.219872
56.188202	-85.210106
56.524658	-84.148781
56.861115	-85.681213
57.197571	-85.397514
57.534027	-85.464981
57.870483	-84.076195
58.206940	-85.278290
58.543396	-85.796051
58.879852	-85.642174
59.216309	-85.059914
59.552765	-78.576088
59.889221	-69.866707
60.225677	-71.043831
60.562134	-85.054054
60.898590	-85.971191
61.235046	-84.359436
61.571503	-86.684570
61.907959	-85.087318
62.244415	-84.902550
62.580872	-87.061562
62.917328	-85.011963
63.253784	-86.364403
63.590240	-85.740349
63.926697	-86.223602
64.263153	-85.673363
64.599609	-85.691345
64.936066	-85.635048
65.272522	-86.065796
65.608978	-86.782082
65.945435	-85.072449
66.281891	-88.613655
66.618347	-84.935326
66.954803	-86.116196
67.291260	-87.348801
67.627716	-85.677864
67.964172	-87.356949
68.300629	-86.071457
68.637085	-86.764969
68.973541	-86.402115
69.309998	-87.597809
69.646454	-85.694366
69.982910	-86.092888
70.319366	-87.070953
70.655823	-86.587532
70.992279	-87.376976
71.328735	-86.122963
71.665192	-89.283897
72.001648	-85.477989
72.338104	-88.298851
72.674561	-86.973053
73.011017	-86.542549
73.347473	-87.128433
73.683929	-88.868103
74.020386	-86.799469
74.356842	-87.018425
74.693298	-86.815521
75.029755	-87.031593
75.366211	-88.840729
75.702667	-85.659889
76.039124	-88.127167
76.375580	-86.564949
76.712036	-88.046181
77.048492	-88.679695
77.384949	-86.701645
77.721405	-86.920769
78.057861	-87.714783
78.394318	-88.168022
78.730774	-85.985954
79.067230	-87.958122
79.403687	-86.788467
79.740143	-60.208317
80.076599	-56.185936
