Frequency (Hz)	Level (dB)
0.336456	-70.081581
0.672913	-66.484901
1.009369	-66.377075
1.345825	-66.498619
1.682281	-67.029633
2.018738	-64.442284
2.355194	-68.403061
2.691650	-67.548340
3.028107	-72.765327
3.364563	-68.134285
3.701019	-67.988319
4.037476	-71.074188
4.373932	-68.578598
4.710388	-71.321281
5.046844	-74.984474
5.383301	-72.528458
5.719757	-72.042686
6.056213	-74.848259
6.392670	-72.824699
6.729126	-76.057983
7.065582	-72.011040
7.402039	-79.384346
7.738495	-73.869965
8.074951	-75.027077
8.411407	-71.962868
8.747864	-74.459938
9.084320	-75.758972
9.420776	-72.411545
9.757233	-74.048653
10.093689	-72.829338
10.430145	-73.175407
10.766602	-72.354988
11.103058	-73.180054
11.439514	-71.475594
11.775970	-75.384987
12.112427	-70.629318
12.448883	-71.691574
12.785339	-72.009438
13.121796	-71.411072
13.458252	-71.640419
13.794708	-70.174438
14.131165	-70.278648
14.467621	-69.920486
14.804077	-69.307243
15.140533	-68.437485
15.476990	-68.117867
15.813446	-68.161476
16.149902	-66.597359
16.486359	-66.261505
16.822815	-65.408539
17.159271	-65.008606
17.495728	-63.504589
17.832184	-63.065296
18.168640	-62.097912
18.505096	-61.432648
18.841553	-62.710819
19.178009	-68.764977
19.514465	-35.879677
19.850922	-20.115545
20.187378	-20.942299
20.523834	-39.664127
20.860291	-79.846977
21.196747	-62.003368
21.533203	-61.718338
21.869659	-62.344707
22.206116	-62.678177
22.542572	-64.089493
22.879028	-64.609215
23.215485	-65.553787
23.551941	-66.229111
23.888397	-67.224426
24.224854	-67.301147
24.561310	-68.516708
24.897766	-68.736778
25.234222	-69.227295
25.570679	-69.883934
25.907135	-70.055946
26.243591	-70.821404
26.580048	-71.418106
26.916504	-71.447906
27.252960	-72.471306
27.589417	-71.662041
27.925873	-72.605507
28.262329	-73.292885
28.598785	-73.435112
28.935242	-73.428299
29.271698	-73.903595
29.608154	-74.331673
29.944611	-75.496445
30.281067	-74.146149
30.617523	-74.945786
30.953979	-75.388954
31.290436	-76.050560
31.626892	-75.317062
31.963348	-76.489471
32.299805	-75.916122
32.636261	-75.746178
32.972717	-77.467400
33.309174	-76.568649
33.645630	-77.436661
33.982086	-77.242828
34.318542	-77.667084
34.654999	-76.810127
34.991455	-78.857925
35.327911	-77.319084
35.664368	-78.799477
36.000824	-78.206665
36.337280	-78.886063
36.673737	-78.142128
37.010193	-79.163666
37.346649	-79.147064
37.683105	-78.882919
38.019562	-79.085670
38.356018	-79.352715
38.692474	-79.776482
39.028931	-79.212952
39.365387	-80.628021
39.701843	-79.514153
40.038300	-79.492378
40.374756	-80.144913
40.711212	-80.845383
41.047668	-80.130096
41.384125	-81.406418
41.720581	-80.656021
42.057037	-80.273979
42.393494	-81.108635
42.729950	-80.724495
43.066406	-81.326630
43.402863	-81.925056
43.739319	-81.121689
44.075775	-81.321877
44.412231	-81.336349
44.748688	-82.332306
45.085144	-81.048080
45.421600	-83.044762
45.758057	-81.426231
