Frequency (Hz)	Level (dB)
0.336456	-71.462997
0.672913	-70.392868
1.009369	-65.718079
1.345825	-64.890442
1.682281	-63.373451
2.018738	-66.695335
2.355194	-66.339081
2.691650	-69.900047
3.028107	-69.240074
3.364563	-70.383408
3.701019	-68.798698
4.037476	-69.575554
4.373932	-72.263214
4.710388	-69.430061
5.046844	-73.387848
5.383301	-69.070961
5.719757	-71.577599
6.056213	-75.878601
6.392670	-72.447090
6.729126	-74.604958
7.065582	-78.679428
7.402039	-72.198967
7.738495	-73.249443
8.074951	-73.834084
8.411407	-74.182106
8.747864	-73.896622
9.084320	-73.612823
9.420776	-72.419678
9.757233	-74.568771
10.093689	-73.339676
10.430145	-72.614960
10.766602	-75.099037
11.103058	-71.888527
11.439514	-73.566528
11.775970	-73.128265
12.112427	-71.591454
12.448883	-72.349846
12.785339	-71.426376
13.121796	-70.523384
13.458252	-72.262329
13.794708	-69.348427
14.131165	-70.336601
14.467621	-70.145142
14.804077	-68.868599
15.140533	-68.565956
15.476990	-68.219711
15.813446	-67.085754
16.149902	-67.112183
16.486359	-66.569244
16.822815	-65.210655
17.159271	-64.969856
17.495728	-63.624336
17.832184	-62.857174
18.168640	-62.139534
18.505096	-61.708759
18.841553	-62.653122
19.178009	-69.890099
19.514465	-35.868156
19.850922	-20.121832
20.187378	-20.948843
20.523834	-39.650047
20.860291	-80.233589
21.196747	-62.500397
21.533203	-61.342930
21.869659	-62.251766
22.206116	-62.895958
22.542572	-64.053047
22.879028	-64.527130
23.215485	-65.677849
23.551941	-66.222389
23.888397	-67.072762
24.224854	-67.415916
24.561310	-68.388382
24.897766	-68.505013
25.234222	-69.023018
25.570679	-69.857048
25.907135	-70.022041
26.243591	-71.149742
26.580048	-70.743164
26.916504	-71.781876
27.252960	-72.707397
27.589417	-71.726990
27.925873	-72.959396
28.262329	-73.087105
28.598785	-72.847115
28.935242	-74.104721
29.271698	-74.189102
29.608154	-74.100967
29.944611	-73.420502
30.281067	-75.201439
30.617523	-74.544067
30.953979	-75.950043
31.290436	-74.925774
31.626892	-76.068733
31.963348	-75.684532
32.299805	-77.004112
32.636261	-75.654442
32.972717	-77.499321
33.309174	-76.001595
33.645630	-77.081398
33.982086	-77.356239
34.318542	-77.826584
34.654999	-77.095222
34.991455	-77.411926
35.327911	-78.252693
35.664368	-78.009827
36.000824	-77.628799
36.337280	-79.442490
36.673737	-78.296486
37.010193	-78.959396
37.346649	-79.234718
37.683105	-78.723801
38.019562	-79.203697
38.356018	-79.497833
38.692474	-80.581886
39.028931	-78.474319
39.365387	-81.715530
39.701843	-77.486626
40.038300	-76.936882
40.374756	-78.292320
40.711212	-81.263435
41.047668	-80.235931
41.384125	-80.702980
41.720581	-80.419922
42.057037	-81.341545
42.393494	-80.474365
42.729950	-81.829567
43.066406	-81.009476
43.402863	-81.726295
43.739319	-80.862335
44.075775	-81.358665
44.412231	-81.851326
44.748688	-76.924324
45.085144	-74.989311
45.421600	-82.369751
45.758057	-81.434166
46.094513	-81.332024
46.430969	-82.620209
46.767426	-82.145370
47.103882	-82.220963
47.440338	-83.408760
47.776794	-82.801437
48.113251	-81.951096
48.449707	-82.557053
48.786163	-83.170860
49.122620	-82.262817
49.459076	-85.218285
49.795532	-77.810165
50.131989	-80.751732
50.468445	-81.881775
50.804901	-84.033478
51.141357	-82.621468
51.477814	-84.552299
51.814270	-82.459969
52.150726	-85.571693
52.487183	-82.038696
52.823639	-84.015991
53.160095	-84.272774
53.496552	-83.898674
53.833008	-83.824097
54.169464	-84.969803
54.505920	-83.108047
54.842377	-79.053223
55.178833	-79.344284
55.515289	-84.510475
55.851746	-83.999374
56.188202	-85.464012
56.524658	-83.637444
56.861115	-85.888145
57.197571	-83.733246
57.534027	-85.471474
57.870483	-84.534431
58.206940	-84.735970
58.543396	-85.136627
58.879852	-85.776749
59.216309	-83.575401
59.552765	-80.997589
59.889221	-71.422005
60.225677	-73.046867
60.562134	-85.074890
60.898590	-85.121483
61.235046	-85.017555
61.571503	-86.002136
61.907959	-84.635201
62.244415	-77.266464
62.580872	-73.415428
62.917328	-83.441154
63.253784	-85.610062
63.590240	-85.648392
63.926697	-84.859512
64.263153	-87.284706
64.599609	-85.325539
64.936066	-84.763634
65.272522	-86.491562
65.608978	-85.965950
65.945435	-86.014565
66.281891	-87.727196
66.618347	-84.913689
66.954803	-85.597618
67.291260	-87.527550
67.627716	-84.926323
67.964172	-86.718307
68.300629	-87.319145
68.637085	-86.458702
68.973541	-85.838081
69.309998	-86.590118
69.646454	-86.963326
69.982910	-83.522224
70.319366	-84.679222
70.655823	-88.984222
70.992279	-86.399223
71.328735	-86.867828
71.665192	-86.803619
72.001648	-86.493050
72.338104	-86.796936
72.674561	-86.449982
73.011017	-85.918365
73.347473	-87.862267
73.683929	-87.480995
74.020386	-86.954529
74.356842	-87.626709
74.693298	-84.773064
75.029755	-80.528694
75.366211	-86.628204
75.702667	-86.935471
76.039124	-87.562531
76.375580	-87.581947
76.712036	-87.320679
77.048492	-87.827263
77.384949	-87.526993
77.721405	-86.378952
78.057861	-87.276703
78.394318	-87.918015
78.730774	-86.790245
79.067230	-90.015228
79.403687	-83.534561
79.740143	-59.964027
80.076599	-56.065414
80.413055	-67.534019
80.749512	-87.272934
81.085968	-87.712173
81.422424	-87.703270
81.758881	-87.656624
82.095337	-87.863983
82.431793	-86.837143
82.768250	-88.697029
83.104706	-87.655144
83.441162	-86.226822
83.777618	-88.684349
84.114075	-89.692207
84.450531	-85.935768
84.786987	-84.174667
85.123444	-83.131775
85.459900	-88.042061
85.796356	-88.359581
86.132812	-86.192032
86.469269	-89.955788
86.805725	-86.837364
87.142181	-89.554054
87.478638	-87.515045
87.815094	-87.309723
88.151550	-89.174744
88.488007	-88.482101
88.824463	-87.994957
89.160919	-89.069298
89.497375	-86.883194
89.833832	-86.582787
90.170288	-84.496712
90.506744	-90.796272
90.843201	-86.571602
91.179657	-90.232445
91.516113	-87.290962
91.852570	-90.815887
92.189026	-88.253273
92.525482	-88.296982
92.861938	-88.161682
93.198395	-90.643188
93.534851	-88.289154
93.871307	-88.441620
94.207764	-89.899757
94.544220	-87.370026
94.880676	-86.453423
95.217133	-83.305382
95.553589	-89.502541
95.890045	-89.489563
96.226501	-88.970894
96.562958	-88.429443
96.899414	-89.347977
97.235870	-88.867470
97.572327	-88.917709
97.908783	-89.169685
98.245239	-88.953743
98.581696	-88.739372
98.918152	-89.436768
99.254608	-88.714439
99.591064	-77.104195
99.927521	-66.272552
100.263977	-70.409790
100.600433	-89.037956
100.936890	-88.267799
101.273346	-89.121506
101.609802	-88.464561
101.946259	-89.175636
102.282715	-89.346153
102.619171	-89.156349
102.955627	-89.654999
103.292084	-88.884979
103.628540	-88.964310
103.964996	-90.039825
104.301453	-89.817406
104.637909	-87.689171
104.974365	-87.533463
105.310822	-88.889908
