Frequency (Hz)	Level (dB)
0.336456	-70.613724
0.672913	-68.394096
1.009369	-66.804817
1.345825	-66.637428
1.682281	-63.372009
2.018738	-65.845497
2.355194	-68.532951
2.691650	-69.719124
3.028107	-68.717888
3.364563	-66.103691
3.701019	-67.700363
4.037476	-72.449898
4.373932	-71.068245
4.710388	-67.983444
5.046844	-71.424797
5.383301	-72.805359
5.719757	-73.956619
6.056213	-74.693413
6.392670	-74.729370
6.729126	-72.475533
7.065582	-73.099449
7.402039	-71.327721
7.738495	-73.174744
8.074951	-74.408752
8.411407	-74.086792
8.747864	-73.710770
9.084320	-75.722031
9.420776	-72.196815
9.757233	-74.338074
10.093689	-72.068542
10.430145	-73.449905
10.766602	-72.782013
11.103058	-73.232437
11.439514	-71.866638
11.775970	-73.345901
12.112427	-71.640579
12.448883	-71.408760
12.785339	-71.189751
13.121796	-71.911545
13.458252	-70.563347
13.794708	-70.277946
14.131165	-70.149452
14.467621	-69.665909
14.804077	-68.991119
15.140533	-68.862175
15.476990	-67.490433
15.813446	-68.181580
16.149902	-66.455788
16.486359	-66.624161
16.822815	-65.149071
17.159271	-64.243362
17.495728	-63.973244
17.832184	-63.068283
18.168640	-61.911636
18.505096	-61.575222
18.841553	-62.534668
19.178009	-68.802780
19.514465	-35.878376
19.850922	-20.110294
20.187378	-20.937838
20.523834	-39.643078
20.860291	-79.989944
21.196747	-62.334049
21.533203	-61.555706
21.869659	-62.201099
22.206116	-62.935543
22.542572	-64.059853
22.879028	-64.601707
23.215485	-65.455246
23.551941	-66.541946
23.888397	-67.194458
24.224854	-67.376884
24.561310	-68.591309
24.897766	-68.687706
25.234222	-69.365768
25.570679	-69.981361
25.907135	-70.451721
26.243591	-70.836456
26.580048	-71.619606
26.916504	-71.316528
27.252960	-72.020500
27.589417	-72.631859
27.925873	-72.352379
28.262329	-73.314667
28.598785	-73.646362
28.935242	-73.671577
29.271698	-74.167679
29.608154	-74.329697
29.944611	-74.126640
30.281067	-75.145363
30.617523	-75.627380
30.953979	-75.484367
31.290436	-75.320122
31.626892	-75.751823
31.963348	-77.501511
32.299805	-75.423843
32.636261	-77.375542
32.972717	-76.635468
33.309174	-76.823822
33.645630	-77.224449
33.982086	-77.636276
34.318542	-77.776871
34.654999	-76.599495
34.991455	-79.602905
35.327911	-77.253929
35.664368	-78.502968
36.000824	-79.312836
36.337280	-78.194252
36.673737	-78.200325
37.010193	-79.284988
37.346649	-79.744865
37.683105	-78.797630
38.019562	-80.349281
38.356018	-78.715294
38.692474	-80.086494
39.028931	-80.171051
39.365387	-80.306190
39.701843	-79.865379
40.038300	-80.173668
40.374756	-80.587822
40.711212	-80.052353
41.047668	-81.117538
41.384125	-80.464157
41.720581	-80.945564
42.057037	-81.091949
42.393494	-81.406242
42.729950	-80.840965
43.066406	-81.541122
43.402863	-81.991768
43.739319	-80.855118
44.075775	-82.694580
44.412231	-81.033669
44.748688	-81.692017
45.085144	-82.319702
45.421600	-82.265213
45.758057	-82.066353
46.094513	-81.351791
46.430969	-83.326637
46.767426	-81.948273
47.103882	-83.771812
47.440338	-81.274727
47.776794	-83.756256
48.113251	-82.858742
48.449707	-82.769157
48.786163	-82.360100
49.122620	-83.812546
49.459076	-83.809364
49.795532	-81.939255
50.131989	-83.510674
50.468445	-83.470528
50.804901	-84.088837
51.141357	-83.617950
51.477814	-83.144005
51.814270	-83.113373
52.150726	-84.301331
52.487183	-83.028084
52.823639	-83.669273
53.160095	-84.610672
53.496552	-84.627960
53.833008	-84.247673
54.169464	-83.808540
54.505920	-84.859428
54.842377	-85.163475
55.178833	-83.553185
55.515289	-85.209328
55.851746	-85.022659
56.188202	-84.038269
56.524658	-86.067604
56.861115	-84.188332
57.197571	-86.722626
57.534027	-83.337425
57.870483	-86.542992
58.206940	-85.035324
58.543396	-85.472099
58.879852	-84.690216
59.216309	-84.653748
59.552765	-79.206703
59.889221	-67.301422
60.225677	-69.524200
60.562134	-84.470673
60.898590	-86.020729
61.235046	-85.061699
61.571503	-88.348106
61.907959	-84.745079
62.244415	-84.753967
62.580872	-87.754395
62.917328	-84.585838
63.253784	-87.088470
63.590240	-85.018028
63.926697	-86.510361
64.263153	-86.244850
64.599609	-85.634651
64.936066	-86.363220
65.272522	-86.089973
65.608978	-85.603180
65.945435	-86.693184
66.281891	-87.223587
66.618347	-85.462364
66.954803	-87.401367
67.291260	-86.140724
67.627716	-85.219734
67.964172	-87.535286
68.300629	-86.703865
68.637085	-87.010681
68.973541	-86.192322
69.309998	-88.126450
69.646454	-86.198242
69.982910	-87.716660
70.319366	-86.971275
70.655823	-86.499168
70.992279	-87.110229
71.328735	-87.347458
71.665192	-87.554710
72.001648	-87.451065
72.338104	-88.617340
72.674561	-86.210236
73.011017	-87.554626
73.347473	-86.905563
73.683929	-87.675537
74.020386	-87.763908
74.356842	-88.413506
74.693298	-87.201050
75.029755	-84.089241
75.366211	-89.199417
75.702667	-87.070908
76.039124	-88.383766
76.375580	-87.368950
76.712036	-88.863762
77.048492	-86.151367
77.384949	-90.078232
77.721405	-86.439682
78.057861	-89.733635
78.394318	-87.868912
78.730774	-88.377853
79.067230	-89.074852
79.403687	-83.351547
79.740143	-60.065571
80.076599	-56.068726
80.413055	-67.741913
80.749512	-88.801842
81.085968	-87.006371
81.422424	-87.594971
81.758881	-87.641747
82.095337	-87.117332
82.431793	-88.671204
82.768250	-87.661514
83.104706	-88.842651
83.441162	-88.460014
83.777618	-86.862541
84.114075	-89.049004
84.450531	-89.001457
84.786987	-88.028358
85.123444	-85.975739
85.459900	-88.597618
85.796356	-87.969475
86.132812	-88.054321
86.469269	-87.808304
86.805725	-88.965271
87.142181	-87.914307
87.478638	-88.823410
87.815094	-89.952682
88.151550	-87.782097
88.488007	-88.101242
88.824463	-90.501213
89.160919	-87.575737
89.497375	-90.714066
89.833832	-89.364883
90.170288	-87.933113
90.506744	-87.549065
90.843201	-90.167328
91.179657	-87.606827
91.516113	-89.174141
91.852570	-88.376099
92.189026	-89.629303
92.525482	-87.913948
92.861938	-89.890739
93.198395	-90.189507
93.534851	-88.397141
93.871307	-87.726410
94.207764	-91.778854
94.544220	-88.153954
94.880676	-90.056732
95.217133	-89.615479
95.553589	-88.649010
95.890045	-88.816444
96.226501	-88.599815
96.562958	-89.902016
96.899414	-90.041031
97.235870	-88.929062
97.572327	-89.190025
97.908783	-89.591820
98.245239	-88.971642
98.581696	-88.380280
98.918152	-91.243675
99.254608	-88.520660
99.591064	-78.506386
99.927521	-66.844048
100.263977	-71.308327
100.600433	-87.441505
100.936890	-91.334198
101.273346	-90.068054
101.609802	-89.546913
101.946259	-89.747452
102.282715	-91.100273
102.619171	-88.723038
102.955627	-89.417763
103.292084	-90.330513
103.628540	-90.028198
103.964996	-87.621277
104.301453	-92.848404
104.637909	-89.280685
104.974365	-88.440529
105.310822	-90.785172
105.647278	-89.742584
105.983734	-90.545303
106.320190	-89.333237
106.656647	-88.675133
106.993103	-91.348106
107.329559	-88.185410
107.666016	-90.837532
108.002472	-90.496216
108.338928	-89.906433
108.675385	-89.487244
109.011841	-90.435440
109.348297	-90.061203
109.684753	-88.697914
110.021210	-89.357529
110.357666	-89.398262
110.694122	-89.045555
111.030579	-89.299240
111.367035	-89.550240
