Frequency (Hz)	Level (dB)
0.336456	-69.977188
0.672913	-64.888527
1.009369	-69.905869
1.345825	-65.918877
1.682281	-66.117638
2.018738	-67.134712
2.355194	-68.853424
2.691650	-68.122849
3.028107	-67.785019
3.364563	-67.244011
3.701019	-69.405998
4.037476	-70.635483
4.373932	-71.677155
4.710388	-69.374481
5.046844	-70.653732
5.383301	-71.448616
5.719757	-73.238785
6.056213	-75.108276
6.392670	-74.159241
6.729126	-73.473892
7.065582	-72.383766
7.402039	-74.579666
7.738495	-73.049133
8.074951	-73.970230
8.411407	-75.345215
8.747864	-74.025063
9.084320	-73.195427
9.420776	-75.786369
9.757233	-72.783020
10.093689	-74.813141
10.430145	-73.086395
10.766602	-74.007202
11.103058	-72.230927
11.439514	-73.935806
11.775970	-72.795341
12.112427	-71.787338
12.448883	-72.893570
12.785339	-71.724266
13.121796	-70.421585
13.458252	-72.333717
13.794708	-68.857033
14.131165	-71.961678
14.467621	-69.794029
14.804077	-68.897804
15.140533	-68.951645
15.476990	-68.290619
15.813446	-67.759712
16.149902	-66.907074
16.486359	-65.778809
16.822815	-66.182869
17.159271	-64.750809
17.495728	-63.690239
17.832184	-62.843674
18.168640	-62.290497
18.505096	-61.756912
18.841553	-62.528313
19.178009	-69.104118
19.514465	-35.873104
19.850922	-20.114082
20.187378	-20.940895
20.523834	-39.674313
20.860291	-79.953506
21.196747	-62.309887
21.533203	-61.446758
21.869659	-62.283863
22.206116	-62.696140
22.542572	-64.166054
22.879028	-64.531029
23.215485	-65.459793
23.551941	-66.136879
23.888397	-67.058350
24.224854	-67.491753
24.561310	-68.133690
24.897766	-68.680130
25.234222	-69.337959
25.570679	-69.722618
25.907135	-70.460976
26.243591	-70.363197
26.580048	-71.266708
26.916504	-71.397102
27.252960	-72.015694
27.589417	-72.366158
27.925873	-72.127991
28.262329	-73.218872
28.598785	-73.618507
28.935242	-73.338585
29.271698	-73.472092
29.608154	-74.523079
29.944611	-74.548889
30.281067	-74.458488
30.617523	-75.011757
30.953979	-75.184738
