Frequency (Hz)	Level (dB)
0.336456	-69.008362
0.672913	-68.978203
1.009369	-64.067513
1.345825	-65.561775
1.682281	-69.374413
2.018738	-71.110832
2.355194	-70.736923
2.691650	-75.390892
3.028107	-70.774986
3.364563	-70.433990
3.701019	-69.978958
4.037476	-73.353104
4.373932	-69.608574
4.710388	-70.755798
5.046844	-71.422699
5.383301	-69.837524
5.719757	-73.767365
6.056213	-71.294228
6.392670	-74.409363
6.729126	-72.166901
7.065582	-74.339790
7.402039	-73.305916
7.738495	-76.990021
8.074951	-71.399139
8.411407	-74.272392
8.747864	-72.175659
9.084320	-73.800461
9.420776	-75.975471
9.757233	-73.020645
10.093689	-72.188950
10.430145	-74.087601
10.766602	-72.470200
11.103058	-70.911362
11.439514	-73.429329
11.775970	-72.498001
12.112427	-72.569107
12.448883	-71.360222
12.785339	-71.792007
13.121796	-71.907196
13.458252	-70.524307
13.794708	-70.606628
14.131165	-69.571503
14.467621	-71.458923
14.804077	-68.368546
15.140533	-67.506813
15.476990	-68.874443
15.813446	-67.336372
16.149902	-66.965263
16.486359	-66.458603
16.822815	-65.313416
17.159271	-64.490974
17.495728	-63.896145
17.832184	-63.057590
18.168640	-61.975460
18.505096	-61.323364
18.841553	-62.986145
19.178009	-69.255074
19.514465	-35.881863
19.850922	-20.120552
20.187378	-20.947935
20.523834	-39.669468
20.860291	-79.342896
21.196747	-62.510185
21.533203	-61.384884
21.869659	-62.114887
22.206116	-62.988235
22.542572	-63.938946
22.879028	-64.773277
23.215485	-65.613663
23.551941	-66.214851
23.888397	-67.321312
24.224854	-67.376572
24.561310	-68.216240
24.897766	-68.629570
25.234222	-69.163284
25.570679	-70.099800
25.907135	-70.361549
26.243591	-70.818611
26.580048	-70.899170
26.916504	-72.081825
27.252960	-71.928398
27.589417	-72.407120
27.925873	-72.642311
28.262329	-73.411713
28.598785	-73.361099
28.935242	-73.772881
29.271698	-73.619606
29.608154	-74.605385
29.944611	-75.005127
30.281067	-74.392570
30.617523	-75.072075
30.953979	-75.590263
31.290436	-75.793610
31.626892	-75.543465
31.963348	-76.299179
32.299805	-76.397179
32.636261	-76.692795
32.972717	-76.718208
33.309174	-76.816612
33.645630	-77.327202
33.982086	-77.518272
34.318542	-77.484314
34.654999	-77.466957
34.991455	-77.403847
35.327911	-77.533989
35.664368	-78.087402
36.000824	-79.585121
36.337280	-77.873329
36.673737	-79.313698
37.010193	-78.380363
37.346649	-79.006355
37.683105	-79.328827
38.019562	-78.926865
38.356018	-79.568924
38.692474	-78.938171
39.028931	-81.348450
39.365387	-79.250420
39.701843	-79.116600
40.038300	-74.854485
40.374756	-81.341118
40.711212	-80.025612
41.047668	-80.414444
41.384125	-80.667526
41.720581	-80.707436
42.057037	-81.778381
42.393494	-80.689705
42.729950	-80.755920
43.066406	-81.665817
43.402863	-81.682785
43.739319	-81.747818
44.075775	-80.300301
44.412231	-82.231049
44.748688	-77.716103
45.085144	-74.179153
45.421600	-81.017853
45.758057	-82.432053
46.094513	-82.366425
46.430969	-82.293076
46.767426	-82.903168
47.103882	-82.258347
47.440338	-82.530548
47.776794	-83.444382
48.113251	-81.263168
48.449707	-83.841537
48.786163	-82.862869
49.122620	-83.195358
49.459076	-82.756737
49.795532	-82.916504
50.131989	-78.558243
50.468445	-84.377510
50.804901	-83.956383
51.141357	-83.143471
51.477814	-83.128273
51.814270	-84.162209
52.150726	-83.159042
52.487183	-84.765724
52.823639	-84.054382
53.160095	-83.432068
53.496552	-83.716225
53.833008	-85.137360
54.169464	-82.413628
54.505920	-83.108788
54.842377	-84.741669
55.178833	-77.439156
55.515289	-83.473106
55.851746	-86.242424
56.188202	-83.935631
56.524658	-85.346024
56.861115	-83.587685
57.197571	-86.523491
57.534027	-83.228241
57.870483	-86.629967
58.206940	-83.402237
58.543396	-86.263268
58.879852	-85.092079
59.216309	-84.205017
59.552765	-81.517319
59.889221	-74.141281
60.225677	-75.085320
60.562134	-87.483040
60.898590	-85.285141
61.235046	-84.906090
61.571503	-85.665161
61.907959	-85.445663
62.244415	-76.835693
62.580872	-72.255981
62.917328	-82.814644
63.253784	-85.790047
63.590240	-85.445549
63.926697	-86.286560
64.263153	-85.115807
64.599609	-86.135750
64.936066	-86.301880
65.272522	-84.679909
65.608978	-87.954071
65.945435	-85.559448
66.281891	-86.044456
66.618347	-86.593544
66.954803	-85.395180
67.291260	-86.690437
67.627716	-87.290321
67.964172	-85.043999
68.300629	-85.782349
68.637085	-87.374413
68.973541	-87.140076
69.309998	-86.551559
69.646454	-85.585846
69.982910	-83.710625
70.319366	-87.965004
70.655823	-85.379044
70.992279	-88.081619
71.328735	-86.107262
71.665192	-85.911118
72.001648	-86.917633
72.338104	-86.589874
72.674561	-88.265305
73.011017	-86.071373
73.347473	-87.743759
73.683929	-87.056419
74.020386	-86.899185
74.356842	-87.668243
74.693298	-87.154518
75.029755	-82.764458
75.366211	-86.490913
75.702667	-89.544800
76.039124	-86.546616
76.375580	-86.344208
76.712036	-86.999260
77.048492	-86.871307
77.384949	-87.937370
77.721405	-87.894119
78.057861	-86.632912
78.394318	-87.542030
78.730774	-87.348259
79.067230	-88.168503
79.403687	-84.709702
79.740143	-59.966187
80.076599	-56.189682
80.413055	-67.399010
80.749512	-89.060677
81.085968	-88.475731
81.422424	-87.133026
81.758881	-88.598953
82.095337	-88.487717
82.431793	-87.857323
82.768250	-87.800430
83.104706	-88.833580
83.441162	-88.769096
83.777618	-88.003960
84.114075	-88.588867
84.450531	-88.238029
84.786987	-84.637375
85.123444	-81.622040
85.459900	-87.738289
85.796356	-88.553482
86.132812	-89.655228
86.469269	-87.490936
86.805725	-89.364883
87.142181	-87.045799
87.478638	-89.915451
87.815094	-87.691460
88.151550	-89.303246
88.488007	-86.759689
88.824463	-89.297241
89.160919	-88.034744
89.497375	-90.306274
89.833832	-84.317978
90.170288	-88.374100
90.506744	-88.106384
90.843201	-87.962967
91.179657	-88.868797
91.516113	-89.857918
91.852570	-88.520126
92.189026	-89.149048
92.525482	-89.427551
92.861938	-88.704910
93.198395	-88.718262
93.534851	-88.756340
93.871307	-89.561409
94.207764	-88.566376
94.544220	-87.173553
94.880676	-87.915268
95.217133	-84.651245
95.553589	-88.959366
95.890045	-88.566269
96.226501	-89.369186
96.562958	-90.446457
96.899414	-87.719093
97.235870	-90.626770
97.572327	-88.459412
97.908783	-89.946983
98.245239	-90.502449
98.581696	-89.744606
98.918152	-88.609077
99.254608	-90.600754
99.591064	-76.777992
99.927521	-66.923874
100.263977	-70.508713
100.600433	-89.477989
100.936890	-90.030762
101.273346	-89.368340
101.609802	-88.225891
101.946259	-90.177612
102.282715	-88.397934
102.619171	-88.265388
102.955627	-89.398026
103.292084	-88.626778
103.628540	-89.910637
103.964996	-89.317436
104.301453	-89.383049
104.637909	-88.358292
104.974365	-86.164574
