Frequency (Hz)	Level (dB)
0.336456	-74.285690
0.672913	-68.909737
1.009369	-65.572273
1.345825	-65.687798
1.682281	-66.872643
2.018738	-64.518852
2.355194	-64.295822
2.691650	-65.972702
3.028107	-69.766731
3.364563	-69.088837
3.701019	-67.095177
4.037476	-68.120735
4.373932	-69.547890
4.710388	-75.287712
5.046844	-71.344604
5.383301	-72.277008
5.719757	-77.663002
6.056213	-71.296181
6.392670	-71.800522
6.729126	-75.178123
7.065582	-73.254379
7.402039	-73.186142
7.738495	-73.283028
8.074951	-77.597618
8.411407	-73.847771
8.747864	-75.822739
9.084320	-77.083191
9.420776	-73.930222
9.757233	-74.101074
10.093689	-75.407745
10.430145	-75.486809
10.766602	-72.427429
11.103058	-73.607246
11.439514	-73.549232
11.775970	-72.159256
12.112427	-74.009102
12.448883	-71.019493
12.785339	-72.653732
13.121796	-72.185028
13.458252	-70.405449
13.794708	-71.696434
14.131165	-70.497261
14.467621	-69.776215
14.804077	-69.422028
15.140533	-69.847549
15.476990	-67.889107
15.813446	-67.926521
16.149902	-67.027184
16.486359	-66.392433
16.822815	-65.643585
17.159271	-64.616966
17.495728	-64.089638
17.832184	-62.966511
18.168640	-62.197231
18.505096	-61.598358
18.841553	-62.951344
19.178009	-68.689064
19.514465	-35.885899
19.850922	-20.126549
20.187378	-20.951624
20.523834	-39.657429
20.860291	-82.101120
21.196747	-61.851845
21.533203	-61.782928
21.869659	-61.997906
22.206116	-62.899685
22.542572	-63.842106
22.879028	-64.662720
23.215485	-65.493484
23.551941	-66.025101
23.888397	-66.997116
24.224854	-67.475815
24.561310	-67.989784
24.897766	-68.733162
25.234222	-69.271851
25.570679	-69.456726
25.907135	-70.155312
26.243591	-70.801727
26.580048	-70.692650
26.916504	-71.468666
27.252960	-71.920059
27.589417	-71.988205
27.925873	-73.478722
28.262329	-72.055801
28.598785	-73.497437
28.935242	-73.244370
29.271698	-73.825287
29.608154	-74.155991
29.944611	-73.990791
30.281067	-74.732536
30.617523	-74.797691
30.953979	-74.783745
31.290436	-75.631104
31.626892	-75.417366
31.963348	-75.773186
32.299805	-76.460617
32.636261	-75.635155
32.972717	-76.591263
33.309174	-76.697075
33.645630	-76.479591
33.982086	-77.344414
34.318542	-77.000298
34.654999	-77.896858
34.991455	-77.453133
35.327911	-77.286728
35.664368	-78.605972
36.000824	-78.062775
36.337280	-77.759506
36.673737	-79.419464
37.010193	-78.022491
37.346649	-77.802299
37.683105	-80.143089
38.019562	-78.419861
38.356018	-79.047813
38.692474	-79.066727
39.028931	-79.506279
39.365387	-80.003349
39.701843	-79.568825
40.038300	-79.330566
40.374756	-79.906860
40.711212	-80.761818
41.047668	-80.040924
41.384125	-80.080238
41.720581	-80.003799
42.057037	-81.870422
42.393494	-79.551857
42.729950	-80.556473
43.066406	-81.477333
43.402863	-80.896317
43.739319	-81.313400
44.075775	-80.981148
44.412231	-81.708633
44.748688	-81.760094
45.085144	-81.120827
45.421600	-81.403496
45.758057	-82.342972
46.094513	-81.149742
46.430969	-82.128250
46.767426	-82.605133
47.103882	-81.112823
47.440338	-81.814491
47.776794	-82.078148
48.113251	-83.363899
48.449707	-81.745140
48.786163	-82.675804
49.122620	-82.561440
49.459076	-83.006050
49.795532	-81.994675
50.131989	-82.856422
50.468445	-82.998146
50.804901	-82.169991
51.141357	-84.194847
51.477814	-82.470009
51.814270	-83.310326
52.150726	-82.659782
52.487183	-85.104462
52.823639	-83.072403
53.160095	-84.048256
53.496552	-82.330093
53.833008	-85.238785
54.169464	-83.158653
54.505920	-85.256599
54.842377	-82.270805
55.178833	-86.459862
55.515289	-84.447311
55.851746	-83.012344
56.188202	-85.463219
56.524658	-83.349464
56.861115	-84.201904
57.197571	-84.574112
57.534027	-83.678749
57.870483	-85.607834
58.206940	-83.849579
58.543396	-85.723526
58.879852	-84.870461
59.216309	-85.708481
59.552765	-80.836128
59.889221	-68.936264
60.225677	-71.762718
60.562134	-84.174431
60.898590	-85.762535
61.235046	-84.854118
61.571503	-85.883286
61.907959	-85.730042
62.244415	-86.393959
62.580872	-84.735374
62.917328	-86.348160
63.253784	-85.952370
63.590240	-85.511612
63.926697	-85.474068
64.263153	-88.620300
64.599609	-84.920174
64.936066	-84.396561
65.272522	-88.316917
65.608978	-85.135483
65.945435	-86.877151
66.281891	-85.591919
66.618347	-86.671776
66.954803	-86.739250
67.291260	-85.436394
67.627716	-88.913376
67.964172	-85.065468
68.300629	-87.571442
68.637085	-85.771561
