Frequency (Hz)	Level (dB)
0.336456	-73.028793
0.672913	-73.018013
1.009369	-73.000038
1.345825	-72.974876
1.682281	-72.942474
2.018738	-72.902832
2.355194	-72.855942
2.691650	-72.801735
3.028107	-72.740204
3.364563	-72.671280
3.701019	-72.594940
4.037476	-72.511086
4.373932	-72.419678
4.710388	-72.320641
5.046844	-72.213875
5.383301	-72.099289
5.719757	-71.976768
6.056213	-71.846184
6.392670	-71.707405
6.729126	-71.560272
7.065582	-71.404617
7.402039	-71.240227
7.738495	-71.066895
8.074951	-70.884377
8.411407	-70.692413
8.747864	-70.490692
9.084320	-70.278877
9.420776	-70.056595
9.757233	-69.823425
10.093689	-69.578911
10.430145	-69.322540
10.766602	-69.053711
11.103058	-68.771797
11.439514	-68.476036
11.775970	-68.165642
12.112427	-67.839668
12.448883	-67.497086
12.785339	-67.136711
13.121796	-66.757202
13.458252	-66.357048
13.794708	-65.934509
14.131165	-65.487602
14.467621	-65.014069
14.804077	-64.511269
15.140533	-63.976254
15.476990	-63.405624
15.813446	-62.795521
16.149902	-62.141724
16.486359	-61.439800
16.822815	-60.685719
17.159271	-59.877365
17.495728	-59.018612
17.832184	-58.130707
18.168640	-57.288456
18.505096	-56.763359
18.841553	-57.913445
19.178009	-64.407387
19.514465	-31.140697
19.850922	-15.349655
20.187378	-16.161427
20.523834	-34.840717
20.860291	-75.847122
21.196747	-57.569458
21.533203	-56.801056
21.869659	-57.393532
22.206116	-58.251099
22.542572	-59.141159
22.879028	-59.998631
23.215485	-60.805317
23.551941	-61.558430
23.888397	-62.260483
24.224854	-62.915668
24.561310	-63.528465
24.897766	-64.103149
25.234222	-64.643555
25.570679	-65.153084
25.907135	-65.634781
26.243591	-66.091270
26.580048	-66.524849
26.916504	-66.937546
27.252960	-67.331154
27.589417	-67.707230
27.925873	-68.067177
28.262329	-68.412239
28.598785	-68.743523
28.935242	-69.062019
29.271698	-69.368607
29.608154	-69.664108
29.944611	-69.949226
30.281067	-70.224648
30.617523	-70.490952
30.953979	-70.748680
31.290436	-70.998352
31.626892	-71.240402
31.963348	-71.475266
32.299805	-71.703339
32.636261	-71.924957
32.972717	-72.140457
33.309174	-72.350159
33.645630	-72.554337
33.982086	-72.753235
34.318542	-72.947128
