Frequency (Hz)	Level (dB)
0.336456	-72.117531
0.672913	-70.361717
1.009369	-65.443161
1.345825	-67.224449
1.682281	-68.674240
2.018738	-67.244087
2.355194	-65.552856
2.691650	-66.003090
3.028107	-67.901855
3.364563	-67.994476
3.701019	-70.221786
4.037476	-70.098320
4.373932	-70.553711
4.710388	-68.407402
5.046844	-64.954010
5.383301	-71.892334
5.719757	-72.979156
6.056213	-72.397629
6.392670	-71.357796
6.729126	-71.803444
7.065582	-74.827522
7.402039	-71.888367
7.738495	-72.999565
8.074951	-73.159027
8.411407	-75.210609
8.747864	-70.072083
9.084320	-75.247543
9.420776	-69.543022
9.757233	-57.547478
10.093689	-56.094322
10.430145	-63.530388
10.766602	-69.683540
11.103058	-71.897896
11.439514	-72.221161
11.775970	-70.548553
12.112427	-73.111809
12.448883	-71.415558
12.785339	-71.312965
13.121796	-71.605461
13.458252	-70.984962
13.794708	-69.992416
14.131165	-71.491272
14.467621	-71.292053
14.804077	-67.113060
15.140533	-68.220169
15.476990	-68.451767
15.813446	-67.443962
16.149902	-67.300545
16.486359	-67.381081
16.822815	-65.214760
17.159271	-64.162651
17.495728	-64.651596
17.832184	-62.761017
18.168640	-62.767662
18.505096	-61.479305
18.841553	-63.144691
19.178009	-70.496536
19.514465	-35.975208
19.850922	-20.302895
20.187378	-21.136404
20.523834	-39.895794
20.860291	-70.848534
21.196747	-62.497452
21.533203	-61.309502
21.869659	-62.655514
22.206116	-62.870113
22.542572	-63.088642
22.879028	-64.735519
23.215485	-66.484230
23.551941	-65.813095
23.888397	-66.474602
24.224854	-67.411880
24.561310	-68.473328
24.897766	-66.491364
25.234222	-68.808952
25.570679	-70.781837
25.907135	-69.040031
26.243591	-69.826416
26.580048	-71.618454
26.916504	-71.159828
27.252960	-70.296852
27.589417	-72.631401
27.925873	-71.964706
28.262329	-72.051224
28.598785	-72.292480
28.935242	-71.896790
29.271698	-68.589592
29.608154	-62.864357
29.944611	-55.645149
30.281067	-59.333187
30.617523	-67.478813
30.953979	-72.491364
31.290436	-74.603111
31.626892	-74.853630
31.963348	-74.025101
32.299805	-77.258125
32.636261	-76.332840
32.972717	-76.023575
33.309174	-75.242477
33.645630	-75.600632
33.982086	-77.868240
34.318542	-76.784515
34.654999	-74.833817
34.991455	-76.102463
35.327911	-76.914780
35.664368	-76.488770
36.000824	-76.676147
36.337280	-76.269547
36.673737	-77.217842
37.010193	-76.344337
37.346649	-79.817688
37.683105	-77.681175
38.019562	-78.242821
38.356018	-79.397102
38.692474	-76.695168
39.028931	-76.596535
39.365387	-74.932472
39.701843	-60.475975
40.038300	-55.322464
40.374756	-63.375851
40.711212	-74.355736
41.047668	-78.469093
41.384125	-80.213234
41.720581	-77.866127
42.057037	-79.322113
42.393494	-80.002945
42.729950	-79.003578
43.066406	-80.346161
43.402863	-79.799400
43.739319	-78.406914
44.075775	-81.174355
44.412231	-79.842766
44.748688	-79.798180
45.085144	-77.414352
45.421600	-82.881363
45.758057	-79.437805
46.094513	-78.734711
46.430969	-82.876633
46.767426	-81.286453
47.103882	-79.719742
47.440338	-80.209854
47.776794	-81.827187
48.113251	-80.109688
48.449707	-79.135551
48.786163	-82.348145
49.122620	-75.978386
49.459076	-68.610939
49.795532	-61.058670
50.131989	-60.297741
50.468445	-68.544846
50.804901	-75.690987
51.141357	-77.171570
51.477814	-80.329483
51.814270	-83.284576
52.150726	-78.498917
52.487183	-81.656105
52.823639	-84.860901
53.160095	-81.597389
53.496552	-79.853279
53.833008	-83.676643
54.169464	-81.934105
54.505920	-79.318268
54.842377	-80.345360
55.178833	-77.737671
55.515289	-80.423836
55.851746	-80.860863
56.188202	-81.949905
56.524658	-81.923286
56.861115	-79.357666
57.197571	-81.623146
57.534027	-84.610237
57.870483	-81.159729
58.206940	-84.371948
