Frequency (Hz)	Level (dB)
0.336456	-72.076324
0.672913	-66.624825
1.009369	-67.081955
1.345825	-64.792908
1.682281	-67.837669
2.018738	-67.028496
2.355194	-65.459961
2.691650	-67.170807
3.028107	-67.670868
3.364563	-66.464058
3.701019	-69.514519
4.037476	-71.227737
4.373932	-72.943390
4.710388	-69.104645
5.046844	-71.580788
5.383301	-70.831993
5.719757	-77.221436
6.056213	-69.437798
6.392670	-77.043694
6.729126	-74.303535
7.065582	-72.495468
7.402039	-73.637199
7.738495	-73.889488
8.074951	-73.710281
8.411407	-74.777061
8.747864	-72.724991
9.084320	-72.912704
9.420776	-74.244469
9.757233	-72.767006
10.093689	-74.106133
10.430145	-73.301903
10.766602	-72.744591
11.103058	-72.896355
11.439514	-71.643822
11.775970	-73.388451
12.112427	-71.324028
12.448883	-72.313522
12.785339	-72.212349
13.121796	-70.475845
13.458252	-71.708725
13.794708	-70.890282
14.131165	-70.064926
14.467621	-69.554611
14.804077	-69.232620
15.140533	-68.538368
15.476990	-68.480400
15.813446	-67.449257
16.149902	-66.922676
16.486359	-66.741997
16.822815	-65.232338
17.159271	-64.803833
17.495728	-63.791885
17.832184	-63.286015
18.168640	-61.992920
18.505096	-61.679241
18.841553	-62.574390
19.178009	-68.612480
19.514465	-35.897842
19.850922	-20.127377
20.187378	-20.953423
20.523834	-39.654430
20.860291	-81.806366
21.196747	-62.173595
21.533203	-61.566078
21.869659	-62.340519
22.206116	-62.812386
22.542572	-63.655857
22.879028	-64.921844
23.215485	-65.508003
23.551941	-66.206291
23.888397	-66.825249
24.224854	-67.663605
24.561310	-68.537277
24.897766	-68.284973
25.234222	-69.450287
25.570679	-69.762375
25.907135	-70.081757
26.243591	-70.761536
26.580048	-71.303688
26.916504	-71.584557
27.252960	-71.319305
27.589417	-72.872406
27.925873	-72.384178
28.262329	-73.048004
28.598785	-73.200378
28.935242	-73.812233
29.271698	-73.551826
29.608154	-74.575371
29.944611	-73.975060
30.281067	-74.781807
30.617523	-75.491234
30.953979	-75.204712
31.290436	-74.947144
31.626892	-76.336349
31.963348	-75.039757
32.299805	-76.862671
32.636261	-76.378418
32.972717	-76.689583
33.309174	-77.173874
33.645630	-76.159256
33.982086	-78.037239
34.318542	-76.848671
34.654999	-76.811943
34.991455	-78.834770
35.327911	-77.172974
35.664368	-77.512085
36.000824	-79.895668
36.337280	-77.691055
36.673737	-78.327530
37.010193	-79.084831
37.346649	-78.831429
37.683105	-79.051918
38.019562	-79.263161
38.356018	-79.768501
38.692474	-78.908257
39.028931	-80.094582
39.365387	-79.527435
39.701843	-79.078453
40.038300	-80.197075
40.374756	-79.206520
40.711212	-79.732040
41.047668	-81.099358
41.384125	-79.849480
41.720581	-80.712479
42.057037	-79.712418
42.393494	-81.628990
42.729950	-81.625504
43.066406	-80.622215
43.402863	-80.877876
43.739319	-81.291664
44.075775	-82.587975
44.412231	-80.836433
44.748688	-80.498077
45.085144	-80.921280
45.421600	-81.205505
45.758057	-81.775871
46.094513	-82.464897
46.430969	-82.107239
46.767426	-81.083069
47.103882	-82.962868
47.440338	-81.518425
47.776794	-83.855759
48.113251	-80.746521
48.449707	-83.680473
48.786163	-83.498810
49.122620	-82.617340
49.459076	-82.264160
49.795532	-82.411430
50.131989	-83.837379
50.468445	-82.912483
50.804901	-83.126038
51.141357	-83.200478
51.477814	-83.162094
51.814270	-82.607658
52.150726	-83.922363
52.487183	-83.628815
52.823639	-83.333321
53.160095	-84.492897
53.496552	-83.572456
53.833008	-83.570847
54.169464	-85.203873
54.505920	-83.982384
54.842377	-81.311272
55.178833	-86.827240
55.515289	-84.037613
55.851746	-84.460899
56.188202	-84.899040
56.524658	-84.122246
56.861115	-83.139236
57.197571	-85.910759
57.534027	-84.123985
57.870483	-84.891052
58.206940	-84.632011
58.543396	-85.131050
58.879852	-84.144600
59.216309	-85.471176
59.552765	-79.898064
59.889221	-71.065880
60.225677	-72.917542
60.562134	-85.294136
60.898590	-84.045639
61.235046	-86.726349
61.571503	-83.616035
61.907959	-86.201965
62.244415	-84.759445
62.580872	-85.928909
62.917328	-83.929001
63.253784	-86.956337
63.590240	-84.667351
63.926697	-85.978294
64.263153	-85.515305
64.599609	-86.034462
64.936066	-84.791748
65.272522	-87.120674
65.608978	-85.468727
65.945435	-86.310616
66.281891	-86.892548
66.618347	-84.892487
66.954803	-87.639061
67.291260	-83.825493
67.627716	-88.218079
67.964172	-85.651520
68.300629	-85.826279
68.637085	-86.782173
68.973541	-86.646568
69.309998	-85.605225
69.646454	-87.961670
69.982910	-84.898689
70.319366	-87.464523
70.655823	-86.425179
70.992279	-86.299675
71.328735	-86.896515
71.665192	-86.859810
72.001648	-86.018433
72.338104	-87.285400
72.674561	-86.196709
73.011017	-88.094780
73.347473	-85.847702
73.683929	-86.980080
74.020386	-87.576744
74.356842	-85.411598
74.693298	-78.864265
75.029755	-74.766991
75.366211	-81.135071
75.702667	-85.744606
76.039124	-89.716583
76.375580	-86.451607
76.712036	-87.349548
77.048492	-88.108902
77.384949	-85.868790
77.721405	-88.134377
78.057861	-88.229912
78.394318	-87.124641
78.730774	-86.766022
79.067230	-87.678459
79.403687	-83.532310
79.740143	-60.144634
80.076599	-56.291355
80.413055	-67.637573
80.749512	-88.063873
81.085968	-88.140160
81.422424	-87.706741
81.758881	-86.420967
82.095337	-88.564102
82.431793	-88.218102
82.768250	-87.690193
83.104706	-86.501816
83.441162	-87.728470
83.777618	-87.949913
84.114075	-87.419670
84.450531	-88.844254
84.786987	-85.494820
85.123444	-88.078171
85.459900	-86.531860
85.796356	-90.063309
86.132812	-87.067688
86.469269	-87.599770
86.805725	-88.377075
87.142181	-86.905334
87.478638	-89.430092
87.815094	-88.614700
88.151550	-87.996681
88.488007	-86.931145
88.824463	-88.907600
89.160919	-88.557190
89.497375	-88.802269
89.833832	-87.232460
90.170288	-88.576019
90.506744	-88.699059
90.843201	-87.298195
91.179657	-89.086548
91.516113	-88.429718
91.852570	-86.861343
92.189026	-88.906380
92.525482	-87.265594
92.861938	-89.684769
93.198395	-88.231491
93.534851	-87.560638
93.871307	-88.746887
94.207764	-88.882835
94.544220	-88.387451
94.880676	-88.807686
95.217133	-87.741821
95.553589	-88.633240
95.890045	-90.234711
96.226501	-88.126732
96.562958	-89.842918
96.899414	-86.892151
97.235870	-91.630630
97.572327	-88.369164
97.908783	-88.544495
98.245239	-88.394569
98.581696	-89.680435
98.918152	-88.448990
99.254608	-88.576546
99.591064	-76.927338
99.927521	-66.976280
100.263977	-70.700676
100.600433	-89.526436
100.936890	-88.650795
101.273346	-88.373993
101.609802	-88.428505
101.946259	-89.624222
102.282715	-87.811165
102.619171	-89.565674
102.955627	-88.407707
103.292084	-87.318230
103.628540	-90.891235
103.964996	-87.428879
104.301453	-90.397255
104.637909	-87.599800
104.974365	-85.008659
105.310822	-88.769432
105.647278	-89.445374
105.983734	-88.831322
106.320190	-88.405968
106.656647	-89.188965
106.993103	-89.219910
107.329559	-89.329437
107.666016	-88.451111
108.002472	-90.117317
108.338928	-88.875778
108.675385	-89.334808
109.011841	-88.730507
109.348297	-88.734398
109.684753	-89.586403
110.021210	-87.978561
110.357666	-89.860657
110.694122	-89.153725
111.030579	-88.517380
111.367035	-91.362343
111.703491	-88.318779
112.039948	-89.162323
112.376404	-89.559967
112.712860	-89.088524
113.049316	-89.688652
113.385773	-89.214355
113.722229	-87.727722
114.058685	-88.973755
114.395142	-88.054932
114.731598	-90.896545
115.068054	-88.528885
115.404510	-89.554329
115.740967	-88.908585
116.077423	-90.777534
116.413879	-87.902931
116.750336	-90.849663
117.086792	-89.651695
117.423248	-88.685722
117.759705	-90.104774
118.096161	-88.618546
118.432617	-88.557983
118.769073	-89.615646
119.105530	-89.452011
119.441986	-79.992332
119.778442	-59.496990
120.114899	-57.187828
120.451355	-71.135017
120.787811	-89.824310
121.124268	-90.369850
121.460724	-86.380478
121.797180	-88.957191
122.133636	-88.559021
122.470093	-87.670837
122.806549	-88.617271
123.143005	-89.508698
123.479462	-87.837181
123.815918	-87.578995
124.152374	-89.798164
124.488831	-88.595314
124.825287	-87.542007
125.161743	-89.612434
125.498199	-87.812904
125.834656	-89.815422
126.171112	-89.096695
126.507568	-87.933273
126.844025	-88.907646
127.180481	-89.266685
127.516937	-89.272263
127.853394	-89.047951
128.189850	-88.515816
128.526306	-89.870155
128.862762	-87.544243
129.199219	-88.471329
129.535675	-89.153114
129.872131	-87.918533
130.208588	-88.738068
130.545044	-87.985397
130.881500	-90.045502
131.217957	-88.216438
131.554413	-89.274681
131.890869	-88.086868
132.227325	-89.414467
132.563782	-88.142517
132.900238	-89.187874
133.236694	-89.095634
133.573151	-87.703041
133.909607	-89.420731
134.246063	-87.915962
134.582520	-88.883705
134.918976	-85.091698
135.255432	-87.728394
135.591888	-87.808884
135.928345	-88.876495
136.264801	-88.545197
136.601257	-87.687706
136.937714	-88.990845
137.274170	-89.056549
137.610626	-87.908005
137.947083	-88.919540
138.283539	-87.841751
138.619995	-88.427353
138.956451	-89.250648
139.292908	-88.285507
139.629364	-80.264290
139.965820	-72.185547
140.302277	-77.792656
140.638733	-87.700348
140.975189	-88.268921
141.311646	-87.551834
141.648102	-89.300453
141.984558	-87.668541
142.321014	-88.330818
142.657471	-88.218735
142.993927	-88.762741
143.330383	-87.431145
143.666840	-88.653381
144.003296	-88.344543
144.339752	-87.919197
144.676208	-87.952118
145.012665	-86.522842
145.349121	-88.594452
145.685577	-87.615234
146.022034	-88.745041
146.358490	-87.780945
146.694946	-87.178879
147.031403	-87.859322
147.367859	-87.932899
147.704315	-87.579742
148.040771	-87.988792
148.377228	-87.198036
148.713684	-88.114700
149.050140	-87.367813
149.386597	-88.006798
149.723053	-80.721245
150.059509	-77.711342
150.395966	-83.978409
150.732422	-88.220345
151.068878	-86.570061
151.405334	-88.465637
151.741791	-86.896240
152.078247	-87.895111
152.414703	-86.312393
152.751160	-88.366951
153.087616	-85.868027
153.424072	-88.087975
153.760529	-86.285805
154.096985	-88.058716
154.433441	-86.338783
154.769897	-85.396423
155.106354	-86.755463
155.442810	-86.616241
155.779266	-86.588173
156.115723	-86.781761
156.452179	-87.381287
156.788635	-85.586121
157.125092	-87.454185
157.461548	-86.120758
157.798004	-86.305725
158.134460	-86.865639
158.470917	-86.026085
158.807373	-86.543190
159.143829	-86.129364
159.480286	-84.610664
159.816742	-76.809914
160.153198	-75.556847
160.489655	-85.559959
160.826111	-85.308662
161.162567	-86.627342
161.499023	-85.345230
161.835480	-86.065834
162.171936	-85.959946
162.508392	-85.378769
162.844849	-85.806679
163.181305	-85.243057
163.517761	-85.401718
163.854218	-85.456390
164.190674	-86.123611
164.527130	-85.452660
164.863586	-82.088463
165.200043	-89.294830
165.536499	-84.497612
165.872955	-84.924156
166.209412	-85.175323
166.545868	-84.974396
166.882324	-84.224838
167.218781	-85.264717
167.555237	-84.576073
167.891693	-84.954567
168.228149	-84.244202
168.564606	-84.573502
168.901062	-83.887917
169.237518	-84.761711
169.573975	-83.983627
169.910431	-84.111374
170.246887	-83.802895
170.583344	-83.830109
170.919800	-84.245453
171.256256	-83.417015
171.592712	-83.889519
171.929169	-83.284279
172.265625	-83.109337
172.602081	-83.669243
172.938538	-83.760368
173.274994	-82.939186
173.611450	-82.920624
173.947906	-82.823296
174.284363	-82.851662
174.620819	-82.893700
174.957275	-81.132950
175.293732	-82.647789
175.630188	-82.325050
175.966644	-82.324020
176.303101	-82.332085
176.639557	-82.011589
176.976013	-82.015495
177.312469	-81.695175
177.648926	-81.722755
177.985382	-81.474648
178.321838	-81.932724
178.658295	-81.110001
178.994751	-81.425835
179.331207	-81.059669
179.667664	-76.689560
180.004120	-73.535141
180.340576	-77.029839
180.677032	-80.339027
181.013489	-80.507240
181.349945	-80.241623
181.686401	-80.055557
182.022858	-79.926514
182.359314	-80.112022
182.695770	-79.435455
183.032227	-79.545143
183.368683	-79.213806
183.705139	-79.354332
184.041595	-78.844635
184.378052	-78.976189
184.714508	-78.287979
185.050964	-78.431953
185.387421	-78.353745
185.723877	-77.937569
186.060333	-77.968903
186.396790	-77.522316
186.733246	-77.506767
187.069702	-77.110435
187.406158	-77.056541
187.742615	-76.751091
188.079071	-76.573631
188.415527	-76.307785
188.751984	-76.145447
189.088440	-75.548058
189.424896	-75.686516
189.761353	-75.223152
190.097809	-75.012718
190.434265	-74.796669
190.770721	-74.215950
191.107178	-74.059540
191.443634	-73.799583
191.780090	-73.341652
192.116547	-73.077354
192.453003	-72.727592
192.789459	-72.261360
193.125916	-71.998009
193.462372	-71.439514
193.798828	-70.961296
194.135284	-70.672615
194.471741	-69.911781
194.808197	-69.665077
195.144653	-68.949043
195.481110	-68.510818
195.817566	-67.738556
196.154022	-67.180359
196.490479	-66.558746
196.826935	-65.590752
197.163391	-64.920258
197.499847	-63.947430
197.836304	-63.148335
198.172760	-62.270309
198.509216	-61.742531
198.845673	-63.003120
199.182129	-68.071838
199.518585	-35.310127
199.855042	-20.055946
200.191498	-21.200722
200.527954	-40.537498
200.864410	-88.567612
