Frequency (Hz)	Level (dB)
0.336456	-69.268013
0.672913	-72.025917
1.009369	-68.617874
1.345825	-65.455437
1.682281	-69.081375
2.018738	-64.895126
2.355194	-67.469490
2.691650	-66.175957
3.028107	-69.997101
3.364563	-72.614014
3.701019	-72.305717
4.037476	-70.160828
4.373932	-69.306183
4.710388	-79.369728
5.046844	-71.226547
5.383301	-76.190926
5.719757	-75.443977
6.056213	-69.735901
6.392670	-73.179367
6.729126	-72.294357
7.065582	-72.581848
7.402039	-76.621246
7.738495	-73.446121
8.074951	-76.057495
8.411407	-72.308556
8.747864	-75.326180
9.084320	-73.902176
9.420776	-72.098755
9.757233	-73.143944
10.093689	-72.081581
10.430145	-75.532997
10.766602	-72.651016
11.103058	-72.594406
11.439514	-73.740524
11.775970	-73.113098
12.112427	-72.063683
12.448883	-72.327690
12.785339	-71.760681
13.121796	-70.735100
13.458252	-71.456543
13.794708	-71.182747
14.131165	-69.997734
14.467621	-68.968819
14.804077	-70.370872
15.140533	-68.813820
15.476990	-68.219170
15.813446	-67.792480
16.149902	-67.036705
16.486359	-66.489006
16.822815	-65.366219
17.159271	-64.744621
17.495728	-63.920681
17.832184	-62.710445
18.168640	-62.279160
18.505096	-61.941319
18.841553	-62.467804
19.178009	-69.093193
19.514465	-35.888107
19.850922	-20.132450
20.187378	-20.959528
20.523834	-39.683037
20.860291	-80.277695
21.196747	-62.358528
21.533203	-61.435123
21.869659	-62.093658
22.206116	-62.947571
22.542572	-63.959530
22.879028	-64.570900
23.215485	-65.734566
23.551941	-66.124626
23.888397	-66.704445
24.224854	-67.750687
24.561310	-68.182846
24.897766	-68.760025
25.234222	-68.859207
25.570679	-70.189880
25.907135	-69.925903
26.243591	-70.891960
26.580048	-70.881905
26.916504	-71.706741
27.252960	-71.836632
27.589417	-72.269485
27.925873	-72.131546
28.262329	-73.500450
28.598785	-73.017166
28.935242	-73.972122
29.271698	-73.438728
29.608154	-74.055573
29.944611	-75.062805
30.281067	-74.227432
30.617523	-75.142387
30.953979	-75.172867
31.290436	-75.472038
31.626892	-75.510773
31.963348	-76.102539
32.299805	-75.897598
32.636261	-76.967979
32.972717	-76.244156
33.309174	-76.657082
33.645630	-76.690025
33.982086	-76.908859
34.318542	-77.522453
34.654999	-76.606133
34.991455	-78.247986
35.327911	-78.710335
35.664368	-77.297134
36.000824	-78.551895
36.337280	-77.767326
36.673737	-78.667465
37.010193	-78.909752
37.346649	-78.786690
37.683105	-79.086304
38.019562	-78.539711
38.356018	-79.951286
38.692474	-79.521042
39.028931	-79.322739
39.365387	-79.914154
39.701843	-78.559082
40.038300	-77.716003
40.374756	-79.733932
40.711212	-80.167801
41.047668	-80.356270
